dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,34.19,34.63,33.75,34.0,13.1381629725,336100,0.0,1.0
1999-11-04,34.0,34.44,34.0,34.0,13.1381629725,291100,0.0,1.0
1999-11-05,34.25,34.44,33.69,33.94,13.114977979,305300,0.0,1.0
1999-11-08,34.19,34.75,34.19,34.56,13.354556245,176200,0.0,1.0
1999-11-09,34.56,34.69,33.81,33.88,13.0917929855,408000,0.0,1.0
1999-11-10,33.88,35.13,33.88,35.0,13.5245795305,223100,0.0,1.0
1999-11-11,34.81,35.5,34.81,35.25,13.62118367,278000,0.0,1.0
1999-11-12,35.38,36.13,34.63,34.88,13.4782095436,537500,0.0,1.0
1999-11-15,34.81,36.19,34.81,36.19,13.9844152346,304400,0.0,1.0
1999-11-16,36.19,37.38,36.19,36.94,14.2742276531,406600,0.0,1.0
1999-11-17,37.38,37.81,37.25,37.63,14.5408550781,426600,0.0,1.0
1999-11-18,37.81,37.81,36.5,36.88,14.2510426596,258500,0.0,1.0
1999-11-19,36.63,36.81,36.13,36.5,14.1042043675,225800,0.0,1.0
1999-11-22,36.75,36.75,35.5,36.0,13.9109960885,313200,0.0,1.0
1999-11-23,36.0,36.13,34.69,34.81,13.4511603845,395500,0.0,1.0
1999-11-24,34.94,35.0,34.19,34.94,13.501394537,200700,0.0,1.0
1999-11-26,34.69,34.94,34.5,34.75,13.427975391,48600,0.0,1.0
1999-11-29,34.5,34.5,33.44,33.56,12.968139687,349500,0.0,1.0
1999-11-30,33.5,35.31,33.5,34.63,13.3816054041,348700,0.0,1.0
1999-12-01,34.38,35.19,34.19,34.56,13.354556245,399000,0.0,1.0
1999-12-02,34.63,34.94,34.56,34.75,13.427975391,202500,0.0,1.0
1999-12-03,34.63,36.0,34.63,35.25,13.62118367,485300,0.0,1.0
1999-12-06,35.0,35.25,34.38,34.63,13.3816054041,311600,0.0,1.0
1999-12-07,34.88,34.88,33.75,34.13,13.188397125,334200,0.0,1.0
1999-12-08,34.0,34.06,33.38,33.94,13.114977979,260300,0.0,1.0
1999-12-09,33.88,34.13,33.63,33.75,13.041558833,234500,0.0,1.0
1999-12-10,33.69,33.81,32.88,33.69,13.0183738395,228200,0.0,1.0
1999-12-13,33.44,34.13,33.38,33.81,13.0647438265,281300,0.0,1.0
1999-12-14,33.56,34.38,33.5,33.94,13.114977979,415600,0.0,1.0
1999-12-15,33.75,34.94,33.5,34.81,13.4511603845,377500,0.0,1.0
1999-12-16,35.0,36.25,34.75,35.63,13.7680219621,598600,0.0,1.0
1999-12-17,35.69,36.38,35.12,36.38,14.0578343806,579800,0.0,1.0
1999-12-20,36.38,36.44,35.19,35.94,13.8878110951,867200,0.0,1.0
1999-12-21,35.88,36.13,35.69,35.88,13.8646261016,675900,0.0,1.0
1999-12-22,35.88,36.19,35.63,35.88,13.8646261016,527100,0.0,1.0
1999-12-23,35.63,36.63,35.63,36.19,13.9844152346,449700,0.0,1.0
1999-12-27,36.13,37.13,36.13,36.63,14.1544385201,656300,0.0,1.0
1999-12-28,36.75,37.5,36.75,37.5,14.4906209256,265000,0.0,1.0
1999-12-29,37.25,38.88,37.13,38.69,14.9968266166,361700,0.12,1.0
1999-12-30,38.75,39.25,38.38,38.88,15.0704734777,329200,0.0,1.0
1999-12-31,38.75,39.19,38.44,39.13,15.1673772423,87900,0.0,1.0
2000-01-03,39.0,39.0,37.5,37.69,14.609211558,291000,0.0,1.0
2000-01-04,37.63,37.94,36.0,36.69,14.2215964994,431600,0.0,1.0
2000-01-05,37.25,37.81,36.75,37.56,14.5588216004,306800,0.0,1.0
2000-01-06,37.5,39.88,37.38,39.81,15.4309554822,446800,0.0,1.0
