dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,37.88,38.25,37.63,38.06,12.5609576335,173100,0.0,1.0
1999-11-02,38.0,38.88,37.75,37.75,12.4586482045,207200,0.0,1.0
1999-11-03,37.88,38.19,37.63,38.0,12.5411558086,293100,0.0,1.0
1999-11-04,38.0,38.06,37.06,37.63,12.4190445546,296600,0.0,1.0
1999-11-05,38.25,38.38,37.88,37.88,12.5015521586,325800,0.0,1.0
1999-11-08,38.0,38.38,37.25,37.31,12.3134348215,615800,0.0,1.0
1999-11-09,37.5,37.5,36.63,36.75,12.1286177885,572600,0.0,1.0
1999-11-10,36.63,36.75,36.5,36.75,12.1286177885,583500,0.0,1.0
1999-11-11,36.75,36.94,36.19,36.81,12.1484196135,309300,0.0,1.0
1999-11-12,36.81,37.19,36.63,36.75,12.1286177885,1653200,0.0,1.0
1999-11-15,36.13,36.44,35.88,36.19,12.1203670281,436200,0.535,1.0
1999-11-16,36.63,36.63,36.0,36.13,12.100272471,450700,0.0,1.0
1999-11-17,36.19,36.25,36.0,36.0,12.056734264,553400,0.0,1.0
1999-11-18,36.06,36.13,35.94,36.0,12.056734264,381900,0.0,1.0
1999-11-19,36.0,36.13,35.94,36.06,12.0768288211,544300,0.0,1.0
1999-11-22,36.0,36.0,35.5,35.5,11.8892796214,979200,0.0,1.0
1999-11-23,35.44,35.5,34.81,34.88,11.6816358646,396200,0.0,1.0
1999-11-24,34.88,35.19,34.81,34.94,11.7017304217,544600,0.0,1.0
1999-11-26,34.88,35.0,34.81,34.88,11.6816358646,122600,0.0,1.0
1999-11-29,34.75,34.75,33.63,33.88,11.3467265795,452800,0.0,1.0
1999-11-30,34.25,35.19,34.19,34.5,11.5543703363,1239900,0.0,1.0
1999-12-01,34.38,34.56,34.25,34.5,11.5543703363,932500,0.0,1.0
1999-12-02,34.38,34.75,34.38,34.56,11.5744648934,535300,0.0,1.0
1999-12-03,34.63,35.19,34.63,35.0,11.7218249789,619500,0.0,1.0
1999-12-06,35.0,35.13,34.81,35.0,11.7218249789,543700,0.0,1.0
1999-12-07,35.25,35.25,35.0,35.0,11.7218249789,942700,0.0,1.0
1999-12-08,35.0,35.0,34.56,34.75,11.6380976576,1055000,0.0,1.0
1999-12-09,34.81,34.81,34.44,34.56,11.5744648934,644600,0.0,1.0
1999-12-10,34.69,34.69,34.0,34.38,11.5141812221,418200,0.0,1.0
1999-12-13,34.13,34.13,33.63,33.95,11.3701702295,512000,0.0,1.0
1999-12-14,34.0,34.19,33.81,33.94,11.3668211366,523700,0.0,1.0
1999-12-15,33.94,34.56,33.88,34.56,11.5744648934,1216800,0.0,1.0
1999-12-16,34.75,34.75,34.0,34.0,11.3869156937,589600,0.0,1.0
1999-12-17,33.75,34.19,33.56,33.75,11.3031883725,1259500,0.0,1.0
1999-12-20,33.75,34.38,33.75,34.25,11.470643015,685900,0.0,1.0
1999-12-21,34.25,35.13,34.19,35.0,11.7218249789,825000,0.0,1.0
1999-12-22,34.81,34.81,34.56,34.63,11.5979085434,647900,0.0,1.0
1999-12-23,34.88,35.25,34.81,35.13,11.7653631859,175400,0.0,1.0
1999-12-27,35.19,35.38,35.13,35.19,11.785457743,435600,0.0,1.0
1999-12-28,35.13,35.44,35.13,35.13,11.7653631859,506000,0.0,1.0
1999-12-29,35.19,35.19,34.75,34.75,11.6380976576,381800,0.0,1.0
