dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,27.16,27.66,26.97,27.35,13.080482955,530700,0.0,1.0
1999-11-02,27.16,28.09,27.16,27.47,13.1378744707,664900,0.0,1.0
1999-11-03,27.41,27.84,27.22,27.41,13.1091787129,344300,0.0,1.0
1999-11-04,27.41,27.66,27.04,27.1,12.9609172973,255200,0.0,1.0
1999-11-05,27.35,27.9,27.35,27.35,13.080482955,215900,0.0,1.0
1999-11-08,27.28,27.59,27.04,27.47,13.1378744707,332800,0.0,1.0
1999-11-09,27.66,27.66,26.11,26.48,12.6643944662,518300,0.0,1.0
1999-11-10,26.6,27.16,26.42,26.79,12.8126558817,288500,0.0,1.0
1999-11-11,26.6,26.79,26.04,26.35,12.6022203241,468200,0.0,1.0
1999-11-12,25.92,25.92,24.37,25.49,12.1909144616,1655700,0.0,1.0
1999-11-15,25.49,26.29,25.24,26.04,12.4539589086,642200,0.0,1.0
1999-11-16,26.04,26.91,25.86,26.73,12.7839601239,540500,0.0,1.0
1999-11-17,26.73,26.79,25.8,25.86,12.367871635,243000,0.0,1.0
1999-11-18,25.98,26.48,25.42,25.49,12.1909144616,244500,0.0,1.0
1999-11-19,25.05,25.55,24.62,25.55,12.2196102194,400400,0.0,1.0
1999-11-22,25.33,25.33,24.58,24.64,11.8286305187,241600,0.0925,1.0
1999-11-23,24.83,24.83,23.65,23.84,11.4445840733,721600,0.0,1.0
1999-11-24,23.71,23.9,22.9,23.71,11.3821765259,725800,0.0,1.0
1999-11-26,23.9,24.15,23.65,24.02,11.5309945235,297100,0.0,1.0
1999-11-29,23.52,24.64,23.52,24.27,11.6510090377,747600,0.0,1.0
1999-11-30,24.02,24.96,23.9,24.64,11.8286305187,464200,0.0,1.0
1999-12-01,24.21,24.77,23.96,24.33,11.6798125211,418000,0.0,1.0
1999-12-02,24.21,24.46,23.9,23.96,11.5021910401,280600,0.0,1.0
1999-12-03,24.02,24.46,24.02,24.08,11.5597980069,254500,0.0,1.0
1999-12-06,23.96,24.33,23.9,23.9,11.4733875567,314700,0.0,1.0
1999-12-07,23.9,23.96,23.15,23.21,11.1421474975,666900,0.0,1.0
1999-12-08,23.21,23.59,22.9,23.09,11.0845405307,579000,0.0,1.0
1999-12-09,23.03,23.52,23.03,23.4,11.2333585283,452100,0.0,1.0
1999-12-10,23.15,23.4,22.59,22.9,10.9933294999,374400,0.0,1.0
1999-12-13,22.9,23.03,22.78,22.84,10.9645260165,330500,0.0,1.0
1999-12-14,22.84,23.03,22.09,22.28,10.6956935047,576000,0.0,1.0
1999-12-15,22.15,22.59,21.97,22.09,10.6044824739,785800,0.0,1.0
1999-12-16,22.03,22.03,21.22,21.59,10.3644534455,461700,0.0,1.0
1999-12-17,21.35,21.47,20.04,20.47,9.82678842196,1019300,0.0,1.0
1999-12-20,20.47,22.34,20.16,22.22,10.6668900213,871300,0.0,1.0
1999-12-21,21.84,22.15,20.79,21.59,10.3644534455,696300,0.0,1.0
1999-12-22,21.59,22.28,21.16,22.22,10.6668900213,591000,0.0,1.0
1999-12-23,22.34,23.77,22.28,23.03,11.0557370473,678000,0.0,1.0
1999-12-27,22.78,22.96,22.15,22.53,10.8157080189,456300,0.0,1.0
1999-12-28,22.72,23.21,22.53,22.96,11.0221329833,505300,0.0,1.0
1999-12-29,23.15,23.34,22.9,22.96,11.0221329833,374000,0.0,1.0
1999-12-30,22.96,23.4,22.96,23.21,11.1421474975,353700,0.0,1.0
1999-12-31,23.09,23.71,23.03,23.46,11.2621620117,276700,0.0,1.0
2000-01-03,22.96,23.15,20.97,22.28,10.6956935047,440100,0.0,1.0
2000-01-04,21.78,22.15,21.47,21.53,10.3356499621,529100,0.0,1.0
2000-01-05,21.72,22.09,21.22,21.28,10.2156354479,362400,0.0,1.0
2000-01-06,21.53,21.53,20.72,21.03,10.0956209337,491100,0.0,1.0
2000-01-07,21.35,22.28,20.97,22.03,10.5756789905,357000,0.0,1.0
2000-01-10,21.78,22.09,21.72,21.84,10.4844679597,270200,0.0,1.0
2000-01-11,21.78,22.53,21.78,22.47,10.7869045355,478700,0.0,1.0
2000-01-12,22.22,22.4,20.97,21.47,10.3068464787,333100,0.0,1.0
2000-01-13,21.41,21.47,19.91,20.23,9.71157448833,822600,0.0,1.0
2000-01-14,20.66,21.16,20.1,21.16,10.1580284811,759200,0.0,1.0
2000-01-18,21.1,21.47,20.79,20.97,10.0668174503,433200,0.0,1.0
2000-01-19,20.91,21.59,20.85,21.1,10.1292249977,366200,0.0,1.0
2000-01-20,21.22,21.41,20.54,20.6,9.88919596934,268600,0.0,1.0
2000-01-21,20.97,21.03,20.16,20.35,9.76918145514,406600,0.0,1.0
2000-01-24,20.29,20.41,19.79,19.79,9.50034894336,710800,0.0,1.0
2000-01-25,20.16,23.28,20.04,21.16,10.1580284811,1474900,0.0,1.0
2000-01-26,21.03,21.28,20.1,21.16,10.1580284811,877900,0.0,1.0
2000-01-27,21.35,22.28,20.97,21.35,10.2492395119,1049800,0.0,1.0
2000-01-28,21.41,21.66,21.16,21.47,10.3068464787,762300,0.0,1.0
2000-01-31,21.47,21.53,20.79,21.41,10.2780429953,358900,0.0,1.0
2000-02-01,21.22,21.22,20.54,20.91,10.0380139669,788700,0.0,1.0
2000-02-02,20.66,21.53,20.66,21.41,10.2780429953,595900,0.0,1.0
2000-02-03,22.15,22.15,21.16,21.66,10.3980575095,530600,0.0,1.0
2000-02-04,21.84,21.91,21.22,21.53,10.3356499621,445700,0.0,1.0
2000-02-07,21.28,21.35,20.97,21.22,10.1868319645,211900,0.0,1.0
2000-02-08,21.41,21.97,21.22,21.97,10.5468755071,349700,0.0,1.0
2000-02-09,21.53,21.59,21.03,21.41,10.2780429953,494500,0.0,1.0
2000-02-10,21.53,22.09,21.35,21.84,10.4844679597,581700,0.0,1.0
2000-02-11,22.4,22.78,21.78,22.09,10.6044824739,863500,0.0,1.0
2000-02-14,22.72,22.72,21.78,21.91,10.5180720237,366100,0.0,1.0
2000-02-15,21.84,22.22,21.53,21.84,10.4844679597,455800,0.0,1.0
2000-02-16,21.84,21.97,21.41,21.66,10.3980575095,424000,0.0,1.0
2000-02-17,21.59,21.78,21.41,21.66,10.3980575095,426500,0.0,1.0
2000-02-18,22.0,22.12,21.31,21.31,10.2744425599,590400,0.0925,1.0
2000-02-22,20.94,21.25,20.56,21.19,10.2165855394,423700,0.0,1.0
2000-02-23,20.94,22.0,20.94,21.75,10.4865849684,378300,0.0,1.0
2000-02-24,21.81,22.0,20.44,21.94,10.5781919176,508300,0.0,1.0
2000-02-25,21.94,21.94,21.0,21.38,10.3081924885,425700,0.0,1.0
2000-02-28,21.0,21.19,20.62,21.19,10.2165855394,460900,0.0,1.0
2000-02-29,21.19,21.62,20.94,21.19,10.2165855394,312200,0.0,1.0
2000-03-01,21.25,21.25,20.87,21.06,10.1539071005,273400,0.0,1.0
2000-03-02,21.25,21.38,20.62,21.13,10.1876570291,1622000,0.0,1.0
2000-03-03,20.75,21.81,20.69,21.0,10.1249785902,418000,0.0,1.0
2000-03-06,20.75,21.25,20.44,21.06,10.1539071005,374300,0.0,1.0
2000-03-07,20.81,21.38,20.62,20.81,10.0333716411,507800,0.0,1.0
2000-03-08,20.56,21.0,20.38,20.94,10.09605008,328200,0.0,1.0
2000-03-09,21.0,21.94,20.81,21.44,10.3371209988,553100,0.0,1.0
2000-03-10,21.13,22.12,21.06,22.06,10.6360489381,361800,0.0,1.0
2000-03-13,21.56,22.06,21.38,22.0,10.6071204279,548600,0.0,1.0
2000-03-14,21.75,22.0,21.5,21.56,10.3949780193,309900,0.0,1.0
2000-03-15,21.31,22.25,21.13,22.19,10.698727377,505400,0.0,1.0
2000-03-16,22.88,24.38,22.63,24.31,11.7208680728,644800,0.0,1.0
2000-03-17,22.0,24.19,22.0,24.0,11.5714041031,873600,0.0,1.0
2000-03-20,23.75,23.87,22.19,22.75,10.9687268061,446600,0.0,1.0
2000-03-21,23.0,23.06,22.25,22.88,11.031405245,334700,0.0,1.0
2000-03-22,23.31,23.31,22.25,23.12,11.147119286,395600,0.0,1.0
2000-03-23,22.88,24.06,22.56,24.0,11.5714041031,447600,0.0,1.0
2000-03-24,24.0,24.38,23.69,24.25,11.6919395625,485100,0.0,1.0
2000-03-27,24.25,24.94,24.25,24.75,11.9330104813,387300,0.0,1.0
2000-03-28,25.0,25.5,24.94,24.94,12.0246174305,421900,0.0,1.0
2000-03-29,24.69,25.0,24.0,24.25,11.6919395625,567900,0.0,1.0
2000-03-30,24.25,24.88,24.19,24.69,11.9040819711,352800,0.0,1.0
2000-03-31,25.0,25.44,24.56,25.25,12.1740814001,405200,0.0,1.0
2000-04-03,25.31,26.0,25.0,26.0,12.5356877784,455700,0.0,1.0
2000-04-04,25.88,26.5,25.5,25.75,12.415152319,470200,0.0,1.0
2000-04-05,25.88,26.25,25.19,25.94,12.5067592681,337300,0.0,1.0
2000-04-06,25.69,27.19,25.69,27.06,13.0467581263,359300,0.0,1.0
2000-04-07,27.25,29.69,26.25,28.31,13.6494354233,593200,0.0,1.0
2000-04-10,28.12,28.12,27.44,27.69,13.350507484,219800,0.0,1.0
2000-04-11,27.56,28.69,27.13,28.06,13.5288999639,316100,0.0,1.0
2000-04-12,28.06,29.25,27.19,28.63,13.8037208113,409200,0.0,1.0
2000-04-13,28.5,28.5,26.81,27.06,13.0467581263,475400,0.0,1.0
2000-04-14,27.13,27.13,25.5,26.44,12.7478301869,751700,0.0,1.0
2000-04-17,26.19,26.38,25.75,25.94,12.5067592681,920100,0.0,1.0
2000-04-18,25.94,26.06,25.31,25.5,12.2946168596,1130700,0.0,1.0
2000-04-19,25.5,25.63,24.69,24.69,11.9040819711,804000,0.0,1.0
2000-04-20,24.81,25.75,24.75,25.56,12.3235453698,479000,0.0,1.0
2000-04-24,25.31,25.94,25.12,25.31,12.2030099104,331300,0.0,1.0
2000-04-25,25.44,26.87,25.19,26.44,12.7478301869,525500,0.0,1.0
2000-04-26,26.19,26.25,25.06,25.12,12.1114029613,547900,0.0,1.0
2000-04-27,24.94,25.0,24.0,24.75,11.9330104813,468800,0.0,1.0
2000-04-28,24.75,24.75,24.38,24.38,11.7546180014,272600,0.0,1.0
2000-05-01,24.44,25.37,24.44,25.0,12.0535459407,433100,0.0,1.0
