dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,29.63,29.63,28.88,28.94,15.4322916952,1368700,0.0,1.0
1999-11-02,28.94,29.19,28.31,28.94,15.4322916952,925500,0.0,1.0
1999-11-03,28.81,28.81,28.31,28.5,15.1976611373,899900,0.0,1.0
1999-11-04,28.75,29.06,28.44,28.75,15.3309739543,998000,0.0,1.0
1999-11-05,28.94,29.13,28.75,28.81,15.3629690304,853400,0.0,1.0
1999-11-08,28.38,28.69,28.38,28.5,15.1976611373,506500,0.0,1.0
1999-11-09,28.31,28.5,28.0,28.5,15.1976611373,687500,0.0,1.0
1999-11-10,28.25,28.38,27.69,27.81,14.8297177624,772700,0.0,1.0
1999-11-11,27.88,28.38,27.88,28.31,15.0963433964,981000,0.0,1.0
1999-11-12,28.5,28.5,28.19,28.5,15.1976611373,357300,0.0,1.0
1999-11-15,28.31,28.44,28.06,28.19,15.0323532442,356100,0.0,1.0
1999-11-16,28.31,28.5,27.81,27.94,14.8990404272,1038900,0.0,1.0
1999-11-17,27.94,27.94,27.44,27.69,14.7657276102,726600,0.0,1.0
1999-11-18,27.63,27.75,27.19,27.38,14.6004197172,451500,0.0,1.0
1999-11-19,27.25,27.38,26.94,27.0,14.3977842353,664900,0.0,1.0
1999-11-22,27.0,27.13,26.31,26.59,14.1791512155,563100,0.0,1.0
1999-11-23,26.5,26.5,25.75,26.25,13.9978457844,700700,0.0,1.0
1999-11-24,26.44,26.94,26.38,26.94,14.3657891593,818400,0.0,1.0
1999-11-26,26.69,26.81,26.44,26.44,14.0991635253,208300,0.0,1.0
1999-11-29,26.31,26.5,25.75,25.88,13.8005428152,523600,0.0,1.0
1999-11-30,25.5,26.81,25.5,26.5,14.1311586013,912900,0.0,1.0
1999-12-01,26.5,26.75,26.38,26.38,14.0671684492,440000,0.0,1.0
1999-12-02,26.19,27.0,26.19,26.94,14.3657891593,694700,0.0,1.0
1999-12-03,27.06,27.25,26.88,27.06,14.4297793114,1179100,0.0,1.0
1999-12-06,26.94,27.0,25.75,26.06,13.8965280434,535700,0.0,1.0
1999-12-07,26.0,26.19,25.25,25.31,13.4965895925,821800,0.0,1.0
1999-12-08,25.5,25.63,24.94,25.06,13.3632767755,673800,0.0,1.0
1999-12-09,25.19,25.5,24.75,24.75,13.1979688824,785500,0.0,1.0
1999-12-10,24.75,24.94,24.5,24.5,13.0646560654,529900,0.0,1.0
1999-12-13,24.56,24.56,24.19,24.25,12.9313432484,789400,0.0,1.0
1999-12-14,24.31,24.88,24.25,24.44,13.0326609893,542800,0.0,1.0
1999-12-15,24.5,25.25,24.25,25.25,13.4645945164,832400,0.0,1.0
1999-12-16,25.38,25.38,25.06,25.13,13.4006043642,1007700,0.0,1.0
1999-12-17,25.75,25.75,25.25,25.31,13.4965895925,1088400,0.0,1.0
1999-12-20,25.44,25.75,25.25,25.75,13.7312201504,736000,0.0,1.0
1999-12-21,25.5,26.56,25.5,26.19,13.9658507083,979000,0.0,1.0
