dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,46.69,46.88,45.63,45.88,17.2760471191,458400,0.0,1.0
1999-11-02,46.63,46.63,45.69,46.0,17.3212329441,473500,0.0,1.0
1999-11-03,45.75,45.88,45.44,45.63,17.1819099835,179300,0.0,1.0
1999-11-04,45.5,45.88,44.75,45.19,17.0162286249,318300,0.0,1.0
1999-11-05,45.63,46.0,44.94,45.25,17.0388215375,248800,0.0,1.0
1999-11-08,45.38,45.38,44.0,44.44,16.7338172182,345000,0.0,1.0
1999-11-09,44.44,44.69,43.5,43.75,16.4739987241,699200,0.0,1.0
1999-11-10,44.0,44.0,42.81,42.94,16.1689944048,813100,0.0,1.0
1999-11-11,43.0,44.5,42.75,44.44,16.7338172182,466100,0.0,1.0
1999-11-12,44.5,45.06,43.38,43.38,16.3346757634,365700,0.0,1.0
1999-11-15,43.63,43.94,42.44,42.63,16.0522643567,986000,0.0,1.0
1999-11-16,42.63,42.75,41.25,41.81,15.7434945521,816000,0.0,1.0
1999-11-17,41.94,42.0,41.06,41.56,15.6493574165,511900,0.0,1.0
1999-11-18,41.56,42.25,41.5,42.06,15.8376316876,924000,0.0,1.0
1999-11-19,42.88,43.13,41.5,43.13,16.2405386279,963600,0.0,1.0
1999-11-22,43.0,43.5,42.75,43.44,16.357268676,573500,0.0,1.0
1999-11-23,43.56,44.31,43.06,44.0,16.5681358596,399700,0.0,1.0
1999-11-24,44.19,45.38,44.13,44.25,16.6622729952,495400,0.0,1.0
1999-11-26,44.56,44.69,43.75,44.06,16.5907287722,112700,0.0,1.0
1999-11-29,44.69,45.13,43.75,44.0,16.5681358596,456400,0.0,1.0
1999-11-30,44.19,44.31,42.19,42.19,15.8865829981,516100,0.0,1.0
1999-12-01,42.63,43.13,41.81,42.13,15.8639900856,473300,0.0,1.0
1999-12-02,42.06,42.75,41.63,42.56,16.0259059588,658000,0.0,1.0
1999-12-03,42.94,42.94,42.25,42.31,15.9317688232,350900,0.0,1.0
1999-12-06,42.06,42.75,40.25,41.25,15.5326273684,534000,0.0,1.0
1999-12-07,41.38,41.44,40.63,40.94,15.4158973203,556400,0.0,1.0
1999-12-08,41.0,41.63,40.75,41.0,15.4384902328,446500,0.0,1.0
1999-12-09,41.0,41.88,40.75,41.19,15.5100344559,268300,0.0,1.0
1999-12-10,41.0,42.44,40.88,41.0,15.4384902328,329900,0.0,1.0
1999-12-13,41.19,41.81,40.75,40.88,15.3933044078,303100,0.0,1.0
1999-12-14,41.63,42.75,41.56,42.25,15.9280033378,584700,0.05,1.0
1999-12-15,42.5,44.44,42.5,43.56,16.4218656898,638100,0.0,1.0
1999-12-16,44.5,44.69,44.0,44.63,16.825249443,480200,0.0,1.0
1999-12-17,44.88,45.75,44.62,45.31,17.081605473,382300,0.0,1.0
1999-12-20,45.31,45.31,43.19,44.94,16.9421176331,325300,0.0,1.0
1999-12-21,45.0,46.13,44.56,46.0,17.3417314447,419900,0.0,1.0
1999-12-22,45.88,47.5,44.88,47.31,17.8355937967,505100,0.0,1.0
1999-12-23,47.63,49.19,47.13,49.0,18.4727139302,611600,0.0,1.0
1999-12-27,49.25,49.31,47.81,48.5,18.2842168493,322100,0.0,1.0
1999-12-28,49.0,50.31,48.69,50.06,18.8723277417,325000,0.0,1.0
1999-12-29,50.0,50.25,48.81,49.13,18.5217231712,250800,0.0,1.0
1999-12-30,49.25,51.44,49.25,51.13,19.2757114949,283300,0.0,1.0
1999-12-31,51.06,51.06,50.25,50.44,19.0155855232,187400,0.0,1.0
2000-01-03,50.44,51.25,48.56,49.56,18.6838306608,809500,0.0,1.0
2000-01-04,49.25,49.25,48.5,48.69,18.35584574,483000,0.0,1.0
2000-01-05,48.5,48.63,47.25,47.44,17.8846030377,476100,0.0,1.0
2000-01-06,47.0,48.56,46.94,48.44,18.2615971996,462700,0.0,1.0
2000-01-07,48.69,50.19,48.5,50.13,18.8987173331,381900,0.0,1.0
2000-01-10,51.25,51.88,50.63,51.75,19.5094478753,378600,0.0,1.0
2000-01-11,51.0,51.19,49.13,50.44,19.0155855232,546100,0.0,1.0
2000-01-12,50.44,51.13,49.38,50.19,18.9213369828,595200,0.0,1.0
2000-01-13,50.19,50.94,49.75,50.38,18.9929658735,433400,0.0,1.0
2000-01-14,50.38,52.69,50.38,52.69,19.8638223874,711300,0.0,1.0
2000-01-18,52.0,54.0,51.63,53.19,20.0523194683,782200,0.0,1.0
2000-01-19,53.19,54.0,52.13,53.69,20.2408165492,446500,0.0,1.0
2000-01-20,53.75,54.13,53.06,53.69,20.2408165492,522100,0.0,1.0
2000-01-21,53.44,55.5,52.88,53.5,20.1691876585,579800,0.0,1.0
2000-01-24,54.13,55.88,53.56,54.0,20.3576847394,841300,0.0,1.0
2000-01-25,54.25,55.38,53.19,54.13,20.4066939804,398200,0.0,1.0
2000-01-26,54.0,55.63,53.5,55.25,20.8289274417,476800,0.0,1.0
2000-01-27,55.0,55.19,51.63,53.19,20.0523194683,569100,0.0,1.0
2000-01-28,53.06,53.13,51.44,51.94,19.581076766,672100,0.0,1.0
2000-01-31,51.0,51.94,49.5,51.13,19.2757114949,1196700,0.0,1.0
2000-02-01,51.75,51.94,50.75,51.75,19.5094478753,729400,0.0,1.0
2000-02-02,51.75,53.88,50.69,51.44,19.3925796851,549100,0.0,1.0
2000-02-03,51.5,53.13,51.44,51.81,19.532067525,334800,0.0,1.0
2000-02-04,51.88,51.94,50.75,50.81,19.1550733631,130600,0.0,1.0
2000-02-07,50.88,50.88,49.19,50.38,18.9929658735,407700,0.0,1.0
2000-02-08,50.0,50.06,49.0,50.0,18.849708092,691000,0.0,1.0
2000-02-09,51.0,51.0,48.25,50.44,19.0155855232,456700,0.0,1.0
2000-02-10,50.0,50.31,49.0,49.88,18.8044687926,855300,0.0,1.0
2000-02-11,50.0,50.13,49.06,49.75,18.7554595516,658800,0.0,1.0
2000-02-14,49.88,49.88,48.69,49.38,18.6159717117,234100,0.0,1.0
2000-02-15,49.13,50.31,48.75,49.94,18.8270884423,307400,0.0,1.0
2000-02-16,50.5,51.38,49.44,49.94,18.8270884423,200900,0.0,1.0
2000-02-17,50.13,51.44,49.88,51.0,19.2267022539,352400,0.0,1.0
2000-02-18,51.06,51.38,50.88,51.13,19.2757114949,359100,0.0,1.0
2000-02-22,50.88,51.63,49.88,51.63,19.4642085758,270500,0.0,1.0
2000-02-23,51.63,51.63,50.63,51.0,19.2267022539,253300,0.0,1.0
2000-02-24,51.38,51.38,46.81,48.38,18.2389775499,465400,0.0,1.0
2000-02-25,47.88,47.88,46.06,46.44,17.5076088759,294400,0.0,1.0
2000-02-28,46.19,47.0,41.5,45.94,17.319111795,1222100,0.0,1.0
2000-02-29,46.25,46.56,42.56,43.38,16.3540067407,905500,0.0,1.0
2000-03-01,45.0,45.5,44.25,45.0,16.9647372828,1051700,0.0,1.0
2000-03-02,44.75,46.0,44.31,44.56,16.7988598516,618900,0.0,1.0
2000-03-03,45.13,46.06,44.94,45.75,17.2474829042,391500,0.0,1.0
2000-03-06,46.0,46.38,44.75,45.06,16.9873569325,495500,0.0,1.0
2000-03-07,42.63,42.63,38.13,41.25,15.5510091759,1646000,0.0,1.0
2000-03-08,41.75,42.25,40.0,42.13,15.8827640384,1300300,0.0,1.0
2000-03-09,42.31,43.13,41.25,43.0,16.2107489592,352300,0.0,1.0
2000-03-10,44.25,44.25,39.75,40.0,15.0797664736,1089800,0.0,1.0
2000-03-13,39.5,41.0,39.13,40.25,15.1740150141,647400,0.0,1.0
2000-03-14,40.69,41.63,40.06,40.56,15.3097329124,658800,0.05,1.0
2000-03-15,40.63,45.06,40.06,45.0,16.9856504205,676000,0.0,1.0
2000-03-16,45.0,47.94,42.88,47.19,17.8122854076,665500,0.0,1.0
2000-03-17,47.19,47.19,44.0,44.94,16.9630028866,439300,0.0,1.0
2000-03-20,44.25,45.63,43.06,44.63,16.8459906282,661200,0.0,1.0
2000-03-21,46.38,46.63,45.63,46.5,17.5518387679,566700,0.0,1.0
2000-03-22,46.88,48.88,46.56,48.5,18.3067565643,1125600,0.0,1.0
2000-03-23,48.5,50.63,47.88,50.38,19.016379293,754500,0.0,1.0
2000-03-24,50.44,50.75,46.88,48.5,18.3067565643,480900,0.0,1.0
2000-03-27,48.5,48.5,44.56,45.75,17.2687445942,734400,0.0,1.0
2000-03-28,45.75,48.69,43.56,48.5,18.3067565643,1366000,0.0,1.0
2000-03-29,48.5,49.13,47.94,49.0,18.4954860134,1077200,0.0,1.0
2000-03-30,49.0,51.06,49.0,50.5,19.0616743608,894200,0.0,1.0
2000-03-31,52.38,53.25,50.0,50.06,18.8955924456,1222800,0.0,1.0
2000-04-03,50.06,52.38,50.06,50.69,19.1333915515,495900,0.0,1.0
2000-04-04,50.5,52.31,49.19,50.69,19.1333915515,796300,0.0,1.0
2000-04-05,50.81,53.81,50.81,52.75,19.9109568818,1042000,0.0,1.0
2000-04-06,52.56,52.81,51.0,52.63,19.865661814,982300,0.0,1.0
2000-04-07,53.0,53.5,52.31,53.31,20.1223338648,481700,0.0,1.0
2000-04-10,53.5,54.31,53.0,53.69,20.2657682462,452800,0.0,1.0
2000-04-11,53.69,53.69,51.0,51.38,19.3938381912,1208500,0.0,1.0
2000-04-12,51.63,52.38,48.81,51.31,19.3674160684,1235300,0.0,1.0
2000-04-13,50.56,53.06,50.25,51.94,19.6052151743,667900,0.0,1.0
2000-04-14,50.0,50.0,47.0,47.0,17.740568217,906900,0.0,1.0
2000-04-17,46.63,48.38,45.94,48.38,18.2614614965,1690300,0.0,1.0
2000-04-18,48.31,48.38,46.25,47.0,17.740568217,718600,0.0,1.0
2000-04-19,46.5,46.75,46.0,46.38,17.5065437001,650400,0.0,1.0
2000-04-20,46.5,47.06,46.38,46.63,17.6009084246,194400,0.0,1.0
2000-04-24,46.0,46.25,45.06,45.63,17.2234495264,466300,0.0,1.0
2000-04-25,45.56,45.56,43.25,43.69,16.4911792638,1152000,0.0,1.0
2000-04-26,43.88,43.88,42.19,42.19,15.9249909165,1329000,0.0,1.0
2000-04-27,42.19,43.25,41.31,42.44,16.019355641,1084500,0.0,1.0
2000-04-28,42.56,44.25,41.81,44.19,16.6799087129,697300,0.0,1.0
2000-05-01,44.0,44.75,43.19,43.5,16.4194620732,414900,0.0,1.0
2000-05-02,43.56,45.38,43.38,44.38,16.7516259036,691800,0.0,1.0
2000-05-03,44.75,45.44,43.31,43.38,16.3741670054,678900,0.0,1.0
2000-05-04,43.5,43.56,42.56,43.06,16.2533801579,560900,0.0,1.0
2000-05-05,42.88,43.38,41.13,43.06,16.2533801579,724600,0.0,1.0
2000-05-08,42.5,43.13,42.5,42.81,16.1590154334,277600,0.0,1.0
2000-05-09,42.75,43.56,42.19,43.06,16.2533801579,838600,0.0,1.0
2000-05-10,43.25,45.69,43.19,44.5,16.7969209714,665900,0.0,1.0
2000-05-11,44.5,46.63,44.5,46.0,17.3631093187,589200,0.0,1.0
2000-05-12,45.88,46.13,44.94,45.94,17.3404617848,419100,0.0,1.0
2000-05-15,45.88,46.19,45.13,46.0,17.3631093187,480100,0.0,1.0
2000-05-16,46.19,47.75,45.56,47.56,17.9519452,392400,0.0,1.0
2000-05-17,47.75,48.44,46.94,48.25,18.2123918398,532600,0.0,1.0
2000-05-18,48.63,49.88,48.63,49.56,18.7068629965,599400,0.0,1.0
2000-05-19,48.0,48.0,45.06,45.69,17.2460970603,956300,0.0,1.0
2000-05-22,45.81,46.19,44.5,45.13,17.0347200773,602400,0.0,1.0
2000-05-23,44.88,44.88,42.56,42.63,16.0910728317,839900,0.0,1.0
2000-05-24,42.63,43.19,42.44,42.56,16.0646507088,742400,0.0,1.0
2000-05-25,44.38,45.44,42.69,43.75,16.5138267977,1349900,0.0,1.0
2000-05-26,43.0,44.56,43.0,44.25,16.7025562468,4857200,0.0,1.0
2000-05-30,44.0,45.19,43.06,45.06,17.0082979544,1136500,0.0,1.0
2000-05-31,45.31,45.31,44.38,44.81,16.9139332298,1344600,0.0,1.0
2000-06-01,44.69,46.0,44.69,45.69,17.2460970603,672100,0.0,1.0
2000-06-02,47.13,47.75,46.06,47.31,17.8575804754,1218300,0.0,1.0
2000-06-05,47.25,47.31,46.5,46.81,17.6688510263,1167800,0.0,1.0
2000-06-06,46.81,46.81,45.88,46.25,17.4574740433,1095700,0.0,1.0
2000-06-07,46.25,46.31,45.25,45.44,17.1517323357,633100,0.0,1.0
2000-06-08,45.44,45.75,44.56,45.75,17.2687445942,510900,0.0,1.0
2000-06-09,45.56,46.75,45.56,46.56,17.5744863018,486900,0.0,1.0
2000-06-12,47.06,47.81,47.0,47.31,17.8575804754,1049700,0.0,1.0
2000-06-13,47.31,47.38,46.69,46.88,17.6952731492,388500,0.0,1.0
2000-06-14,46.94,47.31,46.75,47.0,17.7594411619,528100,0.05,1.0
2000-06-15,47.75,47.75,46.31,46.94,17.7367695349,634500,0.0,1.0
2000-06-16,46.81,47.06,46.63,46.88,17.7140979079,299100,0.0,1.0
2000-06-19,46.81,46.81,45.25,45.75,17.2871155991,370300,0.0,1.0
2000-06-20,45.25,45.31,44.0,44.94,16.9810486344,326100,0.0,1.0
2000-06-21,44.81,45.75,44.81,45.19,17.0755137469,396500,0.0,1.0
2000-06-22,45.38,45.5,44.5,44.5,16.8147900363,364700,0.0,1.0
2000-06-23,44.63,46.81,44.47,45.88,17.3362374576,422400,0.0,1.0
2000-06-26,45.81,45.81,44.75,45.38,17.1473072325,372100,0.0,1.0
2000-06-27,45.31,48.25,45.13,47.81,18.0655081266,861000,0.0,1.0
2000-06-28,47.88,48.19,47.0,48.13,18.1864234707,370900,0.0,1.0
2000-06-29,48.0,49.0,47.44,48.38,18.2808885832,311600,0.0,1.0
2000-06-30,48.63,49.75,48.5,49.42,18.6738634515,920300,0.0,1.0
2000-07-03,49.31,49.31,48.56,49.25,18.609627175,253800,0.0,1.0
2000-07-05,49.75,49.75,48.31,49.0,18.5151620624,567100,0.0,1.0
2000-07-06,49.0,49.0,47.5,47.88,18.0919583581,340500,0.0,1.0
2000-07-07,47.5,48.06,47.44,48.06,18.1599732392,321300,0.0,1.0
2000-07-10,47.75,47.75,46.38,47.44,17.92569976,346600,0.0,1.0
2000-07-11,47.25,47.25,46.31,46.75,17.6649760493,865800,0.0,1.0
2000-07-12,46.75,46.75,44.63,45.06,17.0263918884,843000,0.0,1.0
2000-07-13,45.06,45.06,43.0,44.19,16.6976532967,1451100,0.0,1.0
2000-07-14,44.44,45.44,44.44,44.88,16.9583770074,936900,0.0,1.0
2000-07-17,44.81,45.38,43.25,43.94,16.6031881841,782300,0.0,1.0
2000-07-18,43.94,45.13,43.88,44.75,16.9092551488,476700,0.0,1.0
2000-07-19,44.5,44.75,44.13,44.63,16.8639118948,351300,0.0,1.0
2000-07-20,44.56,44.94,43.0,44.44,16.7921184092,498700,0.0,1.0
2000-07-21,44.38,45.5,44.38,44.88,16.9583770074,533900,0.0,1.0
2000-07-24,44.63,44.88,44.31,44.88,16.9583770074,168400,0.0,1.0
2000-07-25,45.06,46.0,45.06,45.69,17.2644439721,404400,0.0,1.0
2000-07-26,45.81,45.94,45.31,45.88,17.3362374576,274100,0.0,1.0
2000-07-27,45.81,45.88,44.63,44.94,16.9810486344,161200,0.0,1.0
2000-07-28,45.0,45.25,44.19,44.63,16.8639118948,206500,0.0,1.0
2000-07-31,44.63,44.63,43.06,44.0,16.6258598111,432800,0.0,1.0
2000-08-01,44.0,44.75,43.75,44.75,16.9092551488,510000,0.0,1.0
2000-08-02,45.25,45.94,45.13,45.5,17.1926504865,399100,0.0,1.0
2000-08-03,45.56,45.56,44.63,45.31,17.120857001,391200,0.0,1.0
2000-08-04,45.38,45.38,44.69,45.0,17.0037202614,328400,0.0,1.0
2000-08-07,45.06,45.06,43.75,43.75,16.5313946986,240700,0.0,1.0
2000-08-08,43.75,44.25,43.38,43.88,16.5805165571,451700,0.0,1.0
2000-08-09,44.13,45.94,44.13,44.56,16.8374616633,938100,0.0,1.0
2000-08-10,44.88,45.75,44.75,44.94,16.9810486344,876500,0.0,1.0
2000-08-11,45.44,45.44,44.75,45.13,17.0528421199,508800,0.0,1.0
2000-08-14,45.63,46.38,45.63,46.0,17.3815807116,412200,0.0,1.0
2000-08-15,46.19,46.94,44.81,45.06,17.0263918884,410700,0.0,1.0
