dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,57.06,57.81,55.56,55.75,14.9386986463,918300,0.0,1.0
1999-11-04,56.25,58.38,56.0,57.63,15.4424610401,1109700,0.0,1.0
1999-11-05,58.5,58.63,57.06,57.13,15.3084816801,723300,0.0,1.0
1999-11-08,57.13,57.63,56.38,57.0,15.2736470465,587600,0.0,1.0
1999-11-09,57.0,57.88,56.81,57.88,15.5094507202,667100,0.0,1.0
1999-11-10,57.13,57.88,56.13,56.69,15.1905798432,746200,0.0,1.0
1999-11-11,56.44,58.31,56.44,58.25,15.6085954466,870700,0.0,1.0
1999-11-12,58.0,58.25,56.25,56.69,15.1905798432,1402200,0.0,1.0
1999-11-15,57.5,57.5,56.0,56.31,15.0887555296,1154100,0.0,1.0
1999-11-16,56.56,58.31,56.56,58.13,15.5764404002,1078300,0.0,1.0
1999-11-17,57.5,58.38,57.44,57.75,15.5705453083,676200,0.358,1.0
1999-11-18,57.0,58.13,56.75,58.13,15.6730008446,1127600,0.0,1.0
1999-11-19,57.88,58.75,57.5,58.38,15.7404058026,883000,0.0,1.0
1999-11-22,57.75,58.0,56.56,56.94,15.3521532443,628700,0.0,1.0
1999-11-23,57.0,57.38,56.81,57.13,15.4033810124,923000,0.0,1.0
1999-11-24,57.06,57.25,56.63,56.75,15.3009254762,998200,0.0,1.0
1999-11-26,56.0,56.69,55.88,56.44,15.2173433282,326400,0.0,1.0
1999-11-29,56.0,56.69,55.25,56.56,15.2496977081,859000,0.0,1.0
1999-11-30,55.88,57.75,55.88,57.0,15.3683304342,1296200,0.0,1.0
1999-12-01,57.06,57.5,56.81,57.16,15.4114696074,938100,0.0,1.0
1999-12-02,58.0,58.0,57.0,57.0,15.3683304342,983900,0.0,1.0
1999-12-03,57.0,58.94,57.0,57.81,15.5867224983,1178500,0.0,1.0
1999-12-06,57.56,58.0,57.0,57.13,15.4033810124,918500,0.0,1.0
1999-12-07,57.25,57.44,55.56,55.75,15.031305644,1132500,0.0,1.0
1999-12-08,55.94,56.38,55.06,55.06,14.8452679598,922300,0.0,1.0
1999-12-09,55.13,55.44,53.81,53.88,14.5271165578,977100,0.0,1.0
1999-12-10,54.13,54.5,53.25,53.56,14.4408382115,764000,0.0,1.0
1999-12-13,53.63,54.06,53.06,53.56,14.4408382115,883100,0.0,1.0
1999-12-14,53.81,54.94,53.5,54.81,14.7778630017,1538900,0.0,1.0
1999-12-15,56.0,58.63,56.0,58.0,15.6379502664,1389600,0.0,1.0
1999-12-16,58.75,60.0,57.69,59.31,15.9911522465,1123300,0.0,1.0
