dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-08-15,12.16,12.38,12.0,12.12,313.749658858,1548800,0.0,1.0
2000-08-16,12.06,13.06,12.06,12.38,320.480262101,1347200,0.0,1.0
2000-08-17,12.25,12.5,11.94,12.0,310.643226593,1510400,0.0,1.0
2000-08-18,12.53,14.38,12.38,14.31,370.442047712,1932800,0.0,1.0
2000-08-21,15.06,16.25,13.94,15.19,393.222550995,2128000,0.0,1.0
2000-08-22,15.38,15.69,13.5,13.5,349.473629917,1081600,0.0,1.0
2000-08-23,13.56,13.75,12.75,13.0,336.530162142,572800,0.0,1.0
2000-08-24,12.94,13.06,12.06,12.06,312.196442725,588800,0.0,1.0
2000-08-25,12.56,12.94,12.12,12.88,333.423729876,643200,0.0,1.0
2000-08-28,13.41,13.55,12.5,13.12,339.636594408,620800,0.0,1.0
2000-08-29,13.44,13.5,12.62,13.38,346.367197651,726400,0.0,1.0
2000-08-30,13.34,14.69,13.25,14.19,367.335615446,633600,0.0,1.0
2000-08-31,15.06,16.5,14.88,16.19,419.109486544,2793600,0.0,1.0
2000-09-01,16.12,16.25,15.0,15.75,407.719234903,886400,0.0,1.0
2000-09-05,15.81,16.25,15.5,15.56,402.800717148,736000,0.0,1.0
2000-09-06,16.12,16.25,15.25,15.5,401.247501015,656000,0.0,1.0
2000-09-07,16.0,16.0,13.38,14.38,372.2541332,764800,0.0,1.0
2000-09-08,14.27,14.5,13.75,14.0,362.417097691,508800,0.0,1.0
2000-09-11,13.81,14.0,13.5,13.88,359.310665425,1104000,0.0,1.0
2000-09-12,13.59,13.81,12.88,13.0,336.530162142,1081600,0.0,1.0
2000-09-13,12.75,13.12,12.38,12.5,323.586694367,329600,0.0,1.0
2000-09-14,13.88,13.88,12.5,12.69,328.505212122,259200,0.0,1.0
2000-09-15,12.56,13.0,12.5,12.56,325.1399105,115200,0.0,1.0
2000-09-18,13.12,13.25,11.94,12.06,312.196442725,595200,0.0,1.0
2000-09-19,13.09,13.12,10.75,11.25,291.228024931,1536000,0.0,1.0
2000-09-20,11.5,11.56,9.75,10.38,268.706391003,771200,0.0,1.0
2000-09-21,10.31,10.75,10.19,10.62,274.919255534,806400,0.0,1.0
2000-09-22,9.59,10.81,9.44,10.56,273.366039401,268800,0.0,1.0
2000-09-25,10.62,10.81,9.38,9.44,244.372671586,672000,0.0,1.0
2000-09-26,9.88,9.94,9.0,9.25,239.454153832,627200,0.0,1.0
2000-09-27,9.41,9.44,8.62,9.34,241.783978031,534400,0.0,1.0
2000-09-28,9.25,10.75,9.12,10.0,258.869355494,704000,0.0,1.0
2000-09-29,10.09,10.12,8.72,8.88,229.875987678,611200,0.0,1.0
2000-10-02,9.38,9.41,8.38,8.5,220.03895217,217600,0.0,1.0
2000-10-03,8.59,8.88,7.75,7.94,205.542268262,323200,0.0,1.0
2000-10-04,8.0,8.06,6.75,7.12,184.314981112,467200,0.0,1.0
2000-10-05,6.94,8.12,6.5,6.56,169.818297204,483200,0.0,1.0
2000-10-06,6.95,7.0,5.94,6.09,157.651437496,364800,0.0,1.0
2000-10-09,6.56,6.69,5.78,6.19,160.240131051,339200,0.0,1.0
2000-10-10,6.31,6.38,5.5,5.69,147.296663276,422400,0.0,1.0
2000-10-11,5.25,5.75,4.06,4.12,106.654174463,1356800,0.0,1.0
2000-10-12,5.09,5.25,4.5,5.19,134.353195501,1190400,0.0,1.0
2000-10-13,5.69,7.88,5.53,7.56,195.705232753,1369600,0.0,1.0
2000-10-16,8.12,8.19,7.38,8.12,210.201916661,1232000,0.0,1.0
2000-10-17,8.5,8.56,7.62,7.81,202.176966641,352000,0.0,1.0
2000-10-18,7.75,8.38,5.94,8.06,208.648700528,617600,0.0,1.0
2000-10-19,8.5,9.31,6.75,6.91,178.878724646,828800,0.0,1.0
2000-10-20,7.5,7.5,7.0,7.31,189.233498866,694400,0.0,1.0
2000-10-23,7.38,8.41,7.12,8.25,213.567218282,569600,0.0,1.0
