dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,42.75,42.94,42.5,42.56,7.0033849631,103900,0.0,1.0
1999-11-04,42.5,42.63,42.06,42.06,6.92110835404,79900,0.0,1.0
1999-11-05,42.31,42.5,41.63,41.81,6.87997004951,104600,0.0,1.0
1999-11-08,41.88,42.0,41.38,41.63,6.85035047025,148000,0.0,1.0
1999-11-09,41.63,42.25,41.63,41.75,6.87009685642,168500,0.0,1.0
1999-11-10,41.63,42.0,41.56,41.69,6.86022366334,197800,0.0,1.0
1999-11-11,41.69,41.75,41.25,41.31,6.79769344045,112800,0.0,1.0
1999-11-12,41.5,41.5,40.69,41.19,6.77794705428,213400,0.0,1.0
1999-11-15,40.75,40.94,40.38,40.69,6.69567044522,351700,0.0,1.0
1999-11-16,40.63,40.75,40.38,40.44,6.65453214069,222000,0.0,1.0
1999-11-17,40.56,40.81,40.5,40.5,6.66440533378,254600,0.0,1.0
1999-11-18,40.5,40.69,40.19,40.19,6.61339383616,197000,0.0,1.0
1999-11-19,40.38,40.38,39.75,39.75,6.54099042019,389700,0.0,1.0
1999-11-22,40.0,40.25,39.75,39.88,6.56238233854,316100,0.0,1.0
1999-11-23,39.88,40.06,39.56,39.75,6.54099042019,315700,0.0,1.0
1999-11-24,39.75,39.75,39.38,39.56,6.50972530875,236100,0.0,1.0
1999-11-26,39.63,39.94,39.56,39.75,6.54099042019,68300,0.0,1.0
1999-11-29,39.94,40.0,39.88,39.94,6.57225553163,129200,0.0,1.0
1999-11-30,40.0,40.19,39.88,40.19,6.61339383616,211800,0.0,1.0
1999-12-01,40.0,41.13,40.0,40.88,6.72693555666,283400,0.0,1.0
1999-12-02,40.63,41.0,40.5,40.5,6.66440533378,178100,0.0,1.0
1999-12-03,40.63,40.94,40.5,40.75,6.70554363831,214300,0.0,1.0
1999-12-06,40.75,41.13,40.69,40.94,6.73680874975,157600,0.0,1.0
1999-12-07,40.75,40.94,40.75,40.81,6.71541683139,146400,0.0,1.0
1999-12-08,41.06,41.06,40.5,40.5,6.66440533378,321800,0.0,1.0
1999-12-09,40.5,40.5,40.25,40.25,6.62326702925,141100,0.0,1.0
1999-12-10,40.19,40.38,39.63,39.69,6.5311172271,218300,0.0,1.0
1999-12-13,39.94,40.0,39.5,39.5,6.49985211566,259800,0.0,1.0
1999-12-14,39.5,40.0,39.31,39.31,6.46858700422,570900,0.0,1.0
1999-12-15,39.25,39.38,38.31,39.19,6.44884061804,650700,0.0,1.0
1999-12-16,38.13,38.63,38.13,38.44,6.45048615022,279400,0.76,1.0
