dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,29.81,29.94,29.38,29.69,12.5821891511,398300,0.0,1.0
1999-11-02,29.69,30.0,29.69,29.94,12.6881355064,689800,0.0,1.0
1999-11-03,29.88,30.06,29.5,29.69,12.5821891511,486400,0.0,1.0
1999-11-04,29.25,29.38,28.81,29.0,12.2897772106,669400,0.0,1.0
1999-11-05,29.5,29.56,29.19,29.31,12.4211506911,379400,0.0,1.0
1999-11-08,29.0,29.31,28.88,28.94,12.3914857116,2740800,0.3,1.0
1999-11-09,29.06,29.19,28.81,28.94,12.3914857116,719700,0.0,1.0
1999-11-10,28.75,29.06,28.19,28.31,12.1217332584,415700,0.0,1.0
1999-11-11,28.13,28.38,27.69,27.88,11.9376165045,1122500,0.0,1.0
1999-11-12,28.0,28.06,27.75,27.88,11.9376165045,376800,0.0,1.0
1999-11-15,27.94,28.0,27.63,27.75,11.8819532999,395700,0.0,1.0
1999-11-16,27.69,27.94,27.56,27.69,11.85626259,422000,0.0,1.0
1999-11-17,27.63,27.75,27.38,27.56,11.8005993854,479000,0.0,1.0
1999-11-18,27.38,27.69,27.31,27.38,11.7235272559,535300,0.0,1.0
1999-11-19,27.5,27.69,27.25,27.31,11.6935547611,678200,0.0,1.0
1999-11-22,27.31,27.44,27.0,27.0,11.5608194269,787700,0.0,1.0
1999-11-23,27.25,27.25,26.63,26.75,11.4537748026,427600,0.0,1.0
1999-11-24,26.88,27.25,26.75,27.19,11.6421733414,708900,0.0,1.0
1999-11-26,27.06,27.25,26.88,26.94,11.5351287171,306100,0.0,1.0
1999-11-29,26.75,26.94,26.56,26.94,11.5351287171,809500,0.0,1.0
1999-11-30,27.0,27.63,27.0,27.56,11.8005993854,877400,0.0,1.0
1999-12-01,27.44,27.5,27.13,27.3,11.6892729761,1101200,0.0,1.0
1999-12-02,27.44,27.44,26.88,26.94,11.5351287171,723400,0.0,1.0
1999-12-03,27.19,27.38,27.0,27.06,11.5865101367,595800,0.0,1.0
1999-12-06,26.5,27.06,26.5,26.56,11.3724208881,661300,0.0,1.0
1999-12-07,26.38,26.44,26.0,26.06,11.1583316394,964600,0.0,1.0
1999-12-08,25.88,26.06,25.56,25.63,10.9742148856,541800,0.0,1.0
1999-12-09,25.38,25.69,25.06,25.06,10.7301531422,841400,0.0,1.0
1999-12-10,25.13,25.38,24.81,24.81,10.6231085178,661500,0.0,1.0
1999-12-13,24.69,24.81,23.69,23.88,10.2249025153,1077200,0.0,1.0
1999-12-14,23.81,24.88,23.81,24.75,10.597417808,960100,0.0,1.0
1999-12-15,24.69,25.25,24.44,25.0,10.7044624323,1084500,0.0,1.0
1999-12-16,25.75,25.81,24.75,25.38,10.8671702613,1002900,0.0,1.0
1999-12-17,25.44,25.44,25.44,25.44,10.8928609711,1221800,0.0,1.0
1999-12-20,25.44,25.69,25.38,25.5,10.918551681,731000,0.0,1.0
1999-12-21,25.44,26.0,25.38,25.75,11.0255963053,680400,0.0,1.0
1999-12-22,25.75,25.88,25.5,25.56,10.9442423908,300100,0.0,1.0
1999-12-23,25.69,26.0,25.69,25.81,11.0512870151,333000,0.0,1.0
1999-12-27,25.69,26.13,25.69,25.69,10.9999055954,347500,0.0,1.0
1999-12-28,25.81,25.88,25.56,25.69,10.9999055954,211400,0.0,1.0
1999-12-29,25.63,25.69,25.38,25.38,10.8671702613,234100,0.0,1.0
1999-12-30,25.38,26.0,25.31,25.69,10.9999055954,416900,0.0,1.0
1999-12-31,25.75,25.94,25.56,25.75,11.0255963053,137900,0.0,1.0
2000-01-03,25.75,25.75,25.0,25.25,10.8115070566,784700,0.0,1.0
2000-01-04,25.19,25.63,25.0,25.31,10.8371977665,454900,0.0,1.0
2000-01-05,25.5,26.75,25.5,26.44,11.3210394684,1252600,0.0,1.0
2000-01-06,26.31,26.31,25.81,25.88,11.0812595099,638600,0.0,1.0
2000-01-07,25.88,26.13,25.81,25.88,11.0812595099,1220300,0.0,1.0
2000-01-10,26.06,26.25,25.69,25.75,11.0255963053,609400,0.0,1.0
2000-01-11,25.69,26.13,25.69,25.94,11.1069502198,507600,0.0,1.0
2000-01-12,25.81,26.13,25.69,25.81,11.0512870151,575300,0.0,1.0
2000-01-13,25.69,25.88,25.31,25.31,10.8371977665,769100,0.0,1.0
2000-01-14,25.5,25.63,25.19,25.25,10.8115070566,780300,0.0,1.0
2000-01-18,25.0,25.0,24.5,24.56,10.5160638935,600900,0.0,1.0
2000-01-19,24.38,24.56,24.13,24.25,10.3833285593,2150500,0.0,1.0
2000-01-20,24.5,24.5,23.75,23.94,10.2505932252,956100,0.0,1.0
2000-01-21,24.0,24.38,23.94,24.19,10.3576378495,922400,0.0,1.0
2000-01-24,24.13,24.44,23.0,23.0,9.84810543773,1222900,0.0,1.0
2000-01-25,23.0,23.13,22.25,22.25,9.52697156476,1263100,0.0,1.0
2000-01-26,22.31,22.5,22.13,22.19,9.50128085492,749800,0.0,1.0
2000-01-27,22.25,23.0,22.19,23.0,9.84810543773,1089500,0.0,1.0
2000-01-28,22.75,24.0,22.69,23.63,10.117857891,1337600,0.0,1.0
2000-01-31,23.63,25.0,23.63,24.94,10.6787717225,1183800,0.0,1.0
2000-02-01,25.0,25.75,25.0,25.5,10.918551681,1118500,0.0,1.0
2000-02-02,25.31,25.5,24.75,24.94,10.6787717225,849100,0.0,1.0
2000-02-03,25.06,25.69,25.0,25.44,10.8928609711,584600,0.0,1.0
2000-02-04,25.56,25.56,24.88,24.94,10.6787717225,621900,0.0,1.0
2000-02-07,24.94,25.13,24.63,24.63,10.5460363883,537500,0.0,1.0
2000-02-08,24.63,25.0,24.63,24.63,10.5460363883,431200,0.0,1.0
2000-02-09,24.63,24.69,23.81,23.88,10.2249025153,787600,0.0,1.0
2000-02-10,23.88,24.25,23.38,23.38,10.0108132667,800700,0.0,1.0
2000-02-11,23.13,23.38,23.0,23.13,10.0322221916,2214600,0.3,1.0
2000-02-14,23.0,23.81,23.0,23.5,10.1927030481,531100,0.0,1.0
2000-02-15,23.38,23.44,22.75,22.81,9.89342793729,899600,0.0,1.0
2000-02-16,22.75,22.81,22.25,22.38,9.70692315811,765900,0.0,1.0
2000-02-17,22.38,22.69,21.94,21.94,9.51608105849,593300,0.0,1.0
2000-02-18,22.19,22.19,21.38,21.44,9.29921503619,1356100,0.0,1.0
2000-02-22,21.63,22.0,21.56,21.63,9.38162412467,1026700,0.0,1.0
2000-02-23,21.5,21.69,21.25,21.31,9.24282987039,985700,0.0,1.0
2000-02-24,21.19,21.31,20.0,20.38,8.83945906892,951100,0.0,1.0
2000-02-25,20.5,20.94,20.25,20.25,8.78307390312,695800,0.0,1.0
2000-02-28,19.75,20.94,19.75,20.88,9.05632509122,756600,0.0,1.0
2000-02-29,20.75,20.88,20.02,20.25,8.78307390312,986900,0.0,1.0
2000-03-01,20.44,20.44,20.06,20.38,8.83945906892,1107500,0.0,1.0
2000-03-02,20.44,20.5,20.31,20.44,8.86548299159,597900,0.0,1.0
2000-03-03,20.5,20.56,20.38,20.38,8.83945906892,601200,0.0,1.0
2000-03-06,19.38,19.5,15.94,16.69,7.23898782435,1874800,0.0,1.0
2000-03-07,17.25,18.25,17.25,17.31,7.507901692,3353000,0.0,1.0
2000-03-08,17.31,17.44,16.81,17.31,7.507901692,2388000,0.0,1.0
2000-03-09,17.25,18.0,17.13,17.81,7.7247677143,1177100,0.0,1.0
2000-03-10,17.81,18.31,17.81,17.94,7.7811528801,753400,0.0,1.0
2000-03-13,18.0,18.38,18.0,18.25,7.91560981392,731600,0.0,1.0
2000-03-14,18.06,18.19,17.13,17.56,7.61633470315,522800,0.0,1.0
2000-03-15,17.5,18.88,17.5,18.38,7.97199497972,1231000,0.0,1.0
2000-03-16,18.75,19.56,18.75,19.38,8.40572702432,1175400,0.0,1.0
2000-03-17,19.38,19.56,19.13,19.5,8.45777486967,1186500,0.0,1.0
2000-03-20,19.31,20.19,19.31,19.94,8.64861696929,1144700,0.0,1.0
2000-03-21,19.88,19.94,19.5,19.88,8.62259304662,689400,0.0,1.0
2000-03-22,19.63,19.63,19.13,19.25,8.34934185852,794800,0.0,1.0
2000-03-23,19.25,19.69,18.81,19.69,8.54018395814,605500,0.0,1.0
2000-03-24,19.44,19.88,19.38,19.88,8.62259304662,469100,0.0,1.0
2000-03-27,19.81,20.31,19.81,20.0,8.67464089197,465100,0.0,1.0
