dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2018-06-04,55.24,55.48,53.48,54.0,48.3936364846,51172100,0.0,1.0
2018-06-05,54.0,54.0,54.0,54.0,48.3936364846,2904786,0.0,1.0
2018-06-06,54.05,54.19,52.11,52.29,46.8611713292,3642973,0.0,1.0
2018-06-07,52.25,52.56,51.74,51.93,46.538547086,2928630,0.0,1.0
2018-06-08,52.26,52.51,51.26,51.32,45.9918782294,1830776,0.0,1.0
2018-06-11,51.46,51.76,50.89,51.57,46.2159228427,2490703,0.0,1.0
2018-06-12,51.83,52.46,51.47,52.25,46.8253241911,2956130,0.0,1.0
2018-06-13,52.4,53.12,51.67,52.18,46.7625916993,2088989,0.0,1.0
2018-06-14,52.45,52.75,51.63,51.95,46.556470655,2494432,0.0,1.0
2018-06-15,52.06,53.16,51.65,52.78,47.3002987714,5928826,0.0,1.0
2018-06-18,52.78,53.22,52.26,52.93,47.4347255394,1874817,0.0,1.0
2018-06-19,53.24,54.0,53.09,53.97,48.3667511309,2585688,0.0,1.0
2018-06-20,53.72,54.46,53.3,54.2,48.5728721752,1355965,0.0,1.0
2018-06-21,54.39,54.77,53.91,54.17,48.5459868216,1951191,0.0,1.0
2018-06-22,54.06,54.55,53.96,54.44,48.7879550041,2453877,0.0,1.0
2018-06-25,54.36,55.09,54.03,54.91,49.2091588772,2031643,0.0,1.0
2018-06-26,54.57,55.85,54.57,55.21,49.4780124132,2018132,0.0,1.0
2018-06-27,55.1,55.81,55.01,55.46,49.7020570265,1506724,0.0,1.0
2018-06-28,55.37,56.29,55.3,55.71,49.9261016399,1226498,0.0,1.0
2018-06-29,55.54,56.25,55.07,56.15,50.3204201594,2189669,0.0,1.0
2018-07-02,56.14,56.89,56.11,56.81,50.9118979387,1952092,0.0,1.0
2018-07-03,56.81,57.07,56.26,56.55,50.6788915408,849502,0.0,1.0
2018-07-05,56.55,56.735,55.96,56.56,50.6878533253,1523880,0.0,1.0
2018-07-06,56.45,57.09,56.41,56.76,50.867089016,1242355,0.0,1.0
2018-07-09,56.7,56.74,54.6,54.77,49.0836938937,1309031,0.0,1.0
2018-07-10,54.37,55.04,54.17,55.0,49.289814938,1776735,0.0,1.0
2018-07-11,55.18,56.14,54.93,55.97,50.1591080378,1061935,0.0,1.0
2018-07-12,55.71,56.07,55.35,55.75,49.961948778,1423293,0.0,1.0
2018-07-13,55.8,56.07,55.55,55.91,50.1053373306,888701,0.0,1.0
2018-07-16,55.76,56.09,55.55,56.0,50.1859933914,740531,0.0,1.0
2018-07-17,56.24,56.4,55.85,56.03,50.212878745,1213722,0.0,1.0
2018-07-18,55.83,56.03,55.18,55.55,49.7827130873,680418,0.0,1.0
2018-07-19,55.65,56.58,55.65,56.15,50.3204201594,874451,0.0,1.0
2018-07-20,55.77,56.16,55.56,55.71,49.9261016399,817541,0.0,1.0
2018-07-23,55.79,55.8,54.93,55.05,49.3346238606,1459946,0.0,1.0
2018-07-24,54.91,55.31,54.37,54.99,49.2808531534,1560829,0.0,1.0
2018-07-25,54.95,55.53,54.84,55.04,49.3256620761,1947552,0.0,1.0
2018-07-26,55.31,55.88,55.11,55.48,49.7199805956,951611,0.0,1.0
2018-07-27,55.43,55.73,54.9,55.33,49.5855538276,1013210,0.0,1.0
2018-07-30,55.3,55.89,54.82,55.41,49.6572481039,951443,0.0,1.0
2018-07-31,55.51,56.23,55.05,56.09,50.2666494522,1155699,0.0,1.0
2018-08-01,55.81,56.04,54.94,55.6,49.82752201,914627,0.0,1.0
2018-08-02,55.54,56.12,55.38,55.82,50.0246812698,1081343,0.0,1.0
2018-08-03,55.89,56.64,55.44,56.18,50.347305513,1089819,0.0,1.0
2018-08-06,56.17,56.9,55.95,56.15,50.3204201594,1159138,0.0,1.0
2018-08-07,56.15,56.77,55.91,56.62,50.7416240325,1412066,0.0,1.0
2018-08-08,56.41,56.62,56.11,56.37,50.5175794192,1111468,0.0,1.0
2018-08-09,55.6,57.32,55.51,57.02,51.1000954139,1610132,0.0,1.0
2018-08-10,57.12,57.99,57.12,57.68,51.6915731931,1507528,0.0,1.0
2018-08-13,57.45,57.81,57.01,57.61,51.6288407014,1977295,0.0,1.0
2018-08-14,57.64,57.96,57.34,57.44,51.4764903643,1033225,0.0,1.0
2018-08-15,57.46,58.22,57.26,57.69,51.7005349777,1423625,0.0,1.0
2018-08-16,57.57,57.88,57.3,57.68,51.6915731931,1828457,0.0,1.0
2018-08-17,57.57,58.22,57.37,57.87,51.8618470993,3784634,0.0,1.0
2018-08-20,57.87,58.24,57.64,57.85,51.8439235302,1413355,0.0,1.0
2018-08-21,57.65,57.68,57.32,57.41,51.4496050107,1729299,0.0,1.0
2018-08-22,57.53,57.63,56.81,56.99,51.0732100603,1304378,0.0,1.0
2018-08-23,56.91,57.41,56.82,56.94,51.0284011376,995955,0.0,1.0
2018-08-24,56.97,57.52,56.61,57.45,51.4854521488,1137851,0.0,1.0
2018-08-27,57.43,57.76,56.7,56.96,51.0463247067,2003756,0.0,1.0
2018-08-28,56.44,57.28,56.27,56.9,51.404796088,1428868,0.46,1.0
2018-08-29,56.82,57.31,56.72,57.11,51.5945150191,1266092,0.0,1.0
