dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,38.5,38.62,38.25,38.5,8.61265349733,887900,0.0,1.0
1999-11-04,38.62,38.62,37.75,38.12,8.52764548878,1737900,0.0,1.0
1999-11-05,38.38,38.5,37.62,37.81,8.45829685023,335300,0.0,1.0
1999-11-08,37.69,37.81,37.31,37.44,8.37552589454,699700,0.0,1.0
1999-11-09,37.31,37.5,36.31,36.75,8.22116924745,912600,0.0,1.0
1999-11-10,36.25,36.69,35.5,36.06,8.12273892177,2444600,0.25,1.0
1999-11-11,36.06,36.31,35.62,35.88,8.08219280402,723500,0.0,1.0
1999-11-12,36.12,36.31,36.06,36.19,8.15202222903,306900,0.0,1.0
1999-11-15,35.94,36.31,35.62,35.69,8.03939412418,351900,0.0,1.0
1999-11-16,35.81,36.06,35.38,35.44,7.98308007175,410200,0.0,1.0
1999-11-17,35.19,35.31,34.62,34.94,7.8704519669,1015700,0.0,1.0
1999-11-18,34.94,35.31,34.56,34.81,7.84116865964,631900,0.0,1.0
1999-11-19,34.56,35.0,34.5,34.69,7.81413791448,485300,0.0,1.0
1999-11-22,34.5,34.62,34.06,34.06,7.67222650237,392400,0.0,1.0
1999-11-23,33.88,34.0,33.19,33.31,7.50328434509,777400,0.0,1.0
1999-11-24,33.0,33.19,32.62,32.81,7.39065624024,779100,0.0,1.0
1999-11-26,32.88,32.94,32.75,32.94,7.4199395475,155100,0.0,1.0
1999-11-29,32.25,32.25,30.75,31.5,7.09557060554,1925500,0.0,1.0
1999-11-30,31.88,33.0,31.88,32.94,7.4199395475,1568400,0.0,1.0
1999-12-01,32.38,32.62,31.94,32.19,7.25099739023,737900,0.0,1.0
1999-12-02,31.94,33.38,31.88,33.38,7.51905227977,932000,0.0,1.0
1999-12-03,33.31,34.12,32.88,33.31,7.50328434509,757800,0.0,1.0
1999-12-06,33.69,33.88,33.12,33.5,7.54608302493,662000,0.0,1.0
1999-12-07,33.75,33.81,33.31,33.75,7.60239707736,867100,0.0,1.0
1999-12-08,33.56,33.62,33.0,33.31,7.50328434509,778200,0.0,1.0
1999-12-09,33.69,33.81,32.88,33.06,7.44697029267,734100,0.0,1.0
1999-12-10,33.31,33.94,33.31,33.75,7.60239707736,625000,0.0,1.0
1999-12-13,33.75,33.75,33.0,33.12,7.46048566525,341900,0.0,1.0
1999-12-14,33.0,33.19,32.44,32.75,7.37714086766,814900,0.0,1.0
1999-12-15,32.94,33.62,32.25,33.56,7.55959839752,645000,0.0,1.0
1999-12-16,33.38,33.5,33.12,33.25,7.48976897251,395300,0.0,1.0
1999-12-17,33.25,33.62,33.25,33.56,7.55959839752,1312800,0.0,1.0
1999-12-20,33.69,34.12,33.5,34.0,7.65871112978,490700,0.0,1.0
1999-12-21,33.75,34.62,33.75,34.31,7.72854055479,730500,0.0,1.0
1999-12-22,34.19,34.5,34.19,34.5,7.77133923463,569600,0.0,1.0
1999-12-23,34.69,34.69,34.44,34.62,7.7983699798,438700,0.0,1.0
1999-12-27,34.5,35.12,34.44,34.5,7.77133923463,353400,0.0,1.0
1999-12-28,34.25,34.56,33.81,34.19,7.70150980963,599400,0.0,1.0
1999-12-29,34.12,34.12,33.5,33.88,7.63168038462,232100,0.0,1.0
1999-12-30,33.62,34.75,33.62,34.69,7.81413791448,532300,0.0,1.0
1999-12-31,34.75,35.0,34.19,34.75,7.82765328706,434400,0.0,1.0
2000-01-03,34.5,34.62,33.0,33.88,7.63168038462,458700,0.0,1.0
2000-01-04,33.5,34.12,33.12,33.62,7.5731137701,445300,0.0,1.0
2000-01-05,33.62,35.75,33.62,35.25,7.94028139191,517600,0.0,1.0
2000-01-06,34.88,36.0,34.38,35.31,7.95379676449,437100,0.0,1.0
2000-01-07,35.38,37.38,35.0,35.31,7.95379676449,1343300,0.0,1.0
2000-01-10,36.81,37.69,36.56,37.44,8.43359249115,510200,0.0,1.0
2000-01-11,37.25,37.69,37.12,37.19,8.37727843873,487200,0.0,1.0
2000-01-12,37.0,37.88,36.81,37.5,8.44710786373,691100,0.0,1.0
2000-01-13,37.69,38.81,37.38,38.62,8.6993948186,550300,0.0,1.0
2000-01-14,38.38,39.0,38.06,38.5,8.67236407343,520000,0.0,1.0
2000-01-18,38.25,38.44,37.25,37.69,8.48990654358,453400,0.0,1.0
2000-01-19,37.81,38.56,37.69,38.38,8.64533332827,521400,0.0,1.0
2000-01-20,38.12,38.19,37.25,37.81,8.51693728874,480700,0.0,1.0
2000-01-21,38.25,39.06,37.56,38.88,8.75796143312,1798100,0.0,1.0
2000-01-24,38.88,41.0,38.75,40.62,9.149907238,1303000,0.0,1.0
2000-01-25,40.56,40.56,39.69,40.0,9.01024838798,1263800,0.0,1.0
2000-01-26,39.88,41.12,39.44,40.88,9.20847385252,769000,0.0,1.0
2000-01-27,41.0,42.19,40.94,42.0,9.46076080738,4612100,0.0,1.0
2000-01-28,41.81,42.5,41.19,41.19,9.27830327752,1718000,0.0,1.0
2000-01-31,41.25,41.75,40.56,41.75,9.40444675496,1486100,0.0,1.0
2000-02-01,41.62,42.12,41.22,41.56,9.36164807511,1373000,0.0,1.0
2000-02-02,41.56,42.31,41.5,41.69,9.39093138237,540000,0.0,1.0
2000-02-03,41.94,43.69,41.94,43.5,9.79864512193,882700,0.0,1.0
2000-02-04,43.44,43.5,42.94,43.0,9.68601701708,2919500,0.0,1.0
2000-02-07,42.62,42.88,42.0,42.0,9.46076080738,578000,0.0,1.0
2000-02-08,42.06,42.5,42.06,42.38,9.54635816707,554100,0.0,1.0
2000-02-09,42.38,42.94,42.31,42.5,9.57338891223,2216500,0.0,1.0
2000-02-10,42.25,42.5,41.94,41.94,9.4472454348,1330300,0.0,1.0
2000-02-11,41.81,42.0,41.19,41.25,9.29181865011,720800,0.0,1.0
2000-02-14,41.25,41.5,40.81,41.19,9.27830327752,1618300,0.0,1.0
2000-02-15,41.0,41.31,40.69,40.88,9.20847385252,954400,0.0,1.0
2000-02-16,40.5,40.94,40.12,40.75,9.17919054526,1026400,0.0,1.0
2000-02-17,40.25,41.06,40.12,40.25,9.06656244041,667600,0.0,1.0
2000-02-18,40.06,40.31,39.44,39.56,8.91113565571,486600,0.0,1.0
2000-02-22,39.62,40.38,39.62,39.81,8.96744970814,773100,0.0,1.0
2000-02-23,39.56,40.62,39.56,40.38,9.15215980009,1230300,0.25,1.0
2000-02-24,40.38,40.38,37.62,38.0,8.61273086685,997900,0.0,1.0
2000-02-25,38.56,38.56,38.0,38.56,8.73965532173,743000,0.0,1.0
2000-02-28,38.56,39.81,38.12,39.31,8.90964343095,443600,0.0,1.0
2000-02-29,39.06,39.06,37.31,37.31,8.45634180638,806900,0.0,1.0
2000-03-01,38.5,38.56,37.5,37.75,8.55606816378,598900,0.0,1.0
2000-03-02,37.75,39.0,37.62,39.0,8.83938167914,594300,0.0,1.0
2000-03-03,39.62,39.81,39.06,39.5,8.95270708528,1150300,0.0,1.0
2000-03-06,39.5,39.75,38.62,38.75,8.78271897607,1021000,0.0,1.0
2000-03-07,38.75,39.19,37.69,37.75,8.55606816378,1241600,0.0,1.0
2000-03-08,38.0,38.75,38.0,38.19,8.65579452119,659400,0.0,1.0
2000-03-09,37.94,38.44,37.81,38.31,8.68299261866,771900,0.0,1.0
2000-03-10,38.06,38.44,37.88,38.25,8.66939356992,379400,0.0,1.0
2000-03-13,38.06,38.25,37.81,38.12,8.63992896433,313300,0.0,1.0
2000-03-14,37.62,37.94,37.0,37.31,8.45634180638,733200,0.0,1.0
2000-03-15,37.12,38.69,37.06,38.62,8.75325437047,949900,0.0,1.0
2000-03-16,38.62,40.75,38.62,40.06,9.07963154016,656000,0.0,1.0
2000-03-17,40.12,40.25,38.38,38.5,8.726056273,605100,0.0,1.0
2000-03-20,38.25,39.19,38.19,38.44,8.71245722426,436100,0.0,1.0
2000-03-21,38.25,39.19,38.12,38.75,8.78271897607,681000,0.0,1.0
2000-03-22,38.75,38.75,37.5,37.75,8.55606816378,614400,0.0,1.0
2000-03-23,37.5,37.75,37.19,37.44,8.48580641197,705500,0.0,1.0
2000-03-24,37.5,38.06,37.31,38.0,8.61273086685,552600,0.0,1.0
2000-03-27,37.62,38.69,37.31,37.31,8.45634180638,561200,0.0,1.0
2000-03-28,37.0,37.38,35.94,36.69,8.31581830276,639500,0.0,1.0
2000-03-29,36.56,37.19,36.5,37.19,8.4291437089,795600,0.0,1.0
2000-03-30,37.5,37.56,37.0,37.12,8.41327815204,487500,0.0,1.0
2000-03-31,37.12,37.88,36.38,36.88,8.35888195709,1176300,0.0,1.0
2000-04-03,37.25,37.56,36.56,36.94,8.37248100583,328000,0.0,1.0
2000-04-04,37.19,39.38,37.19,39.38,8.92550898781,1170500,0.0,1.0
2000-04-05,39.62,42.0,39.62,40.56,9.1929569463,1443000,0.0,1.0
2000-04-06,40.44,41.06,39.25,39.62,8.97990518276,731600,0.0,1.0
2000-04-07,39.5,40.25,39.38,39.69,8.99577073962,455900,0.0,1.0
2000-04-10,39.75,41.69,39.69,41.38,9.37881061238,706100,0.0,1.0
2000-04-11,41.44,42.69,41.38,41.69,9.44907236419,985600,0.0,1.0
2000-04-12,41.88,43.5,41.56,42.5,9.63265952214,887600,0.0,1.0
2000-04-13,43.25,44.62,42.69,43.56,9.87290938316,773000,0.0,1.0
2000-04-14,43.38,44.94,41.62,42.97,9.73918540391,904800,0.0,1.0
2000-04-17,41.81,42.62,40.19,42.0,9.519334116,703500,0.0,1.0
2000-04-18,42.0,43.12,40.75,40.94,9.27908425497,538400,0.0,1.0
2000-04-19,40.69,41.0,39.75,40.69,9.2224215519,339400,0.0,1.0
2000-04-20,40.44,41.75,40.44,41.62,9.43320680733,420600,0.0,1.0
2000-04-24,41.88,42.94,41.62,42.0,9.519334116,337100,0.0,1.0
2000-04-25,42.88,43.38,41.88,43.19,9.78904858262,627600,0.0,1.0
2000-04-26,43.0,44.19,42.81,43.62,9.8865084319,301000,0.0,1.0
2000-04-27,43.88,43.88,42.31,43.06,9.75958397702,544300,0.0,1.0
2000-04-28,43.12,43.12,41.69,41.69,9.44907236419,475100,0.0,1.0
2000-05-01,41.31,42.19,41.25,41.75,9.46267141292,274100,0.0,1.0
