dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2004-08-16,12.5,12.53,12.5,12.5,6.06358341706,188800,0.0,1.0
2004-08-17,12.5,12.54,12.5,12.51,6.0684342838,153600,0.0,1.0
2004-08-18,12.5,12.65,12.5,12.51,6.0684342838,149800,0.0,1.0
2004-08-19,12.5,12.55,12.5,12.53,6.07813601726,126900,0.0,1.0
2004-08-20,12.53,12.59,12.5,12.55,6.08783775073,144900,0.0,1.0
2004-08-23,12.55,12.59,12.5,12.55,6.08783775073,64400,0.0,1.0
2004-08-24,12.55,12.99,12.55,12.98,6.29642502028,382900,0.0,1.0
2004-08-25,12.75,13.09,12.75,13.0,6.30612675375,500200,0.0,1.0
2004-08-26,13.05,13.45,12.95,13.38,6.49045968962,435200,0.0,1.0
2004-08-27,13.4,13.63,13.21,13.45,6.52441575676,694300,0.0,1.0
2004-08-30,13.45,13.59,13.35,13.48,6.53896835696,119100,0.0,1.0
2004-08-31,13.54,13.8,13.0,13.8,6.69419609244,261900,0.0,1.0
2004-09-01,14.3,14.38,13.42,13.65,6.62143309143,170900,0.0,1.0
2004-09-02,13.65,13.88,13.1,13.79,6.6893452257,149200,0.0,1.0
2004-09-03,13.55,13.84,13.5,13.65,6.62143309143,88600,0.0,1.0
2004-09-07,13.55,13.85,13.46,13.8,6.69419609244,101100,0.0,1.0
2004-09-08,13.8,13.83,13.61,13.65,6.62143309143,93800,0.0,1.0
2004-09-09,13.65,13.71,13.41,13.49,6.54381922369,113900,0.0,1.0
2004-09-10,13.4,13.73,13.25,13.6,6.59717875776,139900,0.0,1.0
2004-09-13,13.1,13.75,12.94,13.71,6.70452843858,223700,0.1113,1.0
2004-09-14,13.65,13.65,13.3,13.51,6.60672350147,130000,0.0,1.0
2004-09-15,13.3,13.55,13.09,13.35,6.52847955179,138800,0.0,1.0
2004-09-16,13.35,13.48,13.1,13.33,6.51869905808,126300,0.0,1.0
2004-09-17,12.55,13.64,12.55,13.64,6.67029671059,400200,0.0,1.0
2004-09-20,13.54,13.64,13.13,13.35,6.52847955179,112300,0.0,1.0
2004-09-21,13.3,13.6,13.28,13.47,6.58716251405,243700,0.0,1.0
2004-09-22,13.2,13.62,13.05,13.5,6.60183325462,455800,0.0,1.0
2004-09-23,13.4,13.65,13.22,13.29,6.49913807066,211000,0.0,1.0
2004-09-24,13.3,13.55,13.25,13.5,6.60183325462,67500,0.0,1.0
2004-09-27,13.55,13.55,12.93,13.05,6.38177214613,182200,0.0,1.0
2004-09-28,13.06,13.14,12.63,12.91,6.31330869016,202900,0.0,1.0
2004-09-29,13.11,13.12,12.6,12.88,6.29863794959,159900,0.0,1.0
2004-09-30,12.85,12.85,12.3,12.75,6.23506474047,1156500,0.0,1.0
2004-10-01,12.76,13.06,12.6,13.0,6.35732091186,217900,0.0,1.0
2004-10-04,13.01,13.05,12.9,12.94,6.32797943072,122500,0.0,1.0
2004-10-05,12.9,13.03,12.82,12.86,6.28885745588,128300,0.0,1.0
2004-10-06,12.86,13.15,12.86,13.1,6.40622338041,447600,0.0,1.0
2004-10-07,13.0,13.39,12.96,13.02,6.36710140557,160200,0.0,1.0
2004-10-08,13.05,13.22,13.0,13.22,6.46490634267,118000,0.0,1.0
2004-10-11,13.22,13.25,13.0,13.1,6.40622338041,90300,0.0,1.0
2004-10-12,13.1,13.25,12.97,13.1,6.40622338041,69000,0.0,1.0
2004-10-13,13.15,13.3,12.95,12.96,6.33775992443,75500,0.0,1.0
2004-10-14,12.96,13.06,12.93,13.06,6.38666239299,44100,0.0,1.0
2004-10-15,13.04,13.17,12.87,12.98,6.34754041814,73600,0.0,1.0
2004-10-18,13.05,13.4,12.91,13.12,6.41600387412,52000,0.0,1.0
2004-10-19,13.1,13.5,13.05,13.05,6.38177214613,56200,0.0,1.0
2004-10-20,12.95,13.1,12.85,13.1,6.40622338041,57400,0.0,1.0
2004-10-21,13.05,13.4,12.9,13.38,6.54315029236,49500,0.0,1.0
2004-10-22,13.38,13.5,13.29,13.3,6.50402831751,75200,0.0,1.0
2004-10-25,13.27,13.49,13.2,13.3,6.50402831751,99500,0.0,1.0
2004-10-26,13.25,13.7,13.2,13.55,6.6262844889,137200,0.0,1.0
2004-10-27,13.5,14.0,13.4,13.9,6.79744312883,173800,0.0,1.0
2004-10-28,14.0,14.26,13.8,13.92,6.80722362254,107400,0.0,1.0
2004-10-29,13.95,13.96,13.5,13.86,6.77788214141,233700,0.0,1.0
2004-11-01,13.76,13.96,13.59,13.74,6.71919917915,60200,0.0,1.0
2004-11-02,13.84,14.1,13.8,13.86,6.77788214141,93500,0.0,1.0
2004-11-03,13.9,14.05,13.6,13.9,6.79744312883,84400,0.0,1.0
2004-11-04,13.9,14.24,13.8,14.0,6.84634559738,47500,0.0,1.0
2004-11-05,14.0,14.15,13.8,14.05,6.87079683166,55700,0.0,1.0
2004-11-08,14.1,14.18,13.95,14.05,6.87079683166,63500,0.0,1.0
2004-11-09,14.05,14.24,13.8,14.08,6.88546757222,129100,0.0,1.0
2004-11-10,14.07,14.47,13.7,14.13,6.9099188065,59300,0.0,1.0
2004-11-11,14.13,14.2,14.0,14.15,6.91969930021,44800,0.0,1.0
2004-11-12,14.15,14.21,14.04,14.1,6.89524806594,39100,0.0,1.0
2004-11-15,14.1,14.55,13.85,14.35,7.01750423732,133400,0.0,1.0
2004-11-16,14.2,14.2,13.65,14.1,6.89524806594,74900,0.0,1.0
2004-11-17,14.15,14.39,14.1,14.2,6.94415053449,120700,0.0,1.0
2004-11-18,14.1,14.25,13.83,14.05,6.87079683166,43800,0.0,1.0
2004-11-19,14.06,14.15,13.91,14.05,6.87079683166,22100,0.0,1.0
2004-11-22,14.05,14.18,13.8,14.18,6.93437004078,71600,0.0,1.0
2004-11-23,14.4,14.4,13.7,14.14,6.91480905336,108600,0.0,1.0
2004-11-24,14.14,14.2,13.9,13.98,6.83656510367,80900,0.0,1.0
2004-11-26,13.98,14.0,13.86,13.9,6.79744312883,25400,0.0,1.0
2004-11-29,13.95,14.1,13.85,14.0,6.84634559738,115500,0.0,1.0
2004-11-30,14.1,14.1,13.71,13.9,6.79744312883,83400,0.0,1.0
2004-12-01,13.85,14.11,13.71,14.0,6.84634559738,145900,0.0,1.0
2004-12-02,14.05,14.25,14.05,14.2,6.94415053449,46500,0.0,1.0
2004-12-03,14.2,14.4,14.2,14.35,7.01750423732,75400,0.0,1.0
2004-12-06,14.45,14.45,14.0,14.15,6.91969930021,94800,0.0,1.0
2004-12-07,14.15,14.2,13.89,14.0,6.84634559738,326800,0.0,1.0
2004-12-08,14.01,14.15,14.0,14.05,6.87079683166,621000,0.0,1.0
2004-12-09,13.85,13.86,13.65,13.75,6.83534254196,84700,0.2275,1.0
2004-12-10,13.75,13.79,13.58,13.68,6.80054443447,83300,0.0,1.0
2004-12-13,13.75,13.88,13.27,13.69,6.80551559268,98600,0.0,1.0
2004-12-14,13.58,13.7,13.45,13.51,6.71603474486,139100,0.0,1.0
2004-12-15,13.51,13.68,13.35,13.36,6.64146737168,75000,0.0,1.0
2004-12-16,13.36,13.6,13.26,13.39,6.65638084631,192700,0.0,1.0
2004-12-17,13.47,13.47,13.22,13.29,6.60666926419,134800,0.0,1.0
2004-12-20,13.2,13.4,13.19,13.28,6.60169810598,63600,0.0,1.0
2004-12-21,13.3,13.37,13.25,13.36,6.64146737168,112300,0.0,1.0
2004-12-22,13.36,13.6,13.26,13.56,6.74089053592,71200,0.0,1.0
2004-12-23,13.65,13.79,13.5,13.55,6.73591937771,44100,0.0,1.0
2004-12-27,13.55,13.67,13.32,13.43,6.67626547916,31500,0.0,1.0
2004-12-28,13.43,13.67,13.35,13.6,6.76077516877,50400,0.0,1.0
2004-12-29,13.65,13.66,13.2,13.35,6.63649621347,58800,0.0,1.0
2004-12-30,13.4,13.63,13.33,13.4,6.66135200453,98600,0.0,1.0
2004-12-31,13.5,13.5,13.26,13.33,6.62655389704,43700,0.0,1.0
2005-01-03,13.35,13.48,12.82,13.29,6.60666926419,157500,0.0,1.0
2005-01-04,13.4,13.8,13.4,13.42,6.67129432095,74700,0.0,1.0
2005-01-05,13.5,13.5,12.96,13.0,6.46250567603,77800,0.0,1.0
2005-01-06,13.1,13.58,13.0,13.45,6.68620779559,60800,0.0,1.0
2005-01-07,13.5,13.95,13.28,13.76,6.84031370017,68600,0.0,1.0
2005-01-10,13.66,13.72,13.4,13.41,6.66632316274,123200,0.0,1.0
2005-01-11,13.4,13.49,13.1,13.46,6.6911789538,41800,0.0,1.0
2005-01-12,13.55,13.57,13.11,13.5,6.71106358665,120200,0.0,1.0
2005-01-13,13.4,13.43,13.0,13.05,6.4873614671,281100,0.0,1.0
2005-01-14,13.25,13.86,13.19,13.86,6.89002528229,525800,0.0,1.0
2005-01-18,13.45,13.45,12.95,13.25,6.58678463134,790700,0.0,1.0
2005-01-19,13.2,13.44,12.8,13.3,6.6116404224,1628200,0.0,1.0
2005-01-20,13.4,13.4,13.1,13.15,6.53707304922,229000,0.0,1.0
2005-01-21,13.18,13.2,13.07,13.18,6.55198652386,64500,0.0,1.0
2005-01-24,13.17,13.25,13.13,13.23,6.57684231492,161900,0.0,1.0
2005-01-25,13.23,13.3,12.95,13.11,6.51718841637,246300,0.0,1.0
2005-01-26,13.2,13.2,12.8,12.95,6.43764988497,94400,0.0,1.0
2005-01-27,12.95,13.06,12.94,13.0,6.46250567603,61500,0.0,1.0
2005-01-28,13.1,13.1,12.8,12.94,6.43267872676,114800,0.0,1.0
2005-01-31,12.98,13.06,12.75,12.97,6.4475922014,208200,0.0,1.0
2005-02-01,12.97,13.09,12.95,13.05,6.4873614671,283000,0.0,1.0
2005-02-02,13.07,13.19,12.81,12.96,6.44262104318,162300,0.0,1.0
2005-02-03,13.08,13.17,12.88,13.0,6.46250567603,76800,0.0,1.0
2005-02-04,12.9,13.31,12.88,13.2,6.56192884028,175800,0.0,1.0
2005-02-07,13.29,13.37,13.22,13.27,6.59672694777,65300,0.0,1.0
2005-02-08,13.27,13.35,13.25,13.35,6.63649621347,65200,0.0,1.0
2005-02-09,13.37,13.46,13.2,13.29,6.60666926419,87300,0.0,1.0
2005-02-10,13.39,13.58,13.3,13.52,6.72100590307,90200,0.0,1.0
2005-02-11,13.52,13.95,13.52,13.84,6.88008296587,84100,0.0,1.0
2005-02-14,13.94,14.15,13.6,13.79,6.85522717481,68000,0.0,1.0
2005-02-15,13.8,14.1,13.55,13.65,6.78563095984,82800,0.0,1.0
2005-02-16,13.75,14.15,13.7,14.03,6.9745349719,135200,0.0,1.0
2005-02-17,14.13,14.13,13.65,14.03,6.9745349719,102200,0.0,1.0
2005-02-18,14.13,14.13,13.76,13.98,6.94967918084,230400,0.0,1.0
2005-02-22,13.98,13.98,13.65,13.71,6.81545790911,75400,0.0,1.0
2005-02-23,13.81,13.95,13.75,13.8,6.86019833302,60400,0.0,1.0
2005-02-24,13.82,13.92,13.64,13.8,6.86019833302,227200,0.0,1.0
2005-02-25,13.75,14.25,13.75,14.0,6.95962149727,112000,0.0,1.0
2005-02-28,14.0,14.0,13.7,13.9,6.90990991514,102500,0.0,1.0
2005-03-01,14.1,14.2,13.86,14.0,6.95962149727,99000,0.0,1.0
2005-03-02,14.15,14.24,13.9,14.04,6.97950613012,60700,0.0,1.0
2005-03-03,14.1,14.14,13.9,13.9,6.90990991514,51700,0.0,1.0
2005-03-04,14.1,14.14,13.96,14.08,6.99939076297,104600,0.0,1.0
2005-03-07,14.08,14.13,13.92,14.05,6.98447728833,134200,0.0,1.0
2005-03-08,14.15,14.3,14.02,14.1,7.00933307939,36300,0.0,1.0
2005-03-09,14.05,14.19,13.7,14.05,6.98447728833,90700,0.0,1.0
2005-03-10,14.1,14.15,13.76,13.98,6.94967918084,41300,0.0,1.0
2005-03-11,13.8,13.94,13.5,13.75,6.94843639129,70500,0.2275,1.0
2005-03-14,13.81,13.81,13.55,13.7,6.92316934987,24600,0.0,1.0
2005-03-15,13.75,13.92,13.43,13.51,6.82715459246,31000,0.0,1.0
2005-03-16,13.51,13.51,13.22,13.38,6.76146028476,49700,0.0,1.0
2005-03-17,13.45,13.54,13.25,13.5,6.82210118417,54400,0.0,1.0
