dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,34.88,36.0,34.88,35.13,1.48030200201,275300,0.0,1.0
1999-11-04,35.75,36.06,35.5,35.94,1.5144336451,148200,0.0,1.0
1999-11-05,36.38,37.0,36.38,36.75,1.54856528819,175500,0.0,1.0
1999-11-08,36.88,37.19,36.5,37.0,1.55909974593,187800,0.0,1.0
1999-11-09,36.88,37.0,35.19,35.69,1.50389918736,208800,0.0,1.0
1999-11-10,35.75,36.44,35.13,35.31,1.48788681159,322800,0.0,1.0
1999-11-11,36.5,38.0,35.38,37.75,1.59070311916,802600,0.0,1.0
1999-11-12,38.88,39.0,36.38,36.88,1.55404320621,316400,0.0,1.0
1999-11-15,36.56,38.13,36.44,37.88,1.59618103718,327400,0.0,1.0
1999-11-16,38.0,38.25,37.0,37.38,1.5751121217,373200,0.0,1.0
1999-11-17,36.63,38.5,36.06,38.44,1.61977822253,234400,0.0,1.0
1999-11-18,38.5,41.0,38.0,41.0,1.72765106981,449600,0.0,1.0
1999-11-19,41.0,42.5,40.13,41.94,1.76726063093,681500,0.0,1.0
1999-11-22,41.5,41.69,40.63,41.5,1.7487199853,410800,0.0,1.0
1999-11-23,41.88,42.0,40.13,40.75,1.71711661207,380700,0.0,1.0
1999-11-24,41.0,41.25,40.19,41.0,1.72765106981,150800,0.0,1.0
1999-11-26,41.0,41.06,40.5,41.0,1.72765106981,30000,0.0,1.0
1999-11-29,40.5,41.0,39.25,39.38,1.65938778364,121000,0.0,1.0
1999-11-30,39.41,39.5,37.0,38.5,1.62230649239,451700,0.0,1.0
1999-12-01,37.13,39.06,37.0,39.0,1.64337540787,246300,0.0,1.0
1999-12-02,39.13,39.13,38.63,39.06,1.64590367773,92800,0.0,1.0
1999-12-03,38.63,39.13,38.5,39.06,1.64590367773,518800,0.0,1.0
1999-12-06,38.88,39.56,37.88,38.63,1.62778441041,133300,0.0,1.0
1999-12-07,38.63,38.69,37.38,37.5,1.58016866142,219300,0.0,1.0
1999-12-08,37.38,37.5,36.5,36.5,1.53803083044,250200,0.0,1.0
1999-12-09,37.0,37.13,36.06,36.56,1.5405591003,121300,0.0,1.0
1999-12-10,36.63,36.75,35.88,36.0,1.51696191496,122900,0.0,1.0
1999-12-13,35.94,37.69,35.0,37.13,1.56457766396,574000,0.0,1.0
1999-12-14,36.75,37.88,36.5,36.63,1.54350874847,193100,0.0,1.0
1999-12-15,36.88,38.25,36.5,37.94,1.59870930704,320100,0.0,1.0
1999-12-16,37.88,38.13,37.5,37.75,1.59070311916,436600,0.0,1.0
1999-12-17,39.77,39.91,36.89,38.56,1.62483476224,1249900,0.0,1.0
1999-12-20,38.69,39.19,38.25,38.75,1.63284095013,295900,0.0,1.0
1999-12-21,38.75,39.75,38.75,39.75,1.6749787811,194600,0.0,1.0
1999-12-22,39.75,40.81,39.31,40.38,1.70152561461,206600,0.0,1.0
1999-12-23,40.41,43.0,40.38,41.81,1.7617827129,360300,0.0,1.0
1999-12-27,42.19,43.69,41.75,43.44,1.83046737738,261400,0.0,1.0
1999-12-28,43.13,45.75,43.13,44.0,1.85406456273,267500,0.0,1.0
1999-12-29,44.06,45.38,43.19,44.88,1.89114585398,158500,0.0,1.0
1999-12-30,44.75,45.56,44.75,44.88,1.89114585398,181300,0.0,1.0
1999-12-31,44.75,46.38,44.08,44.94,1.89367412384,156700,0.0,1.0
2000-01-03,44.75,45.0,42.0,42.44,1.78832954641,118100,0.0,1.0
2000-01-04,42.13,42.5,39.94,40.0,1.68551323884,105700,0.0,1.0
2000-01-05,39.94,41.94,39.75,41.56,1.75124825516,242000,0.0,1.0
2000-01-06,41.88,42.38,41.25,41.69,1.75672617318,89700,0.0,1.0
2000-01-07,41.69,42.25,41.5,41.63,1.75419790333,299700,0.0,1.0
2000-01-10,41.75,41.75,40.5,40.56,1.70911042419,161700,0.0,1.0
2000-01-11,40.5,41.25,40.5,40.88,1.7225945301,296400,0.0,1.0
2000-01-12,40.63,41.0,39.88,40.09,1.68930564363,242000,0.0,1.0
2000-01-13,40.06,48.69,40.06,46.25,1.94887468241,759400,0.0,1.0
2000-01-14,46.25,46.5,44.88,44.94,1.89367412384,315000,0.0,1.0
2000-01-18,44.88,45.5,44.38,44.44,1.87260520835,172200,0.0,1.0
2000-01-19,45.56,49.94,45.38,47.88,2.0175593469,476600,0.0,1.0
2000-01-20,48.94,50.38,48.25,48.81,2.0567475297,597500,0.0,1.0
2000-01-21,48.75,49.44,48.25,48.97,2.06348958265,432800,0.0,1.0
2000-01-24,48.88,49.0,45.5,46.06,1.94086849453,160300,0.0,1.0
2000-01-25,46.25,47.63,45.88,47.06,1.9830063255,177600,0.0,1.0
2000-01-26,47.13,49.25,47.06,49.13,2.07023163561,176400,0.0,1.0
2000-01-27,48.75,50.13,47.5,49.25,2.07528817533,227100,0.0,1.0
