dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-09-16,11.9,12.93,11.0,12.7,11.4240363081,969900,0.0,1.0
2011-09-19,12.25,13.78,12.0,13.78,12.3955291595,665400,0.0,1.0
2011-09-20,13.98,14.02,13.33,13.7,12.3235667261,794800,0.0,1.0
2011-09-21,13.8,14.0,13.18,13.4,12.0537076007,619000,0.0,1.0
2011-09-22,13.09,13.25,12.4,13.2,11.8738015171,1230500,0.0,1.0
2011-09-23,13.4,13.4,12.02,12.25,11.01924762,406200,0.0,1.0
2011-09-26,12.39,12.67,11.39,12.67,11.3970503956,181900,0.0,1.0
2011-09-27,12.75,14.34,12.75,13.37,12.0267216882,1788000,0.0,1.0
2011-09-28,13.29,13.7,12.75,12.85,11.5589658708,251700,0.0,1.0
2011-09-29,13.0,13.25,12.67,13.17,11.8468156046,222300,0.0,1.0
2011-09-30,13.03,13.25,12.06,12.4,11.1541771827,623100,0.0,1.0
2011-10-03,12.0,12.68,11.75,12.3,11.0642241409,23632200,0.0,1.0
2011-10-04,12.19,13.25,11.05,12.3,11.0642241409,6068200,0.0,1.0
2011-10-05,11.55,12.3,11.26,12.2,10.9742710991,1983000,0.0,1.0
2011-10-06,11.9,12.98,11.9,12.76,11.4780081332,3333600,0.0,1.0
2011-10-07,12.59,13.0,12.27,12.35,11.1092006618,2049900,0.0,1.0
2011-10-10,12.35,12.44,11.99,12.37,11.1271912702,1922500,0.0,1.0
2011-10-11,11.5,12.76,11.48,12.48,11.2261396162,3015200,0.0,1.0
2011-10-12,12.46,12.8,12.38,12.6,11.3340832663,3255100,0.0,1.0
2011-10-13,12.4,12.77,12.15,12.62,11.3520738747,3575300,0.0,1.0
2011-10-14,12.62,13.07,12.38,13.01,11.7028907377,1658700,0.0,1.0
2011-10-17,13.03,13.73,13.0,13.72,12.3415573344,1767600,0.0,1.0
2011-10-18,13.8,15.25,13.78,14.48,13.0252004521,5257400,0.0,1.0
2011-10-19,14.33,15.25,14.33,15.06,13.5469280945,3400100,0.0,1.0
2011-10-20,14.91,15.24,14.68,14.93,13.4299891402,1252900,0.0,1.0
2011-10-21,15.11,15.49,14.78,14.95,13.4479797485,1741300,0.0,1.0
2011-10-24,14.92,16.4,14.92,15.8,14.2125806038,2008800,0.0,1.0
2011-10-25,15.74,15.83,14.75,14.78,13.2950595775,2284900,0.0,1.0
2011-10-26,14.71,15.33,14.51,14.88,13.3850126193,856900,0.0,1.0
2011-10-27,14.98,15.9,14.97,15.65,14.0776510411,1130900,0.0,1.0
2011-10-28,15.27,15.33,14.76,14.92,13.420993836,1000700,0.0,1.0
2011-10-31,14.7,15.26,14.46,14.53,13.070176973,1162200,0.0,1.0
2011-11-01,14.26,14.91,14.11,14.67,13.1961112315,1174900,0.0,1.0
2011-11-02,14.8,15.5,14.62,15.07,13.5559233987,1289200,0.0,1.0
2011-11-03,15.42,15.5,14.5,15.0,13.4929562694,2279900,0.0,1.0
2011-11-04,14.77,15.06,14.72,15.0,13.4929562694,611700,0.0,1.0
2011-11-07,14.88,14.98,14.66,14.79,13.3040548817,1102000,0.0,1.0
2011-11-08,14.83,15.53,14.8,15.09,13.5739140071,708800,0.0,1.0
2011-11-09,14.87,15.15,14.8,14.9,13.4030032276,1301400,0.0,1.0
2011-11-10,14.91,15.81,14.85,15.7,14.122627562,801700,0.0,1.0
2011-11-11,15.88,16.0,15.12,15.25,13.7178388739,476900,0.0,1.0
2011-11-14,15.11,15.49,14.92,15.03,13.519942182,325900,0.0,1.0
2011-11-15,14.94,15.72,14.8,15.49,13.9337261742,569400,0.0,1.0
2011-11-16,15.31,15.47,14.95,15.04,13.5289374862,703200,0.0,1.0
2011-11-17,14.95,15.62,14.88,15.53,13.969707391,699100,0.0,1.0
2011-11-18,15.64,15.69,15.38,15.51,13.9517167826,449500,0.0,1.0
2011-11-21,15.25,15.35,14.98,15.26,13.7268341781,706800,0.0,1.0
2011-11-22,15.15,15.44,15.15,15.37,13.8257825241,428700,0.0,1.0
2011-11-23,15.23,15.44,15.0,15.31,13.771810699,501200,0.0,1.0
2011-11-25,15.2,15.5,15.15,15.45,13.8977449575,96000,0.0,1.0
2011-11-28,15.81,16.0,15.49,15.97,14.3655007749,507600,0.0,1.0
2011-11-29,15.96,16.39,15.67,16.01,14.4014819916,461800,0.0,1.0
2011-11-30,16.37,16.74,16.21,16.68,15.0041673716,2037200,0.0,1.0
2011-12-01,16.61,16.8,15.94,15.99,14.3834913832,664000,0.0,1.0
2011-12-02,16.19,16.57,16.15,16.52,14.8602425047,950600,0.0,1.0
2011-12-05,16.69,16.84,16.34,16.45,14.7972753755,406600,0.0,1.0
2011-12-06,16.48,16.69,16.3,16.47,14.8152659838,787800,0.0,1.0
2011-12-07,16.26,16.64,15.75,16.45,14.7972753755,538800,0.0,1.0
2011-12-08,16.15,16.54,15.9501,16.41,14.7612941588,707700,0.0,1.0
2011-12-09,16.39,17.09,16.32,17.01,15.3010124095,787200,0.0,1.0
2011-12-12,16.87,16.94,16.16,16.32,14.6803364211,563300,0.0,1.0
2011-12-13,16.33,16.48,15.68,15.78,14.1945899954,313700,0.0,1.0
2011-12-14,15.68,16.05,15.4,15.98,14.374496079,377900,0.0,1.0
2011-12-15,16.12,16.53,15.7,15.91,14.3115289498,797700,0.0,1.0
2011-12-16,15.92,15.97,15.33,15.59,14.023679216,2164400,0.0,1.0
2011-12-19,15.61,15.92,15.2,15.33,13.7898013074,778100,0.0,1.0
2011-12-20,15.56,15.82,15.53,15.75,14.1676040829,513500,0.0,1.0
2011-12-21,15.69,16.3875,15.65,16.2,14.572392771,776000,0.0,1.0
2011-12-22,16.31,16.53,16.22,16.45,14.7972753755,1535500,0.0,1.0
2011-12-23,16.52,16.84,16.5,16.7,15.02215798,305400,0.0,1.0
2011-12-27,16.59,16.84,16.5206,16.65,14.9771814591,172000,0.0,1.0
2011-12-28,16.6,16.65,16.34,16.39,14.7433035504,599000,0.0,1.0
2011-12-29,16.36,16.72,16.23,16.64,14.9681861549,537300,0.0,1.0
2011-12-30,16.62,17.04,16.62,17.03,15.3190030179,402100,0.0,1.0
2012-01-03,17.26,17.36,16.76,16.82,15.1301016301,1442200,0.0,1.0
