dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,16.94,17.31,16.75,17.25,5.28923306094,598200,0.0,1.0
1999-11-04,17.25,17.38,17.0,17.13,5.25243839617,448900,0.0,1.0
1999-11-05,17.38,17.38,16.69,16.94,5.19418017695,451600,0.0,1.0
1999-11-08,16.88,17.0,16.69,16.88,5.17578284456,375800,0.0,1.0
1999-11-09,16.94,17.31,16.88,17.06,5.23097484172,567000,0.0,1.0
1999-11-10,17.13,18.06,17.06,18.0,5.51919971577,611200,0.0,1.0
1999-11-11,17.94,18.19,17.88,18.06,5.53759704815,617200,0.0,1.0
1999-11-12,18.0,18.31,18.0,18.19,5.57745793499,889500,0.0,1.0
1999-11-15,18.0,18.0,17.69,17.75,5.44254416416,337200,0.0,1.0
1999-11-16,17.88,18.0,17.56,17.75,5.44254416416,339100,0.0,1.0
1999-11-17,17.63,17.75,16.88,16.88,5.17578284456,517500,0.0,1.0
1999-11-18,17.06,17.56,17.0,17.25,5.28923306094,308500,0.0,1.0
1999-11-19,17.31,17.56,16.94,16.94,5.19418017695,467100,0.0,1.0
1999-11-22,16.94,17.44,16.13,16.13,4.94581618974,398000,0.0,1.0
1999-11-23,16.13,16.5,15.81,16.38,5.02247174135,654400,0.0,1.0
1999-11-24,16.38,17.06,16.31,17.06,5.23097484172,606200,0.0,1.0
1999-11-26,16.94,17.0,16.63,16.69,5.11752462534,111600,0.0,1.0
1999-11-29,16.44,16.5,15.56,15.63,4.79250508652,652700,0.0,1.0
1999-11-30,15.69,16.06,15.56,15.81,4.84769708368,381800,0.0,1.0
1999-12-01,15.81,16.06,15.56,16.0,4.9059553029,362800,0.0,1.0
1999-12-02,15.94,16.06,15.56,15.94,4.88755797052,324100,0.0,1.0
1999-12-03,15.94,16.31,15.88,16.06,4.92435263529,269100,0.0,1.0
1999-12-06,15.94,16.06,15.63,16.0,4.9059553029,253300,0.0,1.0
1999-12-07,16.06,16.69,16.0,16.63,5.09912729295,513000,0.0,1.0
1999-12-08,16.56,16.56,15.81,16.06,4.92435263529,446700,0.0,1.0
1999-12-09,16.0,16.06,15.56,15.56,4.77104153207,190700,0.0,1.0
1999-12-10,15.75,16.0,15.56,15.94,4.88755797052,443300,0.0,1.0
1999-12-13,15.94,16.75,15.81,16.2,4.96727974419,964600,0.0,1.0
1999-12-14,16.69,16.75,15.81,15.81,4.84769708368,340900,0.0,1.0
1999-12-15,15.81,16.88,15.69,16.88,5.17578284456,427600,0.0,1.0
1999-12-16,17.06,17.44,16.75,17.44,5.34749128016,554400,0.0,1.0
1999-12-17,17.5,17.5,17.12,17.44,5.34749128016,809200,0.0,1.0
1999-12-20,17.5,17.5,16.63,16.81,5.15431929011,337400,0.0,1.0
1999-12-21,16.94,17.0,16.06,16.06,4.92435263529,426600,0.0,1.0
1999-12-22,17.06,17.06,16.38,16.63,5.09912729295,182300,0.0,1.0
1999-12-23,16.75,17.06,16.69,16.81,5.15431929011,462500,0.0,1.0
1999-12-27,16.88,18.0,16.88,17.94,5.50080238338,408200,0.0,1.0
1999-12-28,17.88,18.38,17.88,18.31,5.61425259976,362800,0.0,1.0
1999-12-29,18.31,20.25,18.31,20.25,6.20909968024,987600,0.0,1.0
1999-12-30,20.25,21.19,19.5,20.63,6.32561611868,863700,0.0,1.0
1999-12-31,20.75,21.38,20.75,21.13,6.4789272219,321700,0.0,1.0
2000-01-03,21.06,21.44,20.75,21.19,6.49732455428,727500,0.0,1.0
2000-01-04,20.94,21.0,19.94,20.0,6.13244412863,809100,0.0,1.0
2000-01-05,20.06,20.75,20.06,20.69,6.34401345107,767800,0.0,1.0
2000-01-06,20.75,20.94,19.81,20.13,6.17230501546,1148300,0.0,1.0
2000-01-07,19.88,20.5,19.31,19.63,6.01899391225,1126500,0.0,1.0
2000-01-10,20.25,20.25,19.69,19.75,6.05578857702,584600,0.0,1.0
2000-01-11,19.69,20.0,19.56,19.88,6.09564946386,422700,0.0,1.0
2000-01-12,19.75,19.81,19.13,19.56,5.9975303578,892000,0.0,1.0
2000-01-13,19.5,19.88,19.38,19.44,5.96073569303,948800,0.0,1.0
2000-01-14,19.31,19.44,18.75,19.0,5.8258219222,993400,0.0,1.0
2000-01-18,19.13,19.5,18.69,19.5,5.97913302541,678000,0.0,1.0
2000-01-19,19.5,20.0,19.38,20.0,6.13244412863,543000,0.0,1.0
2000-01-20,20.0,20.0,19.06,19.06,5.84421925458,565200,0.0,1.0
2000-01-21,19.25,19.25,18.38,18.38,5.63571615421,570500,0.0,1.0
2000-01-24,18.5,18.5,17.5,17.88,5.48240505099,355700,0.0,1.0
2000-01-25,17.75,17.81,17.0,17.63,5.40574949939,296100,0.0,1.0
2000-01-26,17.5,17.5,16.31,16.69,5.11752462534,438700,0.0,1.0
2000-01-27,16.81,17.81,16.75,17.81,5.46094149654,528400,0.0,1.0
2000-01-28,17.5,18.25,17.13,17.44,5.34749128016,885400,0.0,1.0
2000-01-31,17.31,17.69,17.31,17.44,5.34749128016,429700,0.0,1.0
2000-02-01,17.19,17.81,17.19,17.44,5.34749128016,367800,0.0,1.0
2000-02-02,17.44,17.75,17.38,17.44,5.34749128016,737600,0.0,1.0
2000-02-03,17.38,17.63,17.31,17.5,5.36588861255,770500,0.0,1.0
2000-02-04,18.0,18.75,18.0,18.56,5.69090815137,739700,0.0,1.0
2000-02-07,18.88,18.94,18.38,18.38,5.63571615421,765400,0.0,1.0
2000-02-08,18.38,18.44,17.94,18.0,5.51919971577,539900,0.0,1.0
2000-02-09,18.0,18.31,17.81,17.94,5.50080238338,733300,0.0,1.0
2000-02-10,18.0,18.06,17.75,17.81,5.46094149654,784500,0.0,1.0
2000-02-11,17.69,18.19,17.63,18.19,5.57745793499,535700,0.0,1.0
2000-02-14,18.06,18.5,18.06,18.38,5.63571615421,378900,0.0,1.0
2000-02-15,18.44,18.69,18.25,18.31,5.61425259976,842200,0.0,1.0
2000-02-16,18.25,18.38,17.94,18.13,5.5590606026,308300,0.0,1.0
2000-02-17,18.0,18.56,17.88,18.13,5.5590606026,387900,0.0,1.0
2000-02-18,18.06,18.38,17.94,18.0,5.51919971577,563200,0.0,1.0
2000-02-22,17.88,18.25,17.38,17.75,5.44254416416,457700,0.0,1.0
2000-02-23,17.88,17.88,16.63,16.69,5.11752462534,385700,0.0,1.0
2000-02-24,16.69,16.69,14.94,14.94,4.58093576409,741300,0.0,1.0
2000-02-25,14.88,14.88,14.0,14.0,4.29271089004,723200,0.0,1.0
