dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,26.5,26.5,26.13,26.25,9.50034054106,504900,0.0,1.0
1999-11-02,26.25,26.56,26.13,26.25,9.50034054106,210900,0.0,1.0
1999-11-03,25.75,26.13,25.75,25.94,9.52386519383,1673000,0.375,1.0
1999-11-04,25.94,25.94,25.0,25.0,9.17874440423,622500,0.0,1.0
1999-11-05,25.19,25.44,25.0,25.38,9.31826131918,389000,0.0,1.0
1999-11-08,25.31,25.44,25.0,25.19,9.2485028617,491600,0.0,1.0
1999-11-09,25.19,25.19,24.56,24.69,9.06492797362,356800,0.0,1.0
1999-11-10,24.69,24.69,24.0,24.19,8.88135308554,839600,0.0,1.0
1999-11-11,24.25,24.38,24.0,24.31,8.92541105868,589100,0.0,1.0
1999-11-12,24.31,24.5,24.25,24.38,8.95111154301,491300,0.0,1.0
1999-11-15,24.38,24.5,24.19,24.25,8.90338207211,338100,0.0,1.0
1999-11-16,24.44,24.5,24.13,24.38,8.95111154301,553000,0.0,1.0
1999-11-17,24.25,24.44,24.13,24.44,8.97314052958,310400,0.0,1.0
1999-11-18,24.38,24.56,24.13,24.25,8.90338207211,751600,0.0,1.0
1999-11-19,24.25,24.31,23.81,23.94,8.78956564149,551800,0.0,1.0
1999-11-22,23.94,24.06,23.69,23.75,8.71980718402,889800,0.0,1.0
1999-11-23,23.75,23.81,23.38,23.63,8.67574921088,612700,0.0,1.0
1999-11-24,23.63,23.69,23.31,23.5,8.62801973998,369600,0.0,1.0
1999-11-26,23.25,23.44,23.06,23.25,8.53623229594,229100,0.0,1.0
1999-11-29,22.88,22.94,22.13,22.56,8.28289895038,719700,0.0,1.0
1999-11-30,22.38,23.38,22.38,23.31,8.55826128251,835300,0.0,1.0
1999-12-01,23.0,23.44,23.0,23.31,8.55826128251,602000,0.0,1.0
1999-12-02,23.5,23.88,23.31,23.81,8.74183617059,602300,0.0,1.0
1999-12-03,23.63,23.94,23.63,23.88,8.76753665492,489800,0.0,1.0
1999-12-06,23.81,24.0,23.69,23.88,8.76753665492,664700,0.0,1.0
1999-12-07,23.88,23.88,23.56,23.69,8.69777819745,583400,0.0,1.0
1999-12-08,23.63,23.69,23.38,23.44,8.60599075341,626000,0.0,1.0
1999-12-09,23.44,23.5,23.13,23.19,8.51420330937,443500,0.0,1.0
1999-12-10,23.19,23.31,22.75,22.88,8.40038687875,520100,0.0,1.0
1999-12-13,22.75,22.94,22.63,22.88,8.40038687875,650000,0.0,1.0
1999-12-14,22.88,23.13,22.75,23.06,8.46647383846,719600,0.0,1.0
1999-12-15,23.06,23.19,22.81,22.94,8.42241586532,465300,0.0,1.0
1999-12-16,22.88,22.94,22.69,22.69,8.33062842128,272400,0.0,1.0
1999-12-17,22.88,22.88,22.38,22.88,8.40038687875,1293100,0.0,1.0
1999-12-20,22.88,22.88,22.5,22.69,8.33062842128,410900,0.0,1.0
1999-12-21,22.56,22.88,22.38,22.63,8.30859943471,965600,0.0,1.0
1999-12-22,22.5,23.0,22.44,22.94,8.42241586532,649300,0.0,1.0
1999-12-23,22.94,23.0,22.88,22.94,8.42241586532,239600,0.0,1.0
1999-12-27,23.0,23.0,22.81,22.81,8.37468639442,405700,0.0,1.0
1999-12-28,22.81,23.0,22.81,22.88,8.40038687875,348200,0.0,1.0
1999-12-29,22.81,22.81,22.38,22.69,8.33062842128,284400,0.0,1.0
1999-12-30,22.63,22.75,22.5,22.69,8.33062842128,316100,0.0,1.0
1999-12-31,22.44,22.75,22.38,22.69,8.33062842128,162400,0.0,1.0
2000-01-03,22.44,22.5,21.88,22.06,8.09932406229,532500,0.0,1.0
2000-01-04,22.0,22.38,21.88,22.06,8.09932406229,887800,0.0,1.0
2000-01-05,22.13,23.0,22.13,22.94,8.42241586532,532000,0.0,1.0
2000-01-06,22.88,23.06,22.81,22.94,8.42241586532,359000,0.0,1.0
2000-01-07,22.94,23.19,22.88,23.06,8.46647383846,378100,0.0,1.0
2000-01-10,23.06,23.38,22.94,23.13,8.4921743228,407000,0.0,1.0
2000-01-11,23.0,23.38,23.0,23.38,8.58396176684,479900,0.0,1.0
