dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-06-20,24.0,24.5,23.9,23.9,9.76065453592,11000,0.0,1.0
2001-06-21,24.5,25.5,24.5,25.5,10.4140874756,39300,0.0,1.0
2001-06-22,25.5,25.65,25.5,25.6,10.4549270343,33800,0.0,1.0
2001-06-25,25.9,26.5,25.9,26.5,10.8224830628,9100,0.0,1.0
2001-06-26,26.5,26.5,26.15,26.45,10.8020632835,109800,0.0,1.0
2001-06-27,26.45,26.6,26.44,26.6,10.8633226216,185300,0.0,1.0
2001-06-28,26.8,27.5,26.8,27.5,11.2308786501,66000,0.0,1.0
2001-06-29,27.55,28.1,27.55,28.0,11.4350764438,71300,0.0,1.0
2001-07-02,28.0,28.4,28.0,28.0,11.4350764438,69700,0.0,1.0
2001-07-03,28.01,28.16,28.01,28.05,11.4554962231,56200,0.0,1.0
2001-07-05,28.05,28.05,27.94,27.95,11.4146566644,61900,0.0,1.0
2001-07-06,27.95,30.0,26.9,30.0,12.2518676183,3337400,0.0,1.0
2001-07-09,30.0,31.3,29.8,29.91,12.2151120155,1674700,0.0,1.0
2001-07-10,29.91,30.01,28.55,28.55,11.6596940168,1210400,0.0,1.0
2001-07-11,28.45,29.01,28.38,28.5,11.6392742374,2426400,0.0,1.0
2001-07-12,28.51,30.2,28.51,29.45,12.0272500453,1294600,0.0,1.0
2001-07-13,29.35,30.02,28.99,29.0,11.843472031,709500,0.0,1.0
2001-07-16,29.0,29.61,28.52,28.75,11.7413731342,593900,0.0,1.0
2001-07-17,28.75,29.75,28.71,29.59,12.0844254275,837100,0.0,1.0
2001-07-18,29.52,30.0,29.43,29.49,12.0435858688,396600,0.0,1.0
2001-07-19,29.44,29.51,28.81,28.9,11.8026324723,303600,0.0,1.0
2001-07-20,28.8,29.15,28.8,28.96,11.8271362075,519000,0.0,1.0
2001-07-23,28.96,29.01,28.6,29.01,11.8475559869,206100,0.0,1.0
2001-07-24,28.95,29.3,28.74,28.98,11.8353041193,268600,0.0,1.0
2001-07-25,28.97,29.79,28.75,29.55,12.068089604,385200,0.0,1.0
2001-07-26,29.4,29.95,29.18,29.93,12.2232799272,208500,0.0,1.0
2001-07-27,29.92,30.55,29.9,30.53,12.4683172796,274600,0.0,1.0
2001-07-30,30.54,32.15,30.54,31.62,12.9134684697,289200,0.0,1.0
2001-07-31,31.6,33.5,31.6,33.02,13.4852222919,357300,0.0,1.0
2001-08-01,33.1,34.28,33.1,34.0,13.8854499674,759800,0.0,1.0
2001-08-02,33.95,34.2,33.66,33.71,13.7670152471,365500,0.0,1.0
2001-08-03,33.5,33.55,32.6,32.65,13.3341159246,139800,0.0,1.0
2001-08-06,32.8,32.9,32.08,32.14,13.1258341751,161700,0.0,1.0
2001-08-07,32.14,32.7,32.1,32.45,13.2524368071,186400,0.0,1.0
2001-08-08,32.5,32.6,32.0,32.49,13.2687726306,322400,0.0,1.0
2001-08-09,32.5,32.6,32.35,32.51,13.2769405424,169400,0.0,1.0
2001-08-10,32.51,32.75,32.1,32.15,13.129918131,328500,0.0,1.0
2001-08-13,32.14,32.14,31.99,32.0,13.0686587929,396200,0.0,1.0
2001-08-14,33.0,33.0,32.48,32.79,13.3912913068,269000,0.0,1.0
2001-08-15,32.8,33.1,32.0,32.0,13.0686587929,307000,0.0,1.0
2001-08-16,32.0,32.15,31.8,32.0,13.0686587929,280600,0.0,1.0
2001-08-17,31.95,32.25,31.79,32.24,13.1666737338,211200,0.0,1.0
2001-08-20,32.29,32.29,32.0,32.02,13.0768267046,150900,0.0,1.0
2001-08-21,32.0,32.45,32.0,32.3,13.191177469,321800,0.0,1.0
2001-08-22,32.2,32.63,32.15,32.5,13.2728565865,234300,0.0,1.0
2001-08-23,32.25,32.5,32.2,32.4,13.2320170278,72300,0.0,1.0
2001-08-24,32.35,32.4,32.2,32.35,13.2115972484,69600,0.0,1.0
2001-08-27,32.35,32.73,32.35,32.65,13.3341159246,80900,0.0,1.0
2001-08-28,32.72,32.72,32.31,32.38,13.223849116,241000,0.0,1.0
2001-08-29,32.38,32.74,32.3,32.73,13.3667875716,261600,0.0,1.0
2001-08-30,33.12,33.12,32.68,33.01,13.481138336,182300,0.0,1.0
2001-08-31,33.25,34.36,33.25,34.36,14.0324723788,277600,0.0,1.0
2001-09-04,34.35,35.1,34.33,34.9,14.253005996,760800,0.0,1.0
2001-09-05,34.9,34.9,33.71,33.72,13.771099203,296900,0.0,1.0
2001-09-06,33.7,33.7,32.83,33.0,13.4770543801,333900,0.0,1.0
2001-09-07,33.0,33.05,32.5,32.64,13.3300319687,186200,0.0,1.0
2001-09-10,32.5,32.86,32.5,32.75,13.3749554833,179400,0.0,1.0
2001-09-17,32.0,32.05,29.99,30.09,12.2886232212,279800,0.0,1.0
2001-09-18,30.09,30.78,29.98,30.75,12.5581643088,389000,0.0,1.0
2001-09-19,31.2,31.2,30.34,30.82,12.5867519999,222200,0.0,1.0
2001-09-20,30.85,30.85,29.3,29.87,12.198776192,653700,0.0,1.0
2001-09-21,29.9,29.9,27.75,29.64,12.1048452069,685900,0.0,1.0
2001-09-24,30.0,30.0,28.75,29.43,12.0190821336,364400,0.0,1.0
2001-09-25,29.43,29.43,28.3,28.73,11.7332052225,245300,0.0,1.0
2001-09-26,28.72,28.72,25.6,25.6,10.4549270343,619500,0.0,1.0
2001-09-27,25.6,25.95,24.81,24.98,10.2017217702,597300,0.0,1.0
2001-09-28,25.0,26.25,25.0,25.96,10.6019494457,1213300,0.0,1.0
2001-10-01,26.05,28.24,26.0,28.23,11.5290074288,208600,0.0,1.0
2001-10-02,28.25,28.45,27.79,28.0,11.4350764438,179100,0.0,1.0
2001-10-03,29.25,29.25,27.82,29.22,11.9333190602,235300,0.0,1.0
2001-10-04,31.9,31.9,29.2,31.0,12.6602632056,274100,0.0,1.0
2001-10-05,30.95,30.95,29.4,30.19,12.3294627799,176000,0.0,1.0
2001-10-08,30.75,30.75,28.51,28.51,11.6433581933,246600,0.0,1.0
2001-10-09,30.2,30.2,26.75,29.89,12.2069441037,397600,0.0,1.0
2001-10-10,29.9,30.3,29.5,29.74,12.1456847656,347100,0.0,1.0
2001-10-11,29.74,29.74,28.55,28.79,11.7577089577,339700,0.0,1.0
2001-10-12,28.8,28.9,27.8,27.81,11.3574812822,468100,0.0,1.0
2001-10-15,27.79,30.0,27.3,29.0,11.843472031,453100,0.0,1.0
2001-10-16,29.1,29.1,28.6,28.7,11.7209533548,94600,0.0,1.0
2001-10-17,28.76,29.54,28.65,28.66,11.7046175314,342800,0.0,1.0
2001-10-18,28.66,30.2,28.66,29.46,12.0313340012,850100,0.0,1.0
2001-10-19,29.5,29.7,29.3,29.4,12.0068302659,366800,0.0,1.0
2001-10-22,29.46,29.68,29.3,29.51,12.0517537805,365200,0.0,1.0
2001-10-23,29.56,29.94,29.56,29.85,12.1906082802,248500,0.0,1.0
2001-10-24,30.1,30.1,29.7,30.02,12.2600355301,162900,0.0,1.0
2001-10-25,30.03,30.08,29.95,30.0,12.2518676183,287200,0.0,1.0
2001-10-26,30.0,30.0,29.75,29.95,12.2314478389,74100,0.0,1.0
2001-10-29,29.65,30.0,29.48,29.49,12.0435858688,113500,0.0,1.0
2001-10-30,29.3,29.3,27.5,27.78,11.3452294146,214600,0.0,1.0
2001-10-31,27.88,28.6,27.6,28.5,11.6392742374,390900,0.0,1.0
2001-11-01,28.5,28.5,27.85,27.88,11.3860689733,207100,0.0,1.0
2001-11-02,27.89,27.91,27.68,27.78,11.3452294146,377600,0.0,1.0
2001-11-05,27.9,28.3,27.9,28.03,11.4473283114,628800,0.0,1.0
2001-11-06,28.05,28.05,27.93,27.94,11.4105727085,289900,0.0,1.0
2001-11-07,28.05,28.05,27.74,27.99,11.4309924879,303000,0.0,1.0
2001-11-08,28.05,28.82,27.93,28.58,11.6719458844,151500,0.0,1.0
2001-11-09,28.68,28.69,27.99,28.15,11.4963357818,147600,0.0,1.0
2001-11-12,28.6,28.74,27.99,28.74,11.7372891783,102100,0.0,1.0
2001-11-13,28.74,29.02,28.31,29.02,11.8516399428,96700,0.0,1.0
2001-11-14,29.12,29.5,29.0,29.4,12.0068302659,79100,0.0,1.0
2001-11-15,29.4,30.26,29.0,29.9,12.2110280596,127800,0.0,1.0
2001-11-16,30.0,30.35,29.7,30.04,12.2682034418,151600,0.0,1.0
2001-11-19,30.15,30.89,30.01,30.81,12.582668044,113400,0.0,1.0
2001-11-20,30.8,30.9,30.3,30.36,12.3988900297,204200,0.0,1.0
2001-11-21,30.5,30.5,30.05,30.5,12.4560654119,125000,0.0,1.0
2001-11-23,30.5,30.5,30.37,30.49,12.4519814561,92900,0.0,1.0
2001-11-26,30.45,30.6,30.1,30.49,12.4519814561,110100,0.0,1.0
2001-11-27,30.44,30.74,30.3,30.5,12.4560654119,113100,0.0,1.0
2001-11-28,30.48,30.48,30.21,30.21,12.3376306916,148900,0.0,1.0
2001-11-29,30.2,30.4,29.75,29.99,12.2477836624,182200,0.0,1.0
2001-11-30,29.99,29.99,29.07,29.42,12.0149981777,175800,0.0,1.0
2001-12-03,29.7,29.7,29.0,29.11,11.8883955456,603000,0.0,1.0
2001-12-04,29.1,29.36,28.95,29.21,11.9292351044,133000,0.0,1.0
2001-12-05,29.31,30.85,29.31,30.68,12.5295766177,470300,0.0,1.0
2001-12-06,30.68,30.68,30.43,30.5,12.4560654119,139300,0.0,1.0
2001-12-07,31.0,31.0,30.37,30.72,12.5459124411,119200,0.0,1.0
2001-12-10,30.49,31.25,30.36,30.94,12.6357594703,290100,0.0,1.0
2001-12-11,30.93,31.89,30.93,31.47,12.8522091316,142000,0.0,1.0
2001-12-12,31.5,31.95,31.5,31.95,13.0482390135,87300,0.0,1.0
