dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,40.69,42.13,40.69,42.13,6.70077077061,189900,0.0,1.0
1999-11-02,42.25,43.56,41.75,43.06,6.84868714414,295900,0.0,1.0
1999-11-03,44.0,44.31,43.5,44.25,7.03795648231,228400,0.0,1.0
1999-11-04,45.0,45.13,44.19,44.94,7.14770088847,311600,0.0,1.0
1999-11-05,44.75,45.13,44.5,44.56,7.08726194015,219800,0.0,1.0
1999-11-08,44.63,45.63,44.63,45.5,7.23676881232,222000,0.0,1.0
1999-11-09,46.0,46.56,45.75,46.0,7.31629374432,243800,0.0,1.0
1999-11-10,46.0,46.88,46.0,46.38,7.37673269264,144700,0.0,1.0
1999-11-11,46.19,46.38,45.81,45.94,7.30675075248,123100,0.0,1.0
1999-11-12,46.25,46.69,45.63,46.13,7.33697022664,185400,0.0,1.0
1999-11-15,46.13,47.13,46.13,46.56,7.40536166816,99800,0.0,1.0
1999-11-16,46.81,47.75,46.81,47.38,7.53578255665,84300,0.0,1.0
1999-11-17,47.38,48.5,47.38,48.19,7.6646129465,117100,0.0,1.0
1999-11-18,48.38,48.5,47.94,48.0,7.63439347233,161400,0.0,1.0
1999-11-19,48.19,48.19,47.13,47.25,7.51510607433,119900,0.0,1.0
1999-11-22,47.25,47.88,47.0,47.0,7.47534360833,168700,0.0,1.0
1999-11-23,47.0,47.38,46.19,47.13,7.49602009065,202500,0.0,1.0
1999-11-24,47.25,47.5,46.94,47.06,7.48488660017,171100,0.0,1.0
1999-11-26,47.13,47.31,47.0,47.06,7.48488660017,53300,0.0,1.0
1999-11-29,47.06,47.44,46.81,47.38,7.53578255665,197900,0.0,1.0
1999-11-30,47.56,48.75,47.38,48.5,7.71391840434,210500,0.0,1.0
1999-12-01,49.0,49.0,47.63,48.25,7.67415593834,162600,0.0,1.0
1999-12-02,48.25,48.25,46.94,47.0,7.47534360833,117700,0.0,1.0
1999-12-03,47.5,49.25,47.31,49.0,7.79344333634,131600,0.0,1.0
1999-12-06,49.13,49.5,48.13,48.31,7.68369893018,98900,0.0,1.0
1999-12-07,48.38,48.5,46.63,46.63,7.41649515864,95500,0.0,1.0
1999-12-08,46.75,48.5,46.69,48.38,7.69483242066,132400,0.0,1.0
1999-12-09,48.25,48.31,46.25,46.25,7.35605621032,99100,0.0,1.0
1999-12-10,46.75,47.44,46.5,47.19,7.50556308249,197400,0.0,1.0
1999-12-13,47.19,47.88,47.0,47.5,7.55486854033,161300,0.0,1.0
1999-12-14,47.5,53.44,47.38,52.75,8.38988032637,380000,0.0,1.0
1999-12-15,52.75,52.75,49.63,49.94,7.94295020851,243200,0.0,1.0
1999-12-16,49.75,52.25,49.56,52.0,8.27059292836,216300,0.0,1.0
1999-12-17,52.88,52.88,51.63,52.88,8.41055680869,177300,0.0,1.0
1999-12-20,52.75,52.75,51.25,51.5,8.19106799636,211900,0.0,1.0
1999-12-21,51.5,52.5,50.88,51.88,8.25150694468,189200,0.0,1.0
1999-12-22,51.63,52.69,51.63,52.25,8.31035539436,78700,0.0,1.0
1999-12-23,52.75,54.75,52.63,54.25,8.62845512238,239200,0.0,1.0
1999-12-27,54.0,55.81,54.0,54.5,8.66821758838,139900,0.0,1.0
1999-12-28,54.5,55.88,54.5,55.69,8.85748692655,156400,0.0,1.0
1999-12-29,55.69,56.5,55.25,56.25,8.94655485039,146100,0.0,1.0
1999-12-30,56.38,56.63,56.0,56.19,8.93701185855,61800,0.0,1.0
1999-12-31,56.38,57.31,55.69,57.31,9.11514770624,39300,0.0,1.0
2000-01-03,57.5,57.62,54.88,55.0,8.74774252038,148500,0.0,1.0
2000-01-04,54.81,54.94,54.13,54.31,8.63799811422,75300,0.0,1.0
2000-01-05,54.31,55.88,54.31,55.75,8.86702991839,144200,0.0,1.0
2000-01-06,54.88,55.75,54.81,55.25,8.78750498638,221700,0.0,1.0
2000-01-07,55.25,56.5,54.88,55.19,8.77796199454,300100,0.0,1.0
2000-01-10,56.25,57.75,55.94,57.25,9.1056047144,186000,0.0,1.0
2000-01-11,57.13,59.0,56.13,57.81,9.19467263824,246800,0.0,1.0
2000-01-12,57.88,59.75,57.88,59.0,9.38394197641,467000,0.0,1.0
2000-01-13,59.13,60.5,59.13,59.5,9.46346690841,343400,0.0,1.0
2000-01-14,59.75,60.0,59.0,59.63,9.48414339074,271600,0.0,1.0
2000-01-18,59.81,59.88,58.5,58.69,9.33463651857,177100,0.0,1.0
2000-01-19,58.63,59.0,56.88,57.0,9.0658422484,294400,0.0,1.0
2000-01-20,57.13,57.13,55.31,55.56,8.83681044423,175200,0.0,1.0
2000-01-21,55.69,55.88,54.63,55.19,8.77796199454,196800,0.0,1.0
2000-01-24,56.13,57.0,54.0,54.75,8.70798005438,317900,0.0,1.0
2000-01-25,54.63,55.75,52.75,53.25,8.46940525837,174800,0.0,1.0
2000-01-26,53.25,55.0,53.0,54.75,8.70798005438,203000,0.0,1.0
