dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-03-13,38.6,39.3,38.0,39.2,37.588102426,305985,0.0,1.0
2019-03-14,39.5,40.65,39.32,39.96,38.3168513506,279685,0.0,1.0
2019-03-15,40.55,41.05,40.5,41.02,39.3332643243,164177,0.0,1.0
2019-03-18,41.73,41.73,40.47,40.86,39.1798434981,581717,0.0,1.0
2019-03-19,41.4,41.4,39.05,39.55,37.9237104834,2540234,0.0,1.0
2019-03-20,39.85,39.851,37.46,37.6,36.0538941637,5147908,0.0,1.0
2019-03-21,38.0,38.91,37.84,38.88,37.2812607735,8865546,0.0,1.0
2019-03-22,38.76,38.84,36.55,37.46,35.9196509407,4902540,0.0,1.0
2019-03-25,37.57,37.81,36.35,36.45,34.9511819752,4035118,0.0,1.0
2019-03-26,36.46,37.35,36.46,36.71,35.2004908178,3350854,0.0,1.0
2019-03-27,36.75,37.17,36.06,36.2,34.7114619342,2871305,0.0,1.0
2019-03-28,36.14,36.47,35.55,35.67,34.2032554473,2220583,0.0,1.0
2019-03-29,35.88,36.17,35.39,35.88,34.4046202817,2679171,0.0,1.0
2019-04-01,36.17,36.34,35.94,36.15,34.663517926,4338366,0.0,1.0
2019-04-02,36.21,36.46,35.21,35.7,34.2320218522,1491180,0.0,1.0
2019-04-03,35.78,35.89,35.3,35.5,34.0402458195,2831551,0.0,1.0
2019-04-04,35.56,36.07,35.39,36.03,34.5484523063,2223200,0.0,1.0
2019-04-05,35.99,37.09,35.94,36.98,35.4593884621,2116209,0.0,1.0
2019-04-08,36.94,36.94,36.65,36.85,35.3347340408,1928972,0.0,1.0
2019-04-09,36.81,37.07,36.59,36.89,35.3730892473,1793850,0.0,1.0
2019-04-10,36.91,37.05,35.86,35.93,34.4525642899,843636,0.0,1.0
2019-04-11,35.98,36.5,35.53,36.41,34.9128267686,978211,0.0,1.0
2019-04-12,36.47,37.08,35.92,36.95,35.4306220571,3175196,0.0,1.0
2019-04-15,36.91,36.99,36.47,36.98,35.4593884621,891220,0.0,1.0
2019-04-16,37.11,37.28,36.93,37.21,35.6799308998,1869325,0.0,1.0
2019-04-17,37.18,38.25,37.18,38.21,36.6388110637,2122111,0.0,1.0
2019-04-18,38.34,38.37,37.92,37.92,36.3607358162,2315174,0.0,1.0
2019-04-22,37.84,37.88,37.11,37.24,35.7086973047,1665002,0.0,1.0
2019-04-23,37.22,37.82,37.07,37.6,36.0538941637,5455096,0.0,1.0
2019-04-24,37.51,37.76,37.33,37.45,35.9100621391,1230821,0.0,1.0
2019-04-25,37.48,37.68,37.04,37.64,36.0922493703,1422924,0.0,1.0
2019-04-26,37.8,37.94,37.4,37.91,36.3511470145,2505690,0.0,1.0
2019-04-29,37.74,38.91,37.69,38.73,37.1374287489,1716829,0.0,1.0
2019-04-30,38.59,38.78,37.89,38.5,36.9168863112,1809965,0.0,1.0
2019-05-01,38.66,38.8,38.09,38.74,37.1470175506,1474972,0.0,1.0
2019-05-02,38.75,38.8,36.5,36.84,35.3251452391,2627742,0.0,1.0
2019-05-03,36.86,37.26,36.64,37.02,35.4977436686,1229683,0.0,1.0
2019-05-06,36.72,37.4,36.47,37.31,35.7758189162,1534153,0.0,1.0
2019-05-07,36.97,37.22,36.575,36.7,35.1909020162,1412324,0.0,1.0
2019-05-08,36.56,37.08,36.27,36.82,35.3059676358,2108681,0.0,1.0
2019-05-09,38.08,38.63,36.95,37.97,36.4086798244,3458170,0.0,1.0
2019-05-10,37.9,38.25,36.98,38.05,36.4853902375,1633502,0.0,1.0
2019-05-13,37.48,38.15,37.22,37.5,35.9580061473,1598369,0.0,1.0
2019-05-14,37.54,38.025,37.405,37.48,35.938828544,1663135,0.0,1.0
2019-05-15,37.24,37.48,37.13,37.23,35.699108503,873872,0.0,1.0
2019-05-16,37.28,37.6,36.28,36.32,34.8265275539,2679971,0.0,1.0
2019-05-17,36.08,37.07,36.08,36.83,35.5360988752,1084397,0.23,1.0
2019-05-20,36.54,37.14,36.54,36.68,35.3913686327,996354,0.0,1.0
2019-05-21,36.82,37.525,36.64,37.18,35.8738027743,1272400,0.0,1.0
2019-05-22,37.1,37.29,36.62,36.67,35.3817199498,830229,0.0,1.0
2019-05-23,36.39,36.63,36.18,36.51,35.2273410245,1860127,0.0,1.0
2019-05-24,36.51,36.76,36.4,36.45,35.1694489275,828141,0.0,1.0
2019-05-28,36.59,36.95,36.11,36.16,34.8896371253,2384643,0.0,1.0
2019-05-29,36.0,36.16,35.28,35.3,34.0598504017,1437579,0.0,1.0
2019-05-30,35.36,35.695,34.69,34.81,33.5870649428,1079668,0.0,1.0
2019-05-31,34.55,34.81,34.25,34.71,33.4905781145,1736450,0.0,1.0
2019-06-03,34.61,34.81,33.32,33.78,32.593250611,2219530,0.0,1.0
2019-06-04,34.03,34.81,33.75,34.09,32.8923597788,2276227,0.0,1.0
2019-06-05,34.24,34.57,33.9,34.02,32.824818999,1346948,0.0,1.0
2019-06-06,34.01,34.23,33.6,33.74,32.5546558797,1209050,0.0,1.0
2019-06-07,33.84,34.05,33.66,33.68,32.4967637827,925130,0.0,1.0
2019-06-10,33.86,34.0377,33.56,33.74,32.5546558797,1142811,0.0,1.0
2019-06-11,33.77,34.04,33.65,33.83,32.6414940252,1201832,0.0,1.0
2019-06-12,33.81,34.735,33.8,34.7,33.4809294317,2240306,0.0,1.0
2019-06-13,34.96,35.12,34.6,34.94,33.7124978197,1315426,0.0,1.0
2019-06-14,34.99,35.16,34.56,34.96,33.7317951853,2414743,0.0,1.0
2019-06-17,35.18,35.965,35.04,35.8,34.5422845433,2287969,0.0,1.0
2019-06-18,36.09,36.72,35.71,35.83,34.5712305918,2680862,0.0,1.0
2019-06-19,35.88,36.08,35.35,35.74,34.4843924463,2011514,0.0,1.0
2019-06-20,36.15,36.15,35.31,35.35,34.1080938158,1879719,0.0,1.0
2019-06-21,35.36,37.0,35.04,35.88,34.619474006,4338334,0.0,1.0
2019-06-24,35.72,35.79,35.39,35.54,34.2914187897,1621068,0.0,1.0
2019-06-25,35.45,35.52,34.9,35.19,33.9537148905,1853675,0.0,1.0
2019-06-26,35.46,35.89,35.16,35.31,34.0694990845,2271879,0.0,1.0
2019-06-27,35.36,36.12,35.06,35.75,34.4940411292,2880867,0.0,1.0
2019-06-28,35.89,36.64,35.67,36.53,35.2466383902,4921105,0.0,1.0
2019-07-01,36.82,36.87,35.715,35.96,34.6966634687,2691314,0.0,1.0
2019-07-02,35.96,36.57,35.96,36.53,35.2466383902,1431153,0.0,1.0
2019-07-03,36.7,36.77,36.31,36.35,35.0729620992,918880,0.0,1.0
2019-07-05,36.28,36.77,36.07,36.56,35.2755844387,1190558,0.0,1.0
2019-07-08,36.36,36.935,36.05,36.13,34.8606910768,910742,0.0,1.0
2019-07-09,35.98,36.29,35.79,36.01,34.7449068828,1661275,0.0,1.0
2019-07-10,36.11,36.41,36.03,36.14,34.8703397597,1177618,0.0,1.0
