dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-03-12,38.0,38.0,38.0,38.0,36.4750611032,10000,0.0,1.0
2019-03-13,39.0,39.9,38.7,39.75,38.154833654,20477364,0.0,1.0
2019-03-14,39.75,41.4,39.75,40.65,39.0187166801,6248563,0.0,1.0
2019-03-15,41.38,41.87,41.24,41.7,40.0265802106,7107258,0.0,1.0
2019-03-18,41.95,41.95,41.05,41.7,40.0265802106,4020942,0.0,1.0
2019-03-19,41.55,41.7,39.84,40.34,38.7211569711,10118472,0.0,1.0
2019-03-20,40.49,40.81,38.24,38.62,37.0701805211,15683238,0.0,1.0
2019-03-21,39.0,40.07,38.75,40.02,38.4139985618,12751732,0.0,1.0
2019-03-22,39.93,39.99,37.69,38.72,37.1661675241,10897994,0.0,1.0
2019-03-25,38.89,38.96,37.39,37.44,35.9375338869,9338926,0.0,1.0
2019-03-26,37.65,38.28,37.51,37.54,36.0335208898,6287100,0.0,1.0
2019-03-27,37.52,37.91,36.76,36.92,35.4384014718,5578118,0.0,1.0
2019-03-28,36.85,37.15,36.34,36.4,34.9392690567,5326238,0.0,1.0
2019-03-29,36.55,36.91,36.15,36.71,35.2368287657,5895347,0.0,1.0
2019-04-01,36.91,37.15,36.71,36.85,35.3712105698,5311201,0.0,1.0
2019-04-02,36.96,37.18,35.9,36.28,34.8240846532,6704831,0.0,1.0
2019-04-03,36.37,36.56,35.9,36.08,34.6321106474,8393708,0.0,1.0
2019-04-04,36.2,36.8,36.01,36.76,35.2848222672,4908406,0.0,1.0
2019-04-05,36.79,37.85,36.69,37.68,36.1679026939,7344894,0.0,1.0
2019-04-08,37.6,37.68,37.265,37.47,35.9663299878,3393260,0.0,1.0
2019-04-09,37.42,37.65,37.17,37.31,35.8127507831,5725894,0.0,1.0
2019-04-10,37.33,37.53,36.36,36.48,35.016058659,4828362,0.0,1.0
2019-04-11,36.57,37.16,35.99,37.09,35.6015793767,4791432,0.0,1.0
2019-04-12,37.15,37.62,36.47,37.53,36.0239221895,6368477,0.0,1.0
2019-04-15,37.46,37.57,36.99,37.53,36.0239221895,3927062,0.0,1.0
2019-04-16,37.67,37.85,37.47,37.75,36.2350935959,5721982,0.0,1.0
2019-04-17,37.87,38.85,37.76,38.84,37.2813519275,7603795,0.0,1.0
2019-04-18,38.91,39.0,38.43,38.44,36.8974039159,4737418,0.0,1.0
2019-04-22,38.36,38.44,37.62,37.7,36.1871000944,7675316,0.0,1.0
2019-04-23,37.79,38.39,37.63,38.08,36.5518507055,6328827,0.0,1.0
2019-04-24,37.95,38.31,37.805,37.96,36.436666302,5323550,0.0,1.0
2019-04-25,37.98,38.2,37.54,38.15,36.6190416075,5309675,0.0,1.0
2019-04-26,38.08,38.53,37.9,38.48,36.9357987171,5297417,0.0,1.0
2019-04-29,38.54,39.525,38.31,39.2,37.626905138,6885177,0.0,1.0
2019-04-30,39.19,39.33,38.47,38.99,37.4253324319,5044352,0.0,1.0
2019-05-01,39.12,39.49,38.66,39.4,37.8188791438,5149829,0.0,1.0
2019-05-02,39.23,39.47,37.08,37.28,35.7839546822,11495855,0.0,1.0
2019-05-03,37.41,37.75,37.12,37.47,35.9663299878,4809763,0.0,1.0
2019-05-06,37.17,37.99,36.96,37.92,36.3982715008,4801609,0.0,1.0
2019-05-07,37.58,37.81,37.12,37.26,35.7647572817,6053297,0.0,1.0
2019-05-08,37.34,37.7,36.855,37.42,35.9183364863,8635285,0.0,1.0
2019-05-09,38.5,39.25,37.51,38.5,36.9549961177,15210152,0.0,1.0
2019-05-10,38.64,38.75,37.44,38.53,36.9837922185,6742528,0.0,1.0
2019-05-13,37.77,38.68,37.73,37.97,36.4462650023,5604035,0.0,1.0
2019-05-14,38.05,38.52,37.872,37.89,36.3694754,6198619,0.0,1.0
2019-05-15,37.7,37.97,37.57,37.71,36.1966987947,2975433,0.0,1.0
2019-05-16,37.91,38.08,36.7,36.74,35.2656248666,8705008,0.0,1.0
2019-05-17,36.56,37.59,36.55,37.32,36.0431195901,5507954,0.23,1.0
2019-05-20,37.18,37.64,37.0,37.14,35.8692781773,3670004,0.0,1.0
2019-05-21,37.26,38.0,37.1,37.69,36.400460272,4668608,0.0,1.0
2019-05-22,37.66,37.76,37.055,37.12,35.8499624647,3431178,0.0,1.0
2019-05-23,36.82,37.08,36.63,36.91,35.6471474831,4431862,0.0,1.0
2019-05-24,37.05,37.205,36.85,36.92,35.6568053394,2878988,0.0,1.0
2019-05-28,36.97,37.34,36.505,36.64,35.3863853639,4380381,0.0,1.0
2019-05-29,36.5,36.65,35.79,35.79,34.5654675812,3691294,0.0,1.0
2019-05-30,35.88,36.155,35.15,35.22,34.0149697739,4730387,0.0,1.0
