dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-12-09,27.25,28.11,26.99,27.92,25.7484790702,10609700,0.0,1.0
2010-12-10,27.4,27.72,27.06,27.41,25.2781451043,1206800,0.0,1.0
2010-12-13,27.5,27.72,27.0,27.4,25.2689228697,473200,0.0,1.0
2010-12-14,27.7,27.97,27.02,27.31,25.1859227581,358200,0.0,1.0
2010-12-15,27.2,27.7,27.19,27.45,25.3150340428,242200,0.0,1.0
2010-12-16,27.6,27.65,27.205,27.65,25.4994787353,260000,0.0,1.0
2010-12-17,27.55,28.06,27.5,28.06,25.8775903549,69800,0.0,1.0
2010-12-20,28.1,28.42,27.84,28.14,25.9513682319,65900,0.0,1.0
2010-12-21,28.17,29.04,28.01,28.91,26.6614802979,210200,0.0,1.0
2010-12-22,29.0,30.5204,28.96,29.45,27.1594809676,103000,0.0,1.0
2010-12-23,29.68,29.68,28.89,29.1,26.8367027558,66100,0.0,1.0
2010-12-27,29.15,29.3599,28.87,28.98,26.7260359403,29800,0.0,1.0
2010-12-28,28.99,29.125,28.81,29.05,26.7905915827,90200,0.0,1.0
2010-12-29,29.25,29.25,28.84,29.08,26.8182582865,85300,0.0,1.0
2010-12-30,29.23,29.95,28.61,28.96,26.7075914711,149800,0.0,1.0
2010-12-31,29.0,29.12,28.83,29.12,26.855147225,68800,0.0,1.0
2011-01-03,29.5,29.51,28.735,28.98,26.7260359403,230900,0.0,1.0
2011-01-04,29.23,29.23,28.5,28.53,26.3110353822,56500,0.0,1.0
2011-01-05,28.68,28.9,28.3,28.41,26.2003685667,178700,0.0,1.0
2011-01-06,28.61,29.21,28.53,29.0,26.7444804096,218600,0.0,1.0
2011-01-07,31.04,31.2,30.1501,30.54,28.1647045416,2144000,0.0,1.0
2011-01-10,30.89,31.33,30.82,30.9299,28.5242794696,621700,0.0,1.0
2011-01-11,31.2,31.24,30.41,30.58,28.2015934801,330800,0.0,1.0
2011-01-12,30.78,30.9,30.21,30.3,27.9433709107,216500,0.0,1.0
2011-01-13,30.38,30.76,30.3,30.51,28.1370378378,132800,0.0,1.0
2011-01-14,30.67,31.35,30.59,31.35,28.9117055462,269100,0.0,1.0
2011-01-18,31.15,31.47,30.3,30.89,28.4874827535,49400,0.0,1.0
2011-01-19,30.67,30.83,30.41,30.52,28.1462600724,300200,0.0,1.0
2011-01-20,30.3,31.09,29.98,30.6,28.2200379494,155300,0.0,1.0
2011-01-21,30.71,30.71,29.99,30.22,27.8695930337,152300,0.0,1.0
2011-01-24,30.18,30.44,29.8,30.3,27.9433709107,85000,0.0,1.0
2011-01-25,30.21,30.32,30.0,30.32,27.9618153799,54100,0.0,1.0
2011-01-26,30.27,30.4399,30.07,30.35,27.9894820838,62600,0.0,1.0
2011-01-27,30.71,31.0,30.29,30.31,27.9525931453,168400,0.0,1.0
2011-01-28,30.19,30.2,29.3,29.72,27.4084813025,311600,0.0,1.0
2011-01-31,29.78,29.7801,29.56,29.73,27.4177035371,57400,0.0,1.0
2011-02-01,29.75,29.86,29.22,29.28,27.002702979,197800,0.0,1.0
2011-02-02,29.13,29.49,29.05,29.12,26.855147225,100500,0.0,1.0
2011-02-03,29.09,29.2997,28.88,28.9,26.6522580633,169600,0.0,1.0
2011-02-04,28.89,29.22,28.6,29.2,26.928925102,146300,0.0,1.0
2011-02-07,29.74,29.74,29.45,29.5,27.2055921408,148300,0.0,1.0
2011-02-08,29.67,29.89,29.2,29.84,27.519148118,107300,0.0,1.0
2011-02-09,29.62,29.7499,29.4,29.46,27.1687032023,35800,0.0,1.0
2011-02-10,29.26,29.42,28.58,29.25,26.9750362752,197400,0.0,1.0
2011-02-11,29.2,29.37,28.84,29.13,26.8643694597,91600,0.0,1.0
2011-02-14,29.0,29.1,28.66,28.83,26.5877024209,75900,0.0,1.0
2011-02-15,28.8,29.15,28.8,29.04,26.781369348,59800,0.0,1.0
2011-02-16,29.03,29.14,28.8,29.14,26.8735916943,75800,0.0,1.0
2011-02-17,29.15,29.33,28.98,29.02,26.7629248788,49700,0.0,1.0
2011-02-18,29.02,29.76,29.0,29.76,27.445370241,59100,0.0,1.0
2011-02-22,29.5,29.71,29.0,29.21,26.9381473367,146200,0.0,1.0
2011-02-23,29.0,29.6,29.0,29.06,26.7998138173,158500,0.0,1.0
2011-02-24,29.08,29.415,29.02,29.1,26.8367027558,102300,0.0,1.0
2011-02-25,29.12,29.88,29.12,29.3,27.0211474483,99600,0.0,1.0
2011-02-28,29.34,29.88,29.2,29.25,26.9750362752,182900,0.0,1.0
2011-03-01,29.4,29.4599,28.95,29.06,26.7998138173,133100,0.0,1.0
2011-03-02,29.0,29.08,28.5,28.74,26.5047023093,177600,0.0,1.0
2011-03-03,28.58,29.1,28.58,29.08,26.8182582865,101500,0.0,1.0
2011-03-04,29.1,29.22,28.7,28.8,26.5600357171,119400,0.0,1.0
2011-03-07,28.92,28.92,27.96,28.0,25.8222569472,183800,0.0,1.0
2011-03-08,28.0,28.87,27.93,28.74,26.5047023093,263200,0.0,1.0
2011-03-09,28.63,29.03,28.24,28.9,26.6522580633,147700,0.0,1.0
2011-03-10,28.66,28.75,28.16,28.5,26.2833686784,134100,0.0,1.0
2011-03-11,28.02,28.43,27.76,28.28,26.0804795166,143200,0.0,1.0
2011-03-14,27.98,28.29,27.9,28.18,25.9882571704,119100,0.0,1.0
2011-03-15,27.71,29.25,27.6,29.07,26.8090360519,278700,0.0,1.0
2011-03-16,29.01,29.44,28.34,29.36,27.076480856,421600,0.0,1.0
2011-03-17,29.47,30.0,29.4,29.97,27.6390371681,154400,0.0,1.0
2011-03-18,30.0,30.34,29.9,30.34,27.9802598492,209200,0.0,1.0
2011-03-21,30.41,30.69,29.9098,30.59,28.2108157148,83600,0.0,1.0
2011-03-22,30.5,30.5,29.61,29.77,27.4545924756,114200,0.0,1.0
2011-03-23,29.61,30.01,29.61,29.9,27.5744815257,28300,0.0,1.0
2011-03-24,30.01,30.17,29.57,29.725,27.4130924198,110500,0.0,1.0
2011-03-25,29.82,30.9195,29.72,30.08,27.7404817489,203000,0.0,1.0
2011-03-28,30.06,30.49,29.897,30.37,28.007926553,158700,0.0,1.0
2011-03-29,30.27,30.37,29.96,30.1,27.7589262182,70700,0.0,1.0
2011-03-30,30.09,30.72,29.86,30.53,28.155482307,149000,0.0,1.0
2011-03-31,30.42,31.0,30.42,30.91,28.5059272227,95100,0.0,1.0
2011-04-01,30.91,30.93,30.35,30.72,28.3307047649,136000,0.0,1.0
2011-04-04,30.9,30.94,29.69,30.17,27.8234818606,276900,0.0,1.0
2011-04-05,30.07,30.24,29.52,29.83,27.5099258833,194800,0.0,1.0
2011-04-06,29.83,30.16,29.63,29.87,27.5468148218,85700,0.0,1.0
