dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,31.13,32.06,31.13,31.56,11.3476835604,507289,0.0,1.0
1999-11-02,31.56,32.63,31.56,32.06,11.5274630845,254267,0.0,1.0
1999-11-03,32.25,32.25,31.5,31.5,11.3261100175,351067,0.0,1.0
1999-11-04,31.56,33.25,31.5,32.25,11.5957793037,404622,0.0,1.0
1999-11-05,34.0,34.5,33.88,34.25,12.3148974,603022,0.0,1.0
1999-11-08,34.38,34.81,34.25,34.38,12.3616400763,527200,0.0,1.0
1999-11-09,34.38,34.44,33.5,33.81,12.1566914188,520000,0.0,1.0
1999-11-10,33.88,33.88,33.25,33.5,12.0452281139,293289,0.0,1.0
1999-11-11,33.75,34.25,33.69,34.06,12.2465811809,356222,0.0,1.0
1999-11-12,34.06,34.94,33.75,34.38,12.3616400763,554222,0.0,1.0
1999-11-15,34.44,34.75,34.06,34.5,12.4047871621,272089,0.0,1.0
1999-11-16,34.44,36.0,34.44,35.94,12.9225521914,1777067,0.0,1.0
1999-11-17,35.81,35.94,34.94,35.31,12.6960299911,322622,0.0,1.0
1999-11-18,35.31,35.31,34.0,34.31,12.3364709429,199467,0.0,1.0
1999-11-19,34.06,34.63,34.0,34.19,12.2933238571,212400,0.0,1.0
1999-11-22,34.0,34.25,33.75,33.88,12.1818605522,273022,0.0,1.0
1999-11-23,33.88,33.88,33.25,33.63,12.0919707901,308000,0.0,1.0
1999-11-24,33.25,33.38,32.81,32.81,11.7971323706,317422,0.0,1.0
1999-11-26,32.94,32.94,32.19,32.25,11.5957793037,78889,0.0,1.0
1999-11-29,32.44,32.44,31.63,31.81,11.4375733225,448000,0.0,1.0
1999-11-30,31.56,32.19,31.56,31.75,11.4159997796,295022,0.0,1.0
1999-12-01,31.5,31.75,31.06,31.06,11.1679040363,829200,0.0,1.0
1999-12-02,31.19,31.88,31.06,31.19,11.2146467126,575200,0.0,1.0
1999-12-03,31.88,32.88,31.63,31.88,11.4627424558,308000,0.0,1.0
1999-12-06,31.63,31.63,31.38,31.5,11.3261100175,272622,0.0,1.0
1999-12-07,31.31,31.5,30.75,30.75,11.0564407314,444489,0.0,1.0
1999-12-08,30.94,30.94,30.06,30.06,10.8083449882,161822,0.0,1.0
1999-12-09,29.81,30.25,29.5,30.19,10.8550876644,728089,0.0,1.0
1999-12-10,30.19,30.75,29.75,30.13,10.8335141215,127689,0.0,1.0
1999-12-13,30.13,30.63,29.63,29.88,10.7436243595,224489,0.0,1.0
1999-12-14,29.75,29.81,29.25,29.44,10.5854183783,256222,0.0,1.0
1999-12-15,29.69,29.69,28.75,28.88,10.3840653113,377689,0.0,1.0
1999-12-16,28.63,29.0,28.25,28.44,10.2258593301,295467,0.0,1.0
1999-12-17,26.56,28.31,26.56,28.0,10.0676533489,1155200,0.0,1.0
1999-12-20,28.19,28.5,27.75,27.94,10.046079806,191467,0.0,1.0
1999-12-21,27.88,28.31,27.13,27.81,9.99933712976,342622,0.0,1.0
1999-12-22,27.69,28.25,27.56,27.88,10.0245062631,193600,0.0,1.0
1999-12-23,28.13,29.44,27.88,29.06,10.44878594,330222,0.0,1.0
1999-12-27,28.81,30.0,28.75,28.88,10.3840653113,279822,0.0,1.0
1999-12-28,28.81,29.19,28.63,28.81,10.3588961779,126667,0.0,1.0
1999-12-29,29.06,29.06,28.56,28.81,10.3588961779,93867,0.0,1.0
1999-12-30,28.81,29.13,28.63,28.94,10.4056388542,179689,0.0,1.0
1999-12-31,29.13,29.25,28.94,29.06,10.44878594,51689,0.0,1.0
2000-01-03,28.81,28.94,28.0,28.31,10.1791166539,241067,0.0,1.0
2000-01-04,27.88,28.06,27.63,27.75,9.97776358687,286889,0.0,1.0
2000-01-05,28.13,28.13,27.75,27.75,10.0101239012,177867,0.09,1.0
2000-01-06,27.5,28.13,27.0,27.69,9.98848039007,145422,0.0,1.0
2000-01-07,27.75,28.56,27.75,28.25,10.190486494,165600,0.0,1.0
2000-01-10,28.5,28.56,27.69,27.88,10.0570181753,192222,0.0,1.0
2000-01-11,27.63,28.0,27.31,27.81,10.0317674123,468222,0.0,1.0
2000-01-12,27.88,28.0,27.38,27.69,9.98848039007,264489,0.0,1.0
2000-01-13,27.63,28.25,27.44,27.94,10.0786616865,313422,0.0,1.0
2000-01-14,28.0,28.25,27.19,27.38,9.87665558253,604489,0.0,1.0
2000-01-18,27.25,27.25,25.75,25.75,9.28867352995,877689,0.0,1.0
2000-01-19,25.94,26.0,24.38,24.38,8.79448002564,759689,0.0,1.0
2000-01-20,24.63,24.69,23.38,23.63,8.52393613642,734622,0.0,1.0
