dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,26.12,26.69,26.12,26.31,12.6518967175,485500,0.0,1.0
1999-11-02,26.31,27.12,26.25,26.69,12.8346303075,347000,0.0,1.0
1999-11-03,26.69,26.75,25.75,26.12,12.5605299225,605100,0.0,1.0
1999-11-04,26.12,26.25,25.81,26.0,12.5028245783,319400,0.0,1.0
1999-11-05,26.12,26.62,26.06,26.56,12.7721161846,239800,0.0,1.0
1999-11-08,27.0,27.0,26.0,26.38,12.6855581683,395600,0.0,1.0
1999-11-09,26.38,26.81,26.25,26.31,12.6518967175,171000,0.0,1.0
1999-11-10,26.25,26.56,26.12,26.19,12.5941913733,395300,0.0,1.0
1999-11-11,26.25,26.88,26.25,26.56,12.7721161846,120600,0.0,1.0
1999-11-12,26.56,27.0,26.25,26.25,12.6230440454,238800,0.0,1.0
1999-11-15,26.25,26.88,26.12,26.12,12.5605299225,398900,0.0,1.0
1999-11-16,26.38,26.94,26.19,26.94,12.9548497746,609700,0.0,1.0
1999-11-17,26.75,26.88,26.38,26.5,12.7432635125,257000,0.0,1.0
1999-11-18,26.5,26.69,26.12,26.19,12.5941913733,294100,0.0,1.0
1999-11-19,26.19,26.25,25.81,26.0,12.5028245783,317800,0.0,1.0
1999-11-22,25.88,26.19,25.5,26.06,12.5316772504,260600,0.0,1.0
1999-11-23,25.88,25.94,25.25,25.56,12.2912383162,237500,0.0,1.0
1999-11-24,25.5,26.06,25.44,26.0,12.5028245783,237100,0.0,1.0
1999-11-26,25.5,25.75,25.25,25.25,12.142166177,172500,0.0,1.0
1999-11-29,25.5,25.5,25.31,25.31,12.1710188491,309500,0.0,1.0
1999-11-30,25.31,25.81,25.31,25.75,12.3826051112,257000,0.0,1.0
1999-12-01,25.5,25.69,25.44,25.56,12.416266562,358900,0.26,1.0
1999-12-02,25.56,25.94,25.5,25.81,12.5377089188,300700,0.0,1.0
1999-12-03,25.88,26.25,25.81,25.88,12.5717127787,385600,0.0,1.0
1999-12-06,25.88,26.19,25.88,26.12,12.6882974412,706900,0.0,1.0
1999-12-07,26.12,26.25,25.88,25.94,12.6008589443,371200,0.0,1.0
1999-12-08,26.0,26.06,25.56,25.88,12.5717127787,659600,0.0,1.0
1999-12-09,25.62,25.75,25.25,25.31,12.2948242051,475100,0.0,1.0
1999-12-10,25.31,25.38,25.0,25.31,12.2948242051,340100,0.0,1.0
1999-12-13,25.5,25.5,25.0,25.28,12.2802511223,414300,0.0,1.0
