dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,35.5,36.44,35.13,36.19,23.9151761708,2847000,0.0,1.0
1999-11-02,36.44,37.69,36.0,36.13,23.8755268044,2470200,0.0,1.0
1999-11-03,36.38,36.44,34.75,35.5,23.4592084571,2296800,0.0,1.0
1999-11-04,35.0,35.0,32.69,33.75,22.3027686036,5710400,0.0,1.0
1999-11-05,34.19,34.44,32.38,32.75,21.6419458301,4502900,0.0,1.0
1999-11-08,32.56,32.75,32.06,32.06,21.1859781165,4320300,0.0,1.0
1999-11-09,32.0,33.0,32.0,33.0,21.8071515235,5041300,0.0,1.0
1999-11-10,33.0,34.69,32.94,34.19,22.5935306239,4964400,0.0,1.0
1999-11-11,35.25,35.38,33.44,34.25,22.6331799903,5505400,0.0,1.0
1999-11-12,35.0,36.81,34.56,36.63,24.2059381911,5454900,0.0,1.0
1999-11-15,37.63,38.13,36.63,37.88,25.0319666579,3654900,0.0,1.0
1999-11-16,38.56,39.19,38.06,38.75,25.6068824708,4191200,0.0,1.0
1999-11-17,38.75,39.44,37.5,38.38,25.3623780446,3870500,0.0,1.0
1999-11-18,38.5,38.5,36.25,36.81,24.3248862903,4189100,0.0,1.0
1999-11-19,36.88,37.69,36.44,37.56,24.8205033704,3480800,0.0,1.0
1999-11-22,37.25,37.31,36.63,36.88,24.3711438844,3356400,0.0,1.0
1999-11-23,37.25,38.19,36.81,37.5,24.780854004,4187400,0.0,1.0
1999-11-24,38.25,38.44,37.75,38.25,25.2764710841,2390200,0.0,1.0
1999-11-26,38.31,39.75,37.94,38.94,25.7324387977,1405700,0.0,1.0
1999-11-29,39.94,42.25,39.75,41.38,27.3448463649,5283000,0.0,1.0
1999-11-30,41.38,42.44,40.44,40.56,26.8029716907,3808700,0.0,1.0
1999-12-01,41.25,44.75,40.63,44.0,29.0762020313,6305200,0.0,1.0
1999-12-02,44.06,44.06,39.75,43.13,28.5012862184,8551500,0.0,1.0
1999-12-03,43.44,44.0,41.88,42.13,27.840463445,4251800,0.0,1.0
1999-12-06,42.06,43.69,41.56,43.38,28.6664919118,2096400,0.0,1.0
1999-12-07,43.75,43.88,42.56,42.75,28.2501735645,2340300,0.0,1.0
1999-12-08,43.19,45.56,42.88,44.94,29.6973754384,3834400,0.0,1.0
1999-12-09,44.94,45.63,44.13,44.5,29.406613418,2860000,0.0,1.0
1999-12-10,44.0,45.75,43.06,45.25,29.9022304981,2243700,0.0,1.0
1999-12-13,44.13,44.75,43.94,44.06,29.1158513977,1494200,0.0,1.0
1999-12-14,44.0,44.63,43.25,43.75,28.910996338,2624500,0.0,1.0
1999-12-15,43.56,45.88,43.25,45.88,30.3185488454,3582900,0.0,1.0
1999-12-16,46.19,46.75,45.25,46.44,30.6886095985,3050500,0.0,1.0
1999-12-17,46.44,46.44,45.0,45.25,29.9022304981,3068100,0.0,1.0
1999-12-20,45.31,45.31,42.0,42.31,27.9740818098,3830600,0.0222,1.0
1999-12-21,42.19,43.75,41.44,43.44,28.7212033519,2024800,0.0,1.0
1999-12-22,43.06,43.19,41.69,42.25,27.9344116394,1644300,0.0,1.0
1999-12-23,42.63,44.19,42.5,43.75,28.9261658988,1494800,0.0,1.0
1999-12-27,44.13,45.88,44.13,45.88,30.3344569471,1728500,0.0,1.0
1999-12-28,45.5,46.88,44.69,46.88,30.9956264534,2925100,0.0,1.0
1999-12-29,46.75,46.88,45.69,46.31,30.6187598348,1429000,0.0,1.0
1999-12-30,46.25,46.88,45.88,46.25,30.5790896644,858800,0.0,1.0
1999-12-31,46.25,46.25,44.63,46.0,30.4137972879,1112200,0.0,1.0
2000-01-03,44.38,44.69,41.81,43.12,28.5096291099,3908500,0.0,1.0
2000-01-04,42.88,42.88,41.44,41.56,27.4782046801,2468700,0.0,1.0
2000-01-05,40.0,40.0,39.13,39.75,26.2814878738,4486200,0.0,1.0
2000-01-06,43.88,45.0,43.0,44.44,29.3823728581,5454800,0.0,1.0
2000-01-07,45.06,46.75,44.5,46.56,30.7840522114,3577200,0.0,1.0
2000-01-10,47.44,48.0,47.0,47.75,31.5708439238,3890400,0.0,1.0
2000-01-11,48.0,49.88,48.0,49.44,32.6882203894,4715900,0.0,1.0
2000-01-12,49.25,50.31,48.31,49.94,33.0188051425,4199800,0.0,1.0
2000-01-13,49.38,49.63,48.31,49.19,32.5229280128,3074200,0.0,1.0
2000-01-14,48.56,48.75,47.69,47.81,31.6105140942,2287700,0.0,1.0
2000-01-18,47.25,47.88,46.94,47.81,31.6105140942,2388800,0.0,1.0
2000-01-19,47.63,48.25,47.44,47.81,31.6105140942,2728600,0.0,1.0
2000-01-20,47.81,47.81,46.38,47.0,31.0749667941,2087000,0.0,1.0
2000-01-21,46.75,46.94,45.06,45.13,29.8385798174,2085800,0.0,1.0
2000-01-24,45.19,45.5,42.31,42.56,28.1393741864,2469000,0.0,1.0
2000-01-25,43.13,44.44,43.0,44.31,29.2964208223,2815900,0.0,1.0
2000-01-26,44.19,45.94,43.75,45.13,29.8385798174,2446600,0.0,1.0
2000-01-27,46.0,46.19,44.13,45.0,29.7526277816,2130200,0.0,1.0
2000-01-28,44.44,45.31,43.44,43.5,28.7608735222,2666600,0.0,1.0
2000-01-31,43.63,44.94,42.75,44.69,29.5476652347,2555100,0.0,1.0
2000-02-01,44.94,46.63,44.88,46.0,30.4137972879,2413800,0.0,1.0
2000-02-02,45.63,47.44,44.94,46.81,30.949344588,1648300,0.0,1.0
2000-02-03,49.88,53.5,49.69,52.88,34.9626434909,8402700,0.0,1.0
2000-02-04,53.06,53.75,51.63,51.69,34.1758517785,5117300,0.0,1.0
2000-02-07,50.13,50.81,48.25,50.0,33.0584753129,3890300,0.0,1.0
2000-02-08,50.44,50.5,49.63,50.06,33.0981454833,2552700,0.0,1.0
2000-02-09,49.81,50.19,49.19,49.19,32.5229280128,1885300,0.0,1.0
2000-02-10,49.44,49.88,48.38,49.0,32.3973058067,1661100,0.0,1.0
2000-02-11,48.25,48.94,47.63,48.56,32.1063912239,1272100,0.0,1.0
2000-02-14,48.63,50.25,48.56,50.13,33.1444273487,1527800,0.0,1.0
2000-02-15,50.25,50.81,49.69,50.69,33.5146822722,1980500,0.0,1.0
2000-02-16,49.69,49.69,48.44,49.0,32.3973058067,2851300,0.0,1.0
2000-02-17,49.19,49.25,41.06,42.13,27.8550712987,5680300,0.0,1.0
2000-02-18,42.13,43.44,41.06,43.0,28.4302887691,7828000,0.0,1.0
2000-02-22,43.13,44.88,43.06,44.69,29.5476652347,3167400,0.0,1.0
2000-02-23,44.19,44.25,42.88,42.94,28.4052965618,3262200,0.0222,1.0
2000-02-24,42.81,42.94,41.56,42.94,28.4052965618,5456300,0.0,1.0
2000-02-25,44.81,47.69,44.31,46.81,30.9653454135,4504800,0.0,1.0
2000-02-28,46.44,46.94,45.63,46.13,30.5155177083,2128100,0.0,1.0
2000-02-29,46.56,48.38,46.13,48.31,31.9576124103,2151700,0.0,1.0
2000-03-01,47.81,47.88,46.25,47.88,31.6731625379,1571800,0.0,1.0
2000-03-02,42.56,45.06,41.75,44.25,29.2718764056,6736700,0.0,1.0
2000-03-03,44.88,46.13,44.13,45.5,30.0987655696,2646500,0.0,1.0
2000-03-06,45.5,45.5,44.5,45.0,29.768009904,1571800,0.0,1.0
2000-03-07,44.75,45.31,42.25,43.0,28.4449872416,3111400,0.0,1.0
2000-03-08,42.75,44.56,41.5,43.94,29.066807893,2305500,0.0,1.0
2000-03-09,43.25,45.63,42.63,45.63,30.1847620427,1991900,0.0,1.0
2000-03-10,44.88,46.81,44.5,46.13,30.5155177083,2283700,0.0,1.0
2000-03-13,45.63,45.94,45.25,45.94,30.3898305554,992700,0.0,1.0
2000-03-14,44.5,44.81,43.75,43.94,29.066807893,1765600,0.0,1.0
2000-03-15,44.0,45.88,43.56,45.0,29.768009904,3673100,0.0,1.0
2000-03-16,45.5,49.0,45.5,48.75,32.248677396,3352700,0.0,1.0
2000-03-17,48.31,48.44,46.44,46.44,30.720586221,2706900,0.0,1.0
2000-03-20,46.94,48.38,46.56,47.69,31.547475385,2355700,0.0,1.0
2000-03-21,48.31,50.06,48.13,49.25,32.5794330616,3142500,0.0,1.0
2000-03-22,48.88,48.88,46.88,47.38,31.3424068723,2511100,0.0,1.0
2000-03-23,46.81,48.06,44.69,47.81,31.6268567447,2490100,0.0,1.0
2000-03-24,47.81,47.81,46.44,46.75,30.9256547336,1782000,0.0,1.0
2000-03-27,46.81,47.25,45.88,46.38,30.6808955411,1539700,0.0,1.0
2000-03-28,46.0,47.75,45.75,46.06,30.4692119151,1279000,0.0,1.0
2000-03-29,47.13,49.38,46.94,48.94,32.374364549,2557900,0.0,1.0
2000-03-30,48.94,50.0,48.56,50.0,33.07556656,2670700,0.0,1.0
2000-03-31,49.94,50.19,47.94,49.81,32.9498794071,2629100,0.0,1.0
2000-04-03,48.5,50.81,48.13,50.0,33.07556656,2688800,0.0,1.0
2000-04-04,50.63,53.13,48.5,51.05,33.7701534578,5302500,0.0,1.0
2000-04-05,51.0,51.81,43.0,43.38,28.6963615475,4824800,0.0,1.0
2000-04-06,42.5,44.75,42.5,44.06,29.1461892527,11991200,0.0,1.0
2000-04-07,43.81,45.69,43.31,45.63,30.1847620427,4821300,0.0,1.0
2000-04-10,45.0,46.69,44.44,44.88,29.6886285443,3830900,0.0,1.0
2000-04-11,43.5,44.31,43.13,43.5,28.7757429072,3216500,0.0,1.0
2000-04-12,44.0,45.19,43.75,43.88,29.0271172131,3639600,0.0,1.0
2000-04-13,43.63,43.63,41.5,41.69,27.5784073978,3765700,0.0,1.0
2000-04-14,40.25,41.0,37.06,38.88,25.7195605571,5343800,0.0,1.0
2000-04-17,37.31,39.25,36.88,39.0,25.7989419168,4203700,0.0,1.0
2000-04-18,37.63,38.06,36.94,37.25,24.6412970872,3757300,0.0,1.0
2000-04-19,38.38,40.13,37.81,39.25,25.9643197496,3844500,0.0,1.0
2000-04-20,38.75,39.44,37.56,38.75,25.633564084,2248500,0.0,1.0
2000-04-24,38.38,39.75,38.19,39.5,26.1296975824,1911600,0.0,1.0
