dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,69.81,69.88,68.31,68.75,53.2190276243,924000,0.0,1.0
1999-11-04,69.69,70.75,69.44,70.13,54.2872786515,570400,0.0,1.0
1999-11-05,72.0,74.31,71.25,73.69,57.0430566638,1304900,0.0,1.0
1999-11-08,73.5,73.5,72.5,73.0,56.5089311502,651600,0.0,1.0
1999-11-09,73.5,73.56,71.75,71.88,55.6419448092,695600,0.0,1.0
1999-11-10,71.0,72.75,70.63,71.94,55.6883905061,678700,0.0,1.0
1999-11-11,72.0,73.5,71.56,73.31,56.7489005838,574300,0.0,1.0
1999-11-12,73.94,79.81,73.75,79.75,61.7340720442,2227700,0.0,1.0
1999-11-15,78.75,79.94,77.25,78.0,60.3794058865,997100,0.0,1.0
1999-11-16,78.38,83.0,78.38,82.81,64.1028025828,1505100,0.0,1.0
1999-11-17,81.13,81.38,78.56,79.56,61.5869940042,1245400,0.0,1.0
1999-11-18,79.81,81.13,79.25,80.19,62.074673821,1111500,0.0,1.0
1999-11-19,80.0,80.88,79.63,79.94,61.8811500842,329600,0.0,1.0
1999-11-22,79.5,80.25,78.5,79.69,61.6876263474,329900,0.0,1.0
1999-11-23,79.94,80.63,77.5,77.75,60.1858821497,656300,0.0,1.0
1999-11-24,77.5,77.75,76.75,77.13,59.7059432824,515700,0.0,1.0
1999-11-26,77.19,77.75,76.63,77.31,59.8452803729,107600,0.0,1.0
1999-11-29,77.25,77.25,74.38,74.5,57.6700735711,517900,0.0,1.0
1999-11-30,74.75,77.13,74.5,75.13,58.1577533878,925000,0.0,1.0
1999-12-01,74.75,76.19,74.75,76.19,58.9782940319,500000,0.0,1.0
1999-12-02,76.25,77.63,76.25,77.5,59.9923584129,453600,0.0,1.0
1999-12-03,78.5,80.69,78.38,79.06,61.1999465306,669500,0.0,1.0
1999-12-06,79.19,79.31,76.56,77.0,59.6053109392,295100,0.0,1.0
