dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,42.5,43.63,42.5,42.63,28.8420587167,399000,0.0,1.0
1999-11-02,42.56,42.75,41.63,41.88,28.3346333346,150700,0.0,1.0
1999-11-03,41.94,42.0,41.0,41.38,27.9963497466,208500,0.0,1.0
1999-11-04,41.94,42.25,40.63,41.06,27.8880989984,327100,0.16,1.0
1999-11-05,40.81,42.31,40.75,41.69,28.3159972539,310900,0.0,1.0
1999-11-08,41.81,43.5,41.06,41.81,28.3975016835,306900,0.0,1.0
1999-11-09,43.0,43.38,41.0,41.94,28.4857981489,274400,0.0,1.0
1999-11-10,41.69,42.56,40.75,41.69,28.3159972539,209600,0.0,1.0
1999-11-11,41.69,47.06,41.69,46.38,31.5014620445,1424600,0.0,1.0
1999-11-12,46.44,46.94,44.81,45.06,30.6049133187,604800,0.0,1.0
1999-11-15,46.31,46.63,45.13,45.31,30.7747142138,407400,0.0,1.0
1999-11-16,45.56,47.19,45.56,46.94,31.8818160493,419400,0.0,1.0
1999-11-17,46.69,46.75,45.06,45.44,30.8630106792,499700,0.0,1.0
1999-11-18,45.31,45.88,44.75,45.75,31.073563789,303400,0.0,1.0
1999-11-19,44.25,45.25,44.25,45.0,30.5641611039,197000,0.0,1.0
1999-11-22,44.81,45.25,44.38,44.38,30.1430548843,266700,0.0,1.0
1999-11-23,44.44,44.44,43.13,43.81,29.7559088436,337900,0.0,1.0
1999-11-24,44.63,46.0,44.44,45.81,31.1143160038,437600,0.0,1.0
1999-11-26,45.88,46.5,45.75,46.31,31.4539177939,166500,0.0,1.0
1999-11-29,46.38,48.31,46.38,47.88,32.5202674146,853800,0.0,1.0
1999-11-30,47.88,47.94,46.19,47.13,32.0108647295,336700,0.0,1.0
1999-12-01,46.63,47.5,45.56,47.44,32.2214178394,379500,0.0,1.0
1999-12-02,47.44,47.56,46.63,47.25,32.0923691591,209900,0.0,1.0
1999-12-03,48.5,49.0,47.56,47.75,32.4319709492,420000,0.0,1.0
1999-12-06,48.0,48.81,47.56,48.38,32.8598692046,432800,0.0,1.0
1999-12-07,48.63,49.56,48.5,48.94,33.2402232095,425600,0.0,1.0
1999-12-08,48.88,50.56,48.63,49.5,33.6205772143,586400,0.0,1.0
1999-12-09,49.75,49.75,47.13,47.5,32.2621700542,302200,0.0,1.0
1999-12-10,47.63,47.63,46.31,46.63,31.6712629395,420700,0.0,1.0
1999-12-13,48.63,50.63,47.88,49.23,33.4371922477,486600,0.0,1.0
1999-12-14,49.63,49.69,48.5,48.5,32.9413736342,556600,0.0,1.0
1999-12-15,48.63,48.63,47.25,47.81,32.472723164,552200,0.0,1.0
1999-12-16,47.5,47.5,45.63,46.19,31.3724133642,846200,0.0,1.0
1999-12-17,46.25,48.88,46.12,46.25,31.4131655791,582900,0.0,1.0
1999-12-20,47.25,47.38,46.0,46.63,31.6712629395,368300,0.0,1.0
1999-12-21,46.5,47.06,46.38,46.75,31.7527673691,211300,0.0,1.0
1999-12-22,46.38,46.56,45.56,45.94,31.2026124692,272500,0.0,1.0
1999-12-23,46.19,47.69,46.19,47.56,32.302922269,230400,0.0,1.0
1999-12-27,47.0,47.69,46.5,47.25,32.0923691591,267400,0.0,1.0
1999-12-28,47.19,49.25,47.19,48.5,32.9413736342,438600,0.0,1.0
1999-12-29,48.0,48.0,46.81,48.0,32.6017718442,287300,0.0,1.0
1999-12-30,48.0,48.13,47.5,48.0,32.6017718442,146800,0.0,1.0
1999-12-31,47.75,48.0,46.88,47.81,32.472723164,129000,0.0,1.0
2000-01-03,47.62,47.69,45.19,45.94,31.2026124692,334100,0.0,1.0
2000-01-04,45.75,46.0,44.56,44.63,30.3128557793,216500,0.0,1.0
2000-01-05,44.38,45.0,44.38,45.0,30.5641611039,277100,0.0,1.0
2000-01-06,45.0,45.13,44.75,45.06,30.6049133187,206300,0.0,1.0
2000-01-07,42.5,45.75,41.25,44.38,30.1430548843,1686300,0.0,1.0
2000-01-10,44.63,46.31,43.56,46.31,31.4539177939,562100,0.0,1.0
2000-01-11,46.06,48.88,45.63,48.5,32.9413736342,942300,0.0,1.0
2000-01-12,48.44,50.75,48.44,50.13,34.0484754698,1412800,0.0,1.0
2000-01-13,50.5,52.0,50.25,52.0,35.3185861646,892200,0.0,1.0
2000-01-14,52.75,56.25,52.75,55.63,37.7840951603,1107900,0.0,1.0
2000-01-18,55.63,55.69,53.63,54.63,37.1048915802,582300,0.0,1.0
2000-01-19,53.88,54.88,53.69,54.88,37.2746924752,305500,0.0,1.0
2000-01-20,55.0,55.25,53.88,54.63,37.1048915802,534900,0.0,1.0
2000-01-21,53.38,54.25,53.38,54.06,36.7177455395,537000,0.0,1.0
2000-01-24,54.06,54.5,54.0,54.19,36.8060420049,890100,0.0,1.0
2000-01-25,54.19,54.25,49.5,51.44,34.9382321597,796300,0.0,1.0
2000-01-26,50.44,51.38,49.88,50.38,34.2182763648,617500,0.0,1.0
2000-01-27,50.44,52.0,49.25,50.25,34.1299798994,426300,0.0,1.0
