dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,29.5,29.88,29.5,29.63,14.0426610081,244700,0.0,1.0
1999-11-02,29.75,30.06,29.38,29.56,14.0094856362,282000,0.0,1.0
1999-11-03,29.88,30.0,29.19,29.63,14.0426610081,308500,0.0,1.0
1999-11-04,29.75,30.5,29.63,29.75,14.0995330743,499000,0.0,1.0
1999-11-05,30.38,30.75,30.06,30.5,14.4549834879,935100,0.0,1.0
1999-11-08,30.41,30.44,29.38,29.38,13.9241775369,476000,0.0,1.0
1999-11-09,29.75,29.81,29.06,29.44,13.95261357,496100,0.0,1.0
1999-11-10,29.13,29.81,29.0,29.19,13.8341300988,373100,0.0,1.0
1999-11-11,29.13,29.5,28.75,29.19,13.8341300988,243700,0.0,1.0
1999-11-12,29.34,29.81,29.06,29.75,14.0995330743,276600,0.0,1.0
1999-11-15,29.63,29.69,29.25,29.31,13.891002165,240300,0.0,1.0
1999-11-16,29.34,30.0,29.31,29.56,14.0094856362,318400,0.0,1.0
1999-11-17,29.44,30.31,29.44,29.56,14.0094856362,383700,0.0,1.0
1999-11-18,29.63,30.25,29.5,29.63,14.0426610081,367700,0.0,1.0
1999-11-19,29.38,29.63,29.13,29.19,13.8341300988,288000,0.0,1.0
1999-11-22,29.0,29.13,28.44,28.5,13.5071157182,239900,0.0,1.0
1999-11-23,28.66,28.75,27.88,27.88,13.2132767096,217400,0.0,1.0
1999-11-24,27.97,28.31,27.5,27.69,13.1232292715,285300,0.0,1.0
1999-11-26,27.75,27.94,27.31,27.5,13.0331818334,77400,0.0,1.0
1999-11-29,27.19,27.38,26.75,27.0,12.796214891,263400,0.0,1.0
1999-11-30,27.0,28.13,27.0,27.69,13.1232292715,619300,0.0,1.0
1999-12-01,27.19,27.69,27.06,27.19,12.8862623291,519300,0.0,1.0
1999-12-02,27.44,27.63,26.81,26.94,12.7677788579,437900,0.0,1.0
1999-12-03,27.19,28.81,27.19,28.31,13.4170682801,580400,0.0,1.0
1999-12-06,28.38,28.38,26.44,26.72,12.6635134032,427100,0.0,1.0
1999-12-07,26.69,27.0,25.5,25.5,12.0853140637,622300,0.0,1.0
1999-12-08,25.56,25.75,24.75,25.06,11.8767831544,593200,0.0,1.0
1999-12-09,25.56,25.56,23.88,24.0,11.3744132364,932200,0.0,1.0
1999-12-10,24.44,25.75,24.44,24.69,11.701427617,825400,0.0,1.0
1999-12-13,24.5,24.69,24.0,24.06,11.4028492695,437300,0.0,1.0
1999-12-14,24.06,24.06,23.31,23.56,11.260669104,320400,0.2,1.0
1999-12-15,23.63,24.0,23.5,23.75,11.3514809517,671200,0.0,1.0
1999-12-16,23.84,23.94,22.69,23.19,11.0838249797,419100,0.0,1.0
1999-12-17,23.25,23.38,22.5,22.88,10.935658281,1072900,0.0,1.0
1999-12-20,23.0,23.06,21.44,21.44,10.2474000675,1061200,0.0,1.0
1999-12-21,21.94,23.22,21.94,22.88,10.935658281,1285500,0.0,1.0
1999-12-22,23.25,23.31,22.63,22.75,10.873523859,516400,0.0,1.0
1999-12-23,23.25,23.5,22.5,22.81,10.9022012845,454600,0.0,1.0
1999-12-27,22.44,23.63,22.38,23.06,11.0216905577,624900,0.0,1.0
1999-12-28,23.06,23.44,22.75,23.13,11.0551475542,577300,0.0,1.0
1999-12-29,23.25,23.75,23.06,23.56,11.260669104,401000,0.0,1.0
1999-12-30,23.69,23.94,23.31,23.63,11.2941261005,379100,0.0,1.0
1999-12-31,23.75,24.0,23.56,23.88,11.4136153737,275100,0.0,1.0
2000-01-03,23.69,24.0,21.5,22.44,10.7253571602,1184000,0.0,1.0
2000-01-04,22.25,22.5,21.56,21.75,10.3955667663,1327800,0.0,1.0
2000-01-05,21.63,21.75,21.25,21.5,10.2760774931,838200,0.0,1.0
2000-01-06,21.5,22.25,21.31,21.94,10.4863786139,401900,0.0,1.0
2000-01-07,22.13,22.25,21.94,22.13,10.5771904615,449500,0.0,1.0
2000-01-10,22.25,22.25,21.13,21.19,10.1279107943,489000,0.0,1.0
2000-01-11,21.19,21.38,20.69,21.31,10.1852656455,405300,0.0,1.0
2000-01-12,21.06,21.88,21.06,21.31,10.1852656455,455400,0.0,1.0
2000-01-13,22.0,22.23,21.25,21.56,10.3047549186,1044100,0.0,1.0
2000-01-14,21.75,22.13,21.56,21.94,10.4863786139,800200,0.0,1.0
2000-01-18,21.94,22.0,20.94,21.19,10.1279107943,892100,0.0,1.0
