dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,51.56,51.75,51.13,51.25,32.0418174764,600000,0.0,1.0
1999-11-02,51.19,52.25,51.19,51.88,32.435697379,1021000,0.0,1.0
1999-11-03,51.88,51.88,50.0,50.25,31.4166112817,880300,0.0,1.0
1999-11-04,50.75,52.5,50.75,51.94,32.4732097507,680100,0.0,1.0
1999-11-05,52.94,54.06,52.63,53.44,33.4110190427,970000,0.0,1.0
1999-11-08,53.19,53.81,50.63,52.25,32.6670236711,1103900,0.0,1.0
1999-11-09,52.5,52.88,51.56,52.13,32.5919989277,1112900,0.0,1.0
1999-11-10,52.13,52.13,50.0,50.44,31.5354004587,623000,0.0,1.0
1999-11-11,50.13,50.25,47.81,49.25,30.7914050871,1141000,0.0,1.0
1999-11-12,50.25,50.69,48.81,49.75,31.1040081844,1118500,0.0,1.0
1999-11-15,49.38,50.31,48.88,50.13,31.3415865384,568700,0.0,1.0
1999-11-16,50.19,50.56,49.63,50.5,31.5729128304,909900,0.0,1.0
1999-11-17,49.75,49.81,48.5,49.0,30.6351035384,645900,0.0,1.0
1999-11-18,48.75,48.94,47.56,48.0,30.0098973437,446900,0.0,1.0
1999-11-19,48.38,49.0,48.25,48.81,30.5163143614,472500,0.0,1.0
1999-11-22,48.0,48.19,47.19,47.5,29.6972942464,367200,0.0,1.0
1999-11-23,47.25,48.13,47.19,47.38,29.6222695031,675900,0.0,1.0
1999-11-24,47.13,47.19,45.5,45.56,28.4843942288,757500,0.0,1.0
1999-11-26,45.75,46.75,45.5,45.94,28.7219725827,460700,0.0,1.0
1999-11-29,45.69,46.38,45.06,45.19,28.4031174235,865700,0.24,1.0
1999-11-30,45.19,46.75,45.13,46.69,29.3459073357,894500,0.0,1.0
1999-12-01,46.44,47.31,46.44,47.13,29.6224590433,999000,0.0,1.0
1999-12-02,46.75,47.38,45.88,47.01,29.5470358503,660000,0.0,1.0
1999-12-03,48.0,48.0,45.88,46.0,28.9122239761,1468700,0.0,1.0
1999-12-06,45.5,45.63,43.19,43.19,27.1460642071,988100,0.0,1.0
1999-12-07,43.63,43.75,42.13,42.81,26.907224096,953200,0.0,1.0
1999-12-08,42.38,43.56,42.0,42.55,26.7438071779,1013600,0.0,1.0
1999-12-09,42.0,43.75,41.38,43.75,27.4980391077,1022700,0.0,1.0
1999-12-10,43.75,45.88,43.63,45.56,28.6356722685,1127900,0.0,1.0
1999-12-13,45.31,46.25,45.13,45.73,28.7425217919,1198000,0.0,1.0
1999-12-14,45.75,45.94,44.69,44.69,28.0888541194,767400,0.0,1.0
1999-12-15,44.56,44.81,43.38,43.88,27.5797475668,686500,0.0,1.0
1999-12-16,43.63,43.63,42.56,42.94,26.9889325551,727300,0.0,1.0
1999-12-17,42.38,44.25,42.38,43.25,27.1837758036,854200,0.0,1.0
1999-12-20,42.81,42.94,41.63,42.5,26.7123808475,878200,0.0,1.0
1999-12-21,42.25,42.94,42.0,42.94,26.9889325551,633500,0.0,1.0
1999-12-22,43.19,44.44,43.13,44.25,27.8123024118,558600,0.0,1.0
1999-12-23,44.5,46.5,44.5,45.94,28.8745123796,718000,0.0,1.0
1999-12-27,45.94,47.31,45.94,46.25,29.0693556281,792800,0.0,1.0
1999-12-28,46.25,46.94,46.13,46.38,29.1510640872,676500,0.0,1.0
1999-12-29,46.63,46.63,45.56,46.13,28.9939324352,443200,0.0,1.0
1999-12-30,46.19,47.75,46.06,47.06,29.5784621808,592100,0.0,1.0
1999-12-31,47.06,47.63,47.0,47.38,29.7795906954,312200,0.0,1.0
2000-01-03,47.12,47.12,45.06,45.25,28.44082902,571400,0.0,1.0
2000-01-04,44.25,44.5,43.31,43.75,27.4980391077,856900,0.0,1.0
2000-01-05,43.75,44.44,42.63,42.88,26.9512209586,797900,0.0,1.0
2000-01-06,42.5,43.0,42.25,42.81,26.907224096,975700,0.0,1.0
2000-01-07,43.0,45.0,43.0,44.81,28.1642773124,1578200,0.0,1.0
2000-01-10,45.06,45.06,44.0,44.06,27.6928823562,395800,0.0,1.0
2000-01-11,43.88,44.63,43.63,44.38,27.8940108708,703900,0.0,1.0
2000-01-12,44.38,44.63,43.31,43.56,27.3786190521,708800,0.0,1.0
2000-01-13,43.13,44.0,42.56,43.19,27.1460642071,924700,0.0,1.0
