dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2015-10-19,18.5,18.5,16.48,16.55,8.29545667277,1581576,0.0,1.0
2015-10-20,16.25,16.93,16.25,16.87,8.45585220964,709632,0.0,1.0
2015-10-21,17.25,17.35,16.4,16.48,8.26037014907,78598,0.0,1.0
2015-10-22,16.71,17.05,16.24,16.95,8.49595109386,110000,0.0,1.0
2015-10-23,17.25,17.25,16.85,17.0,8.5210128965,59910,0.0,1.0
2015-10-26,17.11,17.11,16.31,16.42,8.23029598591,514799,0.0,1.0
2015-10-27,16.56,16.75,15.6,15.73,7.88444310952,636017,0.0,1.0
2015-10-28,15.9,16.35,15.845,16.28,8.16012293853,296321,0.0,1.0
2015-10-29,16.01,16.27,15.55,15.95,7.99471504113,290446,0.0,1.0
2015-10-30,15.9,16.1,14.72,14.72,7.37819469626,2449278,0.0,1.0
2015-11-02,14.99,15.17,13.86,14.49,7.26291040413,40865891,0.0,1.0
2015-11-03,14.07,14.71,13.675,14.36,7.19774971728,40205612,0.0,1.0
2015-11-04,14.39,14.51,13.61,13.66,6.84688448036,31516491,0.0,1.0
2015-11-05,13.64,13.89,13.12,13.28,6.65641478032,22189959,0.0,1.0
2015-11-06,13.18,14.48,13.15,14.4,7.21779915939,30049669,0.0,1.0
2015-11-09,14.26,14.48,14.13,14.2,7.11755194884,17528088,0.0,1.0
2015-11-10,14.13,14.44,14.01,14.41,7.22281151991,14777765,0.0,1.0
2015-11-11,14.2,14.31,14.09,14.11,7.07244070409,11009387,0.0,1.0
2015-11-12,13.81,13.82,13.59,13.7,6.86693392247,20371666,0.0,1.0
2015-11-13,13.61,13.76,13.15,13.39,6.71155074612,14924533,0.0,1.0
2015-11-16,13.37,13.61,13.14,13.38,6.7065383856,13781375,0.0,1.0
2015-11-17,13.38,13.49,13.12,13.22,6.62634061716,12420759,0.0,1.0
2015-11-18,13.48,13.73,13.1886,13.64,6.83685975931,13020475,0.0,1.0
2015-11-19,13.53,13.89,13.52,13.78,6.90703280669,13171491,0.0,1.0
2015-11-20,13.78,14.63,13.68,14.21,7.12256430937,18558586,0.0,1.0
2015-11-23,14.17,14.21,13.57,13.85,6.94211933038,15317345,0.0,1.0
2015-11-24,13.58,14.025,13.5,13.69,6.86192156194,24108918,0.0,1.0
2015-11-25,13.91,14.86,13.84,14.12,7.07745306462,22674894,0.0,1.0
2015-11-27,14.12,14.64,14.05,14.35,7.19273735675,6041718,0.0,1.0
2015-11-30,14.23,15.0,14.18,14.86,7.44836774364,29096030,0.0,1.0
2015-12-01,14.88,15.88,14.85,15.61,7.8242947832,25106264,0.0,1.0
2015-12-02,15.37,15.54,14.87,14.95,7.49347898839,12681067,0.0,1.0
2015-12-03,15.0,15.34,14.58,14.62,7.32807109099,18905240,0.0,1.0
2015-12-04,14.39,15.295,14.24,15.22,7.62881272263,12001085,0.0,1.0
2015-12-07,15.0,15.48,14.92,15.45,7.77166499766,9545947,0.055,1.0
2015-12-08,15.09,15.29,14.62,15.17,7.63081928896,11617601,0.0,1.0
2015-12-09,14.99,15.39,14.68,14.85,7.46985276474,14261925,0.0,1.0
2015-12-10,14.79,14.81,14.53,14.72,7.40446011427,11350207,0.0,1.0
2015-12-11,14.99,15.4,14.14,14.18,7.13282910465,10614763,0.0,1.0
2015-12-14,14.3,14.5,13.92,14.44,7.26361440558,11527694,0.0,1.0
2015-12-15,14.51,14.98,14.485,14.56,7.32397685216,12888739,0.0,1.0
2015-12-16,14.62,14.81,14.55,14.7,7.39439970651,7840968,0.0,1.0
2015-12-17,14.61,14.72,14.22,14.31,7.19822175511,7625458,0.0,1.0
2015-12-18,14.27,14.385,14.0,14.16,7.12276869688,19307237,0.0,1.0
2015-12-21,14.12,14.4,13.87,14.02,7.05234584253,9863255,0.0,1.0
2015-12-22,14.04,14.14,13.9201,14.06,7.07246665806,7292476,0.0,1.0
2015-12-23,14.19,14.97,14.05,14.91,7.50003398803,11252128,0.0,1.0
2015-12-24,14.81,15.17,14.7901,15.02,7.55536623073,2178459,0.0,1.0
2015-12-28,14.89,15.28,14.82,15.23,7.66100051225,5930636,0.0,1.0
2015-12-29,15.29,15.4371,15.18,15.2,7.64590990061,6275753,0.0,1.0
2015-12-30,15.29,15.48,15.15,15.28,7.68615153166,6275778,0.0,1.0
2015-12-31,15.23,15.31,15.1,15.2,7.64590990061,6767773,0.0,1.0
2016-01-04,14.97,15.15,14.74,15.13,7.61069847343,15076835,0.0,1.0
2016-01-05,15.13,15.25,14.94,15.03,7.56039643461,10285834,0.0,1.0
2016-01-06,14.62,15.0,14.51,14.8,7.44470174533,11315099,0.0,1.0
2016-01-07,14.5,14.56,13.65,13.71,6.89640952219,19844532,0.0,1.0
2016-01-08,13.77,14.02,13.31,13.54,6.8108960562,16431854,0.0,1.0
2016-01-11,13.43,13.71,13.07,13.26,6.6700503475,15110838,0.0,1.0
2016-01-12,13.35,13.42,13.09,13.26,6.6700503475,12458350,0.0,1.0
2016-01-13,13.35,13.35,12.53,12.75,6.41350994952,17720765,0.0,1.0
2016-01-14,12.75,13.17,12.65,13.0,6.53926504657,13352501,0.0,1.0
2016-01-15,12.6,12.8,12.49,12.54,6.307875668,19729482,0.0,1.0
2016-01-19,12.68,12.78,12.2,12.32,6.1972111826,12925129,0.0,1.0
2016-01-20,12.0,12.2,11.625,12.06,6.06642588167,16640055,0.0,1.0
2016-01-21,12.0,12.54,11.82,12.41,6.24248301754,16728144,0.0,1.0
2016-01-22,12.7,13.43,12.65,13.35,6.71532218244,15269821,0.0,1.0
2016-01-25,13.29,13.55,13.12,13.34,6.71029197856,11183427,0.0,1.0
2016-01-26,13.35,13.725,13.35,13.6,6.84107727949,10726138,0.0,1.0
2016-01-27,13.53,13.61,12.955,13.39,6.73544299797,18484506,0.0,1.0
2016-01-28,13.45,13.7,13.07,13.19,6.63483892033,9874424,0.0,1.0
2016-01-29,13.41,13.88,13.35,13.76,6.9215605416,11361905,0.0,1.0
2016-02-01,13.67,13.88,13.53,13.79,6.93665115325,9549644,0.0,1.0
2016-02-02,13.7,13.97,13.36,13.45,6.76562422126,9677516,0.0,1.0
2016-02-03,13.66,13.77,13.11,13.37,6.72538259021,7553022,0.0,1.0
2016-02-04,13.31,13.89,13.31,13.85,6.96683237654,6499149,0.0,1.0
2016-02-05,13.69,13.75,13.035,13.2,6.63986912421,13227678,0.0,1.0
2016-02-08,13.0,13.05,12.37,12.51,6.29278505636,14815851,0.0,1.0
2016-02-09,12.37,12.86,12.31,12.72,6.39841933788,6686490,0.0,1.0
2016-02-10,12.77,13.07,12.71,12.86,6.46884219223,5982701,0.0,1.0
2016-02-11,12.57,12.67,12.015,12.4,6.23745281365,9834289,0.0,1.0
2016-02-12,12.5,12.79,12.18,12.29,6.18212057095,10549410,0.0,1.0
2016-02-16,12.41,12.49,12.27,12.33,6.20224138648,11976893,0.0,1.0
2016-02-17,12.39,13.135,12.37,13.02,6.54932545434,8665514,0.0,1.0
2016-02-18,13.05,13.7,13.02,13.53,6.80586585232,11734114,0.0,1.0
2016-02-19,13.51,13.74,13.25,13.67,6.87628870667,9414376,0.0,1.0
2016-02-22,13.75,13.88,13.57,13.8,6.94168135713,10755568,0.0,1.0
2016-02-23,13.72,13.82,12.84,13.09,6.58453688151,14646955,0.0,1.0
2016-02-24,13.0,13.57,12.82,13.53,6.80586585232,13226774,0.0,1.0
2016-02-25,13.45,13.71,13.24,13.68,6.88131891055,12079898,0.0,1.0
2016-02-26,13.78,13.8,13.15,13.44,6.76059401738,10824943,0.0,1.0
2016-02-29,13.31,13.47,13.21,13.27,6.67508055139,3750173,0.0,1.0
2016-03-01,13.42,13.47,13.09,13.28,6.68011075527,1992025,0.0,1.0
2016-03-02,13.38,14.05,13.35,13.9,6.99198339595,10016491,0.0,1.0
2016-03-03,13.91,13.95,13.28,13.6,6.84107727949,10011744,0.0,1.0
2016-03-04,14.9,15.84,14.82,15.44,7.76663479378,33369625,0.0,1.0
2016-03-07,15.13,15.99,15.06,15.97,8.06090172087,18478215,0.055,1.0
2016-03-08,15.75,15.79,15.205,15.23,7.68738467181,12299677,0.0,1.0
2016-03-09,15.34,15.835,15.3,15.49,7.81862039175,11068942,0.0,1.0
2016-03-10,15.55,16.21,15.52,15.9,8.02556902704,14285129,0.0,1.0
2016-03-11,16.0,16.44,16.0,16.33,8.24261271771,15683988,0.0,1.0
2016-03-14,16.2,16.57,16.04,16.41,8.28299293923,9669016,0.0,1.0
2016-03-15,16.36,16.88,16.25,16.77,8.46470393607,13934243,0.0,1.0
2016-03-16,16.71,17.23,16.6,17.19,8.67670009905,12513970,0.0,1.0
2016-03-17,17.13,17.33,16.96,17.16,8.66155751598,10868207,0.0,1.0
2016-03-18,17.17,17.58,17.08,17.33,8.74736548671,30962871,0.0,1.0
2016-03-21,17.33,17.94,17.3,17.71,8.93917153893,10729906,0.0,1.0
2016-03-22,17.41,18.08,17.34,17.51,8.83822098513,11318505,0.0,1.0
2016-03-23,17.52,17.57,17.09,17.46,8.81298334668,11433939,0.0,1.0
2016-03-24,17.41,17.64,17.11,17.57,8.86850615127,8869974,0.0,1.0
2016-03-28,17.48,17.665,17.22,17.51,8.83822098513,5529334,0.0,1.0
2016-03-29,17.37,17.68,17.22,17.65,8.90888637279,5926601,0.0,1.0
2016-03-30,17.72,17.915,17.63,17.89,9.03002703734,10552507,0.0,1.0
2016-03-31,17.84,17.96,17.5101,17.73,8.94926659431,10389604,0.0,1.0
2016-04-01,17.61,18.545,17.56,18.4,9.28745094953,14849934,0.0,1.0
2016-04-04,18.45,18.45,17.93,18.04,9.10573995269,7666968,0.0,1.0
