dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,43.38,43.38,42.5,43.13,3.58461630956,179800,0.0,1.0
1999-11-02,42.88,43.19,42.38,42.81,3.5580205011,242800,0.0,1.0
1999-11-03,43.13,43.69,42.88,43.0,3.57381176237,89400,0.0,1.0
1999-11-04,42.75,43.19,41.5,41.88,3.48072643275,190400,0.0,1.0
1999-11-05,42.13,43.56,41.81,43.56,3.62035442719,123400,0.0,1.0
1999-11-08,43.31,44.0,43.25,43.25,3.59458973774,118800,0.0,1.0
1999-11-09,43.0,43.0,40.19,41.5,3.4491439102,279200,0.0,1.0
1999-11-10,41.5,42.06,39.88,41.88,3.48072643275,268300,0.0,1.0
1999-11-11,41.88,42.19,41.44,41.75,3.46992188556,196600,0.0,1.0
1999-11-12,41.75,41.81,41.13,41.63,3.45994845739,80000,0.0,1.0
1999-11-15,42.5,42.5,41.63,41.88,3.48072643275,116900,0.0,1.0
1999-11-16,41.88,42.69,41.69,42.5,3.53225581165,48100,0.0,1.0
1999-11-17,42.25,42.44,42.0,42.38,3.52228238347,35100,0.0,1.0
1999-11-18,42.25,42.38,41.5,42.31,3.51646455037,88300,0.0,1.0
1999-11-19,42.19,42.19,40.88,41.44,3.44415719611,103900,0.0,1.0
1999-11-22,41.5,41.88,41.0,41.06,3.41257467356,120600,0.0,1.0
1999-11-23,41.38,41.75,40.06,40.44,3.36104529466,304500,0.0,1.0
1999-11-24,42.0,43.75,41.5,43.06,3.57879847646,265000,0.0,1.0
1999-11-26,43.25,43.5,42.38,42.56,3.53724252574,81500,0.0,1.0
1999-11-29,42.81,43.44,42.13,43.31,3.59957645182,153100,0.0,1.0
1999-11-30,43.31,44.88,43.25,44.56,3.70346632864,233600,0.0,1.0
1999-12-01,44.44,45.13,44.13,44.19,3.6727149251,198500,0.0,1.0
1999-12-02,44.19,44.63,43.88,43.88,3.64695023565,43400,0.0,1.0
1999-12-03,43.75,44.69,43.63,43.63,3.62617226029,81200,0.0,1.0
1999-12-06,43.5,43.56,41.56,42.25,3.51147783629,266500,0.0,1.0
1999-12-07,42.0,43.81,41.94,43.81,3.64113240255,171300,0.0,1.0
1999-12-08,42.13,43.63,42.13,43.31,3.59957645182,148300,0.0,1.0
1999-12-09,43.06,43.13,41.56,42.0,3.49069986092,164200,0.0,1.0
1999-12-10,42.25,42.63,41.63,42.38,3.52228238347,81200,0.0,1.0
1999-12-13,42.13,42.5,41.19,41.75,3.46992188556,127900,0.0,1.0
1999-12-14,41.25,41.75,40.75,41.06,3.41257467356,154900,0.0,1.0
1999-12-15,41.5,42.56,41.19,42.44,3.52726909756,147000,0.0,1.0
1999-12-16,42.31,43.0,42.13,42.25,3.51147783629,86400,0.0,1.0
1999-12-17,42.0,42.06,41.0,41.0,3.40758795947,141200,0.0,1.0
1999-12-20,41.06,41.31,40.0,40.31,3.35024074747,316900,0.0,1.0
1999-12-21,40.06,40.75,40.06,40.5,3.36603200875,102900,0.0,1.0
1999-12-22,40.63,41.06,40.25,40.94,3.40260124539,110900,0.0,1.0
1999-12-23,40.81,42.19,40.81,41.19,3.42337922075,82300,0.0,1.0
1999-12-27,41.25,41.25,40.13,40.88,3.3976145313,105700,0.0,1.0
1999-12-28,40.75,41.5,40.38,40.94,3.40260124539,244500,0.0,1.0
1999-12-29,40.81,41.0,40.81,41.0,3.40758795947,59700,0.0,1.0
1999-12-30,40.88,41.75,40.88,41.13,3.41839250666,99900,0.0,1.0
1999-12-31,41.19,41.19,40.63,40.63,3.37683655594,35700,0.0,1.0
2000-01-03,40.62,40.81,40.0,40.25,3.34525403339,122100,0.0,1.0
2000-01-04,39.88,40.25,39.5,39.69,3.29871136857,181900,0.0,1.0
2000-01-05,39.94,40.63,39.88,40.38,3.35605858057,88000,0.0,1.0
2000-01-06,40.25,41.0,40.0,41.0,3.40758795947,96400,0.0,1.0
2000-01-07,40.81,41.63,40.81,41.38,3.43917048202,76200,0.0,1.0
2000-01-10,41.19,41.63,41.0,41.19,3.42337922075,65700,0.0,1.0
2000-01-11,40.94,41.94,40.94,41.25,3.42836593484,60000,0.0,1.0
2000-01-12,41.25,41.88,39.75,40.19,3.3402673193,111200,0.0,1.0
2000-01-13,40.25,40.63,39.75,40.63,3.37683655594,208100,0.0,1.0
2000-01-14,40.75,40.75,39.81,40.5,3.36603200875,121900,0.0,1.0
2000-01-18,40.25,40.81,40.06,40.69,3.38182327002,71300,0.0,1.0
2000-01-19,40.38,40.38,39.38,39.5,3.29746469005,117200,0.175,1.0
2000-01-20,39.69,39.69,39.19,39.63,3.30831710549,66500,0.0,1.0
2000-01-21,40.0,40.0,39.06,39.44,3.29245588293,150900,0.0,1.0
2000-01-24,39.44,39.63,38.25,38.75,3.234854601,142300,0.0,1.0
