dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,50.5,53.0,50.13,52.13,15.7770743008,782500,0.0,1.0
1999-11-02,52.75,53.31,51.81,52.63,15.9283986275,713600,0.0,1.0
1999-11-03,52.25,52.5,50.75,51.25,15.5107434858,294900,0.0,1.0
1999-11-04,51.5,51.81,50.0,50.25,15.2080948324,204600,0.0,1.0
1999-11-05,50.69,51.31,49.63,50.25,15.2080948324,246400,0.0,1.0
1999-11-08,50.25,50.56,49.69,50.56,15.301915915,302500,0.0,1.0
1999-11-09,50.5,50.5,49.31,49.56,14.9992672616,247200,0.0,1.0
1999-11-10,49.31,49.75,48.75,49.25,14.9054461791,335800,0.0,1.0
1999-11-11,49.25,49.63,48.5,48.75,14.7541218524,204300,0.0,1.0
1999-11-12,48.69,49.31,48.5,48.94,14.8116250965,262900,0.0,1.0
1999-11-15,48.69,49.13,48.56,48.81,14.7722807716,238300,0.0,1.0
1999-11-16,49.25,50.19,49.13,49.94,15.1142737499,346700,0.0,1.0
1999-11-17,50.0,52.31,50.0,51.63,15.6257499741,695000,0.0,1.0
1999-11-18,51.56,51.88,50.06,50.44,15.3442867265,281900,0.26,1.0
1999-11-19,50.0,50.38,49.0,50.0,15.2104348994,287500,0.0,1.0
1999-11-22,50.25,50.25,49.25,49.56,15.0765830722,279500,0.0,1.0
1999-11-23,49.38,49.44,48.63,48.88,14.8697211576,447000,0.0,1.0
1999-11-24,48.88,50.5,48.75,50.19,15.268234552,361700,0.0,1.0
1999-11-26,49.94,50.19,49.5,49.81,15.1526352467,167500,0.0,1.0
1999-11-29,49.56,49.56,48.63,49.06,14.9244787232,391100,0.0,1.0
1999-11-30,48.94,49.56,48.56,49.13,14.9457733321,285300,0.0,1.0
1999-12-01,49.0,50.0,48.75,49.63,15.0978776811,570400,0.0,1.0
1999-12-02,48.75,50.5,48.69,50.5,15.3625392483,1529300,0.0,1.0
1999-12-03,50.75,54.19,50.19,53.31,16.2173656897,1016600,0.0,1.0
1999-12-06,53.31,53.31,51.81,51.94,15.8005997734,412800,0.0,1.0
1999-12-07,51.69,52.13,50.81,51.06,15.5328961192,302000,0.0,1.0
1999-12-08,51.0,52.13,50.56,51.13,15.5541907281,393700,0.0,1.0
1999-12-09,51.38,51.63,50.88,51.25,15.5906957718,291300,0.0,1.0
1999-12-10,51.25,51.56,50.0,51.0,15.5146435973,215800,0.0,1.0
1999-12-13,50.75,51.0,49.63,50.25,15.2864870739,344500,0.0,1.0
1999-12-14,49.56,50.13,49.0,49.06,14.9244787232,475100,0.0,1.0
1999-12-15,48.88,49.0,48.13,48.25,14.6780696779,659100,0.0,1.0
1999-12-16,48.25,48.5,47.88,48.0,14.6020175034,463600,0.0,1.0
1999-12-17,48.0,49.31,47.75,48.31,14.6963221998,752900,0.0,1.0
1999-12-20,48.25,50.13,48.0,50.06,15.2286874212,575500,0.0,1.0
1999-12-21,49.38,51.06,49.38,50.38,15.3260342046,533400,0.0,1.0
1999-12-22,50.0,50.38,49.44,49.44,15.0400780285,235100,0.0,1.0
1999-12-23,49.5,49.63,48.38,49.44,15.0400780285,455200,0.0,1.0
1999-12-27,49.0,51.06,49.0,50.13,15.2499820301,768200,0.0,1.0
1999-12-28,49.56,50.0,46.31,47.81,14.5442178508,1215600,0.0,1.0
1999-12-29,48.0,48.19,45.75,46.31,14.0879048038,658800,0.0,1.0
1999-12-30,46.31,47.94,46.06,47.69,14.507712807,479000,0.0,1.0
1999-12-31,47.44,47.5,47.0,47.44,14.4316606325,228100,0.0,1.0
2000-01-03,47.0,47.5,46.19,46.38,14.1091994126,453200,0.0,1.0
2000-01-04,45.75,46.0,44.44,44.63,13.5768341912,530000,0.0,1.0
2000-01-05,44.75,46.5,44.38,45.06,13.7076439313,543700,0.0,1.0
2000-01-06,45.06,47.31,44.88,46.0,13.9936001074,501200,0.0,1.0
2000-01-07,46.06,46.94,45.25,46.13,14.0331472381,402900,0.0,1.0
2000-01-10,46.0,46.81,45.69,46.25,14.0696522819,329600,0.0,1.0
2000-01-11,46.25,46.5,44.75,45.31,13.7836961058,406600,0.0,1.0
2000-01-12,45.56,46.56,44.69,45.0,13.6893914094,342000,0.0,1.0
2000-01-13,45.0,45.44,44.56,44.69,13.595086713,250300,0.0,1.0
2000-01-14,44.88,44.88,40.0,42.56,12.9471221863,4758500,0.0,1.0
2000-01-18,42.56,43.0,41.63,43.0,13.0809740134,501700,0.0,1.0
2000-01-19,42.5,43.38,42.13,43.13,13.1205211442,515700,0.0,1.0
2000-01-20,43.06,43.13,42.0,42.19,12.8345649681,543700,0.0,1.0
2000-01-21,42.19,42.44,40.75,41.25,12.548608792,480100,0.0,1.0
2000-01-24,41.63,41.63,40.13,40.13,12.2078950502,332900,0.0,1.0
2000-01-25,40.38,41.19,39.31,39.81,12.1105482669,320800,0.0,1.0
2000-01-26,40.0,40.44,39.25,40.19,12.2261475721,499100,0.0,1.0
2000-01-27,40.13,40.13,39.0,39.44,11.9979910486,311800,0.0,1.0
2000-01-28,39.25,39.25,37.75,37.75,11.483878349,703800,0.0,1.0
2000-01-31,38.5,42.81,38.44,42.5,12.9288696645,991200,0.0,1.0
2000-02-01,42.25,42.5,40.25,40.56,12.3387047904,599200,0.0,1.0
2000-02-02,40.5,41.19,40.38,40.75,12.396504443,650000,0.0,1.0
2000-02-03,40.94,41.81,40.94,41.38,12.5881559227,487600,0.0,1.0
2000-02-04,41.63,41.75,41.0,41.5,12.6246609665,393400,0.0,1.0
2000-02-07,41.13,41.5,40.88,41.0,12.4725566175,313900,0.0,1.0
2000-02-08,41.0,42.19,41.0,42.19,12.8345649681,443800,0.0,1.0
2000-02-09,41.88,42.31,41.56,41.75,12.700713141,455600,0.0,1.0
2000-02-10,41.5,42.13,41.19,42.0,12.7767653155,538800,0.0,1.0
2000-02-11,42.0,45.44,41.88,42.75,13.0049218389,1104600,0.0,1.0
2000-02-14,42.75,43.0,41.56,42.44,12.9106171426,442600,0.0,1.0
2000-02-15,42.25,44.13,42.25,43.81,13.3273830588,605700,0.0,1.0
2000-02-16,44.25,45.19,43.25,44.19,13.442982364,825000,0.0,1.0
2000-02-17,44.06,45.06,44.0,44.56,13.5555395823,419200,0.0,1.0
2000-02-18,44.5,45.19,44.5,45.13,13.7289385402,607700,0.0,1.0
2000-02-22,44.94,47.25,44.38,46.69,14.203504109,818000,0.0,1.0
2000-02-23,46.13,47.38,45.5,46.13,14.1122414996,925100,0.26,1.0
2000-02-24,45.31,45.31,43.69,44.75,13.6900673555,1386400,0.0,1.0
2000-02-25,44.81,45.31,44.19,45.13,13.8063182068,813700,0.0,1.0
2000-02-28,45.0,45.06,43.94,44.13,13.5003949139,523600,0.0,1.0
2000-02-29,43.0,43.94,41.88,43.94,13.4422694883,1073900,0.0,1.0
2000-03-01,43.94,45.0,43.0,44.81,13.708422753,742900,0.0,1.0
2000-03-02,44.56,44.63,42.94,43.69,13.365788665,425100,0.0,1.0
2000-03-03,43.44,43.44,42.88,43.13,13.194471621,414000,0.0,1.0
2000-03-06,42.5,42.75,41.56,42.19,12.9069037258,444600,0.0,1.0
2000-03-07,41.19,41.25,39.63,40.0,12.2369317144,654100,0.0,1.0
2000-03-08,40.0,43.13,39.75,41.81,12.7906528745,920800,0.0,1.0
2000-03-09,40.44,41.63,40.31,41.13,12.5826250353,826300,0.0,1.0
2000-03-10,40.69,41.0,39.75,40.0,12.2369317144,511000,0.0,1.0
2000-03-13,39.38,40.0,39.19,40.0,12.2369317144,412900,0.0,1.0
2000-03-14,40.0,41.13,40.0,40.94,12.5244996097,534900,0.0,1.0
2000-03-15,41.0,43.88,40.63,43.75,13.3841440626,803300,0.0,1.0
2000-03-16,44.0,48.31,44.0,47.69,14.5894818365,946100,0.0,1.0
2000-03-17,46.5,47.0,46.13,46.13,14.1122414996,764700,0.0,1.0
2000-03-20,46.13,48.0,46.13,47.0,14.3783947644,729600,0.0,1.0
2000-03-21,47.25,47.25,46.0,46.94,14.3600393668,353900,0.0,1.0
2000-03-22,46.25,46.5,44.25,45.06,13.7849035763,525800,0.0,1.0
2000-03-23,44.63,45.44,43.81,45.31,13.8613843995,373300,0.0,1.0
2000-03-24,44.81,45.0,43.75,44.0,13.4606248858,487000,0.0,1.0
2000-03-27,43.13,43.94,43.0,43.19,13.2128270186,368200,0.0,1.0
2000-03-28,43.0,43.56,41.81,42.0,12.8487783001,1169300,0.0,1.0
2000-03-29,42.19,47.0,42.19,46.81,14.3202693388,1459500,0.0,1.0
2000-03-30,46.81,49.81,46.75,49.0,14.9902413501,811500,0.0,1.0
2000-03-31,49.63,50.69,48.75,48.75,14.9137605269,786600,0.0,1.0
2000-04-03,48.5,48.88,47.0,47.0,14.3783947644,809700,0.0,1.0
2000-04-04,47.25,50.06,47.25,48.69,14.8954051293,791100,0.0,1.0
2000-04-05,48.0,49.63,47.44,48.0,14.6843180573,313600,0.0,1.0
2000-04-06,47.5,47.63,46.75,47.56,14.5497118084,373100,0.0,1.0
2000-04-07,47.25,47.44,45.94,46.19,14.1305968972,372200,0.0,1.0
2000-04-10,46.19,46.56,45.88,46.44,14.2070777204,336000,0.0,1.0
2000-04-11,46.63,48.38,46.38,47.94,14.6659626597,517400,0.0,1.0
