dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,8.375,8.375,7.938,8.188,7.48494849713,1139700,0.0,1.0
1999-11-04,9.188,9.25,7.875,8.0,7.31309086187,2566000,0.0,1.0
1999-11-05,8.063,8.25,7.938,8.063,7.37068145241,1453000,0.0,1.0
1999-11-08,8.125,8.25,7.875,8.0,7.31309086187,1081900,0.0,1.0
1999-11-09,8.0,8.063,7.688,7.75,7.08455677244,1027600,0.0,1.0
1999-11-10,7.75,7.938,7.625,7.75,7.08455677244,482400,0.0,1.0
1999-11-11,7.875,7.875,7.313,7.5,6.85602268301,1149700,0.0,1.0
1999-11-12,7.625,7.625,7.375,7.5,6.85602268301,542400,0.0,1.0
1999-11-15,7.625,7.625,7.375,7.438,6.79934622883,385600,0.0,1.0
1999-11-16,7.563,7.75,7.375,7.5,6.85602268301,1008100,0.0,1.0
1999-11-17,7.313,7.688,7.313,7.438,6.79934622883,882900,0.0,1.0
1999-11-18,7.438,7.688,7.25,7.25,6.62748859357,841300,0.0,1.0
1999-11-19,7.375,7.938,7.313,7.688,7.02788031826,1122200,0.0,1.0
1999-11-22,7.938,8.25,7.875,8.25,7.54162495131,1109300,0.0,1.0
1999-11-23,8.125,8.313,8.0,8.125,7.42735790659,1301200,0.0,1.0
1999-11-24,8.0,8.0,7.375,7.438,6.79934622883,720500,0.0,1.0
1999-11-26,7.438,7.625,7.313,7.438,6.79934622883,481400,0.0,1.0
1999-11-29,7.375,7.375,6.938,7.0,6.39895450414,948000,0.0,1.0
1999-11-30,7.0,7.125,6.938,7.0,6.39895450414,709400,0.0,1.0
1999-12-01,7.125,7.188,6.938,7.0,6.39895450414,654700,0.0,1.0
1999-12-02,7.063,7.313,6.938,7.0,6.39895450414,1057100,0.0,1.0
1999-12-03,7.25,7.313,6.875,6.938,6.34227804996,1250600,0.0,1.0
1999-12-06,6.938,7.0,6.875,6.938,6.34227804996,576800,0.0,1.0
1999-12-07,7.063,7.625,7.0,7.563,6.91361327354,1204100,0.0,1.0
1999-12-08,7.438,7.813,7.0,7.0,6.39895450414,1212700,0.0,1.0
1999-12-09,7.0,7.188,6.75,6.75,6.17042041471,1056200,0.0,1.0
1999-12-10,7.0,7.625,6.813,7.563,6.91361327354,1668400,0.0,1.0
1999-12-13,7.375,7.438,7.0,7.375,6.74175563829,1274000,0.0,1.0
1999-12-14,7.25,7.375,7.125,7.375,6.74175563829,549100,0.0,1.0
1999-12-15,7.188,7.375,7.125,7.375,6.74175563829,623700,0.0,1.0
1999-12-16,7.25,7.375,7.0,7.063,6.45654509468,1306400,0.0,1.0
1999-12-17,7.188,7.188,7.188,7.188,6.57081213939,1050400,0.0,1.0
1999-12-20,7.188,7.313,7.0,7.125,6.51322154886,956900,0.0,1.0
1999-12-21,7.063,7.188,6.938,7.188,6.57081213939,919100,0.0,1.0
1999-12-22,7.063,7.375,7.0,7.375,6.74175563829,939300,0.0,1.0
1999-12-23,7.25,7.5,7.188,7.438,6.79934622883,665600,0.0,1.0
1999-12-27,7.563,7.875,7.438,7.5,6.85602268301,1358200,0.0,1.0
1999-12-28,7.688,7.75,7.438,7.563,6.91361327354,760300,0.0,1.0
1999-12-29,7.625,8.063,7.625,7.75,7.08455677244,1020900,0.0,1.0
1999-12-30,7.813,8.063,7.688,7.844,7.17048559007,1205500,0.0,1.0
1999-12-31,8.063,8.188,7.875,8.188,7.48494849713,724600,0.0,1.0
2000-01-03,8.313,8.375,7.5,7.563,6.91361327354,1287300,0.0,1.0
2000-01-04,7.375,7.875,7.375,7.625,6.97028972772,1238300,0.0,1.0
2000-01-05,7.5,7.875,7.5,7.75,7.08455677244,1096300,0.0,1.0
2000-01-06,7.75,8.25,7.5,8.125,7.42735790659,1026700,0.0,1.0
2000-01-07,8.188,9.125,8.063,8.75,7.99869313017,2419300,0.0,1.0
2000-01-10,8.875,8.938,8.375,8.375,7.65589199602,1276200,0.0,1.0
2000-01-11,8.375,8.75,8.25,8.25,7.54162495131,693700,0.0,1.0
2000-01-12,8.375,8.688,8.25,8.438,7.71348258656,764000,0.0,1.0
2000-01-13,8.563,9.5,8.563,9.25,8.45576130904,1760600,0.0,1.0
2000-01-14,9.375,9.625,8.25,8.25,7.54162495131,1429000,0.0,1.0
2000-01-18,9.0,9.0,8.375,8.625,7.88442608546,776600,0.0,1.0
2000-01-19,8.688,8.688,8.0,8.0,7.31309086187,1220100,0.0,1.0
2000-01-20,8.0,8.063,7.688,7.75,7.08455677244,1744500,0.0,1.0
2000-01-21,7.75,8.063,7.688,7.813,7.14214736298,1670100,0.0,1.0
2000-01-24,7.938,8.125,7.625,7.938,7.25641440769,1001400,0.0,1.0
2000-01-25,7.5,7.813,7.5,7.75,7.08455677244,994500,0.0,1.0
2000-01-26,7.75,8.063,7.75,7.875,7.19882381716,821500,0.0,1.0
2000-01-27,8.0,8.063,7.625,7.625,6.97028972772,421200,0.0,1.0
2000-01-28,7.375,8.063,7.125,7.625,6.97028972772,1775700,0.0,1.0
2000-01-31,7.625,8.188,7.625,8.0,7.31309086187,858700,0.0,1.0
2000-02-01,8.0,8.375,8.0,8.25,7.54162495131,783600,0.0,1.0
2000-02-02,8.313,8.625,8.25,8.313,7.59921554185,597300,0.0,1.0
2000-02-03,8.313,8.625,8.313,8.438,7.71348258656,773500,0.0,1.0
2000-02-04,8.563,8.688,8.375,8.375,7.65589199602,481200,0.0,1.0
2000-02-07,8.5,8.625,8.313,8.438,7.71348258656,574300,0.0,1.0
2000-02-08,8.438,8.563,8.063,8.188,7.48494849713,713800,0.0,1.0
2000-02-09,7.813,8.125,7.438,7.563,6.91361327354,1495000,0.0,1.0
2000-02-10,7.438,7.5,7.0,7.188,6.57081213939,1307800,0.0,1.0
2000-02-11,7.125,7.125,6.688,6.875,6.28468745942,983900,0.0,1.0
2000-02-14,6.938,7.5,6.813,7.438,6.79934622883,902200,0.0,1.0
2000-02-15,7.563,7.688,7.375,7.563,6.91361327354,753600,0.0,1.0
2000-02-16,7.563,7.688,7.188,7.375,6.74175563829,535300,0.0,1.0
2000-02-17,7.438,7.438,7.063,7.125,6.51322154886,417200,0.0,1.0
2000-02-18,7.125,7.25,7.0,7.063,6.45654509468,357400,0.0,1.0
2000-02-22,7.0,7.063,6.875,7.063,6.45654509468,517200,0.0,1.0
2000-02-23,7.0,7.25,6.813,7.125,6.51322154886,628800,0.0,1.0
2000-02-24,7.25,7.25,6.875,6.875,6.28468745942,467600,0.0,1.0
2000-02-25,6.875,7.063,6.625,6.625,6.05615336999,457300,0.0,1.0
2000-02-28,6.813,6.875,6.5,6.625,6.05615336999,496300,0.0,1.0
2000-02-29,6.625,6.938,6.563,6.813,6.22801100524,528900,0.0,1.0
2000-03-01,7.375,7.75,6.75,7.75,7.08455677244,1445100,0.0,1.0
2000-03-02,7.75,7.875,6.875,6.938,6.34227804996,1200200,0.0,1.0
2000-03-03,7.188,7.375,7.063,7.313,6.68507918411,904700,0.0,1.0
2000-03-06,7.063,7.125,6.875,7.0,6.39895450414,479500,0.0,1.0
2000-03-07,7.0,7.0,6.125,6.125,5.59908519112,759200,0.0,1.0
2000-03-08,6.563,6.75,6.25,6.5,5.94188632527,1122700,0.0,1.0
2000-03-09,6.438,6.688,6.313,6.563,5.99947691581,523300,0.0,1.0
2000-03-10,6.5,6.563,6.313,6.438,5.88520987109,487000,0.0,1.0
2000-03-13,6.438,6.75,6.438,6.688,6.11374396053,448100,0.0,1.0
2000-03-14,6.688,6.813,6.5,6.625,6.05615336999,464800,0.0,1.0
2000-03-15,6.75,7.188,6.563,7.188,6.57081213939,718100,0.0,1.0
2000-03-16,7.063,7.313,6.875,7.25,6.62748859357,513900,0.0,1.0
2000-03-17,7.25,7.313,6.875,7.0,6.39895450414,527100,0.0,1.0
2000-03-20,7.188,7.188,7.0,7.125,6.51322154886,303000,0.0,1.0
2000-03-21,7.25,7.313,7.063,7.188,6.57081213939,417300,0.0,1.0
2000-03-22,7.063,7.375,7.063,7.188,6.57081213939,316200,0.0,1.0
2000-03-23,7.125,7.5,7.063,7.5,6.85602268301,504200,0.0,1.0
2000-03-24,7.313,7.5,7.25,7.313,6.68507918411,274300,0.0,1.0
2000-03-27,7.375,7.375,7.125,7.188,6.57081213939,303100,0.0,1.0
2000-03-28,7.063,7.375,7.063,7.313,6.68507918411,287000,0.0,1.0
2000-03-29,7.25,7.75,7.25,7.5,6.85602268301,566200,0.0,1.0
2000-03-30,7.625,8.0,7.563,7.563,6.91361327354,768900,0.0,1.0
2000-03-31,7.438,7.563,7.25,7.313,6.68507918411,370500,0.0,1.0
2000-04-03,7.438,7.875,7.375,7.688,7.02788031826,392300,0.0,1.0
2000-04-04,7.5,7.75,7.188,7.625,6.97028972772,437700,0.0,1.0
2000-04-05,7.625,7.625,7.188,7.5,6.85602268301,317200,0.0,1.0
2000-04-06,7.5,8.063,7.5,7.938,7.25641440769,734700,0.0,1.0
2000-04-07,7.938,8.25,7.938,8.188,7.48494849713,709200,0.0,1.0
2000-04-10,8.063,8.438,8.063,8.313,7.59921554185,716600,0.0,1.0
2000-04-11,8.188,8.25,8.0,8.125,7.42735790659,638000,0.0,1.0
2000-04-12,8.125,8.188,8.0,8.063,7.37068145241,673600,0.0,1.0
2000-04-13,7.563,7.875,7.563,7.813,7.14214736298,720100,0.0,1.0
2000-04-14,7.75,7.75,7.125,7.125,6.51322154886,636500,0.0,1.0
2000-04-17,7.125,7.375,7.0,7.188,6.57081213939,580500,0.0,1.0
2000-04-18,7.188,7.5,7.063,7.313,6.68507918411,417300,0.0,1.0
