dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,61.0,61.875,60.5626,61.0626,49.8957752446,1803300,0.0,1.0
1999-11-02,61.0,62.0,60.8126,60.8126,49.6914940019,1215900,0.0,1.0
1999-11-03,61.25,61.375,59.625,59.6876,48.7836681593,1034200,0.014,1.0
1999-11-04,59.875,60.0626,59.125,59.75,48.8346687171,996900,0.0,1.0
1999-11-05,61.5,61.625,60.3126,61.1876,50.0096431062,1215900,0.0,1.0
1999-11-08,61.0626,61.375,58.0626,59.875,48.936833296,1805400,0.0,1.0
1999-11-09,60.125,60.6876,59.25,60.0626,49.090161896,1205500,0.0,1.0
1999-11-10,60.0,60.0,59.0626,59.5626,48.6815035804,1003600,0.0,1.0
1999-11-11,60.125,61.1876,60.125,60.875,49.7541499273,1031700,0.0,1.0
1999-11-12,61.625,62.5626,61.0,62.3126,50.9291243163,1288000,0.0,1.0
1999-11-15,62.25,64.125,62.0,63.9376,52.2572638421,1540000,0.0,1.0
1999-11-16,64.1876,64.375,63.0,63.4376,51.8486055265,1400500,0.0,1.0
1999-11-17,63.1876,63.375,62.5,62.6876,51.2356180531,1597000,0.0,1.0
1999-11-18,63.375,63.375,62.1876,62.625,51.184454032,1103700,0.0,1.0
1999-11-19,63.5,64.0,62.8126,63.8126,52.1550992632,1200700,0.0,1.0
1999-11-22,63.8126,65.0,63.3126,64.625,52.8190872944,1791800,0.0,1.0
1999-11-23,64.625,65.75,64.5,65.125,53.2277456101,2229300,0.0,1.0
1999-11-24,64.75,64.75,63.75,64.2618,52.522237894,1429900,0.0,1.0
1999-11-26,65.5,65.6876,65.125,65.25,53.329910189,564900,0.0,1.0
1999-11-29,65.125,65.25,64.6876,65.0,53.1255810312,1541800,0.0,1.0
1999-11-30,65.0,65.875,64.9376,65.5,53.5342393468,2170900,0.0,1.0
1999-12-01,67.0,67.0,65.5626,66.8126,54.607049157,2142900,0.0,1.0
1999-12-02,67.25,70.75,67.1876,69.4376,56.752505314,2688700,0.0,1.0
1999-12-03,70.625,71.25,69.875,71.1876,58.1828094187,3828400,0.0,1.0
1999-12-06,71.625,73.5,71.5626,72.629,59.360889611,2540400,0.0,1.0
1999-12-07,71.5,73.4376,71.1876,72.8126,59.5109489445,1823000,0.0,1.0
1999-12-08,72.75,72.75,71.3126,71.7618,58.6521126283,1934300,0.0,1.0
1999-12-09,72.125,73.5,71.875,73.375,59.9706078179,2058100,0.0,1.0
1999-12-10,74.0,76.875,73.75,75.875,62.013899396,2815700,0.0,1.0
1999-12-13,74.875,76.5,74.875,75.75,61.9117348171,2074100,0.0,1.0
