dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,95.87,95.94,93.5,94.37,55.3519010947,10369100,0.0,1.0
1999-11-04,94.44,94.44,90.0,91.56,53.703720083,16697600,0.0,1.0
1999-11-05,92.75,92.94,90.19,90.25,52.9353509992,13737600,0.0,1.0
1999-11-08,90.5,93.94,90.5,93.94,55.1700732963,8522300,0.12,1.0
1999-11-09,95.06,95.5,92.12,93.62,54.9821403236,9551200,0.0,1.0
1999-11-10,94.62,97.06,94.12,97.0,56.9671823477,8680300,0.0,1.0
1999-11-11,97.5,97.5,94.87,95.0,55.7926012683,7147500,0.0,1.0
1999-11-12,96.0,96.25,93.0,95.87,56.3035440378,9668400,0.0,1.0
1999-11-15,96.0,96.37,93.87,94.06,55.240548161,6259400,0.0,1.0
1999-11-16,94.62,95.0,93.0,94.62,55.5694308633,8537400,0.0,1.0
1999-11-17,94.87,94.87,92.62,93.75,55.0584880937,8355100,0.0,1.0
1999-11-18,94.0,98.25,93.56,98.0,57.5544728873,18720500,0.0,1.0
1999-11-19,99.0,105.12,98.37,103.94,61.0429786929,19678400,0.0,1.0
1999-11-22,105.5,108.44,104.44,107.87,63.3510305138,13681600,0.0,1.0
1999-11-23,108.81,109.87,106.0,106.06,62.288034637,10665200,0.0,1.0
1999-11-24,105.0,105.0,101.81,104.5,61.3718613952,9710400,0.0,1.0
1999-11-26,105.94,106.0,104.12,105.0,61.665506665,3108400,0.0,1.0
1999-11-29,104.94,104.94,103.37,104.19,61.1898013279,5677700,0.0,1.0
1999-11-30,103.69,104.5,102.12,103.06,60.526163018,5758700,0.0,1.0
1999-12-01,102.56,104.44,102.25,103.42,60.7375876123,5336400,0.0,1.0
1999-12-02,103.44,106.31,103.37,105.27,61.8240751107,6216900,0.0,1.0
1999-12-03,109.81,112.87,107.94,111.87,65.7001926725,14680300,0.0,1.0
1999-12-06,113.0,116.5,112.5,116.0,68.1257026013,9928300,0.0,1.0
