dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2005-11-18,36.2,36.95,34.56,35.0,6.29607825201,2562000,0.0,1.0
2005-11-21,35.25,35.96,34.82,35.9,6.45797740706,1280800,0.0,1.0
2005-11-22,35.45,35.46,34.3,34.95,6.28708385451,1306600,0.0,1.0
2005-11-23,34.7,34.95,31.55,33.95,6.10719590445,2484200,0.0,1.0
2005-11-25,33.75,34.45,33.65,34.15,6.14317349446,263200,0.0,1.0
2005-11-28,33.9,33.9,32.55,33.3,5.99026873691,631000,0.0,1.0
2005-11-29,33.3,33.49,31.27,31.97,5.75101776334,895500,0.0,1.0
2005-11-30,32.1,32.41,31.6,32.3,5.81038078686,778900,0.0,1.0
2005-12-01,32.3,35.2,32.15,35.0,6.29607825201,1137700,0.0,1.0
2005-12-02,35.0,36.3,34.9,36.1,6.49395499708,1024000,0.0,1.0
2005-12-05,36.18,37.45,36.18,36.81,6.62167544162,918500,0.0,1.0
2005-12-06,36.81,37.61,36.45,36.58,6.5803012131,640500,0.0,1.0
2005-12-07,36.65,36.65,34.5,35.45,6.37702782954,494600,0.0,1.0
2005-12-08,35.7,36.28,35.55,36.0,6.47596620207,364700,0.0,1.0
2005-12-09,36.0,36.46,35.78,36.2,6.51194379208,161600,0.0,1.0
2005-12-12,36.45,36.5,36.05,36.45,6.5569157796,190700,0.0,1.0
2005-12-13,36.44,36.44,35.51,35.59,6.40221214255,368600,0.0,1.0
2005-12-14,35.5,35.7,34.8,35.0,6.29607825201,284400,0.0,1.0
2005-12-15,34.95,34.95,33.65,34.0,6.11619030195,654600,0.0,1.0
2005-12-16,33.85,34.49,33.5,34.19,6.15036901247,1634100,0.0,1.0
2005-12-19,34.0,34.4,33.86,34.37,6.18274884348,448400,0.0,1.0
2005-12-20,34.62,35.41,34.4,34.94,6.28528497501,484700,0.0,1.0
2005-12-21,34.9,35.0,34.55,34.79,6.2583017825,183300,0.0,1.0
2005-12-22,34.79,34.79,34.3,34.7,6.24211186699,234200,0.0,1.0
