dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,24.81,25.0,24.69,24.81,7.86120953467,16444,0.0,1.0
1999-11-02,24.94,25.0,24.38,24.5,7.76298402255,15378,0.0,1.0
1999-11-03,24.63,25.19,24.5,25.19,7.98161500114,17644,0.0,1.0
1999-11-04,25.06,26.0,25.06,25.44,8.06082912382,26044,0.0,1.0
1999-11-05,25.5,25.5,24.81,24.88,7.88338948902,42978,0.0,1.0
1999-11-08,24.88,24.94,24.25,24.44,7.74397263311,11467,0.0,1.0
1999-11-09,24.38,24.63,24.13,24.5,7.76298402255,12400,0.0,1.0
1999-11-10,24.5,24.88,24.5,24.75,7.84219814523,12267,0.0,1.0
1999-11-11,24.75,25.0,24.63,24.88,7.88338948902,26000,0.0,1.0
1999-11-12,24.94,26.13,24.88,26.06,8.25728014807,24444,0.0,1.0
1999-11-15,26.06,28.0,26.06,26.5,8.39669700398,59378,0.0,1.0
1999-11-16,27.44,27.63,27.25,27.44,8.69454210526,21200,0.0,1.0
1999-11-17,27.38,27.38,26.75,26.88,8.51710247046,36800,0.0,1.0
1999-11-18,26.88,26.88,26.38,26.81,8.4949225161,20178,0.0,1.0
1999-11-19,27.06,27.63,27.06,27.5,8.7135534947,34444,0.0,1.0
1999-11-22,27.38,27.81,27.38,27.56,8.73256488414,26844,0.0,1.0
1999-11-23,27.44,27.63,27.25,27.63,8.75474483849,33378,0.0,1.0
1999-11-24,27.63,28.0,27.56,27.81,8.81177900682,25244,0.0,1.0
1999-11-26,27.75,27.75,27.31,27.38,8.67553071581,5378,0.0,1.0
1999-11-29,27.38,27.63,27.25,27.56,8.73256488414,28978,0.0,1.0
1999-11-30,27.44,27.56,27.19,27.56,8.73256488414,24000,0.0,1.0
1999-12-01,27.56,27.69,27.5,27.56,8.73256488414,31244,0.0,1.0
1999-12-02,27.5,27.81,27.5,27.81,8.81177900682,15378,0.0,1.0
1999-12-03,28.0,28.31,28.0,28.31,8.97020725218,22844,0.0,1.0
1999-12-06,28.31,28.31,28.06,28.19,8.93218447329,21867,0.0,1.0
1999-12-07,28.13,28.19,28.06,28.06,8.8909931295,26578,0.0,1.0
1999-12-08,28.06,28.31,28.06,28.31,8.97020725218,8267,0.0,1.0
1999-12-09,28.06,28.06,27.44,27.56,8.73256488414,46800,0.0,1.0
