dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,29.56,31.31,29.5,30.38,13.7633617437,2423500,0.0,1.0
1999-11-02,30.63,30.63,27.69,29.13,13.1970614744,2252400,0.0,1.0
1999-11-03,29.31,29.75,28.44,29.0,13.1381662464,1124600,0.0,1.0
1999-11-04,29.19,30.38,29.19,30.25,13.7044665157,2012600,0.0,1.0
1999-11-05,31.31,32.25,30.88,31.94,14.4701044797,2606300,0.0,1.0
1999-11-08,31.88,31.88,30.75,31.0,14.0442466772,2249900,0.0,1.0
1999-11-09,31.06,31.44,30.63,31.06,14.0714290901,2025800,0.0,1.0
1999-11-10,31.5,32.0,31.06,31.88,14.4429220668,1404200,0.0,1.0
1999-11-11,32.94,33.88,31.5,32.81,14.8642494671,3613700,0.0,1.0
1999-11-12,33.88,34.0,31.0,33.75,15.2901072696,2361100,0.0,1.0
1999-11-15,33.63,34.0,32.94,33.94,15.3761849105,2280800,0.0,1.0
1999-11-16,34.19,34.19,32.38,33.75,15.2901072696,2148300,0.0,1.0
1999-11-17,33.63,35.63,33.5,35.19,15.9424851797,3101400,0.0,1.0
1999-11-18,36.25,39.88,35.25,39.75,18.0083485619,6191400,0.0,1.0
1999-11-19,40.06,43.69,38.25,39.44,17.8679060951,6252200,0.0,1.0
1999-11-22,41.69,42.13,39.75,41.88,18.9733242207,5157300,0.0,1.0
1999-11-23,46.0,46.13,43.0,44.06,19.9609518903,7212600,0.0,1.0
1999-11-24,45.81,50.89,44.94,50.38,22.8241660516,8353900,0.0,1.0
1999-11-26,51.19,59.94,51.19,58.88,26.6750078824,5190500,0.0,1.0
1999-11-29,60.38,60.5,51.0,52.69,23.8706889491,7004400,0.0,1.0
1999-11-30,53.0,53.0,48.06,50.0,22.6520107697,4315700,0.0,1.0
1999-12-01,49.69,52.0,49.63,51.06,23.132233398,3248600,0.0,1.0
1999-12-02,51.75,55.38,51.5,55.06,24.9443942596,3737200,0.0,1.0
1999-12-03,56.13,60.13,56.13,60.0,27.1824129237,4778500,0.0,1.0
1999-12-06,59.5,60.38,56.56,59.0,26.7293727083,3991100,0.0,1.0
1999-12-07,59.5,63.0,58.38,61.63,27.9208684747,4070400,0.0,1.0
1999-12-08,60.81,61.88,55.56,56.25,25.4835121159,4958000,0.0,1.0
1999-12-09,58.0,59.94,55.38,56.81,25.7372146365,4388600,0.0,1.0
1999-12-10,58.75,58.88,54.5,57.75,26.163072439,3005300,0.0,1.0
1999-12-13,58.0,59.38,56.38,58.25,26.3895925467,2606500,0.0,1.0
1999-12-14,58.5,58.63,53.81,55.69,25.2298095953,2628800,0.0,1.0
1999-12-15,55.13,55.5,51.5,53.75,24.3509115774,2996300,0.0,1.0
1999-12-16,53.88,55.0,51.88,53.38,24.1832866977,2340000,0.0,1.0
1999-12-17,55.13,55.2,51.13,52.88,23.95676659,3089900,0.0,1.0
1999-12-20,53.75,55.0,52.13,53.31,24.1515738827,2602400,0.0,1.0
1999-12-21,53.31,57.0,51.94,55.13,24.9761070747,2498100,0.0,1.0
1999-12-22,56.19,59.94,55.81,59.38,26.9015279901,2044100,0.0,1.0
1999-12-23,58.94,60.0,57.13,58.56,26.5300350135,1662400,0.0,1.0
1999-12-27,59.25,59.94,57.88,59.69,27.0419704569,1319900,0.0,1.0
1999-12-28,59.5,59.69,57.5,58.69,26.5889302415,1283700,0.0,1.0
1999-12-29,58.75,61.75,58.13,61.19,27.72153078,1888100,0.0,1.0
