dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,52.500005,53.437498,51.062506,51.062506,23.2788521345,2191200,0.0,1.0
1999-11-02,51.250009,53.437498,51.250009,53.125006,24.2191238973,1646800,0.0,1.0
1999-11-03,53.375005,53.437498,51.937498,53.375005,24.3330957763,1499500,0.0,1.0
1999-11-04,53.937501,54.375003,52.875003,53.187507,24.2476174369,2061000,0.0,1.0
1999-11-05,54.000006,54.75,53.750002,54.625006,24.9029579066,2133500,0.0,1.0
1999-11-08,54.5,54.562501,51.625006,52.750009,24.0481667627,1790900,0.0,1.0
1999-11-09,53.0,54.5,52.437501,54.062499,24.6465169619,1524800,0.0,1.0
1999-11-10,54.312498,54.375003,53.25,53.937501,24.5895317062,1699600,0.0,1.0
1999-11-11,54.437507,54.687507,52.624999,54.437507,24.8174791113,1936900,0.0,1.0
1999-11-12,55.000003,55.000003,52.500005,54.062499,24.6465169619,1737600,0.0,1.0
1999-11-15,53.812507,56.000001,53.187507,55.687504,25.387339418,2291900,0.0,1.0
1999-11-16,55.812498,56.000001,54.062499,55.187502,25.1593938365,2068900,0.0,1.0
1999-11-17,55.000003,55.187502,54.187504,54.937498,25.1580243449,1351500,0.247,1.0
1999-11-18,53.500003,54.937498,53.500003,54.812505,25.1007851722,1199400,0.0,1.0
1999-11-19,54.812505,54.875005,52.500005,52.624999,24.0990408044,1914300,0.0,1.0
1999-11-22,52.750009,53.375005,52.187501,52.437501,24.0131781528,2632100,0.0,1.0
1999-11-23,52.375,52.375,50.500003,50.875,23.2976479662,1555200,0.0,1.0
1999-11-24,50.875,50.875,49.875002,50.625008,23.1831668731,1277700,0.0,1.0
1999-11-26,51.062506,51.312498,50.687501,51.062506,23.3835142813,1034000,0.0,1.0
1999-11-29,51.000005,51.625006,50.562503,51.000005,23.3548926342,2551400,0.0,1.0
1999-11-30,51.5,53.437498,51.437507,52.29688,23.948782309,2181700,0.0,1.0
1999-12-01,51.937498,52.375,50.562503,51.062506,23.3835142813,1604800,0.0,1.0
1999-12-02,50.875,53.0,50.625008,52.562506,24.0704228208,1329600,0.0,1.0
1999-12-03,53.375005,53.437498,52.624999,53.093752,24.3137010968,1209100,0.0,1.0
1999-12-06,52.875003,54.562501,52.500005,54.000006,24.7287101712,1287400,0.0,1.0
1999-12-07,54.000006,54.312498,52.062504,52.375,23.9845565058,1171700,0.0,1.0
1999-12-08,53.500003,54.687507,52.875003,53.062501,24.2993900443,2074300,0.0,1.0
1999-12-09,52.812498,54.875005,52.687504,53.875,24.6714650453,1540600,0.0,1.0
1999-12-10,54.5,55.187502,53.562504,54.5,24.9576769368,2014400,0.0,1.0
1999-12-13,54.187504,54.875005,52.937507,53.875,24.6714650453,1482300,0.0,1.0
1999-12-14,52.375,55.437501,52.250002,54.312498,24.8718124535,2950200,0.0,1.0
1999-12-15,54.000006,56.875,54.000006,55.828125,25.5658772062,5055800,0.0,1.0
1999-12-16,56.000001,56.062501,52.375,52.500005,24.0418011737,3076500,0.0,1.0
1999-12-17,54.5,55.187502,53.500003,53.500003,24.4997392842,4292400,0.0,1.0
1999-12-20,53.750002,54.250009,52.312507,53.093752,24.3137010968,2639600,0.0,1.0
1999-12-21,52.375,54.062499,52.375,53.312504,24.4138761747,2476400,0.0,1.0
1999-12-22,53.0,54.124999,52.937507,53.562504,24.5283609313,2523500,0.0,1.0
1999-12-23,53.687502,56.750003,53.125006,55.812498,25.558720993,2153200,0.0,1.0
1999-12-27,55.750009,56.312505,54.250009,54.250009,24.8431963016,1776300,0.0,1.0
1999-12-28,54.5,56.750003,54.250009,55.312507,25.3297556013,1399900,0.0,1.0
1999-12-29,55.625,57.687507,54.812505,56.437499,25.8449333424,2047300,0.0,1.0
1999-12-30,56.750003,56.750003,54.5,54.5,24.9576769368,1701000,0.0,1.0
1999-12-31,53.625008,56.937501,53.500003,56.437499,25.8449333424,1171600,0.0,1.0
