dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,41.0,41.0,39.25,39.38,27.1329999912,1019700,0.0,1.0
1999-11-02,39.0,39.63,38.75,39.0,26.8711782544,1282700,0.0,1.0
1999-11-03,39.0,39.13,38.38,38.69,26.6575868375,718100,0.0,1.0
1999-11-04,38.5,39.0,38.25,38.63,26.6162465632,547000,0.0,1.0
1999-11-05,38.69,39.63,38.5,38.75,26.6989271117,522200,0.0,1.0
1999-11-08,38.75,39.75,38.25,39.13,26.9607488486,705300,0.0,1.0
1999-11-09,39.25,40.19,38.81,40.06,27.6015230992,946400,0.0,1.0
1999-11-10,39.5,40.31,39.25,40.25,27.7324339677,1049100,0.0,1.0
1999-11-11,40.25,40.25,39.44,40.06,27.6015230992,570900,0.0,1.0
1999-11-12,40.13,40.81,39.81,40.63,27.9942557045,600600,0.0,1.0
1999-11-15,40.63,40.75,39.69,40.56,27.9460253846,867200,0.0,1.0
1999-11-16,40.31,42.44,40.31,42.31,29.1517833831,782600,0.0,1.0
1999-11-17,42.31,44.88,41.75,44.5,30.6607033928,1633100,0.0,1.0
1999-11-18,44.44,45.56,43.88,45.38,31.267027415,1001300,0.0,1.0
1999-11-19,45.5,47.13,44.94,46.31,31.9078016656,1676200,0.0,1.0
1999-11-22,46.31,47.19,46.06,47.13,32.4727854136,894100,0.0,1.0
1999-11-23,47.13,47.75,46.75,47.25,32.555465962,1143700,0.0,1.0
1999-11-24,47.19,47.5,46.06,46.56,32.1386181968,883100,0.085,1.0
1999-11-26,46.88,46.88,45.81,46.06,31.7934869876,254000,0.0,1.0
1999-11-29,46.06,46.19,45.25,46.13,31.8418053569,694300,0.0,1.0
1999-11-30,46.19,48.06,46.19,47.0,32.4423336609,902700,0.0,1.0
1999-12-01,46.5,47.06,46.5,46.5,32.0972024517,782100,0.0,1.0
1999-12-02,47.25,48.63,47.0,48.44,33.4363115432,794800,0.0,1.0
1999-12-03,49.25,50.94,49.25,50.88,35.1205518439,1156600,0.0,1.0
1999-12-06,50.88,51.25,50.0,50.0,34.5131209158,866100,0.0,1.0
1999-12-07,50.5,52.94,50.13,52.44,36.1973612165,1240200,0.0,1.0
1999-12-08,52.38,53.44,51.5,53.25,36.7564737753,737900,0.0,1.0
1999-12-09,55.5,57.06,53.56,54.44,37.5778860531,2034500,0.0,1.0
1999-12-10,55.13,56.0,54.69,55.75,38.4821298211,1259300,0.0,1.0
1999-12-13,55.75,57.88,55.75,57.0,39.344957844,1079600,0.0,1.0
1999-12-14,57.5,57.56,55.69,56.13,38.7444295401,1225000,0.0,1.0
1999-12-15,57.0,57.19,55.5,55.56,38.3509799617,964500,0.0,1.0
1999-12-16,55.38,57.31,55.25,57.31,39.5589391937,1414700,0.0,1.0
1999-12-17,58.06,58.06,58.06,58.06,40.0766360074,1477300,0.0,1.0
1999-12-20,57.0,58.0,55.44,55.75,38.4821298211,1010000,0.0,1.0
1999-12-21,56.25,56.38,54.63,54.88,37.8816015172,1283200,0.0,1.0
1999-12-22,53.0,53.44,51.75,52.0,35.8936457524,1652900,0.0,1.0
1999-12-23,51.75,53.56,50.88,52.44,36.1973612165,1289100,0.0,1.0
1999-12-27,52.63,53.63,52.5,53.5,36.9290393799,640400,0.0,1.0
1999-12-28,53.5,54.5,52.88,53.94,37.232754844,545500,0.0,1.0
1999-12-29,54.25,54.56,53.81,54.44,37.5778860531,267600,0.0,1.0
1999-12-30,54.63,55.5,54.5,55.13,38.0541671218,366800,0.0,1.0
1999-12-31,55.13,58.0,55.13,57.69,39.8212389127,397400,0.0,1.0
