dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2017-05-12,21.25,21.3,20.27,21.1,21.0929099462,10933718,0.0,1.0
2017-05-15,21.01,22.3,21.01,22.02,22.0126008065,3487278,0.0,1.0
2017-05-16,22.19,22.41,22.05,22.1,22.0925739247,1289339,0.0,1.0
2017-05-17,22.15,22.51,21.67,22.1,22.0925739247,1583699,0.0,1.0
2017-05-18,22.19,23.63,21.98,22.5,22.4924395161,4075173,0.0,1.0
2017-05-19,22.56,23.49,22.32,22.72,22.7123655914,1248618,0.0,1.0
2017-05-22,22.8,23.09,22.52,22.89,22.8823084677,383071,0.0,1.0
2017-05-23,22.99,23.61,22.65,23.45,23.4421202957,703985,0.0,1.0
2017-05-24,23.54,23.593,23.01,23.35,23.3421538978,408791,0.0,1.0
2017-05-25,23.42,23.82,22.31,22.51,22.5024361559,1080743,0.0,1.0
2017-05-26,22.55,23.24,22.355,23.03,23.0222614247,721073,0.0,1.0
2017-05-30,23.0,23.29,22.59,22.95,22.9422883065,843125,0.0,1.0
2017-05-31,22.97,23.18,22.67,22.93,22.9222950269,484429,0.0,1.0
2017-06-01,22.91,23.4345,22.81,22.93,22.9222950269,486400,0.0,1.0
2017-06-02,22.89,23.1,22.6,22.65,22.6423891129,546591,0.0,1.0
2017-06-05,22.61,22.91,21.92,22.63,22.6223958333,422153,0.0,1.0
2017-06-06,21.83,22.71,21.83,22.29,22.2825100806,1089496,0.0,1.0
2017-06-07,22.4,22.79,21.57,21.76,21.752688172,733543,0.0,1.0
2017-06-08,21.75,21.93,21.61,21.65,21.6427251344,432553,0.0,1.0
2017-06-09,21.68,22.82,21.68,22.49,22.4824428763,565863,0.0,1.0
2017-06-12,22.46,23.58,21.89,23.03,23.0222614247,826169,0.0,1.0
2017-06-13,22.99,24.24,22.8,23.49,23.4821068548,927265,0.0,1.0
2017-06-14,23.57,23.71,22.55,23.25,23.2421875,1988480,0.0,1.0
2017-06-15,23.08,24.55,22.77,22.99,22.9822748656,1510315,0.0,1.0
2017-06-16,23.0,24.0,23.0,23.92,23.9119623656,2465627,0.0,1.0
2017-06-19,24.06,24.21,23.54,23.92,23.9119623656,460198,0.0,1.0
2017-06-20,23.72,23.72,22.21,22.62,22.6123991935,1043702,0.0,1.0
2017-06-21,22.54,22.745,20.63,20.72,20.7130376344,1275376,0.0,1.0
2017-06-22,20.72,21.07,19.91,21.06,21.0529233871,1321878,0.0,1.0
2017-06-23,21.03,21.105,20.2401,20.47,20.4631216398,3690385,0.0,1.0
2017-06-26,20.42,21.05,20.08,20.5,20.4931115591,790772,0.0,1.0
2017-06-27,20.56,21.63,20.42,21.29,21.2828461022,1029076,0.0,1.0
2017-06-28,21.28,21.64,21.14,21.27,21.2628528226,737567,0.0,1.0
2017-06-29,21.33,21.54,21.04,21.43,21.4227990591,796188,0.0,1.0
2017-06-30,21.54,21.74,21.24,21.61,21.6027385753,250831,0.0,1.0
2017-07-03,21.75,22.4,21.39,22.34,22.3324932796,396507,0.0,1.0
2017-07-05,22.38,22.41,21.76,21.82,21.8126680108,765815,0.0,1.0
2017-07-06,21.61,21.61,20.895,20.97,20.962953629,1184427,0.0,1.0
2017-07-07,20.99,21.22,20.58,20.67,20.6630544355,953857,0.0,1.0
2017-07-10,20.63,21.48,20.55,21.34,21.3328293011,826888,0.0,1.0
2017-07-11,21.23,21.8,21.02,21.73,21.7226982527,656134,0.0,1.0
2017-07-12,21.78,22.34,21.73,22.13,22.1225638441,1091807,0.0,1.0
2017-07-13,22.11,22.26,21.86,22.06,22.0525873656,1577730,0.0,1.0
2017-07-14,22.13,22.29,21.99,22.08,22.0725806452,211254,0.0,1.0
2017-07-17,22.06,23.12,21.9225,22.97,22.962281586,1357054,0.0,1.0
2017-07-18,22.83,23.21,22.81,23.04,23.0322580645,962684,0.0,1.0
2017-07-19,23.03,23.42,23.0,23.42,23.4121303763,742424,0.0,1.0
2017-07-20,23.41,23.62,23.0,23.55,23.5420866935,454431,0.0,1.0
2017-07-21,23.44,23.69,22.82,23.01,23.0022681452,1163239,0.0,1.0
2017-07-24,22.93,23.15,22.71,23.14,23.1322244624,724428,0.0,1.0
2017-07-25,23.28,23.56,22.99,23.45,23.4421202957,1832279,0.0,1.0
