dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,30.25,30.25,29.25,29.38,3.71474778802,173541,0.0,1.0
1999-11-02,29.38,31.25,29.38,31.13,3.93601424919,256059,0.0,1.0
1999-11-03,31.19,31.31,29.38,29.38,3.71474778802,152385,0.0,1.0
1999-11-04,29.5,29.63,29.38,29.5,3.72992034536,136178,0.0,1.0
1999-11-05,29.63,29.88,29.38,29.88,3.77796677693,70815,0.0,1.0
1999-11-08,29.81,31.0,29.75,30.69,3.88038153895,133333,0.0,1.0
1999-11-09,30.69,30.69,29.84,30.06,3.80072561293,149600,0.0,1.0
1999-11-10,30.06,30.13,29.75,30.06,3.80072561293,60770,0.0,1.0
1999-11-11,30.0,30.0,29.56,29.56,3.73750662403,60770,0.0,1.0
1999-11-12,29.69,30.06,29.69,30.06,3.80072561293,99378,0.0,1.0
1999-11-15,29.94,30.63,29.75,30.63,3.87279526028,128800,0.0,1.0
1999-11-16,30.63,30.63,29.75,30.19,3.81716255005,124207,0.0,1.0
1999-11-17,30.19,30.44,30.13,30.38,3.84118576583,74430,0.0,1.0
1999-11-18,30.44,30.94,30.38,30.75,3.88796781762,58281,0.0,1.0
1999-11-19,30.81,31.19,30.69,31.19,3.94360052786,86163,0.0,1.0
1999-11-22,31.19,31.56,30.56,31.19,3.94360052786,820207,0.0,1.0
1999-11-23,31.31,32.0,30.75,31.75,4.01440579543,128978,0.0,1.0
1999-11-24,31.5,31.5,30.63,30.94,3.91199103341,87615,0.0,1.0
1999-11-26,31.0,31.0,30.75,30.75,3.88796781762,31170,0.0,1.0
1999-11-29,30.81,30.88,30.38,30.38,3.84118576583,154104,0.0,1.0
1999-11-30,29.75,29.94,29.31,29.44,3.72233406669,253185,0.0,1.0
1999-12-01,29.5,29.75,29.13,29.63,3.74635728248,112148,0.0,1.0
1999-12-02,29.5,31.25,29.5,31.0,3.91957731207,159970,0.0,1.0
1999-12-03,31.0,32.06,31.0,32.0,4.04601528988,137363,0.0,1.0
1999-12-06,32.13,32.25,32.06,32.13,4.062452227,69096,0.0,1.0
1999-12-07,32.25,32.5,32.19,32.44,4.10164800012,83526,0.0,1.0
1999-12-08,32.44,35.0,32.44,35.0,4.42532922331,168415,0.0,1.0
1999-12-09,35.0,35.0,33.88,34.06,4.30647752417,235289,0.0,1.0
1999-12-10,34.0,35.13,33.75,35.13,4.44176616042,377156,0.0,1.0
1999-12-13,35.0,37.31,35.0,37.31,4.71740095205,219289,0.0,1.0
1999-12-14,37.19,37.56,36.13,37.5,4.74142416783,104474,0.0,1.0
1999-12-15,37.38,38.25,37.19,37.63,4.75786110495,109363,0.0,1.0
1999-12-16,37.88,38.88,37.88,38.19,4.82866637252,210815,0.0,1.0
1999-12-17,38.0,38.62,38.0,38.25,4.83625265119,155644,0.0,1.0
1999-12-20,38.13,38.38,38.06,38.06,4.8122294354,74844,0.0,1.0
1999-12-21,38.06,38.63,38.0,38.25,4.83625265119,123200,0.0,1.0
1999-12-22,38.38,38.56,38.13,38.19,4.82866637252,28593,0.0,1.0
1999-12-23,38.19,38.44,37.94,38.38,4.8526895883,63793,0.0,1.0
1999-12-27,38.5,38.5,38.0,38.5,4.86786214564,57156,0.0,1.0
1999-12-28,38.5,39.25,38.38,39.0,4.93108113454,61304,0.0,1.0
1999-12-29,38.88,38.94,38.44,38.69,4.89188536142,63230,0.0,1.0
1999-12-30,38.94,38.94,38.38,38.69,4.89188536142,341452,0.0,1.0
1999-12-31,38.5,39.5,37.69,39.31,4.97027690766,41393,0.0,1.0
2000-01-03,39.31,39.31,35.56,35.69,4.512571428,197363,0.0,1.0
2000-01-04,35.69,36.38,33.5,34.56,4.36969651307,105037,0.0,1.0
2000-01-05,34.38,34.56,33.5,33.69,4.25969547238,198400,0.0,1.0
2000-01-06,33.69,33.69,32.81,33.13,4.18889020481,196326,0.0,1.0
2000-01-07,33.25,33.5,32.75,33.0,4.17245326769,185541,0.0,1.0
2000-01-10,33.06,35.0,33.0,34.69,4.38613345019,482341,0.0,1.0
2000-01-11,35.0,35.5,35.0,35.06,4.43291550198,72267,0.0,1.0
2000-01-12,35.0,35.0,33.25,33.69,4.25969547238,94844,0.0,1.0
2000-01-13,33.94,34.0,32.94,34.0,4.2988912455,137363,0.0,1.0
2000-01-14,34.0,34.25,33.88,33.94,4.29130496683,46489,0.0,1.0
2000-01-18,33.69,33.69,32.5,32.69,4.13325749457,130459,0.0,1.0
2000-01-19,32.88,33.06,32.63,32.69,4.13325749457,34815,0.0,1.0
2000-01-20,32.63,33.63,32.63,33.5,4.2356722566,61481,0.0,1.0
2000-01-21,33.5,35.0,33.25,34.5,4.3621102344,222015,0.0,1.0
2000-01-24,34.56,35.69,34.56,34.88,4.41015666597,448415,0.0,1.0
2000-01-25,34.88,34.88,33.63,33.63,4.25210919371,130696,0.0,1.0
2000-01-26,33.63,34.94,33.5,33.5,4.2356722566,139644,0.0,1.0
2000-01-27,33.63,34.25,33.5,33.5,4.2356722566,270933,0.0,1.0
2000-01-28,33.63,34.38,33.0,34.0,4.2988912455,108919,0.0,1.0
2000-01-31,34.25,34.75,32.88,33.0,4.17245326769,138341,0.0,1.0
2000-02-01,32.88,32.88,32.06,32.63,4.1256712159,149185,0.0,1.0
2000-02-02,32.38,33.5,31.88,33.38,4.22049969926,84148,0.0,1.0
2000-02-03,33.13,34.25,33.13,33.63,4.25210919371,118193,0.0,1.0
2000-02-04,33.25,34.87,33.25,34.81,4.40130600753,48030,0.0,1.0
2000-02-07,34.63,34.63,32.75,33.0,4.17245326769,176326,0.0,1.0
