dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,44.75,45.81,44.75,45.81,9.77557470783,19000,0.0,1.0
1999-11-02,45.69,45.69,44.75,44.75,9.54937717039,9280,0.0,1.0
1999-11-03,44.5,44.88,44.0,44.75,9.54937717039,17200,0.0,1.0
1999-11-04,44.5,44.56,44.25,44.56,9.50883232877,25400,0.0,1.0
1999-11-05,44.75,44.75,44.5,44.5,9.49602869457,2680,0.0,1.0
1999-11-08,44.5,44.5,44.38,44.5,9.49602869457,15800,0.0,1.0
1999-11-09,44.75,44.94,44.5,44.5,9.49602869457,6000,0.0,1.0
1999-11-10,44.5,44.63,44.25,44.25,9.44268021876,27680,0.0,1.0
1999-11-11,44.31,44.49,44.25,44.25,9.44268021876,15880,0.0,1.0
1999-11-12,44.5,44.56,43.25,43.25,9.22928631551,12200,0.0,1.0
1999-11-15,43.75,44.75,43.75,44.75,9.54937717039,30280,0.0,1.0
1999-11-16,45.0,47.0,45.0,46.56,9.93562013527,8200,0.0,1.0
1999-11-17,49.25,50.0,48.88,48.88,10.4306939908,23080,0.0,1.0
1999-11-18,51.5,51.5,49.5,49.63,10.5907394182,18800,0.0,1.0
1999-11-19,47.75,47.75,46.88,47.25,10.0828619285,9280,0.0,1.0
1999-11-22,48.0,49.13,47.75,48.75,10.4029527834,8080,0.0,1.0
1999-11-23,48.69,48.69,47.5,47.5,10.1362104043,3680,0.0,1.0
1999-11-24,48.69,49.13,48.69,48.69,10.3901491492,44080,0.0,1.0
1999-11-26,51.0,51.5,50.94,51.25,10.9364375415,7000,0.0,1.0
1999-11-29,51.0,51.0,49.94,49.94,10.6568915282,28000,0.0,1.0
1999-11-30,50.81,51.5,50.31,50.38,10.7507848457,64880,0.0,1.0
1999-12-01,51.0,52.0,51.0,51.13,10.9108302731,7600,0.0,1.0
1999-12-02,51.38,51.63,51.19,51.19,10.9236339073,1600,0.0,1.0
1999-12-03,52.5,53.75,52.5,52.88,11.2842696038,10400,0.0,1.0
1999-12-06,52.81,53.63,52.81,53.63,11.4443150312,18280,0.0,1.0
1999-12-07,54.19,54.19,53.69,53.75,11.4699222996,2480,0.0,1.0
1999-12-08,53.63,53.63,53.0,53.0,11.3098768722,61480,0.0,1.0
1999-12-09,53.25,53.38,52.81,52.88,11.2842696038,73800,0.0,1.0
1999-12-10,54.25,54.5,53.25,53.38,11.3909665554,33480,0.0,1.0
1999-12-13,55.75,58.5,55.75,57.5,12.2701494368,18880,0.0,1.0
1999-12-14,57.5,57.5,56.0,56.0,11.9500585819,11000,0.0,1.0
1999-12-15,54.0,54.5,54.0,54.25,11.5766192513,7480,0.0,1.0
1999-12-16,54.25,54.25,53.25,53.25,11.363225348,2480,0.0,1.0
1999-12-17,54.5,54.75,53.5,53.5,11.4165738238,9280,0.0,1.0
1999-12-20,53.25,53.31,52.88,52.88,11.2842696038,2800,0.0,1.0
1999-12-21,54.13,55.25,54.13,55.25,11.7900131545,14680,0.0,1.0
1999-12-22,56.5,56.5,55.25,55.25,11.7900131545,4680,0.0,1.0
1999-12-23,55.5,56.25,55.5,56.19,11.9906034236,6600,0.0,1.0
1999-12-27,56.0,56.25,55.38,56.25,12.0034070577,4280,0.0,1.0
1999-12-28,56.0,56.44,56.0,56.44,12.0439518994,2680,0.0,1.0
1999-12-29,57.75,58.06,57.5,57.75,12.3234979126,21000,0.0,1.0
1999-12-30,57.5,57.56,56.75,56.75,12.1101040094,7400,0.0,1.0
1999-12-31,56.81,56.81,56.44,56.5,12.0567555336,680,0.0,1.0
2000-01-03,56.25,56.25,55.75,55.75,11.8967101061,4480,0.0,1.0
2000-01-04,56.0,56.56,54.81,54.81,11.6961198371,16280,0.0,1.0
2000-01-05,52.5,52.5,51.5,52.25,11.1498314448,11200,0.0,1.0
2000-01-06,52.63,52.94,51.75,51.88,11.0708757006,15480,0.0,1.0
2000-01-07,52.63,53.81,52.5,53.81,11.4827259338,13400,0.0,1.0
2000-01-10,53.81,55.13,53.5,53.5,11.4165738238,14880,0.0,1.0
2000-01-11,56.0,56.38,54.5,54.88,11.7110574103,20200,0.0,1.0
2000-01-12,55.0,55.5,54.94,55.5,11.8433616303,3400,0.0,1.0
2000-01-13,57.25,58.25,57.25,58.0,12.3768463884,18080,0.0,1.0
2000-01-14,58.38,59.0,58.25,58.44,12.4707397059,13680,0.0,1.0
2000-01-18,61.75,63.5,60.5,60.5,12.9103311466,22480,0.0,1.0
2000-01-19,59.75,59.75,58.5,59.0,12.5902402917,7480,0.0,1.0
2000-01-20,57.75,57.75,56.0,56.75,12.1101040094,3600,0.0,1.0
2000-01-21,56.5,56.75,55.75,56.56,12.0695591678,13280,0.0,1.0
2000-01-24,57.25,57.94,57.25,57.94,12.3640427542,13200,0.0,1.0
2000-01-25,57.13,57.13,56.0,56.94,12.150648851,10000,0.0,1.0
2000-01-26,55.5,55.5,54.0,54.44,11.6171640929,10000,0.0,1.0
2000-01-27,54.38,54.38,53.38,54.0,11.5232707754,11600,0.0,1.0
2000-01-28,53.75,53.75,53.5,53.5,11.4165738238,1600,0.0,1.0
2000-01-31,53.25,54.5,53.25,54.19,11.5638156171,7480,0.0,1.0
2000-02-01,54.0,55.0,53.88,55.0,11.7366646787,5080,0.0,1.0
2000-02-02,54.38,57.25,53.75,56.38,12.0311482652,28280,0.0,1.0
2000-02-03,55.38,55.75,54.75,55.5,11.8433616303,18200,0.0,1.0
2000-02-04,55.75,57.0,55.75,56.62,12.082362802,5480,0.0,1.0
2000-02-07,56.75,58.25,56.75,57.88,12.35123912,9000,0.0,1.0
2000-02-08,58.13,60.25,58.13,59.75,12.7502857191,17680,0.0,1.0
2000-02-09,60.75,60.75,59.56,60.25,12.8569826707,10400,0.0,1.0
2000-02-10,59.75,59.75,57.0,57.19,12.2039973268,17200,0.0,1.0
2000-02-11,57.06,57.06,56.25,56.25,12.0034070577,2200,0.0,1.0
2000-02-14,56.0,56.13,55.88,56.13,11.9777997894,10600,0.0,1.0
2000-02-15,54.0,54.0,52.25,53.75,11.4699222996,12680,0.0,1.0
2000-02-16,55.63,57.0,55.63,56.69,12.0973003752,14280,0.0,1.0
2000-02-17,57.5,58.0,57.5,58.0,12.3768463884,4280,0.0,1.0
2000-02-18,59.75,59.75,58.5,58.75,12.5368918159,12400,0.0,1.0
2000-02-22,58.75,59.06,58.69,59.06,12.6030439259,8400,0.0,1.0
2000-02-23,58.5,58.5,57.63,57.75,12.3234979126,11280,0.0,1.0
2000-02-24,57.75,58.5,57.75,58.5,12.4835433401,5600,0.0,1.0
2000-02-25,58.5,58.5,58.25,58.44,12.4707397059,2400,0.0,1.0
2000-02-28,56.0,56.94,56.0,56.94,12.150648851,7880,0.0,1.0
2000-02-29,56.81,57.06,56.38,57.06,12.1762561194,4000,0.0,1.0
2000-03-01,57.06,58.0,56.75,57.5,12.2701494368,8080,0.0,1.0
2000-03-02,57.25,59.5,57.25,59.0,12.5902402917,4400,0.0,1.0
2000-03-03,60.5,61.25,60.0,60.0,12.8036341949,10080,0.0,1.0
2000-03-06,61.88,62.75,61.63,61.63,13.1514662572,11680,0.0,1.0
2000-03-07,62.44,63.5,60.5,60.5,12.9103311466,14480,0.0,1.0
2000-03-08,62.31,62.75,61.94,62.0,13.2304220014,12080,0.0,1.0
2000-03-09,62.06,64.25,62.06,63.63,13.5782540637,12080,0.0,1.0
2000-03-10,63.5,63.5,62.25,62.25,13.2837704772,9000,0.0,1.0
2000-03-13,60.75,60.75,59.5,59.5,12.6969372433,6800,0.0,1.0
2000-03-14,59.75,60.69,59.75,60.63,12.938072354,9000,0.0,1.0
2000-03-15,59.94,59.94,59.5,59.88,12.7780269265,8200,0.0,1.0
2000-03-16,59.88,62.0,59.75,61.63,13.1514662572,7200,0.0,1.0
2000-03-17,63.44,63.63,62.5,62.5,13.3371189531,14280,0.0,1.0
2000-03-20,63.19,64.0,62.81,62.81,13.4032710631,11200,0.0,1.0
2000-03-21,64.38,69.38,64.38,68.75,14.6708308484,55880,0.0,1.0
2000-03-22,68.75,68.75,67.75,68.5,14.6174823725,8200,0.0,1.0
2000-03-23,67.88,67.88,67.0,67.5,14.4040884693,7400,0.0,1.0
2000-03-24,67.62,68.75,67.62,68.5,14.6174823725,4200,0.0,1.0
2000-03-27,68.75,70.0,68.75,69.0,14.7241793242,14280,0.0,1.0
2000-03-28,69.0,69.13,68.38,68.38,14.5918751042,3880,0.0,1.0
2000-03-29,68.5,68.5,68.13,68.13,14.5385266283,1680,0.0,1.0
2000-03-30,68.0,68.38,67.13,67.5,14.4040884693,6080,0.0,1.0
2000-03-31,67.75,73.25,67.75,71.0,15.1509671307,51800,0.0,1.0
2000-04-03,69.25,72.0,69.25,71.25,15.2043156065,17600,0.0,1.0
2000-04-04,70.0,70.0,67.19,67.56,14.4168921035,31880,0.0,1.0
2000-04-05,67.13,68.0,67.13,68.0,14.6021180115,3280,0.428,1.0
2000-04-06,67.5,67.5,66.88,66.88,14.3616125384,3800,0.0,1.0
2000-04-07,66.94,67.0,66.94,67.0,14.3873809819,800,0.0,1.0
2000-04-10,67.5,68.0,67.0,67.0,14.3873809819,14880,0.0,1.0
2000-04-11,68.0,69.5,67.19,67.25,14.4410652393,16000,0.0,1.0
2000-04-12,67.75,70.0,67.75,68.5,14.7094865263,24080,0.0,1.0
2000-04-13,68.25,68.25,66.25,66.25,14.2263282097,13880,0.0,1.0
2000-04-14,64.75,64.75,59.5,59.5,12.7768532601,52280,0.0,1.0
2000-04-17,59.56,59.56,57.88,58.25,12.5084319731,9480,0.0,1.0
2000-04-18,58.25,58.75,57.75,58.63,12.5900320443,10480,0.0,1.0
2000-04-19,63.0,65.0,63.0,63.06,13.5413170854,26000,0.0,1.0
2000-04-20,64.75,65.25,64.75,64.94,13.945022701,6280,0.0,1.0
2000-04-24,64.75,65.0,64.63,64.81,13.9171068872,880,0.0,1.0
2000-04-25,65.38,67.75,65.38,67.5,14.4947494967,13480,0.0,1.0
2000-04-26,70.5,71.0,69.5,69.5,14.9242235559,20680,0.0,1.0
2000-04-27,69.25,69.25,68.94,69.0,14.8168550411,4400,0.0,1.0
2000-04-28,69.25,72.0,69.25,71.25,15.3000133577,8800,0.0,1.0
2000-05-01,71.63,72.06,71.25,72.06,15.4739503516,7280,0.0,1.0
2000-05-02,74.63,74.94,72.63,72.94,15.6629189376,15680,0.0,1.0
2000-05-03,73.25,74.0,72.25,72.38,15.5426662011,6200,0.0,1.0
2000-05-04,72.13,72.13,71.06,71.06,15.259213322,5200,0.0,1.0
2000-05-05,71.25,72.31,71.25,71.5,15.353697615,18600,0.0,1.0
2000-05-08,67.0,68.0,66.56,68.0,14.6021180115,5880,0.0,1.0
2000-05-09,68.0,68.0,65.75,66.19,14.213443988,96080,0.0,1.0
2000-05-10,65.94,65.94,64.5,64.75,13.9042226654,24400,0.0,1.0
2000-05-11,64.56,65.25,62.75,65.25,14.0115911802,23680,0.0,1.0
2000-05-12,64.5,64.5,62.0,62.25,13.3673800914,21880,0.0,1.0
2000-05-15,62.5,64.81,62.5,64.81,13.9171068872,14400,0.0,1.0
2000-05-16,64.56,64.56,62.38,64.0,13.7431698932,18600,0.0,1.0
2000-05-17,63.0,63.0,62.5,62.75,13.4747486062,6400,0.0,1.0
2000-05-18,65.25,66.0,64.75,65.88,14.1468755088,16880,0.0,1.0
2000-05-19,65.25,65.25,63.38,63.44,13.6229171566,6400,0.0,1.0
2000-05-22,63.19,63.19,61.25,61.25,13.1526430618,5600,0.0,1.0
2000-05-23,61.0,61.0,60.19,60.69,13.0323903253,7400,0.0,1.0
2000-05-24,60.0,61.75,59.63,61.75,13.2600115766,17800,0.0,1.0
2000-05-25,61.0,61.38,60.75,61.06,13.1118430262,14600,0.0,1.0
2000-05-26,61.06,62.5,61.06,62.13,13.3416116479,14200,0.0,1.0
2000-05-30,63.5,64.0,63.5,63.5,13.6358013784,3800,0.0,1.0
2000-05-31,63.5,65.5,63.5,65.5,14.0652754376,16200,0.0,1.0
2000-06-01,65.25,65.44,64.38,64.5,13.850538408,22280,0.0,1.0
2000-06-02,65.5,66.13,65.5,65.56,14.0781596593,8680,0.0,1.0
2000-06-05,66.75,67.25,66.5,66.5,14.2800124671,16480,0.0,1.0
2000-06-06,67.13,67.5,67.13,67.38,14.4689810532,21480,0.0,1.0
2000-06-07,68.38,69.0,68.31,68.31,14.6686864907,6680,0.0,1.0
2000-06-08,69.5,69.56,68.5,68.5,14.7094865263,6800,0.0,1.0
2000-06-09,68.75,69.38,68.38,69.0,14.8168550411,13480,0.0,1.0
2000-06-12,69.25,70.5,69.25,69.25,14.8705392985,17080,0.0,1.0
2000-06-13,70.0,70.0,68.19,68.19,14.6429180471,14200,0.0,1.0
2000-06-14,68.5,68.69,68.25,68.31,14.6686864907,4880,0.0,1.0
2000-06-15,71.75,72.5,71.5,71.94,15.4481819081,23200,0.0,1.0
2000-06-16,73.5,75.13,73.5,74.5,15.9979087038,20400,0.0,1.0
2000-06-19,73.75,73.75,73.38,73.5,15.7831716742,4280,0.0,1.0
2000-06-20,73.75,74.0,73.5,73.81,15.8497401534,4800,0.0,1.0
2000-06-21,74.0,74.63,74.0,74.19,15.9313402246,3400,0.0,1.0
2000-06-22,74.56,75.25,74.56,74.75,16.0515929612,6480,0.0,1.0
2000-06-23,75.25,76.75,75.25,75.81,16.2792142125,26080,0.0,1.0
2000-06-26,75.5,76.5,75.5,76.13,16.347930062,10280,0.0,1.0
2000-06-27,77.0,77.63,76.88,77.44,16.6292355708,19000,0.0,1.0
2000-06-28,76.25,77.0,75.5,76.94,16.521867056,12800,0.0,1.0
2000-06-29,77.0,78.25,76.75,78.06,16.7623725291,11800,0.0,1.0
2000-06-30,79.0,79.25,77.5,78.38,16.8310883786,46280,0.0,1.0
2000-07-03,78.63,80.5,78.63,80.5,17.2863308813,10800,0.0,1.0
2000-07-05,79.75,79.75,78.75,79.06,16.9771095587,15880,0.0,1.0
2000-07-06,79.06,79.25,78.75,79.0,16.9642253369,7680,0.0,1.0
2000-07-07,78.81,79.25,78.81,79.25,17.0179095943,3280,0.0,1.0
2000-07-10,79.25,81.5,79.25,80.31,17.2455308457,18080,0.0,1.0
2000-07-11,81.5,81.75,80.25,81.25,17.4473836535,24400,0.0,1.0
