dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,35.75,35.75,34.31,34.63,8.28804928852,56000,0.0,1.0
1999-11-02,34.69,34.75,34.06,34.31,8.21146321366,26200,0.0,1.0
1999-11-03,34.56,35.38,34.44,35.13,8.40771503049,98200,0.0,1.0
1999-11-04,35.13,35.13,33.19,33.88,8.10855067557,106900,0.0,1.0
1999-11-05,33.81,33.88,32.0,33.56,8.03196460072,179700,0.0,1.0
1999-11-08,33.56,33.56,32.69,33.06,7.91229885875,42600,0.0,1.0
1999-11-09,33.06,33.38,33.06,33.19,7.94341195166,65500,0.0,1.0
1999-11-10,33.0,33.06,32.81,32.88,7.86921919164,40200,0.0,1.0
1999-11-11,32.94,33.06,32.75,32.75,7.83810609873,14200,0.0,1.0
1999-11-12,32.75,32.75,32.25,32.5,7.77827322775,46100,0.0,1.0
1999-11-15,32.5,32.56,31.97,32.5,7.77827322775,79700,0.0,1.0
1999-11-16,32.44,32.56,32.25,32.38,7.74955344968,42800,0.0,1.0
1999-11-17,32.5,32.56,31.81,31.81,7.61313450384,21100,0.0,1.0
1999-11-18,31.75,31.81,31.0,31.13,7.45038909476,153600,0.0,1.0
1999-11-19,31.25,31.25,30.75,30.88,7.39055622378,78500,0.0,1.0
1999-11-22,31.0,31.38,30.94,31.31,7.49346876187,115000,0.0,1.0
1999-11-23,31.5,32.0,31.25,31.56,7.55330163285,159700,0.0,1.0
1999-11-24,31.63,31.63,31.0,31.56,7.55330163285,72300,0.0,1.0
1999-11-26,31.56,31.63,31.38,31.44,7.52458185478,24600,0.0,1.0
1999-11-29,31.5,31.5,30.31,30.81,7.37380301991,71400,0.0,1.0
1999-11-30,30.88,31.5,30.44,31.44,7.52458185478,35200,0.0,1.0
1999-12-01,31.31,31.5,31.13,31.31,7.49346876187,27700,0.0,1.0
1999-12-02,31.38,31.44,30.63,30.69,7.34508324183,59500,0.0,1.0
1999-12-03,30.81,31.13,30.63,30.94,7.40491611282,31300,0.0,1.0
1999-12-06,31.0,31.06,30.38,30.38,7.27089048182,39100,0.0,1.0
1999-12-07,30.38,30.81,30.06,30.44,7.28525037085,51600,0.0,1.0
1999-12-08,30.25,30.25,29.56,30.25,7.23977738891,197600,0.0,1.0
1999-12-09,30.5,30.81,30.19,30.63,7.3307233528,40600,0.0,1.0
1999-12-10,30.63,30.63,30.25,30.5,7.29961025989,37500,0.0,1.0
1999-12-13,30.38,31.0,30.25,30.81,7.37380301991,25900,0.0,1.0
1999-12-14,30.69,30.69,29.94,30.0,7.17994451792,92800,0.0,1.0
1999-12-15,30.0,30.19,29.75,30.06,7.19430440696,85300,0.0,1.0
1999-12-16,30.19,30.44,30.13,30.38,7.27089048182,152100,0.0,1.0
1999-12-17,30.12,30.88,30.12,30.31,7.25413727794,58700,0.0,1.0
1999-12-20,30.19,30.94,30.19,30.38,7.27089048182,44700,0.0,1.0
1999-12-21,30.25,30.25,29.25,30.0,7.17994451792,89500,0.0,1.0
1999-12-22,29.75,30.13,29.56,29.63,7.09139186887,74300,0.0,1.0
1999-12-23,29.56,29.94,29.56,29.75,7.12011164694,56300,0.0,1.0
1999-12-27,29.75,29.88,29.25,29.75,7.12011164694,92200,0.0,1.0
1999-12-28,29.75,30.0,29.63,29.88,7.15122473985,92100,0.0,1.0
1999-12-29,29.94,30.44,29.88,30.44,7.28525037085,47600,0.0,1.0
1999-12-30,30.44,31.44,30.44,31.44,7.52458185478,59400,0.0,1.0
1999-12-31,31.44,32.5,31.44,32.5,7.77827322775,40300,0.0,1.0
2000-01-03,32.56,32.56,31.94,31.94,7.64424759675,105600,0.0,1.0
2000-01-04,31.94,32.13,31.63,31.75,7.5987746148,63000,0.0,1.0
2000-01-05,31.63,32.25,31.63,32.13,7.68972057869,102300,0.0,1.0
2000-01-06,31.88,32.25,31.75,32.09,7.68014731934,125700,0.0,1.0
2000-01-07,32.25,32.88,32.25,32.81,7.85246598777,64400,0.0,1.0
2000-01-10,33.0,33.13,32.25,33.0,7.89793896971,50000,0.0,1.0
2000-01-11,32.88,32.88,32.69,32.88,7.86921919164,28600,0.0,1.0
