dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,12.88,13.19,12.88,13.0,2.67366178954,68500,0.0,1.0
1999-11-02,12.94,13.13,12.88,12.94,2.66132181205,64900,0.0,1.0
1999-11-03,12.88,13.5,12.88,13.38,2.75181498031,154300,0.0,1.0
1999-11-04,13.5,13.63,13.13,13.63,2.80323155318,75200,0.0,1.0
1999-11-05,13.5,13.63,13.38,13.5,2.77649493529,70900,0.0,1.0
1999-11-08,13.5,14.13,13.44,14.13,2.90606469893,104400,0.0,1.0
1999-11-09,14.13,14.75,14.06,14.5,2.98216122679,101900,0.0,1.0
1999-11-10,14.53,15.0,14.5,14.69,3.02123782218,66100,0.0,1.0
1999-11-11,14.38,15.0,14.38,14.47,2.97599123805,130100,0.0,1.0
1999-11-12,14.38,14.63,14.38,14.63,3.00889784469,52000,0.0,1.0
1999-11-15,14.59,15.0,14.5,14.63,3.00889784469,46500,0.0,1.0
1999-11-16,14.81,14.88,14.56,14.75,3.03357779967,50600,0.0,1.0
1999-11-17,14.63,15.0,14.56,14.69,3.02123782218,89900,0.0,1.0
1999-11-18,14.69,14.75,14.44,14.59,3.00067119303,87700,0.0,1.0
1999-11-19,14.69,14.88,14.56,14.69,3.02123782218,81200,0.0,1.0
1999-11-22,14.75,14.88,14.69,14.88,3.06031441756,44600,0.0,1.0
1999-11-23,14.88,14.88,14.06,14.19,2.91840467642,48900,0.0,1.0
1999-11-24,14.13,14.13,12.81,13.31,2.7374183399,142400,0.0,1.0
1999-11-26,13.5,13.5,12.94,13.13,2.70039840743,76200,0.0,1.0
1999-11-29,13.13,13.5,12.94,13.25,2.72507836241,73900,0.0,1.0
1999-11-30,13.13,13.44,13.06,13.38,2.75181498031,73400,0.0,1.0
1999-12-01,13.38,13.38,12.88,12.94,2.66132181205,59300,0.0,1.0
1999-12-02,13.06,13.69,12.88,13.5,2.77649493529,59900,0.0,1.0
1999-12-03,13.5,13.69,13.38,13.38,2.75181498031,54600,0.0,1.0
1999-12-06,13.25,13.61,13.13,13.44,2.7641549578,22300,0.0,1.0
1999-12-07,13.13,13.44,13.0,13.0,2.67366178954,48500,0.0,1.0
1999-12-08,13.0,13.44,12.5,12.5,2.57082864378,82400,0.0,1.0
1999-12-09,13.25,13.25,12.56,13.0,2.67366178954,72500,0.0,1.0
1999-12-10,13.0,13.31,12.88,13.25,2.72507836241,49000,0.0,1.0
1999-12-13,13.31,13.5,13.06,13.5,2.77649493529,51900,0.0,1.0
1999-12-14,13.13,13.5,13.0,13.06,2.68600176703,61600,0.0,1.0
1999-12-15,13.0,13.38,13.0,13.25,2.72507836241,87100,0.0,1.0
1999-12-16,13.19,13.44,13.13,13.13,2.70039840743,62400,0.0,1.0
1999-12-17,13.38,13.5,13.0,13.06,2.68600176703,167700,0.0,1.0
1999-12-20,13.0,13.06,12.56,12.69,2.60990523917,100300,0.0,1.0
1999-12-21,12.5,12.75,12.5,12.5,2.57082864378,62900,0.0,1.0
1999-12-22,12.56,13.19,12.38,13.06,2.68600176703,88500,0.0,1.0
1999-12-23,13.25,13.25,12.75,12.91,2.6551518233,71700,0.0,1.0
1999-12-27,13.13,13.13,12.75,13.0,2.67366178954,80600,0.0,1.0
1999-12-28,13.0,13.19,12.81,13.16,2.70656839618,40400,0.0,1.0
1999-12-29,13.38,13.63,12.75,13.13,2.70039840743,91200,0.0,1.0
1999-12-30,13.0,13.5,13.0,13.38,2.75181498031,70800,0.0,1.0
1999-12-31,13.25,14.19,13.25,13.84,2.8464214744,90300,0.0,1.0
2000-01-03,14.25,14.44,13.06,13.44,2.7641549578,61500,0.0,1.0
2000-01-04,13.06,13.25,12.75,12.75,2.62224521666,69900,0.0,1.0
2000-01-05,13.0,13.06,12.63,12.88,2.64898183456,36400,0.0,1.0
2000-01-06,13.0,13.38,13.0,13.25,2.72507836241,55900,0.0,1.0
2000-01-07,13.38,13.94,13.06,13.25,2.72507836241,41400,0.0,1.0
2000-01-10,13.38,13.63,12.75,12.88,2.64898183456,68100,0.0,1.0
2000-01-11,13.13,13.25,12.88,13.06,2.68600176703,33600,0.0,1.0
2000-01-12,12.75,13.06,12.69,12.94,2.66132181205,57300,0.0,1.0
2000-01-13,12.88,13.13,12.88,13.0,2.67366178954,75200,0.0,1.0
2000-01-14,12.88,13.06,12.69,13.0,2.67366178954,43000,0.0,1.0
2000-01-18,12.88,13.13,12.69,12.88,2.64898183456,64900,0.0,1.0
2000-01-19,12.63,12.75,12.44,12.44,2.55848866629,44900,0.0,1.0
2000-01-20,12.44,12.94,12.44,12.88,2.64898183456,66900,0.0,1.0
2000-01-21,12.88,12.88,12.31,12.31,2.5317520484,48200,0.0,1.0
2000-01-24,12.47,12.56,12.0,12.13,2.49473211593,52900,0.0,1.0
2000-01-25,12.38,12.63,12.0,12.0,2.46799549803,55600,0.0,1.0
2000-01-26,12.13,13.0,12.13,12.88,2.64898183456,61200,0.0,1.0
2000-01-27,12.88,13.19,12.25,12.41,2.55231867755,95500,0.0,1.0
2000-01-28,12.44,12.69,12.13,12.69,2.60990523917,53500,0.0,1.0
2000-01-31,12.0,12.75,11.75,12.63,2.59756526168,244200,0.0,1.0
2000-02-01,12.53,12.56,12.25,12.44,2.56877198087,41700,0.05,1.0
2000-02-02,12.44,12.72,12.38,12.69,2.620395212,64000,0.0,1.0
2000-02-03,12.63,12.75,12.5,12.56,2.59355113181,63600,0.0,1.0
2000-02-04,12.44,12.75,12.44,12.5,2.58116155634,25800,0.0,1.0
2000-02-07,12.53,12.56,12.25,12.31,2.54192790068,74600,0.0,1.0
2000-02-08,12.13,12.63,12.13,12.31,2.54192790068,69600,0.0,1.0
2000-02-09,12.13,12.5,12.13,12.25,2.52953832521,178400,0.0,1.0
2000-02-10,12.25,12.38,12.0,12.06,2.49030466956,37400,0.0,1.0
2000-02-11,12.0,12.31,11.88,12.19,2.51714874974,29500,0.0,1.0
2000-02-14,12.0,12.38,11.81,12.31,2.54192790068,56000,0.0,1.0
