dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,40.75,42.38,40.31,41.0,20.5745378612,40960400,0.0,1.0
1999-11-04,42.5,42.5,39.56,40.5,20.3236288629,28065600,0.0,1.0
1999-11-05,40.0,40.31,38.0,39.19,19.6662472873,31883200,0.0,1.0
1999-11-08,39.0,40.31,38.69,40.13,20.1379562041,20911600,0.0,1.0
1999-11-09,40.94,42.13,40.25,42.13,21.1415921974,38746000,0.0,1.0
1999-11-10,41.5,43.0,41.0,42.13,21.1415921974,21411200,0.0,1.0
1999-11-11,42.0,44.25,41.94,44.25,22.2054463502,24094800,0.0,1.0
1999-11-12,44.25,44.75,42.5,43.0,21.5781738544,20550000,0.0,1.0
1999-11-15,44.5,44.56,43.0,43.25,21.7036283536,20000000,0.0,1.0
1999-11-16,43.75,44.25,42.88,43.88,22.0197736915,20431200,0.0,1.0
1999-11-17,43.63,44.88,43.0,44.25,22.2054463502,17910800,0.0,1.0
1999-11-18,44.5,45.13,44.19,44.88,22.5215916881,13581600,0.0,1.0
1999-11-19,45.0,45.0,43.31,43.81,21.9846464317,14046800,0.0,1.0
1999-11-22,43.5,43.5,42.25,43.0,21.5781738544,16862400,0.0,1.0
1999-11-23,43.0,43.06,41.31,41.81,20.9810104385,17704800,0.0,1.0
1999-11-24,42.5,42.5,41.88,42.13,21.1415921974,11414800,0.0,1.0
1999-11-26,42.38,43.0,42.13,42.72,21.4376648154,5008000,0.0,1.0
1999-11-29,42.25,42.5,41.13,41.25,20.6999923604,12353200,0.0,1.0
1999-11-30,40.81,41.13,39.88,40.25,20.1981743637,22038000,0.0,1.0
1999-12-01,41.25,41.56,39.81,40.06,20.1028289444,21675200,0.0,1.0
1999-12-02,40.25,40.69,38.0,38.56,19.3501019495,27654400,0.0,1.0
1999-12-03,39.13,39.63,37.0,37.44,18.7880657933,42344400,0.0,1.0
1999-12-06,37.75,37.94,35.0,35.89,18.0102478985,51811600,0.0,1.0
1999-12-07,36.13,36.75,35.0,35.13,17.6288662211,46187600,0.0,1.0
1999-12-08,35.38,36.75,35.38,36.25,18.1909023773,25713600,0.0,1.0
1999-12-09,25.63,29.63,22.5,28.25,14.1763584044,231352800,0.0,1.0
1999-12-10,32.5,33.38,29.0,30.44,15.275339817,136578400,0.0,1.0
1999-12-13,31.5,32.13,30.5,31.0,15.5563578951,60305600,0.0,1.0
1999-12-14,31.0,32.0,30.81,31.0,15.5563578951,36394800,0.0,1.0
1999-12-15,30.88,31.0,28.94,29.38,14.7434127405,37744400,0.0,1.0
1999-12-16,30.0,31.0,29.5,30.44,15.275339817,29098000,0.0,1.0
1999-12-17,31.0,31.19,29.75,30.0,15.0545398984,27540400,0.0,1.0
1999-12-20,29.06,29.5,27.88,28.5,14.3018129035,39227200,0.0,1.0
1999-12-21,28.13,29.88,28.0,29.75,14.9290853993,32994400,0.0,1.0
1999-12-22,30.25,31.13,30.0,30.63,15.3706852363,23220000,0.0,1.0
1999-12-23,31.13,33.88,30.19,33.0,16.5599938883,28268400,0.0,1.0
1999-12-27,33.88,36.0,33.0,35.88,18.0052297185,24070800,0.0,1.0
1999-12-28,35.75,38.19,34.81,35.44,17.7844298,30768800,0.0,1.0
1999-12-29,35.63,37.06,35.13,36.56,18.3464659562,19522800,0.0,1.0
1999-12-30,37.0,37.75,36.88,37.0,18.5737895087,16289600,0.013,1.0
1999-12-31,37.56,39.75,37.44,39.0,19.5777781308,20187200,0.0,1.0
2000-01-03,39.75,39.94,37.13,37.38,18.7645473469,27718000,0.0,1.0
2000-01-04,36.88,37.75,35.75,36.06,18.1019148563,21152800,0.0,1.0
2000-01-05,36.19,36.25,34.5,35.31,17.725419123,25592400,0.0,1.0
2000-01-06,35.13,36.0,34.81,35.13,17.635060147,21321200,0.0,1.0
2000-01-07,35.0,35.75,34.06,35.63,17.8860573026,15770400,0.0,1.0
2000-01-10,36.25,36.88,35.88,36.75,18.4482909309,12923600,0.0,1.0
2000-01-11,36.94,36.94,34.13,34.31,17.223424812,22435600,0.0,1.0
2000-01-12,33.25,33.75,32.0,32.25,16.1893165312,19673200,0.0,1.0
2000-01-13,33.25,34.38,32.56,34.38,17.2585644138,18454000,0.0,1.0
2000-01-14,35.69,36.0,33.44,34.88,17.5095615693,22944000,0.0,1.0
2000-01-18,36.25,40.13,35.75,40.0,20.0797724418,44281600,0.0,1.0
2000-01-19,38.94,39.38,37.44,38.0,19.0757838197,36460000,0.0,1.0
2000-01-20,38.25,38.38,37.0,37.88,19.0155445024,16452000,0.0,1.0
2000-01-21,38.19,39.38,38.0,39.0,19.5777781308,23904800,0.0,1.0
2000-01-24,39.38,39.44,37.88,37.88,19.0155445024,20022400,0.0,1.0
2000-01-25,37.13,39.0,36.0,36.0,18.0717951977,15426800,0.0,1.0
2000-01-26,37.94,39.5,37.38,39.38,19.768535969,31323200,0.0,1.0
2000-01-27,39.69,43.13,39.38,42.75,21.4602567972,56377200,0.0,1.0
2000-01-28,42.75,43.88,41.25,42.0,21.0837610639,40062400,0.0,1.0
2000-01-31,42.13,43.44,41.06,43.06,21.6158750336,19953200,0.0,1.0
2000-02-01,42.38,42.5,41.0,41.69,20.9281428275,24152800,0.0,1.0
2000-02-02,42.13,42.13,40.0,40.5,20.3307695974,22174000,0.0,1.0
2000-02-03,41.06,41.56,40.31,40.88,20.5215274356,13805600,0.0,1.0
2000-02-04,41.5,41.5,40.0,40.0,20.0797724418,11888000,0.0,1.0
2000-02-07,39.94,40.0,38.25,39.13,19.6430373912,17326000,0.0,1.0
