dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,37.5,37.63,34.38,34.5,6.68092407748,122400,0.0,1.0
1999-11-02,34.63,36.19,34.63,35.94,6.95978003897,23000,0.0,1.0
1999-11-03,36.19,37.25,36.0,36.63,7.09339852052,114600,0.0,1.0
1999-11-04,36.56,36.63,36.0,36.25,7.01981153068,59400,0.0,1.0
1999-11-05,37.25,37.5,36.63,37.13,7.19022350715,80900,0.0,1.0
1999-11-08,35.81,36.38,35.13,35.75,6.92298654405,75400,0.0,1.0
1999-11-09,36.19,36.5,35.5,36.44,7.0566050256,20000,0.0,1.0
1999-11-10,36.0,36.25,35.38,35.38,6.85133605395,50100,0.0,1.0
1999-11-11,35.38,36.88,35.38,35.88,6.94816104058,24000,0.0,1.0
1999-11-12,36.06,36.06,35.0,35.75,6.92298654405,128000,0.0,1.0
1999-11-15,35.44,36.5,35.38,35.75,6.92298654405,27800,0.0,1.0
1999-11-16,36.28,37.25,35.88,37.25,7.2289535018,136200,0.08,1.0
1999-11-17,37.47,38.75,37.31,38.5,7.47153583408,138100,0.0,1.0
1999-11-18,38.44,39.06,38.0,38.88,7.54528086309,132600,0.0,1.0
1999-11-19,39.0,39.06,37.75,37.75,7.32598643472,24900,0.0,1.0
1999-11-22,38.13,38.88,37.75,38.5,7.47153583408,30800,0.0,1.0
1999-11-23,38.81,39.13,37.88,39.13,7.59379732955,99700,0.0,1.0
1999-11-24,39.0,39.13,38.38,38.38,7.44824793018,37400,0.0,1.0
1999-11-26,37.88,38.88,37.88,38.5,7.47153583408,14600,0.0,1.0
1999-11-29,39.0,41.06,38.88,41.06,7.96834445058,113500,0.0,1.0
1999-11-30,40.69,41.94,39.0,39.56,7.67724565185,283700,0.0,1.0
1999-12-01,35.25,41.5,35.0,41.5,8.05373343154,632500,0.0,1.0
1999-12-02,41.34,42.0,41.0,42.0,8.15076636445,126500,0.0,1.0
1999-12-03,42.31,44.5,42.0,43.88,8.51561019219,187000,0.0,1.0
1999-12-06,43.56,45.5,43.38,45.44,8.81835294287,140500,0.0,1.0
1999-12-07,44.75,45.94,44.75,45.88,8.90374192383,233700,0.0,1.0
1999-12-08,44.72,47.19,44.69,46.94,9.1094517416,190100,0.0,1.0
1999-12-09,47.03,47.94,46.5,47.66,9.24917916499,148200,0.0,1.0
1999-12-10,47.0,47.75,47.0,47.19,9.15796820806,166700,0.0,1.0
1999-12-13,46.69,48.0,46.5,47.56,9.22977257841,119500,0.0,1.0
1999-12-14,48.06,50.0,46.69,49.94,9.69164933906,123300,0.0,1.0
1999-12-15,49.38,56.5,49.19,55.0,10.6736226201,394300,0.0,1.0
1999-12-16,53.75,56.13,51.38,55.0,10.6736226201,346100,0.0,1.0
1999-12-17,54.91,55.0,53.13,54.44,10.5649457353,187100,0.0,1.0
1999-12-20,53.63,55.56,53.13,54.38,10.5533017833,146400,0.0,1.0
1999-12-21,54.38,55.13,54.38,55.13,10.6988511827,93200,0.0,1.0
1999-12-22,55.19,55.25,54.0,54.75,10.6251061537,134000,0.0,1.0
1999-12-23,54.75,55.0,54.0,54.56,10.5882336392,108600,0.0,1.0
1999-12-27,53.63,54.5,51.63,54.25,10.5280732207,61200,0.0,1.0
1999-12-28,53.13,54.75,51.88,53.53,10.3883457974,31600,0.0,1.0
1999-12-29,52.28,53.81,51.75,52.5,10.1884579556,72000,0.0,1.0
1999-12-30,51.75,53.0,51.5,51.78,10.0487305322,140300,0.0,1.0
1999-12-31,52.5,53.69,51.44,53.69,10.4193963359,75700,0.0,1.0
2000-01-03,53.0,53.75,52.0,53.75,10.4310402878,62100,0.0,1.0
2000-01-04,52.25,53.5,49.13,49.38,9.5829724542,140800,0.0,1.0
2000-01-05,49.5,49.5,48.25,49.25,9.55774389165,215000,0.0,1.0
2000-01-06,51.19,52.25,49.0,49.88,9.68000538711,204800,0.0,1.0
2000-01-07,49.69,50.13,49.0,49.88,9.68000538711,83900,0.0,1.0
2000-01-10,49.63,52.0,48.94,51.72,10.0370865802,241600,0.0,1.0
2000-01-11,50.13,52.31,50.13,51.94,10.0797810707,77700,0.0,1.0
2000-01-12,51.88,52.25,51.38,51.69,10.0312646042,96400,0.0,1.0
2000-01-13,51.56,52.0,50.0,52.0,10.0914250227,92600,0.0,1.0
2000-01-14,50.31,53.06,50.31,52.75,10.236974422,61800,0.0,1.0
2000-01-18,52.47,55.88,52.06,55.25,10.7221390866,130600,0.0,1.0
2000-01-19,55.0,57.92,54.88,56.31,10.9278489043,109400,0.0,1.0
2000-01-20,55.75,57.0,55.0,56.88,11.0384664479,55600,0.0,1.0
2000-01-21,57.13,58.25,56.5,58.13,11.2810487801,107400,0.0,1.0
2000-01-24,58.0,58.38,57.25,58.25,11.304336684,184800,0.0,1.0
2000-01-25,58.0,58.38,57.75,58.06,11.2674641695,85600,0.0,1.0
2000-01-26,57.88,59.0,57.75,58.0,11.2558202176,91000,0.0,1.0
2000-01-27,58.88,59.0,57.5,58.13,11.2810487801,96100,0.0,1.0
2000-01-28,58.0,58.88,57.75,58.38,11.3295652466,147500,0.0,1.0
2000-01-31,58.0,60.75,56.0,57.25,11.1102708182,207800,0.0,1.0
2000-02-01,57.25,58.13,53.25,55.0,10.6736226201,135100,0.0,1.0
2000-02-02,54.38,55.75,54.38,55.0,10.6736226201,106200,0.0,1.0
2000-02-03,54.78,55.97,54.78,55.25,10.7221390866,75900,0.0,1.0
2000-02-04,55.44,58.75,55.13,58.75,11.4013696169,113800,0.0,1.0
2000-02-07,57.0,59.38,57.0,59.25,11.4984025499,78800,0.0,1.0
2000-02-08,59.19,60.5,59.0,60.31,11.7041123676,127900,0.0,1.0
2000-02-09,60.25,61.13,60.25,60.63,11.7662134447,134600,0.0,1.0
2000-02-10,60.69,61.13,59.38,59.72,11.5896135068,99000,0.0,1.0
2000-02-11,59.97,61.75,59.44,61.0,11.838017815,120200,0.0,1.0
2000-02-14,60.81,64.75,59.63,60.13,11.6885870984,373000,0.1,1.0
2000-02-15,61.0,61.0,59.06,59.44,11.5544589577,40900,0.0,1.0
2000-02-16,59.0,60.25,59.0,60.13,11.6885870984,185900,0.0,1.0
2000-02-17,60.31,60.31,58.5,60.0,11.6633165791,82100,0.0,1.0
2000-02-18,59.88,60.13,59.5,59.94,11.6516532625,127800,0.0,1.0
2000-02-22,59.91,60.0,59.0,59.5,11.5661222743,58700,0.0,1.0
2000-02-23,59.25,61.75,59.25,61.66,11.9860016711,174800,0.0,1.0
2000-02-24,61.75,63.0,61.0,62.5,12.1492881032,184800,0.0,1.0
2000-02-25,61.69,64.5,61.63,63.75,12.3922738653,104400,0.0,1.0
2000-02-28,63.75,65.0,62.94,64.66,12.5691675001,129400,0.0,1.0
2000-02-29,63.75,70.0,63.75,69.88,13.5838760425,126100,0.0,1.0
2000-03-01,69.56,70.75,68.88,70.5,13.7043969804,158800,0.0,1.0
2000-03-02,70.06,70.5,69.63,70.06,13.6188659922,115000,0.0,1.0
2000-03-03,35.03,35.75,34.75,35.09,13.6421926254,134600,0.0,2.0
2000-03-06,35.38,35.63,34.81,35.19,13.6810703473,153200,0.0,1.0
2000-03-07,35.25,35.25,32.0,34.38,13.3661607996,220500,0.0,1.0
2000-03-08,34.38,35.36,34.0,35.06,13.6305293088,175000,0.0,1.0
2000-03-09,35.25,37.38,34.75,37.06,14.4080837474,231700,0.0,1.0
2000-03-10,37.0,40.0,36.78,39.13,15.2128525913,351100,0.0,1.0
2000-03-13,37.5,38.13,36.5,37.06,14.4080837474,163400,0.0,1.0
2000-03-14,37.13,39.25,36.56,38.25,14.8707286384,217500,0.0,1.0
2000-03-15,38.5,38.81,36.19,37.19,14.4586247859,307500,0.0,1.0
