dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,39.56,39.69,37.63,38.38,19.6473802212,834700,0.0,1.0
1999-11-02,38.38,38.38,37.38,37.56,19.2276081581,580300,0.0,1.0
1999-11-03,37.5,37.75,36.88,36.94,18.9102195251,653300,0.0,1.0
1999-11-04,36.75,37.13,35.56,35.56,18.2037738579,935000,0.0,1.0
1999-11-05,35.63,36.5,35.25,35.38,18.1116287709,596600,0.0,1.0
1999-11-08,35.44,36.31,35.38,36.31,18.5877117205,701600,0.0,1.0
1999-11-09,36.38,36.44,35.13,35.56,18.2037738579,484800,0.0,1.0
1999-11-10,35.13,35.25,34.5,35.0,17.9171002538,569800,0.0,1.0
1999-11-11,34.94,35.44,34.0,35.13,17.9836494834,539900,0.0,1.0
1999-11-12,35.38,35.63,34.63,35.13,17.9836494834,352800,0.0,1.0
1999-11-15,35.0,35.44,34.19,34.94,17.8863852248,551900,0.0,1.0
1999-11-16,34.94,36.0,34.81,35.63,18.2396080584,455300,0.0,1.0
1999-11-17,35.5,36.38,35.31,36.0,18.429017404,336500,0.0,1.0
1999-11-18,35.94,36.13,35.0,35.06,17.9478152828,502100,0.0,1.0
1999-11-19,34.88,34.88,34.0,34.38,17.5997116208,938200,0.0,1.0
1999-11-22,33.5,33.53,33.0,33.31,17.0519602702,813600,0.0,1.0
1999-11-23,34.0,34.5,33.75,33.88,17.3437530457,811600,0.0,1.0
1999-11-24,34.5,34.94,34.13,34.75,17.7891209663,516300,0.0,1.0
1999-11-26,34.38,34.38,33.56,34.0,17.5306028055,216700,0.245,1.0
1999-11-29,34.0,34.63,33.31,34.5,17.7884057879,508100,0.0,1.0
1999-11-30,34.38,34.75,33.5,33.88,17.4687300897,879800,0.0,1.0
1999-12-01,33.75,33.81,32.81,33.13,17.0820256161,1069500,0.0,1.0
1999-12-02,32.81,33.0,32.69,32.75,16.8860953494,306700,0.0,1.0
1999-12-03,32.69,34.19,32.69,33.56,17.303736181,473500,0.0,1.0
1999-12-06,32.63,33.38,32.56,32.94,16.9840604827,512200,0.0,1.0
1999-12-07,32.56,32.81,32.38,32.38,16.6953211424,570000,0.0,1.0
1999-12-08,32.38,32.56,32.13,32.44,16.7262575003,267300,0.0,1.0
1999-12-09,32.38,32.69,32.38,32.69,16.8551589915,402400,0.0,1.0
1999-12-10,32.5,32.69,32.25,32.5,16.7571938582,256100,0.0,1.0
1999-12-13,32.31,32.38,31.5,31.63,16.3086166688,846400,0.0,1.0
1999-12-14,32.0,32.38,31.63,31.88,16.43751816,914500,0.0,1.0
1999-12-15,32.25,33.0,31.88,32.81,16.9170317073,684100,0.0,1.0
1999-12-16,32.69,32.81,32.06,32.5,16.7571938582,699400,0.0,1.0
1999-12-17,32.44,32.75,31.81,32.31,16.6592287249,967000,0.0,1.0
1999-12-20,32.38,32.75,32.25,32.31,16.6592287249,522900,0.0,1.0
1999-12-21,32.44,33.0,32.0,32.75,16.8860953494,656100,0.0,1.0
1999-12-22,32.63,33.25,32.31,32.81,16.9170317073,352500,0.0,1.0
1999-12-23,32.56,33.25,32.38,32.44,16.7262575003,1121600,0.0,1.0
1999-12-27,32.44,32.5,32.0,32.0,16.4993908758,1223700,0.0,1.0
1999-12-28,32.13,32.44,32.13,32.25,16.628292367,851300,0.0,1.0
1999-12-29,32.25,32.44,31.13,31.19,16.0817500442,430600,0.0,1.0
1999-12-30,31.06,31.06,30.0,30.19,15.5661440794,836100,0.0,1.0
1999-12-31,30.31,31.0,30.06,30.81,15.8858197776,282800,0.0,1.0
2000-01-03,30.12,30.5,29.5,29.88,15.4063062303,768600,0.0,1.0
2000-01-04,29.63,29.75,28.69,28.81,14.8546078478,694100,0.0,1.0
2000-01-05,28.75,29.13,28.5,28.56,14.7257063566,862900,0.0,1.0
2000-01-06,28.0,29.13,28.0,28.81,14.8546078478,1092200,0.0,1.0
2000-01-07,29.13,29.38,28.81,29.25,15.0814744724,1008900,0.0,1.0
2000-01-10,29.19,29.25,27.88,28.31,14.5968048654,753000,0.0,1.0
2000-01-11,28.13,29.0,28.0,28.94,14.9216366233,825400,0.0,1.0
2000-01-12,29.13,29.19,28.06,28.19,14.5349321496,984200,0.0,1.0
2000-01-13,28.19,28.19,27.44,27.44,14.148227676,682400,0.0,1.0
2000-01-14,27.19,27.25,26.44,26.56,13.6944944269,838000,0.0,1.0
2000-01-18,26.31,27.75,26.13,27.63,14.2461928093,1148000,0.0,1.0
2000-01-19,27.0,27.56,26.63,26.81,13.8233959181,1211600,0.0,1.0
2000-01-20,26.69,26.69,25.25,25.81,13.3077899532,882500,0.0,1.0
2000-01-21,26.5,26.5,24.88,25.0,12.8901491217,1115800,0.0,1.0
2000-01-24,24.75,25.25,23.88,24.13,12.4415719323,1127400,0.0,1.0
2000-01-25,24.0,24.16,23.75,23.94,12.3436067989,1027100,0.0,1.0
2000-01-26,23.5,24.88,23.38,24.81,12.7921839884,1018400,0.0,1.0
2000-01-27,26.25,26.25,24.13,24.5,12.6323461393,1061800,0.0,1.0
2000-01-28,24.5,24.63,23.63,23.94,12.3436067989,865200,0.0,1.0
2000-01-31,24.25,24.75,23.69,24.25,12.503444648,887000,0.0,1.0
