dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2021-10-22,50.0,52.0,40.5,40.75,40.75,5800,0.0,1.0
2021-10-25,40.0,40.0,37.74,37.85,37.85,17000,0.0,1.0
2021-10-26,37.86,37.86,35.49,35.5,35.5,12200,0.0,1.0
2021-10-27,35.5,35.5,33.0,33.0,33.0,19800,0.0,1.0
2021-10-28,33.883,33.883,32.0,32.0,32.0,10700,0.0,1.0
2021-10-29,32.1,32.1,31.125,31.5,31.5,17700,0.0,1.0
2021-11-01,34.49,34.49,33.2,33.5,33.5,3700,0.0,1.0
2021-11-02,35.0,35.0,30.565,31.25,31.25,337100,0.0,1.0
2021-11-03,31.5,32.0,28.01,28.5,28.5,3022200,0.0,1.0
2021-11-04,28.41,28.5,25.21,26.38,26.38,47824414,0.0,1.0
2021-11-05,25.49,26.2,23.85,24.25,24.25,10880008,0.0,1.0
2021-11-08,24.35,24.75,23.62,23.75,23.75,5025890,0.0,1.0
2021-11-09,23.02,23.37,19.8,20.83,20.83,14275089,0.0,1.0
2021-11-10,19.66,22.35,19.25,21.24,21.24,10882434,0.0,1.0
2021-11-11,21.5,22.67,20.87,21.3,21.3,6668726,0.0,1.0
2021-11-12,21.75,22.26,20.2601,20.74,20.74,4636440,0.0,1.0
2021-11-15,20.5,20.52,19.81,20.37,20.37,3818253,0.0,1.0
2021-11-16,20.2,20.4,19.52,19.7,19.7,4224313,0.0,1.0
2021-11-17,19.5,19.9,18.66,18.67,18.67,3891387,0.0,1.0
2021-11-18,18.5,18.65,17.74,17.76,17.76,3825566,0.0,1.0
2021-11-19,17.78,18.54,17.61,18.31,18.31,3664714,0.0,1.0
2021-11-22,18.34,18.73,17.25,18.5,18.5,3641468,0.0,1.0
2021-11-23,18.5,18.62,17.0,17.3,17.3,4056731,0.0,1.0
2021-11-24,17.0,17.42,16.77,16.95,16.95,2756365,0.0,1.0
2021-11-26,16.75,16.88,16.32,16.32,16.32,2169191,0.0,1.0
2021-11-29,16.55,17.37,16.3,16.3,16.3,5260351,0.0,1.0
2021-11-30,16.3,16.32,15.45,15.8,15.8,5419750,0.0,1.0
2021-12-01,16.39,16.75,15.71,15.75,15.75,5636613,0.0,1.0
2021-12-02,15.87,17.4,15.71,17.25,17.25,3264092,0.0,1.0
2021-12-03,17.04,18.68,16.98,18.63,18.63,4021016,0.0,1.0
2021-12-06,18.34,19.59,17.95,19.22,19.22,3724050,0.0,1.0
2021-12-07,19.305,20.1799,18.73,19.13,19.13,4140699,0.0,1.0
2021-12-08,18.9,19.53,18.24,18.26,18.26,4045894,0.0,1.0
2021-12-09,18.12,18.5,17.945,18.2,18.2,1997707,0.0,1.0
2021-12-10,18.0,18.785,18.0,18.17,18.17,1961624,0.0,1.0
2021-12-13,18.19,18.39,17.37,18.04,18.04,2079099,0.0,1.0
2021-12-14,17.93,18.43,17.6,17.72,17.72,1645896,0.0,1.0
2021-12-15,17.49,17.97,17.2,17.78,17.78,1640477,0.0,1.0
2021-12-16,17.65,18.8,17.6,18.31,18.31,2105047,0.0,1.0
2021-12-17,18.03,18.55,17.72,18.28,18.28,6983370,0.0,1.0
