dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2015-07-06,71.0,74.29,71.0,72.96,55.9983199713,3809713,16.5,1.0
2015-07-07,73.73,74.71,72.96,74.63,57.2800797623,5794811,0.0,1.0
2015-07-08,74.3,75.5,74.04,75.4,57.8710708037,4277461,0.0,1.0
2015-07-09,76.47,77.066,74.5,74.8,57.4105583039,4267057,0.0,1.0
2015-07-10,75.05,77.8,75.0,77.31,59.3370355946,4982979,0.0,1.0
2015-07-13,79.5,79.7,77.91,78.83,60.5036672607,9078901,0.0,1.0
2015-07-14,79.45,79.5,77.65,78.0,59.8666249693,18746119,0.0,1.0
2015-07-15,77.65,78.17,76.4,76.71,58.8765230948,6330496,0.0,1.0
2015-07-16,76.97,78.84,76.9501,78.75,60.442265594,5634050,0.0,1.0
2015-07-17,79.43,79.69,77.26,79.63,61.117683927,6100876,0.0,1.0
2015-07-20,79.95,81.2,79.13,80.11,61.4860939268,10284545,0.0,1.0
2015-07-21,79.97,80.68,79.4,80.22,61.5705212185,6123210,0.0,1.0
2015-07-22,80.83,80.9,78.58,78.64,60.3578383024,5201248,0.0,1.0
2015-07-23,78.42,78.57,76.64,76.74,59.3216851779,2975649,0.55,1.0
2015-07-24,76.92,77.43,75.95,76.41,59.0665880173,3116008,0.0,1.0
2015-07-27,76.63,77.98,76.29,77.38,59.8164190653,5774342,0.0,1.0
2015-07-28,78.44,78.65,77.5,78.32,60.5430594623,1895916,0.0,1.0
2015-07-29,78.26,78.2999,77.0,77.91,60.2261205657,2278559,0.0,1.0
2015-07-30,78.21,79.69,77.6,79.21,61.2310487744,3246987,0.0,1.0
2015-07-31,79.94,79.94,78.865,79.47,61.4320344161,2685520,0.0,1.0
2015-08-03,80.0,81.03,79.91,80.37,62.1277539452,2681801,0.0,1.0
2015-08-04,80.57,81.0,79.67,79.81,61.6948617937,2429632,0.0,1.0
2015-08-05,80.01,81.0,79.85,80.48,62.212786332,2684886,0.0,1.0
2015-08-06,81.05,81.19,79.51,79.76,61.6562107088,3708640,0.0,1.0
2015-08-07,79.14,79.38,77.29,78.46,60.6512825002,3274134,0.0,1.0
2015-08-10,79.43,79.8,78.57,78.81,60.9218400948,3252284,0.0,1.0
2015-08-11,77.63,80.48,77.07,77.97,60.2725018677,3889072,0.0,1.0
2015-08-12,77.83,78.31,76.09,76.69,59.283034093,3688888,0.0,1.0
2015-08-13,77.01,77.07,75.8,75.99,58.7419189037,2917485,0.0,1.0
