dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,34.13,34.25,33.63,34.0,3.71352162341,249667,0.0,1.0
1999-11-02,34.0,35.13,33.88,35.0,3.82274284763,272200,0.0,1.0
1999-11-03,35.0,35.25,34.75,35.19,3.84349488023,68000,0.0,1.0
1999-11-04,35.06,35.13,34.94,35.06,3.82929612109,57200,0.0,1.0
1999-11-05,35.13,35.13,34.75,35.0,3.82274284763,69267,0.0,1.0
1999-11-08,34.88,35.25,34.88,34.94,3.81618957418,102400,0.0,1.0
1999-11-09,35.06,35.31,34.94,35.19,3.84349488023,258200,0.0,1.0
1999-11-10,35.25,35.25,34.56,34.69,3.78888426812,133200,0.0,1.0
1999-11-11,34.75,34.75,34.31,34.75,3.79543754158,126467,0.0,1.0
1999-11-12,34.81,34.88,34.56,34.63,3.78233099467,97867,0.0,1.0
1999-11-15,34.5,34.5,34.0,34.0,3.71352162341,79067,0.0,1.0
1999-11-16,34.13,34.5,33.88,34.0,3.71352162341,184667,0.0,1.0
1999-11-17,34.13,34.5,33.81,34.5,3.76813223552,240067,0.0,1.0
1999-11-18,34.25,34.31,34.06,34.25,3.74082692947,54400,0.0,1.0
1999-11-19,34.13,34.63,33.81,34.63,3.78233099467,79400,0.0,1.0
1999-11-22,34.44,34.44,33.75,33.94,3.70696834996,117800,0.0,1.0
1999-11-23,33.81,34.13,33.75,33.88,3.70041507651,138667,0.0,1.0
1999-11-24,33.75,34.0,33.63,33.81,3.69276959081,86000,0.0,1.0
1999-11-26,33.75,34.0,33.5,33.5,3.65891101131,26800,0.0,1.0
1999-11-29,33.44,33.5,33.0,33.19,3.6250524318,70267,0.0,1.0
1999-11-30,33.06,33.5,33.0,33.25,3.63160570525,133467,0.0,1.0
1999-12-01,33.25,33.38,33.06,33.38,3.6458044644,148000,0.0,1.0
1999-12-02,33.38,33.38,33.0,33.25,3.63160570525,296267,0.0,1.0
1999-12-03,33.31,33.5,33.13,33.38,3.6458044644,141067,0.0,1.0
1999-12-06,33.38,33.5,33.38,33.5,3.65891101131,87667,0.0,1.0
1999-12-07,33.25,33.38,32.75,33.0,3.6043003992,350600,0.0,1.0
1999-12-08,33.0,33.06,32.25,32.38,3.53658324018,997267,0.0,1.0
1999-12-09,32.31,33.0,32.19,32.88,3.59119385229,136400,0.0,1.0
1999-12-10,32.81,33.38,32.44,32.44,3.54313651363,135600,0.0,1.0
1999-12-13,32.25,32.88,31.75,31.81,3.47432714238,191200,0.0,1.0
1999-12-14,31.88,31.94,30.88,31.25,3.41316325681,309600,0.0,1.0
1999-12-15,31.38,32.0,31.13,32.0,3.49507917498,174000,0.0,1.0
1999-12-16,31.81,32.25,31.44,31.69,3.46122059547,450000,0.0,1.0
1999-12-17,32.19,33.69,32.09,33.0,3.6043003992,385667,0.0,1.0
1999-12-20,33.38,34.5,33.38,34.25,3.74082692947,378400,0.0,1.0
1999-12-21,34.38,34.63,33.81,34.25,3.74082692947,193000,0.0,1.0
1999-12-22,34.25,34.5,33.25,33.75,3.68621631736,160267,0.0,1.0
1999-12-23,33.75,34.13,33.56,33.81,3.69276959081,141067,0.0,1.0
1999-12-27,33.94,34.06,33.25,34.0,3.71352162341,208400,0.0,1.0
1999-12-28,33.81,34.25,33.5,34.06,3.72007489687,276867,0.0,1.0
1999-12-29,34.0,34.25,33.75,34.19,3.73427365602,230000,0.0,1.0
1999-12-30,33.25,34.13,33.19,34.0,3.7856076314,183600,0.66,1.0
1999-12-31,34.06,34.06,33.56,33.88,3.77224666329,69000,0.0,1.0
2000-01-03,34.06,34.06,33.75,33.88,3.77224666329,53600,0.0,1.0
2000-01-04,33.88,33.88,33.25,33.56,3.73661741499,119000,0.0,1.0
2000-01-05,33.5,34.0,33.25,33.94,3.77892714734,112600,0.0,1.0
2000-01-06,33.63,35.0,33.63,34.75,3.86911368209,159267,0.0,1.0
2000-01-07,34.94,35.5,34.94,35.31,3.93146486661,177467,0.0,1.0
2000-01-10,35.5,35.88,35.44,35.88,3.99492946513,149400,0.0,1.0
2000-01-11,35.75,35.81,35.38,35.44,3.94593924873,50467,0.0,1.0
2000-01-12,35.94,35.94,35.0,35.13,3.91142341444,347267,0.0,1.0
2000-01-13,35.25,35.5,35.06,35.5,3.95261973278,143667,0.0,1.0
2000-01-14,35.63,35.88,35.63,35.63,3.9670941149,62667,0.0,1.0
2000-01-18,35.69,35.75,34.63,35.63,3.9670941149,121467,0.0,1.0
2000-01-19,35.75,35.75,35.19,35.69,3.97377459896,160400,0.0,1.0
2000-01-20,35.75,36.0,35.56,35.56,3.95930021684,87867,0.0,1.0
2000-01-21,35.63,35.88,35.25,35.38,3.93925876467,68000,0.0,1.0
2000-01-24,35.63,36.0,35.25,35.25,3.92478438255,45467,0.0,1.0
2000-01-25,35.31,35.5,34.81,35.19,3.9181038985,89667,0.0,1.0
2000-01-26,35.19,35.94,35.19,35.56,3.95930021684,155200,0.0,1.0
2000-01-27,35.5,35.75,35.44,35.56,3.95930021684,173267,0.0,1.0
2000-01-28,35.63,35.63,35.5,35.56,3.95930021684,45867,0.0,1.0
2000-01-31,35.5,35.56,35.13,35.25,3.92478438255,67800,0.0,1.0
2000-02-01,35.25,35.56,34.94,34.94,3.89026854827,55600,0.0,1.0
2000-02-02,34.94,35.13,34.75,35.13,3.91142341444,98400,0.0,1.0
2000-02-03,35.13,35.69,35.0,35.5,3.95261973278,90000,0.0,1.0
2000-02-04,35.38,35.69,35.0,35.19,3.9181038985,88867,0.0,1.0
2000-02-07,34.94,35.13,34.88,35.13,3.91142341444,135067,0.0,1.0
2000-02-08,34.94,35.19,34.69,35.13,3.91142341444,87600,0.0,1.0
2000-02-09,35.13,35.13,34.25,34.81,3.87579416615,222400,0.0,1.0
2000-02-10,34.81,34.94,34.13,34.31,3.82012346568,134400,0.0,1.0
2000-02-11,34.19,34.63,34.06,34.38,3.82791736375,105067,0.0,1.0
2000-02-14,34.06,34.13,33.5,33.75,3.75777228117,118467,0.0,1.0
2000-02-15,33.63,34.38,33.38,33.88,3.77224666329,85600,0.0,1.0
2000-02-16,33.75,34.38,33.69,34.06,3.79228811545,59467,0.0,1.0
2000-02-17,34.0,34.5,34.0,34.38,3.82791736375,103667,0.0,1.0
2000-02-18,34.5,34.75,33.81,33.94,3.77892714734,159067,0.0,1.0
2000-02-22,33.75,33.94,33.56,33.69,3.75109179711,93467,0.0,1.0
2000-02-23,33.94,34.19,33.06,33.44,3.72325644688,65800,0.0,1.0
2000-02-24,33.63,34.0,33.44,33.56,3.73661741499,52867,0.0,1.0
2000-02-25,33.5,33.69,32.75,33.06,3.68094671453,214600,0.0,1.0
2000-02-28,33.0,33.38,33.0,33.19,3.69542109665,58800,0.0,1.0
2000-02-29,33.06,34.5,33.0,34.44,3.8345978478,136667,0.0,1.0
2000-03-01,34.19,34.25,33.94,34.0,3.7856076314,95267,0.0,1.0
2000-03-02,34.06,34.75,34.0,34.63,3.85575271398,81067,0.0,1.0
2000-03-03,34.38,34.5,34.0,34.5,3.84127833186,109600,0.0,1.0
2000-03-06,34.31,34.38,33.81,34.06,3.79228811545,66867,0.0,1.0
2000-03-07,34.0,34.25,33.88,34.25,3.81344298163,123200,0.0,1.0
2000-03-08,34.25,34.44,34.0,34.06,3.79228811545,112867,0.0,1.0
2000-03-09,34.0,34.63,33.88,34.31,3.82012346568,190200,0.0,1.0
2000-03-10,34.5,34.63,34.5,34.5,3.84127833186,43600,0.0,1.0
2000-03-13,34.13,34.63,34.13,34.25,3.81344298163,66200,0.0,1.0
2000-03-14,34.0,34.75,34.0,34.69,3.86243319804,79267,0.0,1.0
2000-03-15,34.63,35.38,34.5,35.38,3.93925876467,95800,0.0,1.0
2000-03-16,35.75,36.56,35.31,36.38,4.0506001656,154067,0.0,1.0
2000-03-17,36.25,36.25,35.88,36.25,4.03612578348,76067,0.0,1.0
2000-03-20,36.13,36.75,36.0,36.69,4.08511599988,58867,0.0,1.0
2000-03-21,36.69,37.0,36.5,36.75,4.09179648394,49667,0.0,1.0
2000-03-22,36.75,37.0,36.5,36.81,4.09847696799,58400,0.0,1.0
2000-03-23,36.25,37.19,36.25,36.94,4.11295135011,78200,0.0,1.0
2000-03-24,37.0,37.0,36.63,36.81,4.09847696799,48667,0.0,1.0
2000-03-27,36.63,37.06,36.63,36.88,4.10627086606,59200,0.0,1.0
2000-03-28,36.63,37.0,36.13,36.63,4.07843551583,78400,0.0,1.0
2000-03-29,36.81,37.25,36.63,37.19,4.14078670034,259600,0.0,1.0
2000-03-30,37.13,37.5,36.75,37.25,4.1474671844,106600,0.0,1.0
2000-03-31,37.25,37.5,36.88,37.5,4.17530253463,191600,0.0,1.0
2000-04-03,36.94,37.31,36.81,37.06,4.19979764283,66667,0.66,1.0
2000-04-04,36.88,37.0,36.25,36.63,4.15106820445,50467,0.0,1.0
2000-04-05,36.81,37.81,36.63,37.81,4.28479084931,107600,0.0,1.0
2000-04-06,37.81,38.0,37.75,37.88,4.29272354858,66800,0.0,1.0
2000-04-07,37.94,38.25,37.81,38.25,4.33465353045,80000,0.0,1.0
2000-04-10,38.25,38.88,38.06,38.56,4.36978405579,42000,0.0,1.0
2000-04-11,38.75,39.56,38.63,39.38,4.46270996154,79467,0.0,1.0
2000-04-12,39.44,39.81,39.0,39.38,4.46270996154,98400,0.0,1.0
2000-04-13,39.25,39.44,39.0,39.31,4.45477726227,54800,0.0,1.0
2000-04-14,39.06,39.69,39.0,39.25,4.44797780575,190667,0.0,1.0
2000-04-17,39.13,39.31,38.75,39.31,4.45477726227,160600,0.0,1.0
2000-04-18,39.56,39.56,39.06,39.5,4.47630887458,65467,0.0,1.0
2000-04-19,39.25,39.75,39.19,39.75,4.50463994341,47867,0.0,1.0
2000-04-20,39.63,39.88,39.44,39.56,4.4831083311,54800,0.0,1.0
2000-04-24,39.56,40.06,39.56,40.06,4.53977046875,56600,0.0,1.0
2000-04-25,40.31,40.38,39.88,40.0,4.53297101223,44267,0.0,1.0
2000-04-26,40.13,40.13,39.69,39.94,4.52617155571,65467,0.0,1.0
2000-04-27,39.81,39.88,39.63,39.81,4.51143939992,80067,0.0,1.0
