dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,78.75,82.38,78.25,78.94,21.6562038739,2546800,0.0,1.0
1999-11-02,79.69,83.5,79.0,83.13,22.8056780851,2042400,0.0,1.0
1999-11-03,84.25,86.0,82.88,85.69,23.5079821377,2541200,0.0,1.0
1999-11-04,85.5,85.56,81.5,83.56,22.9236432189,2145300,0.0,1.0
1999-11-05,84.63,87.81,84.5,87.75,24.0731174301,1516300,0.0,1.0
1999-11-08,86.94,89.69,86.63,87.0,23.8673642897,1067700,0.0,1.0
1999-11-09,87.75,88.88,85.25,87.44,23.9880727987,869600,0.0,1.0
1999-11-10,87.19,90.38,87.0,88.5,24.2788705705,2203100,0.0,1.0
1999-11-11,89.88,93.94,88.88,93.13,25.5490532908,2586000,0.0,1.0
1999-11-12,93.81,96.88,89.25,96.75,26.5421551153,2710600,0.0,1.0
1999-11-15,97.75,97.78,91.75,92.94,25.4969291619,2011100,0.0,1.0
1999-11-16,92.63,93.94,90.75,92.56,25.3926809041,2730200,0.0,1.0
1999-11-17,93.63,96.75,90.44,91.19,25.0168385009,2303700,0.0,1.0
1999-11-18,90.75,91.38,88.0,90.88,24.9317938695,2055700,0.0,1.0
1999-11-19,91.88,93.5,89.13,92.19,25.2911760215,1949400,0.0,1.0
1999-11-22,92.25,92.38,88.88,90.44,24.8110853605,1545000,0.0,1.0
1999-11-23,90.63,91.88,87.75,89.0,24.4160393308,1199800,0.0,1.0
1999-11-24,89.0,92.25,86.63,92.19,25.2911760215,1718600,0.0,1.0
1999-11-26,92.88,93.25,89.5,89.94,24.6739166002,359200,0.0,1.0
1999-11-29,89.38,89.88,86.81,88.31,24.2267464416,1478500,0.0,1.0
1999-11-30,87.75,90.19,83.38,84.56,23.1979807395,3026900,0.0,1.0
1999-12-01,87.0,90.88,85.5,90.56,24.8440058629,2883700,0.0,1.0
1999-12-02,90.63,98.25,90.5,98.13,26.9207408936,2187100,0.0,1.0
1999-12-03,99.88,99.88,95.25,97.56,26.7643685069,2404300,0.0,1.0
1999-12-06,96.88,105.3,95.31,103.9,28.5036683873,2102200,0.0,1.0
1999-12-07,103.5,103.6,98.75,101.3,27.7903908339,2429000,0.0,1.0
