dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,62.5,63.0,60.75,61.63,29.3721542622,1110200,0.0,1.0
1999-11-04,61.88,64.31,61.88,64.0,30.5016691998,1969100,0.0,1.0
1999-11-05,64.88,65.75,64.69,65.5,31.2165520716,1863100,0.0,1.0
1999-11-08,64.5,66.06,64.5,65.06,31.0068530959,1737100,0.0,1.0
1999-11-09,65.06,66.31,64.19,64.25,30.6208163451,1668400,0.0,1.0
1999-11-10,63.69,64.38,63.69,64.13,30.5636257153,910900,0.0,1.0
1999-11-11,64.0,65.69,63.31,65.06,31.0068530959,1364500,0.0,1.0
1999-11-12,65.0,65.88,65.0,65.5,31.2165520716,1934200,0.0,1.0
1999-11-15,66.94,67.0,65.38,65.94,31.4262510474,1791400,0.0,1.0
1999-11-16,65.88,67.06,65.75,67.06,31.9600302584,1364100,0.0,1.0
1999-11-17,68.38,69.56,68.06,68.25,32.5271706701,2676900,0.0,1.0
1999-11-18,67.0,67.5,66.06,66.63,31.7550971684,2903900,0.0,1.0
1999-11-19,66.44,66.81,65.88,66.0,31.4548463622,1980800,0.0,1.0
1999-11-22,66.0,67.63,65.63,66.63,31.7550971684,2106600,0.0,1.0
1999-11-23,67.31,67.38,65.63,65.63,31.2785085872,1683000,0.0,1.0
1999-11-24,65.38,66.81,65.31,66.23,31.5644617359,1474400,0.0,1.0
1999-11-26,66.13,67.19,66.13,66.19,31.5453981927,465200,0.0,1.0
1999-11-29,65.94,66.19,64.63,65.13,31.0402142966,1684300,0.0,1.0
1999-11-30,65.63,65.81,63.88,63.94,30.4730738849,2424500,0.0,1.0
1999-12-01,63.63,63.81,62.75,62.88,29.9678899888,1730400,0.0,1.0
1999-12-02,62.88,65.63,62.81,65.19,31.0688096114,1194400,0.0,1.0
1999-12-03,66.69,67.19,66.0,67.13,31.9933914591,1910500,0.0,1.0
1999-12-06,67.13,67.63,66.81,66.94,31.9028396286,986800,0.0,1.0
1999-12-07,67.13,67.81,65.13,65.13,31.0402142966,1211400,0.0,1.0
1999-12-08,65.13,65.81,63.5,64.75,30.9830236668,1602400,0.26,1.0
1999-12-09,64.25,65.44,63.0,63.81,30.5332315086,1644100,0.0,1.0
1999-12-10,64.06,64.13,62.94,63.25,30.2652702228,1181800,0.0,1.0
1999-12-13,62.75,63.06,61.13,62.08,29.7054225365,1430900,0.0,1.0
1999-12-14,61.13,64.94,60.88,64.13,30.6863522433,1966900,0.0,1.0
1999-12-15,64.0,65.44,64.0,64.91,31.0595840342,1903400,0.0,1.0
1999-12-16,65.38,65.38,63.38,64.13,30.6863522433,1950800,0.0,1.0
1999-12-17,63.19,64.5,62.5,63.19,30.236560085,2945200,0.0,1.0
1999-12-20,63.19,64.5,62.94,63.52,30.3944658427,1519400,0.0,1.0
1999-12-21,64.0,65.56,63.75,65.19,31.1935646771,1193100,0.0,1.0
1999-12-22,65.06,65.38,62.0,62.0,29.6671423528,1389800,0.0,1.0
1999-12-23,63.0,64.88,62.88,64.5,30.8633980928,959400,0.0,1.0
1999-12-27,64.56,65.94,64.31,65.81,31.4902361006,964900,0.0,1.0
