dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-02-15,30.9,31.15,30.73,30.94,19.2381520747,4337800,0.0,1.0
2011-02-16,31.05,31.44,30.66,30.72,19.1013584917,4627100,0.0,1.0
2011-02-17,30.68,31.09,30.51,30.55,18.9956543594,3290700,0.0,1.0
2011-02-18,30.65,31.39,30.4,31.37,19.5055213504,2583800,0.0,1.0
2011-02-22,31.14,31.43,30.71,30.72,19.1013584917,2454300,0.0,1.0
2011-02-23,30.76,30.9,30.25,30.42,18.9148217877,2671200,0.0,1.0
2011-02-24,30.55,30.65,30.3,30.46,18.9396933482,1698000,0.0,1.0
2011-02-25,30.53,30.75,30.3,30.5,18.9645649088,2225900,0.0,1.0
2011-02-28,30.57,30.79,30.42,30.5,18.9645649088,2380400,0.0,1.0
2011-03-01,30.65,30.78,30.23,30.45,18.9334754581,1908000,0.0,1.0
2011-03-02,30.57,30.69,30.26,30.57,19.0080901397,2197000,0.0,1.0
2011-03-03,30.68,30.77,30.53,30.77,19.1324479424,1901800,0.0,1.0
2011-03-04,30.8,30.9392,30.66,30.85,19.1821910635,892300,0.0,1.0
2011-03-07,30.94,31.04,30.7,30.9,19.2132805141,1049600,0.0,1.0
2011-03-08,30.8,31.04,30.8,30.97,19.2568057451,827400,0.0,1.0
2011-03-09,30.9,30.98,30.74,30.75,19.1200121621,294100,0.0,1.0
2011-03-10,30.71,30.71,29.75,30.1,18.7158493034,2715200,0.0,1.0
2011-03-11,30.1,30.48,29.97,30.1,18.7158493034,1896900,0.0,1.0
2011-03-14,30.0,30.22,29.8,29.99,18.6474525119,1967700,0.0,1.0
2011-03-15,29.81,30.2,29.6,29.88,18.5790557205,1968400,0.0,1.0
2011-03-16,29.89,30.16,29.76,30.05,18.6847598527,2062200,0.0,1.0
2011-03-17,30.2,30.41,30.06,30.15,18.7469387541,1511400,0.0,1.0
2011-03-18,30.21,30.5,30.08,30.5,18.9645649088,1906600,0.0,1.0
