dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,47.81,49.19,47.5,48.06,1.43257907024,1620200,0.0,1.0
1999-11-02,49.06,49.06,47.69,47.69,1.42155005951,641600,0.0,1.0
1999-11-03,48.12,48.56,47.38,47.94,1.42900209379,928600,0.0,1.0
1999-11-04,48.38,48.94,48.19,48.75,1.45314668486,405800,0.0,1.0
1999-11-05,49.75,50.44,49.5,50.0,1.49040685627,751400,0.0,1.0
1999-11-08,50.19,50.19,49.31,49.88,1.48682987981,762800,0.0,1.0
1999-11-09,49.88,50.44,49.25,49.25,1.46805075342,635400,0.0,1.0
1999-11-10,49.0,49.88,48.88,49.31,1.46983924165,373000,0.0,1.0
1999-11-11,49.5,49.69,47.75,49.19,1.46626226519,786600,0.0,1.0
1999-11-12,49.44,52.31,49.25,51.19,1.52587853945,1359000,0.0,1.0
1999-11-15,51.19,51.62,50.75,51.56,1.53690755018,694400,0.0,1.0
1999-11-16,51.94,53.25,51.69,53.25,1.58728330192,873400,0.0,1.0
1999-11-17,53.25,54.56,52.44,52.75,1.57237923336,903000,0.0,1.0
1999-11-18,52.94,56.06,52.94,55.81,1.66359213296,1070800,0.0,1.0
1999-11-19,56.25,58.69,55.88,57.94,1.72708346504,1365400,0.0,1.0
1999-11-22,57.69,57.69,55.56,55.94,1.66746719079,1481600,0.0,1.0
1999-11-23,55.69,56.06,53.94,54.31,1.61887992728,1222400,0.0,1.0
1999-11-24,54.38,55.38,53.94,55.0,1.63944754189,498400,0.0,1.0
1999-11-26,55.5,55.88,55.12,55.56,1.65614009868,483200,0.0,1.0
1999-11-29,55.56,58.75,55.56,58.56,1.74556451006,1624600,0.0,1.0
1999-11-30,58.0,60.0,57.94,59.5,1.77358415896,2133000,0.0,1.0
1999-12-01,59.19,60.25,59.0,59.44,1.77179567073,1006800,0.0,1.0
1999-12-02,58.5,59.0,57.75,58.69,1.74943956788,982800,0.0,1.0
1999-12-03,60.0,60.0,58.19,58.25,1.73632398755,1068600,0.0,1.0
1999-12-06,58.25,58.25,56.12,57.0,1.69906381614,834600,0.0,1.0
1999-12-07,57.5,61.38,57.5,60.62,1.80696927254,2279200,0.0,1.0
1999-12-08,61.38,66.38,61.25,65.5,1.95243298171,2335800,0.0,1.0
1999-12-09,65.0,66.38,63.5,63.94,1.90593228779,1477400,0.0,1.0
1999-12-10,66.0,66.69,65.38,65.38,1.94885600525,1409000,0.0,1.0
1999-12-13,66.19,66.44,65.31,65.94,1.96674088753,949400,0.04,1.0
1999-12-14,66.0,66.0,64.56,64.88,1.93512509528,1030400,0.0,1.0
