dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2006-10-13,17.0,18.39,16.9,18.18,26.3388131329,50545200,0.0,1.0
2006-10-16,18.88,18.89,18.08,18.11,26.2373985608,9162700,0.0,1.0
2006-10-17,18.07,18.08,17.6608,17.97,26.0345694168,6965200,0.0,1.0
2006-10-18,18.24,18.24,17.59,17.67,25.5999355367,5937600,0.0,1.0
2006-10-19,17.67,17.7896,17.21,17.27,25.0204236966,5926800,0.0,1.0
2006-10-20,17.4,17.9,17.25,17.85,25.8607158648,5761200,0.0,1.0
2006-10-23,17.85,18.1,17.65,17.79,25.7737890888,4609200,0.0,1.0
2006-10-24,17.8,18.08,17.72,17.9,25.9331548448,3521200,0.0,1.0
2006-10-25,17.98,18.09,17.61,18.07,26.1794473768,4859600,0.0,1.0
2006-10-26,18.23,19.93,18.07,19.31,27.9759340812,18918800,0.0,1.0
2006-10-27,19.6,20.1,19.38,20.07,29.0770065774,15557600,0.0,1.0
2006-10-30,20.27,21.1,20.12,20.33,29.4536892734,7756000,0.0,1.0
2006-10-31,20.6,20.98,19.78,20.0,28.9755920054,5288000,0.0,1.0
2006-11-01,20.2,20.43,19.75,19.75,28.6133971053,3416400,0.0,1.0
2006-11-02,19.75,20.4,19.5,19.51,28.2656900012,3286800,0.0,1.0
2006-11-03,19.64,19.97,19.6,19.85,28.7582750653,3148000,0.0,1.0
2006-11-06,19.9,20.27,19.77,19.99,28.9611042093,3369200,0.0,1.0
2006-11-07,20.0,20.15,19.76,19.96,28.9176408213,2827600,0.0,1.0
2006-11-08,19.51,19.62,18.8,19.18,27.7875927331,6203600,0.0,1.0
2006-11-09,19.28,20.2,19.1,20.2,29.2653479254,3969200,0.0,1.0
2006-11-10,20.0,20.11,19.51,19.99,28.9611042093,3062400,0.0,1.0
2006-11-13,19.96,19.96,19.72,19.88,28.8017384533,1331200,0.0,1.0
2006-11-14,19.92,20.06,19.7,19.94,28.8886652293,2080000,0.0,1.0
2006-11-15,19.94,20.12,19.85,20.02,29.0045675974,2366800,0.0,1.0
2006-11-16,19.96,20.08,19.85,20.08,29.0914943734,1496000,0.0,1.0
2006-11-17,20.0,20.0,19.64,19.77,28.6423726973,1943600,0.0,1.0
2006-11-20,19.85,19.89,19.33,19.5,28.2512022052,1708000,0.0,1.0
2006-11-21,19.4,19.45,19.0,19.26,27.9034951012,6373200,0.0,1.0
2006-11-22,18.94,19.48,18.8,19.33,28.0049096732,5877600,0.0,1.0
2006-11-24,19.02,19.2,18.98,19.17,27.7731049371,564400,0.0,1.0
2006-11-27,19.0,19.1,18.45,18.9,27.3819344451,3306000,0.0,1.0
2006-11-28,18.6,18.943,18.08,18.9,27.3819344451,3128800,0.0,1.0
2006-11-29,19.15,19.19,18.9,19.04,27.5847635891,1834400,0.0,1.0
2006-11-30,19.0,19.0699,18.76,18.97,27.4833490171,986400,0.0,1.0
2006-12-01,18.93,18.95,18.71,18.82,27.266032077,1486000,0.0,1.0
2006-12-04,18.62,18.8,18.57,18.76,27.179105301,1227600,0.0,1.0
2006-12-05,18.75,19.07,18.68,18.98,27.4978368131,1480000,0.0,1.0
2006-12-06,18.98,19.11,18.734,19.1,27.6716903651,2320800,0.0,1.0
2006-12-07,19.2,19.25,18.9,19.21,27.8310561211,1459200,0.0,1.0
2006-12-08,19.06,19.45,19.05,19.35,28.0338852652,2180800,0.0,1.0
2006-12-11,19.35,19.5,18.91,18.96,27.4688612211,1998400,0.0,1.0
2006-12-12,18.9,19.82,18.75,19.72,28.5699337173,3784800,0.0,1.0
2006-12-13,19.1,19.1,18.12,18.24,26.4257399089,9166400,0.0,1.0
2006-12-14,18.25,18.34,17.65,17.96,26.0200816208,6538800,0.0,1.0
2006-12-15,18.23,18.85,18.0,18.7,27.092178525,15317200,0.0,1.0
2006-12-18,18.6,18.65,18.13,18.18,26.3388131329,3076000,0.0,1.0
2006-12-19,18.03,18.14,17.76,17.9,25.9331548448,3659600,0.0,1.0
2006-12-20,17.9,18.17,17.8,17.95,26.0055938248,1712800,0.0,1.0
2006-12-21,17.9,18.03,17.75,17.85,25.8607158648,1865600,0.0,1.0
2006-12-22,17.9,17.9399,17.78,17.85,25.8607158648,2151200,0.0,1.0
2006-12-26,17.85,17.94,17.65,17.67,25.5999355367,1289200,0.0,1.0
2006-12-27,17.67,17.72,17.41,17.51,25.3681308007,1857600,0.0,1.0
2006-12-28,17.9,17.9,17.51,17.75,25.7158379047,2082000,0.0,1.0
2006-12-29,17.78,17.9,17.67,17.79,25.7737890888,1907200,0.0,1.0
2007-01-03,17.87,18.2,17.79,18.18,26.3388131329,2858000,0.0,1.0
2007-01-04,18.25,18.33,17.9,18.09,26.2084229688,1592400,0.0,1.0
2007-01-05,17.7,18.08,17.52,17.55,25.4260819847,1828000,0.0,1.0
2007-01-08,17.55,17.67,17.33,17.66,25.5854477407,2019600,0.0,1.0
2007-01-09,17.55,17.73,17.41,17.68,25.6144233327,3208400,0.0,1.0
2007-01-10,17.77,17.97,17.6,17.78,25.7593012928,1753200,0.0,1.0
2007-01-11,17.78,18.5,17.74,17.94,25.9911060288,3437600,0.0,1.0
2007-01-12,17.92,18.38,17.71,17.75,25.7158379047,2276800,0.0,1.0
2007-01-16,17.75,17.78,17.51,17.67,25.5999355367,2017200,0.0,1.0
2007-01-17,17.61,18.08,17.6,17.99,26.0635450088,2367600,0.0,1.0
2007-01-18,17.8,17.8,17.39,17.41,25.2232528407,3298000,0.0,1.0
2007-01-19,17.38,17.68,16.98,17.68,25.6144233327,3820000,0.0,1.0
2007-01-22,17.76,18.13,17.68,18.07,26.1794473768,3817200,0.0,1.0
2007-01-23,18.02,18.39,17.8,18.25,26.4402277049,2132400,0.0,1.0
2007-01-24,18.05,18.41,17.83,18.28,26.4836910929,2965200,0.0,1.0
2007-01-25,18.25,18.39,18.14,18.34,26.5706178689,3153600,0.0,1.0
2007-01-26,18.25,18.58,18.18,18.44,26.7154958289,2829200,0.0,1.0
2007-01-29,18.43,18.57,18.32,18.51,26.816910401,2014000,0.0,1.0
2007-01-30,18.57,18.84,18.35,18.67,27.048715137,1932400,0.0,1.0
2007-01-31,18.85,18.92,18.46,18.55,26.874861585,4255200,0.0,1.0
2007-02-01,18.5,18.59,17.87,18.15,26.2953497449,6714000,0.0,1.0
2007-02-02,18.16,18.47,18.12,18.44,26.7154958289,3072800,0.0,1.0
2007-02-05,18.4,18.64,18.28,18.56,26.889349381,2031600,0.0,1.0
