dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,22.44,22.63,22.0,22.19,10.13146343,434200,0.0,1.0
1999-11-02,22.13,22.5,22.06,22.06,10.072108304,360400,0.0,1.0
1999-11-03,22.13,22.25,21.81,21.88,9.98992428341,447400,0.0,1.0
1999-11-04,22.0,22.31,21.81,21.94,10.017318957,227900,0.0,1.0
1999-11-05,22.0,22.69,22.0,22.69,10.3597523762,359100,0.0,1.0
1999-11-08,22.5,23.38,22.44,23.38,10.6747911219,566600,0.0,1.0
1999-11-09,23.44,24.0,23.19,23.56,10.7569751425,672800,0.0,1.0
1999-11-10,23.5,23.69,23.0,23.06,10.5286861963,242400,0.0,1.0
1999-11-11,23.13,23.31,23.06,23.06,10.5286861963,175400,0.0,1.0
1999-11-12,23.06,23.13,22.5,22.88,10.4465021757,198400,0.0,1.0
1999-11-15,22.94,23.75,22.94,23.69,10.8163302685,316700,0.0,1.0
1999-11-16,24.13,24.13,23.5,24.0,10.9578694151,225300,0.0,1.0
1999-11-17,23.88,24.19,23.75,24.13,11.0172245411,210800,0.0,1.0
1999-11-18,24.13,24.13,23.13,23.25,10.6154359959,289200,0.0,1.0
1999-11-19,22.5,22.88,22.5,22.88,10.4465021757,337700,0.0,1.0
1999-11-22,22.75,22.75,22.13,22.38,10.2182132296,367000,0.0,1.0
1999-11-23,22.38,22.38,22.0,22.13,10.1451607668,279500,0.09,1.0
1999-11-24,22.25,22.31,21.63,21.81,9.99846165042,348700,0.0,1.0
1999-11-26,21.94,21.94,21.5,21.56,9.88385296575,167900,0.0,1.0
1999-11-29,21.69,21.69,21.38,21.56,9.88385296575,263100,0.0,1.0
1999-11-30,21.38,21.56,21.31,21.44,9.82884079711,321500,0.0,1.0
1999-12-01,21.25,21.56,21.25,21.31,9.76924428108,271700,0.0,1.0
1999-12-02,21.44,21.69,21.06,21.38,9.80133471279,177800,0.0,1.0
1999-12-03,21.5,22.0,21.13,21.56,9.88385296575,319600,0.0,1.0
1999-12-06,21.56,21.56,21.0,21.06,9.65463559642,260100,0.0,1.0
1999-12-07,20.81,21.44,20.63,21.0,9.62712951209,272900,0.0,1.0
1999-12-08,21.13,21.19,20.69,20.88,9.57211734345,293600,0.0,1.0
1999-12-09,20.75,21.44,20.69,21.31,9.76924428108,341200,0.0,1.0
