dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,22.44,22.44,20.81,20.94,6.82177992604,978500,0.0,1.0
1999-11-02,20.94,24.0,20.94,23.69,7.7176679297,813150,0.0,1.0
1999-11-03,23.38,23.44,22.31,22.63,7.37234382647,947350,0.0,1.0
1999-11-04,22.75,23.0,22.25,22.25,7.24854839324,928200,0.0,1.0
1999-11-05,22.13,23.25,22.0,22.0,7.16710402927,4850550,0.0,1.0
1999-11-08,19.0,20.38,18.25,20.38,6.63934455075,1109500,0.0,1.0
1999-11-09,20.0,21.13,19.94,21.0,6.84132657339,1785350,0.0,1.0
1999-11-10,20.88,21.69,20.63,20.63,6.72078891472,709750,0.0,1.0
1999-11-11,20.69,21.94,20.69,20.94,6.82177992604,923550,0.0,1.0
1999-11-12,21.38,21.63,20.0,20.44,6.6588911981,1926200,0.0,1.0
1999-11-15,20.63,20.69,20.13,20.5,6.67843784545,1281600,0.0,1.0
1999-11-16,20.38,20.44,19.81,20.19,6.57744683413,2002950,0.0,1.0
1999-11-17,20.38,20.38,20.0,20.06,6.55138463766,1335500,0.05,1.0
1999-11-18,20.13,20.44,19.81,20.19,6.59384126792,1359300,0.0,1.0
1999-11-19,20.31,21.0,20.25,20.5,6.6950840016,883750,0.0,1.0
1999-11-22,20.5,20.88,20.5,20.63,6.73754063185,627400,0.0,1.0
1999-11-23,20.75,21.13,20.66,21.0,6.85837873334,1120950,0.0,1.0
1999-11-24,21.0,21.13,20.88,21.0,6.85837873334,383950,0.0,1.0
1999-11-26,21.0,21.44,20.88,20.94,6.83878336553,725750,0.0,1.0
1999-11-29,20.69,21.19,20.69,21.0,6.85837873334,500100,0.0,1.0
1999-11-30,21.0,21.44,21.0,21.0,6.85837873334,413400,0.0,1.0
1999-12-01,21.5,21.81,21.31,21.5,7.02167346509,649850,0.0,1.0
1999-12-02,21.5,22.38,21.5,21.94,7.16537282903,412750,0.0,1.0
1999-12-03,22.06,22.44,22.06,22.38,7.30907219296,499650,0.0,1.0
1999-12-06,22.13,22.81,21.81,22.44,7.32866756077,400050,0.0,1.0
1999-12-07,22.25,23.0,22.19,22.19,7.2470201949,346800,0.0,1.0
1999-12-08,22.44,23.19,22.25,23.0,7.51155766033,430450,0.0,1.0
1999-12-09,23.0,23.19,22.94,23.0,7.51155766033,772000,0.0,1.0
1999-12-10,22.94,23.5,22.75,23.25,7.5932050262,448200,0.0,1.0
1999-12-13,23.06,24.38,23.06,24.13,7.88060375408,729250,0.0,1.0
1999-12-14,24.06,24.38,23.5,23.5,7.67485239208,1111000,0.0,1.0
1999-12-15,23.75,24.13,23.5,23.5,7.67485239208,701300,0.0,1.0
1999-12-16,23.56,24.25,23.5,23.81,7.77609512576,399950,0.0,1.0
1999-12-17,24.38,24.38,24.38,24.38,7.96225111995,479850,0.0,1.0
1999-12-20,24.13,24.88,24.0,24.0,7.83814712382,458600,0.0,1.0
1999-12-21,24.0,24.63,23.5,24.5,8.00144185557,593100,0.0,1.0
1999-12-22,24.25,24.63,23.81,24.5,8.00144185557,408000,0.0,1.0
1999-12-23,24.75,26.81,24.75,25.94,8.471730683,401850,0.0,1.0
1999-12-27,26.0,26.0,24.13,24.5,8.00144185557,438800,0.0,1.0
1999-12-28,24.38,25.63,24.0,24.81,8.10268458925,275400,0.0,1.0
1999-12-29,25.63,26.25,25.19,26.0,8.49132605081,276000,0.0,1.0
1999-12-30,25.75,26.81,25.75,26.38,8.61543004693,347900,0.0,1.0
1999-12-31,26.38,26.81,26.38,26.69,8.71667278062,80400,0.0,1.0
2000-01-03,26.75,26.75,25.56,25.94,8.471730683,335300,0.0,1.0
2000-01-04,25.69,25.69,24.06,24.94,8.14514121951,446850,0.0,1.0
2000-01-05,25.0,25.0,24.25,24.75,8.08308922144,214750,0.0,1.0
2000-01-06,24.81,24.88,24.25,24.5,8.00144185557,215150,0.0,1.0
2000-01-07,24.75,25.0,24.38,25.0,8.16473658731,243300,0.0,1.0
2000-01-10,25.13,25.38,24.88,25.0,8.16473658731,434350,0.0,1.0
2000-01-11,24.63,24.88,23.75,24.38,7.96225111995,315800,0.0,1.0
2000-01-12,25.0,25.5,24.94,25.06,8.18433195512,536600,0.0,1.0
2000-01-13,25.06,27.81,24.94,27.5,8.98121024605,750800,0.0,1.0
2000-01-14,27.38,29.25,27.0,29.25,9.55274180716,535100,0.0,1.0
2000-01-18,28.75,29.56,27.63,28.19,9.20655697586,477200,0.0,1.0
2000-01-19,27.44,27.75,26.56,27.75,9.06285761192,439950,0.0,1.0
2000-01-20,27.63,29.63,27.63,29.0,9.47109444129,785350,0.0,1.0
2000-01-21,29.5,29.69,28.63,28.81,9.40904244322,530550,0.0,1.0
2000-01-24,28.88,29.81,28.13,28.44,9.28820434173,678750,0.0,1.0
2000-01-25,28.69,29.13,28.19,29.13,9.51355107154,377600,0.0,1.0
2000-01-26,28.38,32.25,28.38,32.0,10.4508628318,1296100,0.0,1.0
