dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,47.0,47.25,45.44,45.94,27.5896408708,720200,0.0,1.0
1999-11-02,45.94,46.56,45.25,45.94,27.5896408708,600600,0.0,1.0
1999-11-03,46.06,46.13,43.88,44.13,26.5026306406,448200,0.0,1.0
1999-11-04,44.13,45.81,44.13,45.63,27.403467848,768200,0.0,1.0
1999-11-05,47.63,48.06,47.25,47.38,28.4544445899,480900,0.0,1.0
1999-11-08,47.63,47.63,45.94,46.5,27.9259534282,335600,0.0,1.0
1999-11-09,47.0,47.13,45.19,46.19,27.7397804054,406700,0.0,1.0
1999-11-10,45.63,46.25,45.06,45.63,27.403467848,793300,0.0,1.0
1999-11-11,45.56,45.94,45.06,45.19,27.1392222671,451000,0.0,1.0
1999-11-12,45.25,46.5,45.25,46.38,27.8538864516,346500,0.0,1.0
1999-11-15,46.13,46.5,45.75,46.06,27.6617078474,399200,0.0,1.0
1999-11-16,46.31,48.0,46.31,47.75,28.676651101,810900,0.0,1.0
1999-11-17,47.25,47.44,46.56,46.81,28.1121264511,460400,0.0,1.0
1999-11-18,46.81,47.31,46.44,46.94,28.1901990091,458200,0.0,1.0
1999-11-19,46.69,46.69,45.75,45.88,27.5536073825,450900,0.0,1.0
1999-11-22,45.88,45.88,44.81,45.31,27.2112892437,234500,0.0,1.0
1999-11-23,44.63,45.25,43.81,44.63,26.8029097097,308000,0.0,1.0
1999-11-24,44.0,44.13,42.94,43.38,26.0522120369,310300,0.0,1.0
1999-11-26,43.25,43.25,42.38,42.69,25.6378269215,323200,0.0,1.0
1999-11-29,42.63,43.0,41.94,42.0,25.2234418061,426200,0.0,1.0
1999-11-30,42.0,42.75,41.38,41.69,25.0372687833,679600,0.0,1.0
1999-12-01,41.5,41.63,41.0,41.31,24.8090566908,364600,0.0,1.0
1999-12-02,41.5,41.56,41.06,41.19,24.7369897142,376400,0.0,1.0
1999-12-03,41.75,42.63,41.5,41.75,25.0733022716,829300,0.0,1.0
1999-12-06,41.13,41.88,40.38,40.38,24.2505376222,663400,0.0,1.0
1999-12-07,40.31,41.75,39.44,41.38,24.8510957604,985100,0.0,1.0
1999-12-08,40.63,40.63,38.88,38.94,23.3857339031,568900,0.0,1.0
1999-12-09,39.88,40.0,39.13,40.0,24.0223255297,358000,0.0,1.0
1999-12-10,40.0,40.81,39.31,40.31,24.2084985525,317000,0.0,1.0
1999-12-13,38.75,39.63,38.44,39.04,23.445789717,550500,0.0,1.0
1999-12-14,39.75,40.75,38.56,38.56,23.1575218106,817100,0.0,1.0
1999-12-15,38.63,39.88,38.0,38.0,22.8212092532,749800,0.0,1.0
1999-12-16,38.0,40.0,38.0,38.5,23.1214883223,1622300,0.0,1.0
1999-12-17,37.88,38.06,36.75,36.94,22.1846176266,1070300,0.0,1.0
1999-12-20,37.5,37.69,37.19,37.38,22.4488632075,359600,0.0,1.0
1999-12-21,37.13,37.5,36.56,37.13,22.2987236729,296700,0.0,1.0
1999-12-22,37.38,38.0,36.56,37.13,22.2987236729,916400,0.0,1.0
1999-12-23,37.56,38.38,37.44,38.19,22.9353152994,354600,0.0,1.0
1999-12-27,38.19,38.81,38.13,38.75,23.2716278569,609100,0.0,1.0
1999-12-28,38.75,39.44,38.63,39.13,23.4998399494,491900,0.0,1.0
1999-12-29,39.13,39.75,39.13,39.31,23.6079404143,234200,0.0,1.0
1999-12-30,39.31,40.25,39.31,39.63,23.8001190185,199000,0.0,1.0
1999-12-31,39.88,40.06,39.25,40.0,24.0223255297,102400,0.0,1.0
2000-01-03,38.88,39.25,38.88,39.06,23.4578008797,512000,0.0,1.0
2000-01-04,38.88,39.06,37.56,37.94,22.7851757649,729300,0.0,1.0
2000-01-05,38.0,39.06,37.25,37.44,22.4848966958,520000,0.0,1.0
2000-01-06,37.0,37.5,36.19,37.0,22.394812975,518400,0.29,1.0
2000-01-07,37.75,39.06,37.19,37.94,22.9637622776,279700,0.0,1.0
2000-01-10,38.5,38.69,36.38,38.0,23.0000781906,624700,0.0,1.0
2000-01-11,37.13,37.63,37.13,37.44,22.6611296699,330800,0.0,1.0
2000-01-12,37.5,37.5,35.5,37.25,22.5461292789,794700,0.0,1.0
2000-01-13,38.0,39.63,37.88,39.5,23.9079760139,786600,0.0,1.0
2000-01-14,41.38,41.38,38.44,38.88,23.5327115802,470600,0.0,1.0
2000-01-18,38.0,38.44,37.63,37.94,22.9637622776,335500,0.0,1.0
2000-01-19,37.0,37.63,35.63,36.63,22.1708648453,603200,0.0,1.0
2000-01-20,36.63,36.63,34.38,34.75,21.0329662401,702600,0.0,1.0
2000-01-21,35.0,36.5,33.63,35.81,21.6745473685,999500,0.0,1.0
2000-01-24,36.5,36.75,34.56,34.94,21.147966631,710600,0.0,1.0
2000-01-25,34.63,36.0,34.5,35.88,21.7169159336,1016700,0.0,1.0
2000-01-26,35.63,36.31,34.38,36.25,21.9408640634,504900,0.0,1.0
2000-01-27,35.75,36.56,35.69,36.06,21.8258636724,586400,0.0,1.0
2000-01-28,34.88,36.81,34.88,35.81,21.6745473685,607200,0.0,1.0
2000-01-31,35.94,36.94,35.81,36.94,22.3584970621,347100,0.0,1.0
2000-02-01,38.0,39.38,37.5,37.69,22.8124459738,964500,0.0,1.0
2000-02-02,37.25,38.81,37.0,38.44,23.2663948854,911400,0.0,1.0
2000-02-03,37.38,38.13,36.25,37.5,22.6974455828,610800,0.0,1.0
2000-02-04,36.19,37.38,35.94,36.19,21.9045481504,592000,0.0,1.0
2000-02-07,36.75,36.88,34.13,34.25,20.7303336323,1175400,0.0,1.0
2000-02-08,34.69,35.56,34.38,35.25,21.3355988478,776800,0.0,1.0
2000-02-09,34.44,35.13,33.56,33.56,20.3127006336,511100,0.0,1.0
2000-02-10,33.06,33.88,32.5,33.06,20.0100680258,483800,0.0,1.0
2000-02-11,32.81,33.88,32.25,32.25,19.5198032012,387900,0.0,1.0
2000-02-14,32.75,32.75,31.75,32.25,19.5198032012,355100,0.0,1.0
2000-02-15,32.44,33.06,32.13,32.63,19.7498039831,503500,0.0,1.0
2000-02-16,30.75,31.94,30.75,31.44,19.0295383766,551900,0.0,1.0
2000-02-17,31.63,32.0,30.88,30.94,18.7269057688,489700,0.0,1.0
2000-02-18,30.88,31.69,30.38,30.38,18.3879572481,537500,0.0,1.0
2000-02-22,29.5,30.69,28.38,29.75,18.0066401624,834700,0.0,1.0
2000-02-23,30.0,30.06,28.75,29.69,17.9703242494,721600,0.0,1.0
2000-02-24,29.5,29.94,28.5,29.56,17.8916397714,853200,0.0,1.0
2000-02-25,29.56,29.69,28.0,28.38,17.1774268171,1324600,0.0,1.0
2000-02-28,27.5,28.69,27.13,28.25,17.098742339,1265700,0.0,1.0
2000-02-29,28.13,28.19,27.63,27.63,16.7234779054,532800,0.0,1.0
2000-03-01,27.81,29.38,27.19,28.5,17.2500586429,774200,0.0,1.0
2000-03-02,28.5,28.5,26.81,27.13,16.4208452976,3139500,0.0,1.0
2000-03-03,27.63,27.63,27.0,27.06,16.3784767325,899800,0.0,1.0
2000-03-06,27.25,27.38,25.94,26.5,16.0395282118,790100,0.0,1.0
2000-03-07,26.25,26.5,24.5,24.56,14.8653136937,944400,0.0,1.0
2000-03-08,25.0,25.44,24.0,24.19,14.6413655639,859600,0.0,1.0
2000-03-09,25.0,25.94,24.06,25.0,15.1316303885,818500,0.0,1.0
2000-03-10,25.25,25.69,24.63,25.06,15.1679463015,545400,0.0,1.0
2000-03-13,25.25,25.25,23.63,24.25,14.6776814769,625000,0.0,1.0
2000-03-14,24.25,24.31,22.63,23.19,14.0361003484,1081200,0.0,1.0
2000-03-15,23.31,25.5,23.31,25.06,15.1679463015,1759600,0.0,1.0
2000-03-16,26.38,28.81,26.0,28.25,17.098742339,2460500,0.0,1.0
2000-03-17,28.25,29.63,28.0,28.0,16.9474260352,1251200,0.0,1.0
2000-03-20,28.31,28.94,27.81,28.25,17.098742339,846900,0.0,1.0
2000-03-21,28.63,30.0,27.5,29.31,17.7403234675,939900,0.0,1.0
2000-03-22,29.0,29.19,28.69,29.13,17.6313757287,798400,0.0,1.0
2000-03-23,29.5,31.38,29.5,31.13,18.8419061598,947200,0.0,1.0
2000-03-24,31.06,33.0,30.62,32.06,19.4048028103,1343000,0.0,1.0
2000-03-27,32.31,32.69,30.13,30.5,18.460589074,855800,0.0,1.0
2000-03-28,30.0,30.63,29.38,30.19,18.2729568572,1092600,0.0,1.0
2000-03-29,31.0,31.88,30.75,31.31,18.9508538986,816500,0.0,1.0
2000-03-30,32.25,35.88,32.25,35.0,21.1842825439,1344000,0.0,1.0
2000-03-31,35.0,35.0,33.38,33.5,20.2763847206,1436400,0.0,1.0
2000-04-03,33.69,33.69,32.13,33.06,20.0100680258,838000,0.0,1.0
2000-04-04,34.25,34.25,32.5,33.13,20.0524365909,1257400,0.0,1.0
2000-04-05,33.06,33.38,31.88,32.88,19.901120287,953300,0.0,1.0
2000-04-06,32.13,32.31,30.81,31.44,19.2050652891,802500,0.29,1.0
2000-04-07,32.0,32.06,30.69,30.81,18.8202309656,520800,0.0,1.0
2000-04-10,31.06,31.13,29.0,30.94,18.8996412228,1065200,0.0,1.0
2000-04-11,31.75,31.94,30.69,31.69,19.3577773223,547200,0.0,1.0
2000-04-12,31.63,33.44,31.63,32.88,20.0846866001,660500,0.0,1.0
2000-04-13,34.63,35.31,33.63,34.69,21.1903217201,1298500,0.0,1.0
2000-04-14,33.75,33.75,31.0,31.44,19.2050652891,608900,0.0,1.0
2000-04-17,31.75,32.31,30.5,31.44,19.2050652891,503400,0.0,1.0
2000-04-18,31.5,32.06,30.69,31.81,19.4310790982,461900,0.0,1.0
2000-04-19,32.38,32.75,31.25,32.19,19.6632013886,731000,0.0,1.0
