dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,27.38,27.81,27.38,27.81,5.43434133166,125500,0.0,1.0
1999-11-02,27.81,28.19,27.75,28.06,5.48319373485,93700,0.0,1.0
1999-11-03,28.0,28.25,27.94,28.0,5.47146915809,63700,0.0,1.0
1999-11-04,28.12,28.19,27.88,28.0,5.47146915809,78600,0.0,1.0
1999-11-05,28.12,28.56,28.12,28.44,5.55744938771,177800,0.0,1.0
1999-11-08,28.25,28.62,27.94,28.0,5.47146915809,58100,0.0,1.0
1999-11-09,28.12,28.12,27.62,27.81,5.43434133166,68200,0.0,1.0
1999-11-10,27.81,27.94,27.56,27.81,5.43434133166,114600,0.0,1.0
1999-11-11,27.88,27.94,27.72,27.75,5.42261675489,133600,0.0,1.0
1999-11-12,27.88,28.0,27.62,27.94,5.45974458132,174200,0.0,1.0
1999-11-15,28.5,28.5,28.25,28.5,5.56917396448,158600,0.0,1.0
1999-11-16,28.56,28.62,28.38,28.5,5.56917396448,95700,0.0,1.0
1999-11-17,28.44,28.5,28.0,28.06,5.48319373485,94000,0.0,1.0
1999-11-18,28.06,28.06,27.62,27.62,5.39721350523,278100,0.0,1.0
1999-11-19,27.56,27.75,27.19,27.44,5.36203977492,67200,0.0,1.0
1999-11-22,27.44,27.44,26.75,26.88,5.25261039176,69600,0.0,1.0
1999-11-23,26.75,26.81,26.12,26.5,5.1783547389,96200,0.0,1.0
1999-11-24,26.5,26.94,26.31,26.56,5.19007931567,95300,0.0,1.0
1999-11-26,26.69,26.69,26.25,26.31,5.14122691247,37100,0.0,1.0
1999-11-29,26.19,26.19,25.19,25.88,5.05720077897,132300,0.0,1.0
1999-11-30,26.12,27.12,25.94,27.06,5.28778412206,196000,0.0,1.0
1999-12-01,27.0,27.12,26.94,27.12,5.29950869883,84800,0.0,1.0
1999-12-02,27.0,27.19,26.5,27.19,5.31318737173,58100,0.0,1.0
1999-12-03,27.25,27.31,27.0,27.06,5.28778412206,127500,0.0,1.0
1999-12-06,26.94,27.38,26.56,27.38,5.35031519816,145500,0.0,1.0
1999-12-07,27.31,27.5,27.25,27.5,5.37376435169,82700,0.0,1.0
1999-12-08,27.38,27.44,27.0,27.19,5.31318737173,154500,0.0,1.0
1999-12-09,27.25,27.38,27.19,27.31,5.33663652526,97500,0.0,1.0
1999-12-10,27.25,27.31,26.75,26.75,5.2272071421,96800,0.0,1.0
1999-12-13,26.88,26.88,26.0,26.19,5.11777775894,67500,0.0,1.0
1999-12-14,25.94,26.44,25.69,26.44,5.16663016213,232400,0.0,1.0
1999-12-15,26.44,27.0,26.31,27.0,5.2760595453,87100,0.0,1.0
1999-12-16,26.94,27.12,26.75,27.0,5.2760595453,116000,0.0,1.0
1999-12-17,27.06,27.06,26.44,27.0,5.2760595453,131500,0.0,1.0
1999-12-20,27.0,27.25,26.81,27.25,5.32491194849,135800,0.0,1.0
1999-12-21,27.25,27.69,27.12,27.62,5.39721350523,140000,0.0,1.0
1999-12-22,27.56,27.69,27.5,27.62,5.39721350523,128400,0.0,1.0
1999-12-23,27.62,27.81,27.5,27.62,5.39721350523,115600,0.0,1.0
1999-12-27,27.56,27.75,27.38,27.62,5.39721350523,93900,0.0,1.0
1999-12-28,27.62,28.12,27.38,28.06,5.48319373485,78700,0.0,1.0
1999-12-29,28.0,28.06,27.56,27.75,5.42261675489,73100,0.0,1.0
1999-12-30,27.62,28.19,27.5,27.56,5.38548892846,79900,0.0,1.0
1999-12-31,27.56,27.81,27.44,27.5,5.37376435169,42700,0.0,1.0
2000-01-03,27.5,27.5,26.62,26.81,5.23893171887,114700,0.0,1.0
2000-01-04,26.56,26.94,26.44,26.81,5.23893171887,119800,0.0,1.0
2000-01-05,26.75,28.38,26.75,28.12,5.49491831162,142100,0.0,1.0
2000-01-06,28.0,28.5,27.69,28.12,5.49491831162,71400,0.0,1.0
2000-01-07,28.12,28.62,28.0,28.5,5.56917396448,65200,0.0,1.0
2000-01-10,28.44,28.69,28.25,28.56,5.58089854125,102900,0.0,1.0
2000-01-11,28.44,28.69,28.38,28.5,5.56917396448,96700,0.0,1.0
2000-01-12,28.25,28.88,28.19,28.81,5.62975094444,75100,0.0,1.0
2000-01-13,28.81,29.25,28.81,29.06,5.67860334764,88500,0.0,1.0
2000-01-14,29.25,29.25,28.44,28.69,5.60630179091,113200,0.0,1.0
2000-01-18,28.5,28.75,28.06,28.5,5.56917396448,109900,0.0,1.0
2000-01-19,28.44,28.94,28.25,28.75,5.61802636768,123900,0.0,1.0
2000-01-20,28.62,29.88,28.25,29.88,5.83883923013,202600,0.0,1.0
2000-01-21,30.06,34.75,30.0,33.44,6.53449745166,756600,0.0,1.0
2000-01-24,33.44,37.75,33.44,34.62,6.76508079475,910600,0.0,1.0
2000-01-25,34.62,35.25,30.62,31.25,6.10655039965,292200,0.0,1.0
2000-01-26,31.25,31.25,30.19,30.56,5.97171776682,783400,0.0,1.0
2000-01-27,30.19,30.19,29.69,29.88,5.93654403652,441300,0.5,1.0
2000-01-28,29.88,29.88,29.38,29.69,5.89879492786,159500,0.0,1.0
2000-01-31,29.5,29.81,29.38,29.81,5.92263647017,157800,0.0,1.0
2000-02-01,29.81,29.81,29.5,29.81,5.92263647017,315500,0.0,1.0
2000-02-02,29.81,29.81,28.88,28.88,5.73786451723,178100,0.0,1.0
2000-02-03,29.12,29.5,29.12,29.5,5.86104581919,319100,0.0,1.0
2000-02-04,29.5,29.5,28.75,29.06,5.7736268307,118700,0.0,1.0
2000-02-07,29.0,29.12,28.75,29.06,5.7736268307,79800,0.0,1.0
2000-02-08,29.19,29.25,28.94,29.12,5.78554760186,361500,0.0,1.0
2000-02-09,29.06,29.38,29.06,29.31,5.82329671052,106500,0.0,1.0
2000-02-10,29.19,30.0,29.19,29.75,5.91071569901,246300,0.0,1.0
2000-02-11,29.69,30.5,29.5,30.19,5.9981346875,151500,0.0,1.0
2000-02-14,30.31,30.88,30.06,30.44,6.04780456733,111400,0.0,1.0
2000-02-15,30.56,31.44,30.38,31.38,6.23456331546,171800,0.0,1.0
2000-02-16,31.38,31.38,30.94,31.12,6.18290664045,86300,0.0,1.0
2000-02-17,31.0,31.25,30.75,30.94,6.14714432697,335400,0.0,1.0
2000-02-18,30.81,30.94,30.06,30.25,6.01005545866,86600,0.0,1.0
2000-02-22,30.19,30.38,29.56,30.0,5.96038557884,139600,0.0,1.0
2000-02-23,29.94,30.0,29.0,29.5,5.86104581919,231200,0.0,1.0
2000-02-24,29.5,29.5,28.88,29.06,5.7736268307,125100,0.0,1.0
2000-02-25,29.06,29.19,28.38,28.44,5.65044552874,97400,0.0,1.0
2000-02-28,28.44,28.62,28.06,28.38,5.63852475758,123700,0.0,1.0
2000-02-29,28.38,28.44,28.0,28.12,5.58686808256,127200,0.0,1.0
2000-03-01,28.25,28.44,27.38,27.88,5.53918499793,95300,0.0,1.0
2000-03-02,27.88,28.19,27.5,27.5,5.4636867806,187400,0.0,1.0
2000-03-03,27.62,27.62,27.31,27.44,5.45176600944,173500,0.0,1.0
2000-03-06,27.5,27.5,27.0,27.31,5.42593767194,119900,0.0,1.0
2000-03-07,27.25,27.62,27.06,27.62,5.48752832292,266300,0.0,1.0
2000-03-08,27.62,28.81,27.5,28.56,5.67428707105,211700,0.0,1.0
2000-03-09,28.31,28.62,28.31,28.56,5.67428707105,329400,0.0,1.0
2000-03-10,28.44,28.62,27.81,28.31,5.62461719123,93700,0.0,1.0
2000-03-13,28.25,28.25,27.62,27.81,5.52527743158,64900,0.0,1.0
2000-03-14,27.81,28.0,27.25,27.56,5.47560755176,70900,0.0,1.0
2000-03-15,27.62,28.0,27.31,27.94,5.55110576909,125900,0.0,1.0
