dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,57.13,57.63,55.31,55.44,10.5082525526,1693000,0.0,1.0
1999-11-04,55.5,56.69,54.88,55.25,10.4722394215,1968000,0.0,1.0
1999-11-05,56.25,57.0,55.56,56.75,10.756553614,1574500,0.0,1.0
1999-11-08,56.63,56.75,55.38,56.0,10.6143965178,980100,0.0,1.0
1999-11-09,55.38,55.38,53.25,54.19,10.2713240589,1261400,0.0,1.0
1999-11-10,54.0,55.19,53.75,54.5,10.3300823253,1382300,0.0,1.0
1999-11-11,54.63,56.0,53.88,55.44,10.5082525526,1187600,0.0,1.0
1999-11-12,56.25,58.0,55.0,57.88,10.9707369723,1653800,0.0,1.0
1999-11-15,53.75,56.56,52.75,54.63,10.3547228887,4120600,0.0,1.0
1999-11-16,55.88,56.13,54.44,55.19,10.4608668538,2007200,0.0,1.0
1999-11-17,54.94,55.69,54.75,55.0,10.4248537228,1624700,0.0,1.0
1999-11-18,55.5,56.63,55.13,55.81,10.5783833867,1517100,0.0,1.0
1999-11-19,54.81,55.63,54.5,55.0,10.4248537228,1174300,0.0,1.0
1999-11-22,55.0,55.06,53.0,53.44,10.1291669627,1641400,0.0,1.0
1999-11-23,53.25,53.5,51.56,52.19,9.89223846895,2776900,0.0,1.0
1999-11-24,51.88,52.13,50.75,51.75,9.80883963917,1405100,0.0,1.0
1999-11-26,51.88,52.56,51.19,51.19,9.70269567399,468300,0.0,1.0
1999-11-29,51.44,51.81,50.06,50.63,9.59655170882,1324600,0.0,1.0
1999-11-30,51.88,51.94,49.81,49.81,9.44112661695,2311200,0.0,1.0
1999-12-01,49.88,50.13,47.94,49.31,9.34635521947,2789100,0.0,1.0
1999-12-02,50.81,53.56,50.31,53.06,10.0571407006,3605100,0.0,1.0
1999-12-03,54.94,56.13,53.88,53.94,10.2239383601,2060800,0.0,1.0
1999-12-06,53.69,55.13,52.63,54.69,10.3660954564,1506400,0.0,1.0
1999-12-07,54.81,54.81,52.25,53.13,10.0704086962,1808400,0.0,1.0
1999-12-08,53.13,53.38,52.25,52.25,9.90361103665,1632800,0.0,1.0
1999-12-09,53.0,53.38,51.13,51.5,9.76145394043,2968600,0.0,1.0
1999-12-10,52.38,52.5,51.19,51.88,9.83348020252,1230800,0.0,1.0
1999-12-13,52.13,54.69,51.75,54.31,10.2940691943,1369700,0.0,1.0
1999-12-14,53.88,55.38,53.88,55.13,10.4494942861,2109500,0.0,1.0
1999-12-15,54.88,55.19,53.81,54.13,10.2599514912,1369700,0.0,1.0
1999-12-16,54.63,56.16,54.31,55.0,10.4248537228,1537100,0.0,1.0
1999-12-17,56.38,57.5,55.75,56.62,10.7319130506,1762000,0.0,1.0
1999-12-20,56.38,57.06,54.81,54.94,10.4134811551,1546300,0.0,1.0
1999-12-21,54.88,55.75,54.19,55.5,10.5196251203,1156100,0.0,1.0
1999-12-22,55.19,56.88,54.25,56.5,10.7091679152,1698900,0.0,1.0
1999-12-23,57.0,59.31,56.63,58.56,11.0996260728,1545500,0.0,1.0
1999-12-27,58.5,59.94,58.5,59.5,11.2777963001,1434400,0.0,1.0
1999-12-28,59.81,60.0,59.5,59.81,11.3365545665,1575500,0.0,1.0
1999-12-29,59.88,60.0,58.19,59.63,11.3024368635,1135900,0.0,1.0
1999-12-30,59.44,59.44,58.75,59.13,11.207665466,728800,0.0,1.0
1999-12-31,59.31,60.0,59.06,59.75,11.3251819988,626500,0.0,1.0
2000-01-03,58.81,59.44,55.0,55.75,10.567010819,2023400,0.0,1.0
2000-01-04,55.0,55.06,51.38,52.75,9.99838243413,1955500,0.0,1.0
2000-01-05,52.63,53.94,51.75,52.88,10.0230229975,1230300,0.0,1.0
2000-01-06,52.0,54.0,51.88,52.56,9.96236930309,1129900,0.0,1.0
2000-01-07,52.94,54.44,52.75,53.75,10.1879252291,917100,0.0,1.0
2000-01-10,54.0,55.5,53.81,55.38,10.4968799849,1121400,0.0,1.0
2000-01-11,54.63,55.75,53.44,53.88,10.2125657924,1047900,0.0,1.0
2000-01-12,53.81,54.19,51.75,52.94,10.041029563,2261100,0.035,1.0
2000-01-13,53.0,53.0,52.0,52.38,9.93481542331,1307000,0.0,1.0
2000-01-14,53.0,54.88,52.88,54.13,10.2667346098,2269700,0.0,1.0
2000-01-18,54.75,54.75,52.88,53.25,10.099826676,1155300,0.0,1.0
2000-01-19,53.5,53.69,52.75,52.88,10.0296494766,1125700,0.0,1.0
2000-01-20,52.88,52.94,49.0,50.75,9.62565640956,2999300,0.0,1.0
2000-01-21,50.63,50.69,46.69,47.38,8.98647489034,3900000,0.0,1.0
2000-01-24,47.5,48.88,46.19,46.75,8.86698398319,2165000,0.0,1.0
2000-01-25,47.0,47.19,45.0,46.0,8.72473290325,2283400,0.0,1.0
2000-01-26,45.75,47.0,44.25,46.63,8.8442238104,2747900,0.0,1.0
2000-01-27,46.75,46.94,45.06,45.81,8.68869596299,2376700,0.0,1.0
2000-01-28,45.63,45.69,43.31,44.56,8.45161082975,1738300,0.0,1.0
2000-01-31,44.69,45.31,43.06,44.63,8.46488759721,2493500,0.0,1.0
2000-02-01,44.88,47.5,44.88,47.06,8.92578109623,2948000,0.0,1.0
2000-02-02,46.63,48.25,45.81,47.25,8.96181803649,2657100,0.0,1.0
2000-02-03,47.5,48.25,46.5,47.13,8.9390578637,1493600,0.0,1.0
2000-02-04,47.06,48.81,47.06,48.38,9.17614299694,2500200,0.0,1.0
2000-02-07,47.63,47.63,46.69,46.94,8.90302092344,1766900,0.0,1.0
2000-02-08,47.0,48.75,45.19,48.44,9.18752308333,1683800,0.0,1.0
2000-02-09,48.44,48.44,46.06,46.38,8.79680678375,1239200,0.0,1.0
2000-02-10,46.25,46.31,45.19,46.06,8.73611298964,948500,0.0,1.0
2000-02-11,46.13,47.0,45.94,46.0,8.72473290325,834600,0.0,1.0
2000-02-14,46.06,47.31,45.63,46.81,8.87836406959,1009000,0.0,1.0
2000-02-15,46.56,46.75,45.63,46.0,8.72473290325,1385000,0.0,1.0
2000-02-16,45.5,45.69,43.44,43.75,8.29797966341,1611300,0.0,1.0
2000-02-17,45.19,45.19,41.19,42.5,8.06089453017,2781500,0.0,1.0
2000-02-18,42.56,44.44,42.5,43.5,8.25056263677,2881900,0.0,1.0
2000-02-22,44.13,45.19,42.25,43.06,8.16710866986,2502900,0.0,1.0
2000-02-23,42.75,43.13,41.0,42.56,8.07227461657,2322000,0.0,1.0
2000-02-24,43.56,43.56,40.75,40.75,7.72897534364,1812000,0.0,1.0
2000-02-25,42.5,42.88,41.38,41.75,7.91864345023,1799600,0.0,1.0
2000-02-28,42.38,46.25,41.75,45.69,8.6659357902,2595700,0.0,1.0
2000-02-29,47.63,47.94,46.25,47.81,9.06803217618,2425100,0.0,1.0
2000-03-01,48.5,48.56,45.63,47.81,9.06803217618,2506200,0.0,1.0
2000-03-02,46.88,47.19,45.75,46.0,8.72473290325,1469400,0.0,1.0
2000-03-03,46.5,47.44,46.38,47.0,8.91440100984,1961000,0.0,1.0
2000-03-06,47.5,47.5,44.5,45.0,8.53506479665,1556400,0.0,1.0
2000-03-07,45.5,45.56,41.06,41.63,7.89588327744,3415100,0.0,1.0
2000-03-08,42.44,44.81,41.94,43.88,8.32263651727,2076800,0.0,1.0
2000-03-09,43.88,47.0,43.31,46.44,8.80818687015,1511300,0.0,1.0
2000-03-10,46.38,47.13,45.0,45.0,8.53506479665,818100,0.0,1.0
2000-03-13,43.0,44.38,43.0,43.5,8.25056263677,1270500,0.0,1.0
2000-03-14,43.75,43.75,42.13,42.38,8.03813435738,4197800,0.0,1.0
2000-03-15,42.5,45.5,41.88,45.31,8.5938619097,2181800,0.0,1.0
2000-03-16,46.19,50.13,46.06,50.06,9.49478541601,3745400,0.0,1.0
2000-03-17,50.06,51.81,49.13,51.44,9.75652740311,2838100,0.0,1.0
2000-03-20,50.25,51.19,49.0,50.56,9.58961946931,1488700,0.0,1.0
2000-03-21,50.56,52.06,50.13,50.88,9.65031326342,1692000,0.0,1.0
2000-03-22,50.88,51.38,49.44,50.44,9.56685929652,1443200,0.0,1.0
2000-03-23,50.38,52.69,49.94,52.56,9.96895568249,1637900,0.0,1.0
2000-03-24,52.56,54.5,52.06,53.75,10.1946607293,1625400,0.0,1.0
2000-03-27,52.81,53.81,52.75,53.44,10.1358636163,1211600,0.0,1.0
