dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,83.94,85.13,82.25,82.25,24.4121479909,816400,0.0,1.0
1999-11-02,82.97,84.44,80.88,81.69,24.2459376216,920600,0.0,1.0
1999-11-03,82.88,87.19,82.81,86.38,25.6379494645,2242600,0.0,1.0
1999-11-04,86.56,86.63,83.63,85.19,25.2847524297,625000,0.0,1.0
1999-11-05,85.75,89.38,85.13,88.81,26.3591837456,1456900,0.0,1.0
1999-11-08,88.38,90.13,87.75,88.75,26.3413754917,546700,0.0,1.0
1999-11-09,89.56,89.94,86.13,87.25,25.8961691454,753700,0.0,1.0
1999-11-10,87.31,89.75,87.0,89.63,26.6025632149,649300,0.0,1.0
1999-11-11,90.0,93.5,90.0,92.5,27.4543913576,1001200,0.0,1.0
1999-11-12,92.5,92.63,89.0,92.63,27.4929759076,843200,0.0,1.0
1999-11-15,93.38,93.38,85.38,86.13,25.5637484068,1715600,0.0,1.0
1999-11-16,86.13,89.38,84.38,87.69,26.026763007,1088100,0.0,1.0
1999-11-17,88.56,91.75,84.69,85.0,25.2283596259,1657800,0.0,1.0
1999-11-18,85.31,85.5,78.81,82.81,24.5783583602,2323800,0.0,1.0
1999-11-19,82.44,83.38,78.06,78.25,23.2249310673,2146700,0.0,1.0
1999-11-22,78.88,80.5,77.13,80.5,23.8927405869,1692800,0.0,1.0
1999-11-23,80.0,80.19,72.25,73.75,21.8893120283,3418400,0.0,1.0
1999-11-24,75.06,77.69,73.25,75.63,22.4473039824,1991400,0.0,1.0
1999-11-26,76.75,78.13,75.88,76.38,22.6699071556,367300,0.0,1.0
1999-11-29,77.31,78.0,74.38,75.94,22.539313294,1215500,0.0,1.0
1999-11-30,76.25,79.25,74.75,77.63,23.0409124442,1573200,0.0,1.0
1999-12-01,78.38,85.13,78.13,84.88,25.1927431182,2488100,0.0,1.0
1999-12-02,83.88,88.25,83.0,87.63,26.0089547531,1542200,0.0,1.0
1999-12-03,88.38,89.31,86.25,87.25,25.8961691454,1769300,0.0,1.0
1999-12-06,86.5,95.0,85.19,94.38,28.0123833116,2107000,0.0,1.0
1999-12-07,93.69,94.56,91.25,94.13,27.9381822539,1518600,0.0,1.0
1999-12-08,93.38,94.25,89.75,90.38,26.8251663881,1345700,0.0,1.0
1999-12-09,92.63,94.5,87.0,88.56,26.2849826878,1874200,0.0,1.0
1999-12-10,88.69,89.5,84.75,87.38,25.9347536954,1068100,0.0,1.0
1999-12-13,86.94,90.75,86.38,89.81,26.6559879765,798100,0.0,1.0
1999-12-14,89.56,90.19,83.75,84.13,24.970139945,1201500,0.0,1.0
1999-12-15,84.44,86.56,80.25,85.19,25.2847524297,1660500,0.0,1.0
1999-12-16,85.5,88.69,85.5,88.13,26.1573568686,642200,0.0,1.0
1999-12-17,90.69,92.5,89.38,89.56,26.5817869187,801000,0.0,1.0
1999-12-20,91.25,107.0,91.25,106.5,31.6096505901,2147800,0.0,1.0
1999-12-21,105.4,110.6,102.3,109.0,32.3516611673,1606000,0.0,1.0
1999-12-22,108.9,112.5,107.5,110.1,32.6781458213,785400,0.0,1.0
1999-12-23,108.9,111.4,107.0,108.3,32.1438982057,686700,0.0,1.0
1999-12-27,108.1,109.6,104.9,108.5,32.2032590518,440600,0.0,1.0
1999-12-28,108.1,108.1,103.9,105.2,31.2238050899,385300,0.0,1.0
1999-12-29,104.3,104.9,101.7,102.9,30.5411553588,626100,0.0,1.0
1999-12-30,103.0,103.6,100.6,102.9,30.5411553588,353200,0.0,1.0
1999-12-31,102.9,111.9,102.6,111.6,33.1233521676,472800,0.0,1.0
2000-01-03,113.0,113.0,109.3,112.4,33.3607955523,1061300,0.0,1.0
2000-01-04,109.2,111.5,106.1,107.5,31.906454821,1098600,0.0,1.0
2000-01-05,107.0,109.0,102.8,105.1,31.1941246668,1031600,0.0,1.0
2000-01-06,104.8,109.0,103.0,105.2,31.2238050899,880700,0.0,1.0
2000-01-07,105.5,107.3,99.5,106.8,31.6986918593,1228200,0.0,1.0
2000-01-10,107.1,115.0,107.1,112.3,33.3311151292,1879100,0.0,1.0
2000-01-11,110.8,118.9,110.0,110.9,32.915589206,1430100,0.0,1.0
2000-01-12,111.8,116.3,107.9,114.0,33.8356823218,1712700,0.0,1.0
2000-01-13,114.7,115.3,110.9,113.8,33.7763214756,909700,0.0,1.0
2000-01-14,116.1,131.6,116.0,129.8,38.5251891699,2852400,0.0,1.0
2000-01-18,127.8,131.8,125.3,129.7,38.4955087468,1901600,0.0,1.0
2000-01-19,130.3,138.8,125.4,136.4,40.4840970937,1776600,0.0,1.0
2000-01-20,138.3,144.6,133.9,143.1,42.4726854407,2080300,0.0,1.0
2000-01-21,149.5,149.6,134.9,138.9,41.226107671,2503000,0.0,1.0
2000-01-24,144.9,145.1,133.8,134.5,39.9201690551,1503900,0.0,1.0
2000-01-25,135.9,140.0,130.5,137.9,40.9293034401,1198400,0.0,1.0
2000-01-26,136.3,139.5,128.8,129.0,38.2877457851,1786600,0.0,1.0
2000-01-27,131.5,136.7,129.0,129.5,38.4361479006,1050000,0.0,1.0
2000-01-28,129.4,131.0,120.0,123.9,36.7740442076,1047900,0.0,1.0
2000-01-31,122.4,125.5,116.9,124.9,37.0708484385,1457900,0.0,1.0
2000-02-01,124.9,131.8,122.5,131.4,39.0000759393,1225000,0.0,1.0
2000-02-02,131.4,137.6,129.4,137.3,40.7512209016,1008400,0.0,1.0
2000-02-03,137.7,141.1,133.7,140.2,41.6119531711,1085400,0.0,1.0
2000-02-04,140.8,143.6,134.3,137.1,40.6918600554,1114400,0.0,1.0
2000-02-07,138.3,141.9,135.9,139.0,41.2557880941,999600,0.0,1.0
2000-02-08,140.5,141.4,136.0,138.9,41.226107671,939100,0.0,1.0
2000-02-09,136.8,143.1,134.3,136.8,40.6028187861,956100,0.0,1.0
2000-02-10,136.7,144.8,133.6,143.9,42.7101288254,880100,0.0,1.0
2000-02-11,142.4,144.3,137.4,140.2,41.6119531711,736500,0.0,1.0
2000-02-14,141.1,145.0,140.2,144.4,42.8585309409,737100,0.0,1.0
2000-02-15,144.4,144.4,137.9,143.0,42.4430050176,777100,0.0,1.0
2000-02-16,143.4,150.0,141.3,142.1,42.1758812098,1527700,0.0,1.0
2000-02-17,142.5,146.6,136.5,146.0,43.3334177103,1134100,0.0,1.0
