dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,40.31,40.88,39.81,40.31,12.3348452746,368700,0.0,1.0
1999-11-02,40.31,40.63,39.5,39.69,12.1451255011,225000,0.0,1.0
1999-11-03,40.44,40.69,39.69,39.94,12.2216254098,490800,0.0,1.0
1999-11-04,40.25,40.31,39.63,39.69,12.1451255011,361500,0.0,1.0
1999-11-05,40.0,40.44,39.88,40.06,12.258345366,486800,0.0,1.0
1999-11-08,40.06,40.75,39.94,40.31,12.3348452746,365500,0.0,1.0
1999-11-09,40.5,40.69,40.13,40.5,12.3929852052,584100,0.0,1.0
1999-11-10,40.5,41.81,40.44,41.81,12.7938447267,655000,0.0,1.0
1999-11-11,42.0,42.06,41.25,41.81,12.7938447267,329000,0.0,1.0
1999-11-12,41.56,41.69,41.0,41.56,12.717344818,403500,0.0,1.0
1999-11-15,41.88,42.63,41.69,42.56,13.0233444527,507500,0.0,1.0
1999-11-16,42.56,43.31,42.56,43.06,13.1763442701,647900,0.0,1.0
1999-11-17,42.88,43.88,42.88,43.69,13.3691240399,574500,0.0,1.0
1999-11-18,43.94,46.0,43.81,45.88,14.0392632399,1061600,0.0,1.0
1999-11-19,45.88,47.69,45.38,47.5,14.5349826481,1281400,0.0,1.0
1999-11-22,47.5,48.75,46.75,47.0,14.3819828308,1102200,0.0,1.0
1999-11-23,47.5,48.0,47.06,47.44,14.51662267,838100,0.0,1.0
1999-11-24,47.69,47.69,46.13,46.44,14.2106230353,611800,0.0,1.0
1999-11-26,46.69,46.88,45.75,46.0,14.0759831961,253600,0.0,1.0
1999-11-29,46.25,46.88,45.69,46.25,14.1524831047,403400,0.0,1.0
1999-11-30,46.25,46.44,45.19,46.0,14.0759831961,629900,0.0,1.0
1999-12-01,45.63,45.94,44.63,45.38,13.9000334061,563100,0.045,1.0
1999-12-02,45.38,45.94,45.38,45.81,14.0317437271,286300,0.0,1.0
1999-12-03,45.69,47.44,45.69,47.25,14.4728201507,466300,0.0,1.0
1999-12-06,47.25,47.88,46.5,47.81,14.644349871,248900,0.0,1.0
1999-12-07,47.69,48.69,47.69,48.25,14.7791232227,676000,0.0,1.0
1999-12-08,48.31,48.31,46.5,46.63,14.2829122461,283600,0.0,1.0
1999-12-09,47.13,47.25,45.88,46.69,14.3012904304,302300,0.0,1.0
1999-12-10,47.0,48.0,46.56,47.69,14.6075935024,371500,0.0,1.0
1999-12-13,47.44,47.75,46.69,47.44,14.5310177344,446600,0.0,1.0
1999-12-14,47.31,48.63,47.31,48.0,14.7025474547,541100,0.0,1.0
1999-12-15,48.0,48.0,46.25,46.75,14.3196686147,531900,0.0,1.0
1999-12-16,47.0,47.69,46.38,47.5,14.5493959187,638400,0.0,1.0
1999-12-17,47.5,47.62,46.88,47.56,14.567774103,706600,0.0,1.0
1999-12-20,47.31,47.31,46.0,47.0,14.3962443827,720900,0.0,1.0
1999-12-21,47.25,47.94,46.13,47.69,14.6075935024,424800,0.0,1.0
1999-12-22,47.5,47.56,46.38,46.63,14.2829122461,299300,0.0,1.0
1999-12-23,47.0,47.06,46.31,46.88,14.3594880141,437100,0.0,1.0
1999-12-27,46.88,47.44,46.19,46.19,14.1481388944,317700,0.0,1.0
1999-12-28,46.0,46.5,46.0,46.0,14.0899413107,336300,0.0,1.0
1999-12-29,46.25,46.25,45.69,45.75,14.0133655427,215200,0.0,1.0
1999-12-30,46.0,46.56,46.0,46.38,14.2063364781,314400,0.0,1.0
1999-12-31,46.5,47.75,46.5,47.38,14.5126395501,162400,0.0,1.0
2000-01-03,47.12,47.31,44.75,45.25,13.8602140068,298800,0.0,1.0
2000-01-04,44.75,44.88,43.0,43.44,13.3058054465,479400,0.0,1.0
2000-01-05,43.94,44.88,43.44,43.5,13.3241836308,509800,0.0,1.0
2000-01-06,43.38,43.63,42.44,43.25,13.2476078628,479400,0.0,1.0
2000-01-07,44.75,45.0,42.69,42.88,13.1342757262,706400,0.0,1.0
2000-01-10,43.38,44.13,42.63,44.13,13.5171545661,501900,0.0,1.0
2000-01-11,43.75,44.88,42.81,43.81,13.4191375831,515800,0.0,1.0
2000-01-12,43.81,44.63,43.75,44.19,13.5355327505,339600,0.0,1.0
2000-01-13,43.94,45.5,43.69,44.25,13.5539109348,334500,0.0,1.0
2000-01-14,44.0,45.06,43.75,44.63,13.6703061021,267200,0.0,1.0
2000-01-18,44.38,45.88,44.25,45.38,13.9000334061,493200,0.0,1.0
2000-01-19,45.44,45.5,43.5,44.19,13.5355327505,505100,0.0,1.0
2000-01-20,44.44,44.63,43.13,43.75,13.4007593988,359100,0.0,1.0
2000-01-21,44.0,44.0,43.31,43.63,13.3640030302,563000,0.0,1.0
2000-01-24,44.13,44.13,42.5,42.94,13.1526539105,373600,0.0,1.0
2000-01-25,42.69,42.94,41.56,41.88,12.8279726542,369300,0.0,1.0
2000-01-26,42.13,42.31,41.31,41.81,12.8065314392,539800,0.0,1.0
2000-01-27,42.31,42.56,39.25,39.94,12.2337446946,914800,0.0,1.0
2000-01-28,39.94,39.94,36.06,37.69,11.5445627826,1496900,0.0,1.0
2000-01-31,37.69,38.63,37.0,38.63,11.8324876703,2163900,0.0,1.0
2000-02-01,38.38,38.75,38.0,38.63,11.8324876703,1081600,0.0,1.0
2000-02-02,39.0,39.75,38.81,39.56,12.1173495272,1488100,0.0,1.0
2000-02-03,39.5,40.13,39.25,39.69,12.1571689266,1060700,0.0,1.0
2000-02-04,40.0,40.31,38.81,39.06,11.9641979912,542200,0.0,1.0
2000-02-07,38.88,39.38,38.38,38.69,11.8508658546,701500,0.0,1.0
2000-02-08,38.69,39.38,38.69,39.06,11.9641979912,776100,0.0,1.0
2000-02-09,39.0,39.31,38.25,38.31,11.7344706873,729000,0.0,1.0
2000-02-10,38.31,38.5,37.69,37.88,11.6027603663,582700,0.0,1.0
2000-02-11,38.0,38.25,37.56,37.88,11.6027603663,435200,0.0,1.0
2000-02-14,38.0,38.44,37.81,38.06,11.6578949193,402600,0.0,1.0
2000-02-15,38.0,38.0,36.25,37.0,11.333213663,668500,0.0,1.0
2000-02-16,37.06,37.31,36.5,36.88,11.2964572943,583800,0.0,1.0
2000-02-17,36.63,36.94,36.06,36.31,11.1218645433,453200,0.0,1.0
