dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,30.38,30.94,29.44,29.94,16.1216530738,518900,0.0,1.0
1999-11-02,30.0,30.69,29.94,30.31,16.3208852595,1110800,0.0,1.0
1999-11-03,30.13,30.88,30.0,30.81,16.5901179427,1441400,0.0,1.0
1999-11-04,30.63,30.69,29.5,29.56,15.9170362346,679300,0.0,1.0
1999-11-05,29.75,30.5,29.63,29.69,15.9870367322,804700,0.0,1.0
1999-11-08,29.44,29.97,29.38,29.88,16.0893451519,579800,0.0,1.0
1999-11-09,29.88,30.13,29.38,29.5,15.8847283126,581000,0.0,1.0
1999-11-10,28.5,29.56,28.44,29.56,15.9170362346,586700,0.0,1.0
1999-11-11,29.31,30.13,29.13,29.88,16.0893451519,733200,0.0,1.0
1999-11-12,30.0,30.31,28.88,29.38,15.8201124686,994700,0.0,1.0
1999-11-15,28.13,28.94,28.06,28.94,15.5831877073,811900,0.0,1.0
1999-11-16,28.94,29.56,28.63,29.31,15.7824198929,913200,0.0,1.0
1999-11-17,28.63,29.0,28.5,28.75,15.4808792877,1241500,0.0,1.0
1999-11-18,28.75,28.94,28.25,28.38,15.2816471021,763300,0.0,1.0
1999-11-19,28.0,28.13,27.0,27.06,14.5708728182,1304800,0.0,1.0
1999-11-22,26.38,27.25,26.38,27.0,14.5385648963,2230000,0.0,1.0
1999-11-23,27.25,27.38,26.63,26.69,14.3716406326,1018500,0.0,1.0
1999-11-24,26.69,26.88,25.69,25.88,13.9354836857,1318500,0.0,1.0
1999-11-26,24.5,25.94,24.44,25.75,13.8654831881,444000,0.0,1.0
1999-11-29,25.75,26.31,25.0,26.0,14.0000995297,1885600,0.0,1.0
1999-11-30,25.94,26.31,25.0,25.38,13.6662510025,1284000,0.0,1.0
1999-12-01,24.56,25.63,24.13,24.44,13.1600935579,1949900,0.0,1.0
1999-12-02,25.75,25.75,24.5,24.5,13.1924014799,1656400,0.0,1.0
1999-12-03,24.38,25.38,23.63,24.75,13.3270178216,3207800,0.0,1.0
1999-12-06,24.38,25.0,24.06,24.06,12.9554767187,2543400,0.0,1.0
1999-12-07,24.88,24.88,23.81,23.81,12.820860377,1389200,0.0,1.0
1999-12-08,23.88,24.0,23.0,23.0,12.3847034301,2053500,0.0,1.0
1999-12-09,22.5,23.5,22.5,23.0,12.3847034301,1872600,0.0,1.0
1999-12-10,23.0,23.69,22.69,23.63,12.7239366111,1709300,0.0,1.0
1999-12-13,23.88,24.19,23.44,23.75,12.788552455,1720200,0.0,1.0
1999-12-14,24.13,25.0,23.94,24.13,12.9931692943,2276100,0.0,1.0
1999-12-15,24.13,25.31,24.06,25.0,13.4616341632,1585700,0.0,1.0
1999-12-16,25.0,25.56,24.88,25.06,13.4939420852,1529000,0.0,1.0
1999-12-17,25.06,26.56,25.06,26.12,14.0647153737,2420200,0.0,1.0
1999-12-20,25.94,26.13,24.5,24.63,13.2624019776,981400,0.0,1.0
1999-12-21,24.88,25.19,23.94,24.06,12.9554767187,1331800,0.0,1.0
1999-12-22,24.06,24.25,23.38,23.75,12.788552455,1057700,0.0,1.0
1999-12-23,24.0,24.75,23.88,24.63,13.2624019776,831000,0.0,1.0
1999-12-27,23.88,25.06,23.88,24.69,13.2947098996,800400,0.0,1.0
1999-12-28,24.63,24.75,24.13,24.13,12.9931692943,1148700,0.0,1.0
1999-12-29,24.5,25.25,24.38,25.06,13.4939420852,603400,0.0,1.0
1999-12-30,25.0,26.0,25.0,25.75,13.8654831881,829900,0.0,1.0
1999-12-31,25.13,25.63,25.06,25.38,13.6662510025,500800,0.0,1.0
2000-01-03,25.25,25.31,25.13,25.19,13.5639425828,1650100,0.0,1.0
2000-01-04,24.38,25.06,23.25,24.56,13.2247094019,1631800,0.0,1.0
2000-01-05,24.5,24.63,23.5,23.56,12.7508598794,1023800,0.12,1.0
2000-01-06,23.69,23.88,22.94,23.69,12.8212169161,1542500,0.0,1.0
