dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-03,41.25,43.44,41.06,41.94,24.14440267,7600400,0.0,1.0
1999-11-04,43.69,45.25,43.44,45.19,26.0153923858,9834800,0.0,1.0
1999-11-05,45.69,46.63,45.63,46.5,26.7695451635,7184900,0.0,1.0
1999-11-08,45.88,47.06,45.75,47.0,27.0573897351,7536900,0.0,1.0
1999-11-09,47.0,47.13,45.81,46.38,26.7004624663,5760500,0.0,1.0
1999-11-10,45.69,46.25,45.5,46.06,26.5162419404,3561800,0.0,1.0
1999-11-11,46.25,47.31,46.0,47.0,27.0573897351,2985900,0.0,1.0
1999-11-12,47.69,49.56,47.44,48.38,27.8518407529,6391000,0.0,1.0
1999-11-15,47.56,48.13,46.44,46.88,26.9883070379,2396900,0.0,1.0
1999-11-16,46.5,47.13,46.19,46.19,26.5910815291,2486800,0.0,1.0
1999-11-17,46.06,46.31,45.81,46.13,26.5565401805,2465700,0.0,1.0
1999-11-18,46.0,48.0,45.81,47.0,27.0573897351,7491500,0.0,1.0
1999-11-19,46.0,47.44,45.63,47.38,27.2761516096,5732100,0.0,1.0
1999-11-22,46.81,47.13,46.63,46.91,27.0055777122,3827500,0.0,1.0
1999-11-23,47.06,47.06,46.44,46.69,26.8789261007,2622700,0.0,1.0
1999-11-24,46.06,46.38,45.38,45.38,26.124773323,2557700,0.0,1.0
1999-11-26,45.44,45.44,44.56,44.56,25.6527082255,1405700,0.0,1.0
1999-11-29,44.75,45.69,44.56,45.5,26.2219208659,2631100,0.0488,1.0
1999-11-30,45.5,46.38,45.0,45.13,26.0086876633,3006200,0.0,1.0
1999-12-01,45.13,46.75,45.0,46.02,26.5215999615,3369400,0.0,1.0
1999-12-02,46.06,46.06,44.88,45.19,26.0432660205,3755700,0.0,1.0
1999-12-03,45.63,46.06,45.25,45.88,26.4409171281,3549800,0.0,1.0
1999-12-06,45.31,46.25,45.25,46.06,26.5446521997,1583800,0.0,1.0
1999-12-07,45.69,45.75,44.5,44.69,25.7551130439,2930800,0.0,1.0
1999-12-08,44.81,45.31,44.38,44.56,25.68019327,1940500,0.0,1.0
1999-12-09,44.75,45.25,44.38,44.64,25.7262977463,2958300,0.0,1.0
1999-12-10,43.25,43.69,42.69,43.25,24.9252324715,9404900,0.0,1.0
1999-12-13,43.13,43.25,42.0,42.0,24.2048500301,5097000,0.0,1.0
1999-12-14,42.0,42.06,41.25,41.25,23.7726205653,5023900,0.0,1.0
1999-12-15,41.69,42.38,41.56,41.81,24.095351899,2644500,0.0,1.0
1999-12-16,41.94,42.0,41.31,41.81,24.095351899,2761700,0.0,1.0
1999-12-17,42.44,42.44,41.19,41.25,23.7726205653,5302900,0.0,1.0
1999-12-20,41.88,42.94,41.63,42.3,24.377741816,3302800,0.0,1.0
1999-12-21,41.63,42.19,40.94,41.63,23.9916168274,4031000,0.0,1.0
1999-12-22,41.5,41.69,41.0,41.06,23.6631224342,3837600,0.0,1.0
1999-12-23,41.13,41.13,39.56,40.5,23.3403911004,5596300,0.0,1.0
1999-12-27,40.94,42.0,40.81,40.81,23.5190459459,2753700,0.0,1.0
1999-12-28,41.5,41.56,40.25,40.63,23.4153108743,2932900,0.0,1.0
1999-12-29,40.38,40.56,40.0,40.19,23.161736255,2706800,0.0,1.0
1999-12-30,39.81,40.25,39.63,39.81,22.9427399928,2406300,0.0,1.0
1999-12-31,39.94,40.5,38.81,40.31,23.2308929694,1444400,0.0,1.0
2000-01-03,39.94,40.06,39.5,39.63,22.8390049212,4520600,0.0,1.0
2000-01-04,39.31,39.56,38.38,38.81,22.3664340397,4216500,0.0,1.0
2000-01-05,38.81,40.38,38.81,39.63,22.8390049212,5231600,0.0,1.0
2000-01-06,39.13,39.38,38.69,38.88,22.4067754564,4809400,0.0,1.0
2000-01-07,39.0,40.0,38.88,39.88,22.9830814095,5124700,0.0,1.0
2000-01-10,40.0,41.0,39.75,40.06,23.0868164811,4113900,0.0,1.0
2000-01-11,40.13,41.5,40.13,41.0,23.628544077,5440200,0.0,1.0
2000-01-12,40.94,43.06,40.63,42.75,24.6370794949,8090000,0.0,1.0
2000-01-13,42.69,43.63,41.88,42.31,24.3835048755,5700200,0.0,1.0
2000-01-14,42.81,42.81,41.88,42.61,24.5563966615,3365400,0.0,1.0
2000-01-18,42.38,42.5,41.19,41.5,23.9166970535,3401100,0.0,1.0
2000-01-19,41.0,42.63,41.0,42.38,24.4238462923,3344700,0.0,1.0
2000-01-20,42.56,42.56,41.0,42.56,24.5275813638,3309700,0.0,1.0
2000-01-21,41.63,41.88,40.44,41.06,23.6631224342,3722600,0.0,1.0
2000-01-24,41.25,41.44,39.5,39.5,22.7640851473,3593500,0.0,1.0
2000-01-25,39.75,40.25,39.19,39.81,22.9427399928,3304500,0.0,1.0
2000-01-26,39.63,39.63,34.69,35.75,20.6029378232,16703200,0.0,1.0
2000-01-27,36.0,37.94,35.88,37.63,21.6863930151,12082200,0.0,1.0
2000-01-28,37.13,37.44,36.38,36.75,21.1792437763,4444200,0.0,1.0
2000-01-31,37.25,38.0,37.13,37.38,21.5423165268,4838300,0.0,1.0
2000-02-01,37.44,37.56,36.5,36.63,21.110087062,4679500,0.0,1.0
2000-02-02,36.63,36.75,35.38,35.5,20.458861335,5769100,0.0,1.0
2000-02-03,35.56,36.19,34.44,35.0,20.1707083584,9225700,0.0,1.0
2000-02-04,35.88,35.88,34.62,35.12,20.2398650728,7752200,0.0,1.0
2000-02-07,35.25,35.63,34.0,34.94,20.1361300012,9992900,0.0,1.0
2000-02-08,36.0,37.63,35.5,36.31,20.925669157,12144800,0.0,1.0
2000-02-09,36.69,36.69,35.38,35.88,20.6778575971,5915400,0.0,1.0
2000-02-10,35.5,36.25,35.13,35.5,20.458861335,5353400,0.0,1.0
2000-02-11,35.06,35.44,34.81,34.94,20.1361300012,3920500,0.0,1.0
2000-02-14,35.31,35.31,33.31,33.88,19.5252456909,4426400,0.0,1.0
2000-02-15,33.75,34.13,33.44,33.75,19.450325917,4669200,0.0,1.0
2000-02-16,33.75,34.44,33.25,33.38,19.2370927144,3804900,0.0,1.0
2000-02-17,33.56,34.06,33.38,33.75,19.450325917,4272000,0.0,1.0
2000-02-18,33.56,33.69,32.31,32.5,18.7299434757,5494900,0.0,1.0
2000-02-22,32.25,33.19,32.19,32.31,18.6204453446,4479500,0.0,1.0
2000-02-23,32.44,33.38,32.38,32.63,18.8048632496,4927400,0.0,1.0
2000-02-24,32.13,32.38,31.0,31.38,18.0844808082,6154300,0.0,1.0
2000-02-25,31.5,31.81,30.75,31.0,17.865484546,4551200,0.0,1.0
